pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag_x,leverage,is_short,open_timestamp,close_timestamp,orders,funding_fees,weekday,signal_date,profit_pct,date,enter_tag_y,open,high,low,close,volume,trade_center_shift_up,near_major_high,high_base_compression,base_tight,major_breakout,breakout_volume_expansion,bull_body_expansion,rsi,rsi_1d,downtrend_1d,bear_exhaustion_1d,daily_center_lifting,daily_not_making_new_lows,daily_not_breaking_down,close_1d,ema_slow_1d,mature_high_base,breakout_close_near_high,breakout_body_strength,breakout_distance_ok,breakout_daily_bias_ok,long_breakout_probe
ZEC/USDT:USDT,332.24606,332.24606,1.811,2021-11-09 10:00:00+00:00,2021-11-09 11:00:00+00:00,183.46,179.8,0.0005,0.0005,60,-0.02092941319594209,-6.95719193,stop_loss,179.8,-0.02,179.8,-0.019999999999999907,179.0,185.86,False,long_1h_highbase_breakout,1.0,False,1636452000000,1636455600000,"[{'amount': 1.811, 'safe_price': 183.46, 'ft_order_side': 'buy', 'order_filled_timestamp': 1636452000000, 'ft_is_entry': True, 'ft_order_tag': 'long_1h_highbase_breakout', 'cost': 332.41218303}, {'amount': 1.811, 'safe_price': 179.8, 'ft_order_side': 'sell', 'order_filled_timestamp': 1636455600000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 325.78060889999995}]",0.0,1,2021-11-09 09:00:00+00:00,-2.092941319594209,2021-11-09 09:00:00+00:00,long_1h_highbase_breakout,179.03,184.47,178.46,183.41,52248.482,True,True,True,True,True,True,True,83.0274438149739,61.08778530433754,False,False,False,True,True,170.96,154.16914347931126,True,True,True,True,True,True
ZEC/USDT:USDT,341.56035,341.56035,12.443,2023-10-23 23:00:00+00:00,2023-10-24 06:00:00+00:00,27.45,27.09,0.0005,0.0005,420,-0.014200425777759627,-4.85272755,trailing_stop_loss,26.91,-0.02,27.09,-0.01455074572571835,26.95,27.94,False,long_1h_highbase_breakout,1.0,False,1698102000000,1698127200000,"[{'amount': 12.443, 'safe_price': 27.45, 'ft_order_side': 'buy', 'order_filled_timestamp': 1698102000000, 'ft_is_entry': True, 'ft_order_tag': 'long_1h_highbase_breakout', 'cost': 341.731130175}, {'amount': 12.443, 'safe_price': 27.09, 'ft_order_side': 'sell', 'order_filled_timestamp': 1698127200000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 337.24941043499996}]",-0.033926936449994,1,2023-10-23 22:00:00+00:00,-1.4200425777759627,2023-10-23 22:00:00+00:00,long_1h_highbase_breakout,26.69,27.53,26.66,27.46,89983.667,True,True,True,True,True,True,True,78.25974085157557,52.430654891974896,False,False,False,True,True,25.87,25.672965773061485,True,True,True,True,True,True
ZEC/USDT:USDT,515.33985,515.33985,12.385,2025-04-01 16:00:00+00:00,2025-04-01 16:00:00+00:00,41.61,40.78,0.0005,0.0005,0,-0.0200110618094145,-10.31765384,stop_loss,40.78,-0.02,40.78,-0.020000000000000018,40.58,42.53,False,long_1h_highbase_breakout,1.0,False,1743523200000,1743523200000,"[{'amount': 12.385, 'safe_price': 41.61, 'ft_order_side': 'buy', 'order_filled_timestamp': 1743523200000, 'ft_is_entry': True, 'ft_order_tag': 'long_1h_highbase_breakout', 'cost': 515.5975199249999}, {'amount': 12.385, 'safe_price': 40.78, 'ft_order_side': 'sell', 'order_filled_timestamp': 1743523200000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 505.31283014999997}]",0.4720962362358827,1,2025-04-01 15:00:00+00:00,-2.00110618094145,2025-04-01 15:00:00+00:00,long_1h_highbase_breakout,39.84,42.12,39.84,41.61,77711.085,True,True,True,True,True,True,True,75.36233055017007,62.33755438436356,False,False,False,True,True,39.34,34.97639541859001,True,True,True,True,True,True
ZEC/USDT:USDT,440.55286,440.55286,9.691,2025-09-06 22:00:00+00:00,2025-09-07 10:00:00+00:00,45.46,46.66,0.0005,0.0005,720,0.025163023408894637,11.09118475,trailing_stop_loss,44.56,-0.02,46.66,-0.013739167195096269,45.4,47.9,False,long_1h_highbase_breakout,1.0,False,1757196000000,1757239200000,"[{'amount': 9.691, 'safe_price': 45.46, 'ft_order_side': 'buy', 'order_filled_timestamp': 1757196000000, 'ft_is_entry': True, 'ft_order_tag': 'long_1h_highbase_breakout', 'cost': 440.77313643}, {'amount': 9.691, 'safe_price': 46.66, 'ft_order_side': 'sell', 'order_filled_timestamp': 1757239200000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 452.40815102999994}]",-0.09164778700000001,6,2025-09-06 21:00:00+00:00,2.516302340889464,2025-09-06 21:00:00+00:00,long_1h_highbase_breakout,44.45,45.62,44.34,45.45,42815.987,True,True,True,True,True,True,True,85.52385955312832,52.172852317731746,False,False,False,True,True,41.04,40.370591984721834,True,True,True,True,True,True
ZEC/USDT:USDT,469.2664,469.2664,7.16,2025-09-29 01:00:00+00:00,2025-09-29 01:00:00+00:00,65.54,64.23,0.0005,0.0005,0,-0.020967316158826296,-9.8441766,stop_loss,64.23,-0.02,64.23,-0.020000000000000018,63.32,66.56,False,long_1h_highbase_breakout,1.0,False,1759107600000,1759107600000,"[{'amount': 7.16, 'safe_price': 65.54, 'ft_order_side': 'buy', 'order_filled_timestamp': 1759107600000, 'ft_is_entry': True, 'ft_order_tag': 'long_1h_highbase_breakout', 'cost': 469.5010332}, {'amount': 7.16, 'safe_price': 64.23, 'ft_order_side': 'sell', 'order_filled_timestamp': 1759107600000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 460.1167434}]",0.0,0,2025-09-29 00:00:00+00:00,-2.0967316158826295,2025-09-29 00:00:00+00:00,long_1h_highbase_breakout,61.02,65.76,61.01,65.54,132250.019,True,True,True,True,True,True,True,88.02961462068001,67.48573997747508,False,True,True,True,True,61.03,50.19796324704041,True,True,True,True,True,True
ZEC/USDT:USDT,450.58832,450.58832,1.456,2026-04-07 22:00:00+00:00,2026-04-08 17:00:00+00:00,309.47,328.43,0.0005,0.0005,1140,0.06192690968754039,27.91749397,structure_exit_long_1h,303.29,-0.02,325.0,-0.02577937649880102,306.77,339.85,False,long_1h_highbase_breakout,1.0,False,1775599200000,1775667600000,"[{'amount': 1.456, 'safe_price': 309.47, 'ft_order_side': 'buy', 'order_filled_timestamp': 1775599200000, 'ft_is_entry': True, 'ft_order_tag': 'long_1h_highbase_breakout', 'cost': 450.81361416}, {'amount': 1.456, 'safe_price': 328.43, 'ft_order_side': 'sell', 'order_filled_timestamp': 1775667600000, 'ft_is_entry': False, 'ft_order_tag': 'structure_exit_long_1h', 'cost': 478.43317704}]",0.7761251710576,2,2026-04-07 21:00:00+00:00,6.192690968754039,2026-04-07 21:00:00+00:00,long_1h_highbase_breakout,276.83,320.0,276.79,309.47,694847.535,True,True,True,True,True,True,True,88.14062625888931,55.67585251053124,False,False,False,True,True,251.33,237.21775781769045,True,True,True,True,True,True
