scenario,pair,open_date,close_date,year,exit_reason,profit_abs,profit_ratio,order_count,source_zip
fee2x_slip_medium,BNB/USDT:USDT,2024-02-07 17:00:00+00:00,2024-02-14 11:00:00+00:00,2024,roi,41.95058708000007,0.09904265711085651,2,fee2x-2026-07-27_04-40-27.zip
fee2x_slip_medium,BTC/USDT:USDT,2025-01-06 05:00:00+00:00,2025-01-07 15:00:00+00:00,2025,trailing_stop_loss,-1.1916215799999312,-0.002397074278587311,2,fee2x-2026-07-27_04-40-27.zip
fee2x_slip_medium,BNB/USDT:USDT,2025-01-17 09:00:00+00:00,2025-01-18 03:50:00+00:00,2025,stop_loss,-13.121856549999972,-0.02305175907293035,2,fee2x-2026-07-27_04-40-27.zip
fee2x_slip_medium,BNB/USDT:USDT,2025-06-10 21:00:00+00:00,2025-06-12 20:15:00+00:00,2025,stop_loss,-15.899134999999898,-0.023730052238805817,2,fee2x-2026-07-27_04-40-27.zip
fee2x_slip_medium,BNB/USDT:USDT,2025-08-07 23:00:00+00:00,2025-08-14 09:40:00+00:00,2025,roi,56.93072723000005,0.09905412992854562,2,fee2x-2026-07-27_04-40-27.zip
fee2x_slip_heavy,BTC/USDT:USDT,2023-12-16 16:00:00+00:00,2023-12-16 20:00:00+00:00,2023,structure_exit_long_1d,-3.941643779999917,-0.010273140581164929,2,fee2x-2026-07-27_04-40-27.zip
fee2x_slip_heavy,BNB/USDT:USDT,2023-12-21 09:00:00+00:00,2023-12-24 22:10:00+00:00,2023,trailing_stop_loss,0.1384710300000025,0.0005066408719705043,2,fee2x-2026-07-27_04-40-27.zip
fee2x_slip_heavy,BNB/USDT:USDT,2024-02-07 17:00:00+00:00,2024-02-14 11:00:00+00:00,2024,roi,41.50798328000007,0.0979976978039518,2,fee2x-2026-07-27_04-40-27.zip
fee2x_slip_heavy,BTC/USDT:USDT,2025-01-06 05:00:00+00:00,2025-01-07 15:00:00+00:00,2025,trailing_stop_loss,-1.6889853300000082,-0.0033975746658218083,2,fee2x-2026-07-27_04-40-27.zip
fee2x_slip_heavy,BNB/USDT:USDT,2025-01-17 09:00:00+00:00,2025-01-18 03:50:00+00:00,2025,stop_loss,-13.685375399999945,-0.024041718131982415,2,fee2x-2026-07-27_04-40-27.zip
fee2x_slip_heavy,BNB/USDT:USDT,2025-06-10 21:00:00+00:00,2025-06-12 20:15:00+00:00,2025,stop_loss,-16.56217999999991,-0.02471967164179091,2,fee2x-2026-07-27_04-40-27.zip
fee2x_slip_heavy,BNB/USDT:USDT,2025-08-07 23:00:00+00:00,2025-08-14 09:40:00+00:00,2025,roi,56.32633833000002,0.09800254988485303,2,fee2x-2026-07-27_04-40-27.zip
