symbol,rows_1h,start,end,trend_up_4h_hours,trend_down_4h_hours,compression_ok_hours,vol_ok_hours,signal_count
SOL,11785,2025-01-01 00:00:00+00:00,2026-05-07 00:00:00+00:00,2753,4736,4236,3165,72
ETH,11785,2025-01-01 00:00:00+00:00,2026-05-07 00:00:00+00:00,3005,4324,4285,3220,63
BTC,11785,2025-01-01 00:00:00+00:00,2026-05-07 00:00:00+00:00,3489,3924,4399,3220,59
