symbol,pair,date,entry_tag,side,close,initial_stop,risk_pct,trend_up_4h,trend_down_4h,compression_width_pct,volume_ratio,body_pct_of_range,close_position,forward_ret_6h,forward_ret_24h,forward_ret_72h,mfe_24h,mae_24h
BTC,BTC/USDT:USDT,2025-01-04 20:00:00+00:00,long_pullback_restart,long,98577.4,97362.53519724785,0.012323968807780904,True,False,0.009093362170233835,1.6451041137909583,0.8436403913605361,0.8438249953848878,-0.003874113133436219,-0.0033729840713997428,-0.0210251031169415,0.001861481434892731,-0.013698880270731406
ETH,ETH/USDT:USDT,2025-01-09 13:00:00+00:00,short_pullback_restart,short,3219.7,3363.0150302316533,0.04451192043720021,False,True,0.028288349846258946,2.453512495157049,0.8569800569800601,0.11042735042734586,0.008156811172169709,-0.007230624547122533,-0.014179380957192511,0.02018377693282636,-0.0353363454416894
BTC,BTC/USDT:USDT,2025-01-12 09:00:00+00:00,short_pullback_restart,short,93859.1,95055.48594031941,0.01274661636771935,False,True,0.00978914138320102,2.649352448370657,0.5301362194439155,0.36947191640231786,-0.012379571444805948,0.011383289494810045,-0.03015176110877471,0.01364535679881107,-0.02163351036384198
BTC,BTC/USDT:USDT,2025-01-24 17:00:00+00:00,long_pullback_restart,long,106414.2,104304.17001822166,0.019828462571520888,True,False,0.01698645481524088,1.309086088226663,0.7442692096093827,0.7792041078305505,-0.015092910532616854,-0.014698226364526445,-0.06854536330677674,0.006223793441100911,-0.022305293842363016
SOL,SOL/USDT:USDT,2025-01-25 16:00:00+00:00,long_pullback_restart,long,255.72,245.4339894397489,0.04022372344850266,True,False,0.03277021742530892,1.4453016185021157,0.6256983240223517,0.7960893854748623,0.012435476302205428,-0.001955263569529131,-0.0840372282183639,0.019709056780853995,-0.011927107774127976
ETH,ETH/USDT:USDT,2025-01-28 16:00:00+00:00,short_pullback_restart,short,3149.41,3228.4823746806696,0.025107043757614852,False,True,0.021496089743793224,1.6769820184656596,0.600039039625224,0.3675580714425126,0.021540707103470558,0.020911536840740208,-0.0742937595710973,0.03667215273206059,-0.010120662180468476
BTC,BTC/USDT:USDT,2025-01-31 15:00:00+00:00,long_pullback_restart,long,105407.0,103763.5359732621,0.015591602329426888,True,False,0.010526815107156126,4.678222874773186,0.6274263458760013,0.6274891638922029,-0.03137457664102006,-0.032023489901050195,-0.06265523162598308,0.0012333146754959223,-0.03854582712723065
ETH,ETH/USDT:USDT,2025-02-01 19:00:00+00:00,short_compression_breakdown,short,3195.18,3305.888474411443,0.03464858768878221,False,True,0.024252154808179896,3.5305340423090765,0.6874623267028417,0.272905364677513,0.013872935084056293,0.08027020447906508,0.15397367137981477,0.10561009283833389,-0.0002753390111575049
ETH,ETH/USDT:USDT,2025-02-02 11:00:00+00:00,short_compression_breakdown,short,3063.49,3168.465745826062,0.034266717314586435,False,True,0.03102017633483387,1.9239636293787457,0.6441668018822035,0.21888690572772607,0.030735429690391447,0.18766161516303992,0.0946587197793165,0.4726972055437242,-0.011892167361209793
ETH,ETH/USDT:USDT,2025-02-02 11:00:00+00:00,short_pullback_restart,short,3063.49,3168.465745826062,0.034266717314586435,False,True,0.03102017633483387,1.9239636293787457,0.6441668018822035,0.21888690572772607,0.030735429690391447,0.18766161516303992,0.0946587197793165,0.4726972055437242,-0.011892167361209793
