sample,pair,open_date,close_date,profit_ratio,is_win,risk_pct,compression_high,false_break_3h,false_break_6h,hit_half_r_6h,hit_1r_12h,max_favorable_r,max_adverse_r
full_20221001_20260507,ZEC/USDT:USDT,2023-01-10 22:00:00+00:00,2023-01-14 00:00:00+00:00,0.04990045868428614,True,0.040392950999341065,43.55,False,True,False,False,0.2590565426856184,0.3773214860855749
full_20221001_20260507,BNB/USDT:USDT,2023-01-13 22:00:00+00:00,2023-01-14 00:00:00+00:00,0.05001647945373465,True,0.031178620270166848,289.9,False,False,True,True,1.741757123741712,0.15198006290024826
full_20221001_20260507,BNB/USDT:USDT,2023-01-16 02:00:00+00:00,2023-01-16 08:00:00+00:00,-0.02906994051304465,False,0.028118656520405527,303.89,False,True,False,False,0.2885010971324322,1.1854137821691382
full_20221001_20260507,XRP/USDT:USDT,2023-01-16 03:00:00+00:00,2023-01-16 08:00:00+00:00,-0.037302127474700575,False,0.03632132449423204,0.3909,False,True,True,False,0.8093553301439156,1.3535770176544817
full_20221001_20260507,DOGE/USDT:USDT,2023-01-22 15:00:00+00:00,2023-01-22 16:00:00+00:00,0.049951358330633015,True,0.040217860155982645,0.08652,False,False,True,True,1.39255233520081,0.7572535101804793
full_20221001_20260507,BNB/USDT:USDT,2023-01-22 15:00:00+00:00,2023-01-22 20:00:00+00:00,-0.024362110699154668,False,0.023309025637059413,304.49,True,True,True,False,0.8726843521506747,1.0214054796875982
full_20221001_20260507,XRP/USDT:USDT,2023-01-20 17:00:00+00:00,2023-01-23 08:00:00+00:00,0.05008296194016324,True,0.029959173433514317,0.3941,False,False,True,True,1.454540336140435,0.19337819497821038
full_20221001_20260507,BNB/USDT:USDT,2023-01-24 02:00:00+00:00,2023-01-24 22:00:00+00:00,-0.04382530715662011,False,0.04247741474102657,307.38,False,False,True,False,0.8014814830721492,0.1810281512843399
full_20221001_20260507,BNB/USDT:USDT,2023-02-01 20:00:00+00:00,2023-02-02 05:00:00+00:00,0.050008262036475085,True,0.0298266654585343,310.83,False,False,True,True,1.95606417212767,0.124719078004866
full_20221001_20260507,XRP/USDT:USDT,2023-02-02 19:00:00+00:00,2023-02-02 21:00:00+00:00,-0.021070306750475516,False,0.020265634990258415,0.417,True,True,False,False,0.047208435450972586,1.2156172128626817
full_20221001_20260507,XRP/USDT:USDT,2023-02-04 18:00:00+00:00,2023-02-04 23:00:00+00:00,-0.02001203687698758,False,0.019052910428437403,0.4136,False,True,True,False,0.7080663700775061,0.9988793435021993
full_20221001_20260507,BNB/USDT:USDT,2023-02-03 12:00:00+00:00,2023-02-06 13:00:00+00:00,-0.007046673798186189,False,0.035111052182009064,327.87,False,False,True,False,0.5506885874286938,0.12362396860644195
full_20221001_20260507,ZEC/USDT:USDT,2023-02-19 12:00:00+00:00,2023-02-20 04:00:00+00:00,0.05003894536296829,True,0.03844653916775241,46.95,False,True,True,True,1.1701010520014954,0.9623260988423501
full_20221001_20260507,BNB/USDT:USDT,2023-03-19 13:00:00+00:00,2023-03-21 07:00:00+00:00,-0.023405832487224817,False,0.029218314035249396,337.06,False,True,False,False,0.22399028123595668,0.6941680787852982
full_20221001_20260507,XRP/USDT:USDT,2023-03-27 08:00:00+00:00,2023-03-27 12:00:00+00:00,0.04997034057178754,True,0.04318495328498607,0.4586,False,False,True,True,1.4397124070779976,0.0050339594653099305
full_20221001_20260507,XRP/USDT:USDT,2023-03-31 21:00:00+00:00,2023-04-01 06:00:00+00:00,-0.03854153282605329,False,0.037657809362396634,0.5364,True,True,False,False,0.18545981326252223,1.9961332532729255
full_20221001_20260507,ZEC/USDT:USDT,2023-04-12 22:00:00+00:00,2023-04-13 17:00:00+00:00,0.05011136950262159,True,0.03759554447756825,39.72,True,True,False,True,1.2888744772478837,0.22037750129108782
full_20221001_20260507,XRP/USDT:USDT,2023-04-14 01:00:00+00:00,2023-04-14 06:00:00+00:00,0.05008794327726436,True,0.02233195224150893,0.5157,False,False,True,True,2.505958640035427,0.14690102372621755
full_20221001_20260507,ZEC/USDT:USDT,2023-04-15 23:00:00+00:00,2023-04-16 13:00:00+00:00,-0.03242940796484365,False,0.03135470132077534,42.95,True,True,False,False,0.06644404971425609,0.7677979078092175
