signal_date,pair,side,entry_tag,open_slots,occupant_pairs,occupant_tags,match_status,counterfactual_open_date,counterfactual_close_date,counterfactual_profit_ratio,counterfactual_exit_reason,close,enter_initial_stop,enter_risk_pct,atr_pct,body_pct_of_range,close_position,compression_width_pct,pullback_depth_short,pullback_depth_long_1h,trend_up_4h,trend_down_4h,long_strong_trend_context
2026-01-25 15:00:00+00:00,DOGE/USDT:USDT,short,short_pullback_restart,3,XRP/USDT:USDT|ETH/USDT:USDT|TAO/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,matched_counterfactual_entry,2026-01-25 15:00:00+00:00,2026-01-26 01:05:00+00:00,-7.455118052495136e-05,trailing_stop_loss,0.12222,,,0.005507407244294882,0.21052631735801697,0.42105263471603394,0.019145803526043892,0.019256088882684708,0.025579344481229782,False,True,False
2026-01-25 15:00:00+00:00,LINK/USDT:USDT,short,short_pullback_restart,3,XRP/USDT:USDT|ETH/USDT:USDT|TAO/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,duplicate_signal_while_counterfactual_open,2026-01-22 15:00:00+00:00,2026-01-25 18:35:00+00:00,0.051783928133234826,partial_exit,11.957,,,0.005792439915239811,0.3561643958091736,0.232876718044281,0.017646566033363342,0.017682058736681938,0.02587755024433136,False,True,False
2026-01-25 17:00:00+00:00,NEAR/USDT:USDT,short,short_pullback_restart,3,XRP/USDT:USDT|ETH/USDT:USDT|TAO/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,duplicate_signal_while_counterfactual_open,2026-01-25 09:00:00+00:00,2026-01-25 20:35:00+00:00,0.05017649439705753,partial_exit,1.46,,,0.010520471259951591,0.05882352963089943,0.529411792755127,0.04520547762513161,0.045611608773469925,0.045514512807130814,False,True,False
2026-01-29 12:00:00+00:00,ZEC/USDT:USDT,short,short_compression_breakdown,3,TAO/USDT:USDT|ADA/USDT:USDT|XRP/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,matched_counterfactual_entry,2026-01-29 12:00:00+00:00,2026-01-29 17:00:00+00:00,0.0001217609946929724,trailing_stop_loss,361.57,,,0.013080026023089886,0.018691588193178177,0.3052959442138672,0.03230356425046921,0.032309819012880325,0.09493765980005264,False,True,False
2026-01-29 15:00:00+00:00,BTC/USDT:USDT,short,short_compression_breakdown,3,TAO/USDT:USDT|ADA/USDT:USDT|XRP/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,matched_counterfactual_entry,2026-01-29 15:00:00+00:00,2026-01-31 17:10:00+00:00,0.10000027354718038,roi,84898.0,,,0.007691123057156801,0.7769107222557068,0.21005861461162567,0.0178461205214262,0.017425738275051117,0.0402526929974556,False,True,False
2026-01-29 15:00:00+00:00,SOL/USDT:USDT,short,short_compression_breakdown,3,TAO/USDT:USDT|ADA/USDT:USDT|XRP/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,matched_counterfactual_entry,2026-01-29 15:00:00+00:00,2026-01-31 16:05:00+00:00,0.0999651019626407,roi,117.6,,,0.010368326678872108,0.6206896305084229,0.3609195351600647,0.031292516738176346,0.030602911487221718,0.05382012575864792,False,True,False
2026-02-03 18:00:00+00:00,BNB/USDT:USDT,short,short_pullback_restart,3,SOL/USDT:USDT|TAO/USDT:USDT|BTC/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,matched_counterfactual_entry,2026-02-03 18:00:00+00:00,2026-02-04 18:10:00+00:00,0.05335897907293081,partial_exit,737.12,,,0.013255486264824867,0.818811297416687,0.04847085848450661,0.04440253973007202,0.043578989803791046,0.04175916686654091,False,True,False
2026-02-03 18:00:00+00:00,XRP/USDT:USDT,short,short_compression_breakdown,3,SOL/USDT:USDT|TAO/USDT:USDT|BTC/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,matched_counterfactual_entry,2026-02-03 18:00:00+00:00,2026-02-03 20:30:00+00:00,-0.04103280938696937,stop_loss,1.5307,,,0.015585284680128098,0.7787356376647949,0.04597701132297516,0.04422812908887863,0.04348105192184448,0.05602037161588669,False,True,False
2026-02-10 19:00:00+00:00,SOL/USDT:USDT,short,short_compression_breakdown,3,BNB/USDT:USDT|ADA/USDT:USDT|DOGE/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,matched_counterfactual_entry,2026-02-10 19:00:00+00:00,2026-02-11 14:10:00+00:00,3.237069942429039e-05,trailing_stop_loss,83.05,,,0.014423330314457417,0.14814814925193787,0.6111111044883728,0.03034316748380661,0.0304863303899765,0.06366107612848282,False,True,False
2026-02-10 19:00:00+00:00,SUI/USDT:USDT,short,short_compression_breakdown,3,BNB/USDT:USDT|ADA/USDT:USDT|DOGE/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,matched_counterfactual_entry,2026-02-10 19:00:00+00:00,2026-02-11 14:10:00+00:00,0.0001755378857687782,trailing_stop_loss,0.9211,,,0.015512415207922459,0.23636363446712494,0.5181818008422852,0.04125501960515976,0.041580040007829666,0.06362704932689667,False,True,False
