signal_date,candidate_pair,candidate_side,candidate_tag,candidate_counterfactual_return,occupant_count,same_candle_occupants,older_occupants,valued_occupants,weakest_occupant_remaining,mean_occupant_remaining,weakest_older_remaining,candidate_minus_weakest,candidate_minus_weakest_older
2021-12-17 15:00:00+00:00,BNB/USDT:USDT,short,short_pullback_restart,-0.0394788655164261,3,1,2,3,-0.04001988676369814,-0.027677962996712806,-0.03153694486983165,0.0005410212472720388,-0.00794192064659445
2021-12-29 13:00:00+00:00,DOGE/USDT:USDT,short,short_compression_breakdown,0.000103775233198,3,2,1,3,-0.02897623499759959,-0.013674966701477139,-0.013050000000000037,0.02908001023079759,0.013153775233198037
2022-04-23 03:00:00+00:00,BNB/USDT:USDT,short,short_pullback_restart,0.0504485641141579,3,0,3,3,-0.008626931690929502,-0.004377784671934147,-0.008626931690929502,0.059075495805087405,0.059075495805087405
2022-04-24 00:00:00+00:00,XRP/USDT:USDT,short,short_pullback_restart,0.0003744724673637,3,1,2,3,-0.010025612222114778,0.015717246343552198,-0.010025612222114778,0.010400084689478478,0.010400084689478478
2022-04-29 11:00:00+00:00,BTC/USDT:USDT,short,short_pullback_restart,7.270133406002099e-05,3,0,3,3,-0.011471643447170478,0.03930163378859306,-0.011471643447170478,0.011544344781230498,0.011544344781230498
2022-04-29 11:00:00+00:00,LINK/USDT:USDT,short,short_compression_breakdown,0.0002327185936162,3,0,3,3,-0.011471643447170478,0.03930163378859306,-0.011471643447170478,0.011704362040786677,0.011704362040786677
2022-04-29 17:00:00+00:00,SOL/USDT:USDT,short,short_pullback_restart,9.51708700678745e-05,3,1,2,3,0.0010006221221495481,0.03540619437422777,0.03355500106594639,-0.0009054512520816736,-0.03345983019587851
2022-04-30 14:00:00+00:00,BNB/USDT:USDT,short,short_pullback_restart,-0.0007854529339363,3,0,3,3,0.0006111086429569116,0.03967040492069175,0.0006111086429569116,-0.0013965615768932117,-0.0013965615768932117
2022-04-30 15:00:00+00:00,ADA/USDT:USDT,short,short_pullback_restart,-3.823365325570071e-05,3,0,3,3,-0.005978410258824134,0.028710681000972172,-0.005978410258824134,0.005940176605568433,0.005940176605568433
2022-04-30 15:00:00+00:00,DOGE/USDT:USDT,short,short_compression_breakdown,9.384760502048438e-06,3,0,3,3,-0.005978410258824134,0.028710681000972172,-0.005978410258824134,0.005987795019326183,0.005987795019326183
2022-04-30 15:00:00+00:00,LINK/USDT:USDT,short,short_pullback_restart,0.0776312550857828,3,0,3,3,-0.005978410258824134,0.028710681000972172,-0.005978410258824134,0.08360966534460693,0.08360966534460693
2022-04-30 15:00:00+00:00,SOL/USDT:USDT,short,short_compression_breakdown,0.099969911643975,3,0,3,3,-0.005978410258824134,0.028710681000972172,-0.005978410258824134,0.10594832190279914,0.10594832190279914
2022-05-03 19:00:00+00:00,ADA/USDT:USDT,short,short_pullback_restart,-0.0407783920424804,3,0,3,3,-0.03835625977017321,-0.03326274045673122,-0.03835625977017321,-0.002422132272307191,-0.002422132272307191
2022-09-01 15:00:00+00:00,SOL/USDT:USDT,short,short_compression_breakdown,-0.0357285968856026,3,1,2,3,-0.029833787365630964,-0.02650133547460397,-0.029800806701830575,-0.005894809519971636,-0.005927790183772024
2022-09-16 14:00:00+00:00,SOL/USDT:USDT,short,short_compression_breakdown,-0.0367522391010404,3,3,0,3,-0.033621019108280484,0.02267518171976059,,-0.0031312199927599135,
2022-09-18 10:00:00+00:00,BNB/USDT:USDT,short,short_pullback_restart,-0.0200647463311423,3,2,1,3,0.001047643979057399,0.04982909873000268,0.09634168504910559,-0.021112390310199698,-0.1164064313802479
2023-03-04 20:00:00+00:00,ADA/USDT:USDT,short,short_pullback_restart,-0.0237655458895977,3,0,3,3,-0.012291511487303394,0.0006466716655421856,-0.012291511487303394,-0.011474034402294307,-0.011474034402294307
2023-05-24 04:00:00+00:00,DOGE/USDT:USDT,short,short_pullback_restart,0.0004302152026029,3,2,1,3,-0.009613581722524758,-0.002440460030864475,-0.009613581722524758,0.01004379692512766,0.01004379692512766
2023-05-24 04:00:00+00:00,NEAR/USDT:USDT,short,short_pullback_restart,0.0003601602790112,3,2,1,3,-0.009613581722524758,-0.002440460030864475,-0.009613581722524758,0.009973742001535958,0.009973742001535958
2023-08-17 15:00:00+00:00,ADA/USDT:USDT,short,short_pullback_restart,0.0998843655544292,3,2,1,3,0.001124157303370815,0.06756103586734206,0.10068086339298306,0.09876020825105838,-0.0007964978385538585
2023-08-17 15:00:00+00:00,BNB/USDT:USDT,short,short_pullback_restart,0.0999788688766229,3,2,1,3,0.001124157303370815,0.06756103586734206,0.10068086339298306,0.09885471157325208,-0.0007019945163601604
2023-08-17 15:00:00+00:00,DOGE/USDT:USDT,short,short_pullback_restart,0.0999532454243395,3,2,1,3,0.001124157303370815,0.06756103586734206,0.10068086339298306,0.09882908812096869,-0.0007276179686435541
2023-08-17 15:00:00+00:00,NEAR/USDT:USDT,short,short_pullback_restart,0.1003161862032356,3,2,1,3,0.001124157303370815,0.06756103586734206,0.10068086339298306,0.09919202889986478,-0.00036467718974746155
2023-08-17 16:00:00+00:00,LINK/USDT:USDT,short,short_pullback_restart,0.099978574832937,3,0,3,3,-0.013689851767388853,0.05067730224718562,-0.013689851767388853,0.11366842660032585,0.11366842660032585
2023-08-17 16:00:00+00:00,XRP/USDT:USDT,short,short_pullback_restart,0.0999605344936405,3,0,3,3,-0.013689851767388853,0.05067730224718562,-0.013689851767388853,0.11365038626102934,0.11365038626102934
2023-08-24 15:00:00+00:00,DOGE/USDT:USDT,short,short_pullback_restart,-0.0137912721799787,3,3,0,3,-0.008058395691368746,-0.001920910800644265,,-0.005732876488609954,
2023-08-24 15:00:00+00:00,LINK/USDT:USDT,short,short_pullback_restart,0.0514946884775397,3,3,0,3,-0.008058395691368746,-0.001920910800644265,,0.05955308416890845,
2023-10-12 10:00:00+00:00,BNB/USDT:USDT,short,short_pullback_restart,-0.0174675581750804,3,2,1,3,-0.02579364913016128,-0.0212470302404718,-0.02579364913016128,0.00832609095508088,0.00832609095508088
2023-10-12 10:00:00+00:00,NEAR/USDT:USDT,short,short_pullback_restart,-0.0210516475838877,3,2,1,3,-0.02579364913016128,-0.0212470302404718,-0.02579364913016128,0.004742001546273581,0.004742001546273581
2024-02-12 00:00:00+00:00,LINK/USDT:USDT,long,long_1d_center_compression,-5.845148029280071e-05,3,0,3,3,0.01160414380768223,0.033622746496052534,0.01160414380768223,-0.01166259528797503,-0.01166259528797503
2024-05-12 08:00:00+00:00,DOGE/USDT:USDT,short,short_pullback_restart,0.0002476338903698,3,0,3,3,-0.012429272706629543,-0.002325117068642427,-0.012429272706629543,0.012676906596999342,0.012676906596999342
2024-05-13 02:00:00+00:00,SUI/USDT:USDT,short,short_pullback_restart,3.206129071279098e-05,3,0,3,3,-0.009018514238689072,0.0006844962910641301,-0.009018514238689072,0.009050575529401863,0.009050575529401863
2024-05-13 03:00:00+00:00,SOL/USDT:USDT,short,short_pullback_restart,-0.0466867881932506,3,0,3,3,-0.020137083734893885,-0.013677958094530436,-0.020137083734893885,-0.026549704458356718,-0.026549704458356718
2024-06-14 16:00:00+00:00,ADA/USDT:USDT,short,short_compression_breakdown,0.0003096567626172,3,0,3,3,-0.020346344636620366,-0.008539751698958419,-0.020346344636620366,0.020656001399237567,0.020656001399237567
2024-06-14 16:00:00+00:00,DOGE/USDT:USDT,short,short_pullback_restart,0.0506649491941143,3,0,3,3,-0.020346344636620366,-0.008539751698958419,-0.020346344636620366,0.07101129383073466,0.07101129383073466
2024-06-27 06:00:00+00:00,TAO/USDT:USDT,short,short_pullback_restart,-0.0442487275912843,3,1,2,3,-0.04130525726186128,-0.03254700080289776,-0.04130525726186128,-0.0029434703294230202,-0.0029434703294230202
2024-08-31 17:00:00+00:00,NEAR/USDT:USDT,short,short_pullback_restart,0.0015453602575572,3,1,2,3,0.04199913743530782,0.05143102389641741,0.04199913743530782,-0.04045377717775062,-0.04045377717775062
2024-09-01 02:00:00+00:00,SOL/USDT:USDT,short,short_compression_breakdown,-2.2561887772683325e-05,3,0,3,3,0.0231719437115217,0.03549800151776006,0.0231719437115217,-0.023194505599294382,-0.023194505599294382
2024-09-05 04:00:00+00:00,LINK/USDT:USDT,short,short_pullback_restart,5.103569252588756e-05,3,3,0,3,0.05124638961038974,0.06315645698046571,,-0.05119535391786385,
2025-02-09 22:00:00+00:00,SOL/USDT:USDT,short,short_pullback_restart,-0.0434113581227661,3,1,2,3,-0.04804125845339589,-0.03394205507453366,-0.030048525214081825,0.004629900330629787,-0.013362832908684275
2025-03-09 10:00:00+00:00,XRP/USDT:USDT,short,short_pullback_restart,0.1000131825305252,3,1,2,3,-0.013352716873212569,0.047812965894007214,-0.013352716873212569,0.11336589940373777,0.11336589940373777
2025-03-09 11:00:00+00:00,ETH/USDT:USDT,short,short_pullback_restart,0.0537792796456366,3,0,3,3,-0.02212644230769219,0.03292244075873236,-0.02212644230769219,0.07590572195332879,0.07590572195332879
2025-06-14 17:00:00+00:00,LINK/USDT:USDT,short,short_compression_breakdown,-0.0360155282726032,3,0,3,3,-0.02080391304598951,0.017654696211580802,-0.02080391304598951,-0.01521161522661369,-0.01521161522661369
2025-08-29 08:00:00+00:00,NEAR/USDT:USDT,short,short_pullback_restart,0.0016913673554508,3,1,2,3,-0.017893808607091544,-0.009704058333643932,-0.017893808607091544,0.019585175962542344,0.019585175962542344
2025-09-01 00:00:00+00:00,SUI/USDT:USDT,short,short_pullback_restart,1.6927002984323396e-05,3,1,2,3,-0.03116836256040477,-0.019615896816038866,-0.03116836256040477,0.031185289563389094,0.031185289563389094
2025-09-01 00:00:00+00:00,XRP/USDT:USDT,short,short_pullback_restart,-0.0164925791959831,3,1,2,3,-0.03116836256040477,-0.019615896816038866,-0.03116836256040477,0.014675783364421668,0.014675783364421668
2025-09-24 04:00:00+00:00,LINK/USDT:USDT,short,short_pullback_restart,0.0503783396141612,3,1,2,3,-0.04603827480916034,-0.000917683546341698,-0.004253889873219907,0.09641661442332154,0.05463222948738111
2025-09-25 02:00:00+00:00,ETH/USDT:USDT,short,short_pullback_restart,0.0523183889878075,3,0,3,3,0.005562950828441237,0.03523155084700553,0.005562950828441237,0.04675543815936627,0.04675543815936627
2025-09-28 02:00:00+00:00,SUI/USDT:USDT,short,short_pullback_restart,-0.0275704009777156,3,0,3,3,-0.011989344144661327,-0.008103087442220139,-0.011989344144661327,-0.015581056833054274,-0.015581056833054274
