signal_date,candidate_pair,candidate_side,candidate_tag,candidate_counterfactual_return,occupant_pair,occupant_side,occupant_tag,occupant_open_date,occupant_close_date,occupant_age_hours,occupant_total_return,occupant_same_candle,mark_price,mark_basis,current_amount,current_notional,future_order_count,current_mark_return,hold_minus_close_abs,hold_minus_close_ratio,valuation_status,candidate_minus_remaining
2021-12-17 15:00:00+00:00,BNB/USDT:USDT,short,short_pullback_restart,-0.0394788655164261,XRP/USDT:USDT,short,short_pullback_restart,2021-12-16 20:00:00+00:00,2021-12-17 16:25:00+00:00,19.0,0.00041110649259240437,False,0.7836,collision_5m_open,269.2,210.94511999999997,1,0.030652001977261707,-6.652564620000021,-0.03153694486983165,valued_without_funding,-0.00794192064659445
2021-12-17 15:00:00+00:00,BNB/USDT:USDT,short,short_pullback_restart,-0.0394788655164261,ADA/USDT:USDT,short,short_compression_breakdown,2021-12-17 14:00:00+00:00,2021-12-17 15:30:00+00:00,1.0,6.780337874380093e-05,False,1.203,collision_5m_open,166.0,199.698,1,0.011402553156555462,-2.2919454000000314,-0.011477057356608636,valued_without_funding,-0.02800180815981746
2021-12-17 15:00:00+00:00,BNB/USDT:USDT,short,short_pullback_restart,-0.0394788655164261,BTC/USDT:USDT,short,short_compression_breakdown,2021-12-17 15:00:00+00:00,2021-12-19 03:20:00+00:00,0.0,-0.040650508440663084,True,45944.63,collision_5m_open,0.003,137.83389,1,-0.000999999999999765,-5.5160966700000245,-0.04001988676369814,valued_without_funding,0.0005410212472720388
2021-12-29 13:00:00+00:00,DOGE/USDT:USDT,short,short_compression_breakdown,0.000103775233198,XRP/USDT:USDT,short,short_compression_breakdown,2021-12-29 08:00:00+00:00,2021-12-29 14:30:00+00:00,5.0,0.00017243346192967221,False,0.828,collision_5m_open,219.7,181.9116,1,0.012940514469453579,-2.3739463800000067,-0.013050000000000037,valued_without_funding,0.013153775233198037
2021-12-29 13:00:00+00:00,DOGE/USDT:USDT,short,short_compression_breakdown,0.000103775233198,BTC/USDT:USDT,short,short_compression_breakdown,2021-12-29 13:00:00+00:00,2021-12-31 08:30:00+00:00,0.0,-0.02951876557719018,True,46810.01,collision_5m_open,0.004,187.24004000000002,1,-0.0010000000000000321,-5.425511399999948,-0.02897623499759959,valued_without_funding,0.02908001023079759
2021-12-29 13:00:00+00:00,DOGE/USDT:USDT,short,short_compression_breakdown,0.000103775233198,ETH/USDT:USDT,short,short_compression_breakdown,2021-12-29 13:00:00+00:00,2021-12-30 08:00:00+00:00,0.0,0.00015349424907553548,True,3726.89,collision_5m_open,0.065,242.24785,1,-0.0009999999999998168,0.24257122499997763,0.001001334893168206,valued_without_funding,-0.000897559659970206
2022-04-23 03:00:00+00:00,BNB/USDT:USDT,short,short_pullback_restart,0.0504485641141579,ADA/USDT:USDT,short,short_pullback_restart,2022-04-22 15:00:00+00:00,2022-04-23 08:40:00+00:00,12.0,0.00031528193948581325,False,0.893,collision_5m_open,400.0,357.2,1,0.008609309495819029,-3.081540000000018,-0.008626931690929502,valued_without_funding,0.059075495805087405
2022-04-23 03:00:00+00:00,BNB/USDT:USDT,short,short_pullback_restart,0.0504485641141579,BTC/USDT:USDT,short,short_compression_breakdown,2022-04-22 15:00:00+00:00,2022-04-25 18:45:00+00:00,12.0,-0.0007500302100177536,False,39478.6,collision_5m_open,0.007,276.3502,1,0.00828978684320165,-2.3122055249999676,-0.00836693993707972,valued_without_funding,0.058815504051237616
2022-04-23 03:00:00+00:00,BNB/USDT:USDT,short,short_pullback_restart,0.0504485641141579,ETH/USDT:USDT,short,short_compression_breakdown,2022-04-22 16:00:00+00:00,2022-04-25 18:35:00+00:00,11.0,-0.000640792327490936,False,2957.04,collision_5m_open,0.077,227.69208,1,-0.0038706122947317024,0.8790092849999951,0.0038605176122067796,valued_without_funding,0.04658804650195112
2022-04-24 00:00:00+00:00,XRP/USDT:USDT,short,short_pullback_restart,0.0003744724673637,BTC/USDT:USDT,short,short_compression_breakdown,2022-04-22 15:00:00+00:00,2022-04-25 18:45:00+00:00,33.0,-0.0007500302100177536,False,39413.8,collision_5m_open,0.007,275.89660000000003,1,0.00991675491736215,-2.7660323249999124,-0.010025612222114778,valued_without_funding,0.010400084689478478
