signal_date,year,candidate_count,all_short_candidates,preemption_evaluable,selected_candidate_pair,selected_candidate_tag,selected_candidate_return,worst_mark_victim_pair,worst_mark_victim_tag,worst_mark_victim_current_return,worst_mark_victim_remaining,worst_mark_delta,oldest_victim_pair,oldest_victim_tag,oldest_victim_age_hours,oldest_victim_remaining,oldest_delta,oracle_candidate_pair,oracle_victim_pair,oracle_delta
2025-06-14 17:00:00+00:00,2025,1,True,True,LINK/USDT:USDT,short_compression_breakdown,-0.0360155282726032,PAXG/USDT:USDT,long_1d_center_compression,-0.00016506822983954885,-0.02080391304598951,-0.01521161522661369,DOGE/USDT:USDT,short_compression_breakdown,49.0,0.04591335616438349,-0.08192888443698669,LINK/USDT:USDT,PAXG/USDT:USDT,-0.01521161522661369
2025-09-25 02:00:00+00:00,2025,1,True,True,ETH/USDT:USDT,short_pullback_restart,0.0523183889878075,PAXG/USDT:USDT,long_1d_center_compression,-0.005537133919062682,0.005562950828441237,0.04675543815936627,PAXG/USDT:USDT,long_1d_center_compression,50.0,0.005562950828441237,0.04675543815936627,ETH/USDT:USDT,PAXG/USDT:USDT,0.04675543815936627
2025-09-28 02:00:00+00:00,2025,1,True,True,SUI/USDT:USDT,short_pullback_restart,-0.0275704009777156,XRP/USDT:USDT,short_compression_breakdown,-0.019722807017543646,-0.011989344144661327,-0.015581056833054274,PAXG/USDT:USDT,long_1d_center_compression,122.0,-0.004575357752743509,-0.022995043224972093,SUI/USDT:USDT,XRP/USDT:USDT,-0.015581056833054274
2025-09-28 12:00:00+00:00,2025,1,True,True,SOL/USDT:USDT,short_pullback_restart,-0.0234798987399186,XRP/USDT:USDT,short_compression_breakdown,-0.015298081140350712,-0.01640400345933477,-0.007075895280583833,PAXG/USDT:USDT,long_1d_center_compression,132.0,-0.003742275212048949,-0.019737623527869654,SOL/USDT:USDT,XRP/USDT:USDT,-0.007075895280583833
2025-11-06 15:00:00+00:00,2025,3,True,True,ADA/USDT:USDT,short_pullback_restart,-0.0389597556616748,BTC/USDT:USDT,short_pullback_restart,0.003139343030873128,-0.00315097273787009,-0.03580878292380471,DOGE/USDT:USDT,short_pullback_restart,9.0,-0.018567007099265242,-0.020392748562409555,LINK/USDT:USDT,DOGE/USDT:USDT,0.018614525481084037
2025-12-21 03:00:00+00:00,2025,1,True,True,TAO/USDT:USDT,short_pullback_restart,0.0001208089742884,SOL/USDT:USDT,short_pullback_restart,0.000760035183112383,-0.01562780358859344,0.01574861256288184,PAXG/USDT:USDT,long_1d_center_compression,219.0,0.02748844829526784,-0.02736763932097944,TAO/USDT:USDT,SOL/USDT:USDT,0.01574861256288184
2026-01-25 09:00:00+00:00,2026,1,True,True,NEAR/USDT:USDT,short_pullback_restart,0.0501764943970575,ETH/USDT:USDT,short_pullback_restart,0.0036427466565133893,-0.0036563361328466235,0.053832830529904126,XRP/USDT:USDT,short_pullback_restart,67.0,0.0343576115138367,0.0158188828832208,NEAR/USDT:USDT,TAO/USDT:USDT,0.055648145753605154
2026-01-25 15:00:00+00:00,2026,1,True,True,DOGE/USDT:USDT,short_pullback_restart,-7.455118052495136e-05,ETH/USDT:USDT,short_pullback_restart,0.002486311591887296,-0.0024916163190950268,0.0024170651385700755,XRP/USDT:USDT,short_pullback_restart,73.0,0.03251373058368242,-0.03258828176420737,DOGE/USDT:USDT,TAO/USDT:USDT,0.009410284955370725
2026-01-29 12:00:00+00:00,2026,1,True,True,ZEC/USDT:USDT,short_compression_breakdown,0.0001217609946929,XRP/USDT:USDT,short_pullback_restart,0.0007622898318654768,0.06767364452999687,-0.06755188353530397,TAO/USDT:USDT,short_pullback_restart,10.0,0.07238073759617938,-0.07225897660148649,ZEC/USDT:USDT,ADA/USDT:USDT,-0.04291360274664646
2026-01-29 15:00:00+00:00,2026,2,True,True,BTC/USDT:USDT,short_compression_breakdown,0.1000002735471803,XRP/USDT:USDT,short_pullback_restart,0.024579903923138642,0.044884394171779085,0.05511587937540122,TAO/USDT:USDT,short_pullback_restart,13.0,0.05643338431090305,0.04356688923627725,BTC/USDT:USDT,ADA/USDT:USDT,0.07815400621168322
2026-02-03 18:00:00+00:00,2026,2,True,True,BNB/USDT:USDT,short_pullback_restart,0.0533589790729308,TAO/USDT:USDT,short_pullback_restart,0.015729723394280432,-0.015954148124602895,0.0693131271975337,SOL/USDT:USDT,short_pullback_restart,3.0,-0.01646622576736655,0.06982520484029735,BNB/USDT:USDT,BTC/USDT:USDT,0.07339105136228061
2026-02-10 19:00:00+00:00,2026,3,True,True,SOL/USDT:USDT,short_compression_breakdown,3.237069942429039e-05,ADA/USDT:USDT,short_pullback_restart,0.003582442748091698,-0.003452645705521456,0.0034850164049457467,BNB/USDT:USDT,short_pullback_restart,35.0,0.030809878609616946,-0.030777507910192656,SUI/USDT:USDT,ADA/USDT:USDT,0.0036281835912901563
2026-02-11 05:00:00+00:00,2026,2,True,True,BTC/USDT:USDT,short_pullback_restart,-9.37813675148992e-05,DOGE/USDT:USDT,short_pullback_restart,0.011269692612306127,0.03174222461816525,-0.03183600598568015,BNB/USDT:USDT,short_pullback_restart,45.0,0.02315463925968389,-0.023248420627198788,LINK/USDT:USDT,ADA/USDT:USDT,0.011696568900596548
2026-03-29 11:00:00+00:00,2026,1,True,True,NEAR/USDT:USDT,short_pullback_restart,0.0008284372114591,ETH/USDT:USDT,short_pullback_restart,-0.00360975076519467,0.003601013594802883,-0.0027725763833437826,XRP/USDT:USDT,short_pullback_restart,77.0,0.0126103983794732,-0.0117819611680141,NEAR/USDT:USDT,ADA/USDT:USDT,0.013618334118675869
2026-03-29 14:00:00+00:00,2026,2,True,True,BNB/USDT:USDT,short_pullback_restart,1.6810031085109482e-05,ETH/USDT:USDT,short_pullback_restart,0.0007951464801052069,-0.0007959186756088937,0.0008127287066940031,XRP/USDT:USDT,short_pullback_restart,80.0,0.007319995474430582,-0.0073031854433454725,LINK/USDT:USDT,ADA/USDT:USDT,0.020813370263497565
2026-06-10 09:00:00+00:00,2026,1,True,True,SOL/USDT:USDT,short_compression_breakdown,-0.0343776795601323,DOGE/USDT:USDT,short_pullback_restart,0.007211549898893842,-0.007199568241784655,-0.027178111318347648,BTC/USDT:USDT,short_pullback_restart,19.0,-0.0141393045429601,-0.020238375017172204,SOL/USDT:USDT,BTC/USDT:USDT,-0.020238375017172204
