sample,second_add_trades,improved_count,worsened_count,total_delta_abs,improved_delta_abs,worsened_delta_abs,avg_profit_at_second_add,avg_hours_after_first_add
3y,11,9,2,23.6223,24.23961,-0.61731,0.01896,7.33
5y,20,14,6,18.04811,31.59633,-13.54822,0.0192,6.39
