column,op,threshold,removed_count,removed_improved,removed_worsened,removed_delta_abs,kept_count,kept_delta_abs,estimated_gain_if_removed
lower_wick_ratio_1h,>=,0.2907,10,8,2,13.66564,21,28.00477,-13.66564
ret_4h_3,<=,-0.06227,6,6,0,13.69705,25,27.97336,-13.69705
ret_4h_3,<,-0.04984,6,6,0,13.69705,25,27.97336,-13.69705
vol_ratio_24_1h,>,4.04055,10,7,3,13.75267,21,27.91774,-13.75267
vol_ratio_24_1h,>=,4.15062,10,7,3,13.75267,21,27.91774,-13.75267
extra_drop_after_first_add,>,0.015,12,8,4,13.75801,19,27.9124,-13.75801
extra_drop_after_first_add,>=,0.01563,12,8,4,13.75801,19,27.9124,-13.75801
vol_ratio_24_1h,>,3.77155,13,9,4,13.8732,18,27.79721,-13.8732
vol_ratio_24_1h,>=,3.79864,13,9,4,13.8732,18,27.79721,-13.8732
dist_ema50_1h,<=,-0.04552,15,10,5,13.91476,16,27.75565,-13.91476
dist_ema50_1h,<,-0.03882,15,10,5,13.91476,16,27.75565,-13.91476
ret_4h_1,<=,-0.03349,15,10,5,13.91476,16,27.75565,-13.91476
ret_4h_1,<,-0.03317,15,10,5,13.91476,16,27.75565,-13.91476
dist_ema20_4h,<=,-0.05326,15,10,5,13.91476,16,27.75565,-13.91476
dist_ema20_4h,<,-0.04721,15,10,5,13.91476,16,27.75565,-13.91476
dist_ema50_4h,<=,-0.07758,15,10,5,13.91476,16,27.75565,-13.91476
dist_ema50_4h,<,-0.0766,15,10,5,13.91476,16,27.75565,-13.91476
ema50_slope_3_1h,<=,-0.00357,17,12,5,13.91848,14,27.75193,-13.91848
ema50_slope_3_1h,<,-0.00298,17,12,5,13.91848,14,27.75193,-13.91848
dist_ema20_4h,<=,-0.04721,17,12,5,13.91848,14,27.75193,-13.91848
dist_ema20_4h,<,-0.04051,17,12,5,13.91848,14,27.75193,-13.91848
dist_ema50_4h,<=,-0.0766,17,12,5,13.91848,14,27.75193,-13.91848
dist_ema50_4h,<,-0.07444,17,12,5,13.91848,14,27.75193,-13.91848
ema20_slope_3_4h,<=,-0.00913,17,12,5,13.91848,14,27.75193,-13.91848
ema20_slope_3_4h,<,-0.0075,17,12,5,13.91848,14,27.75193,-13.91848
dist_ema20_4h,<=,-0.06774,8,5,3,13.92925,23,27.74116,-13.92925
dist_ema20_4h,<,-0.06254,8,5,3,13.92925,23,27.74116,-13.92925
dist_ema50_4h,<=,-0.10904,8,5,3,13.92925,23,27.74116,-13.92925
dist_ema50_4h,<,-0.09596,8,5,3,13.92925,23,27.74116,-13.92925
ema20_slope_3_4h,<=,-0.013,8,5,3,13.92925,23,27.74116,-13.92925
ema20_slope_3_4h,<,-0.01246,8,5,3,13.92925,23,27.74116,-13.92925
ema50_slope_3_4h,<=,-0.01008,8,5,3,13.92925,23,27.74116,-13.92925
ema50_slope_3_4h,<,-0.00844,8,5,3,13.92925,23,27.74116,-13.92925
ema20_slope_3_4h,<=,-0.01246,10,7,3,13.93297,21,27.73744,-13.93297
ema20_slope_3_4h,<,-0.01208,10,7,3,13.93297,21,27.73744,-13.93297
extra_drop_after_first_add,>,0.01278,16,9,7,13.94861,15,27.7218,-13.94861
extra_drop_after_first_add,>=,0.01399,16,9,7,13.94861,15,27.7218,-13.94861
ret_4h_3,<=,-0.04984,7,7,0,14.00683,24,27.66358,-14.00683
ret_4h_3,<,-0.04907,7,7,0,14.00683,24,27.66358,-14.00683
vol_ratio_24_1h,>,4.23891,5,4,1,14.01468,26,27.65573,-14.01468
vol_ratio_24_1h,>=,4.49746,5,4,1,14.01468,26,27.65573,-14.01468
dist_ema20_4h,<=,-0.0692,7,5,2,14.02174,24,27.64867,-14.02174
dist_ema20_4h,<,-0.06774,7,5,2,14.02174,24,27.64867,-14.02174
dist_ema50_4h,<=,-0.11652,7,5,2,14.02174,24,27.64867,-14.02174
dist_ema50_4h,<,-0.10904,7,5,2,14.02174,24,27.64867,-14.02174
lower_wick_ratio_1h,>,0.23529,13,9,4,14.02461,18,27.6458,-14.02461
lower_wick_ratio_1h,>=,0.24603,13,9,4,14.02461,18,27.6458,-14.02461
close_position_1h,<=,0.09387,4,4,0,14.10717,27,27.56324,-14.10717
close_position_1h,<,0.10376,4,4,0,14.10717,27,27.56324,-14.10717
lower_wick_ratio_1h,<=,0.09387,4,4,0,14.10717,27,27.56324,-14.10717
lower_wick_ratio_1h,<,0.10376,4,4,0,14.10717,27,27.56324,-14.10717
dist_ema50_4h,<=,-0.09596,10,7,3,14.13139,21,27.53902,-14.13139
dist_ema50_4h,<,-0.09441,10,7,3,14.13139,21,27.53902,-14.13139
extra_drop_after_first_add,>,0.01399,15,9,6,14.14412,16,27.52629,-14.14412
extra_drop_after_first_add,>=,0.01411,15,9,6,14.14412,16,27.52629,-14.14412
profit_at_second_add,>,0.01962,9,9,0,14.17618,22,27.49423,-14.17618
profit_at_second_add,>=,0.01964,9,9,0,14.17618,22,27.49423,-14.17618
dist_ema20_4h,<=,-0.06254,10,7,3,14.24529,21,27.42512,-14.24529
dist_ema20_4h,<,-0.06155,10,7,3,14.24529,21,27.42512,-14.24529
ema50_slope_3_4h,<=,-0.00844,10,7,3,14.24529,21,27.42512,-14.24529
ema50_slope_3_4h,<,-0.00843,10,7,3,14.24529,21,27.42512,-14.24529
ema20_slope_3_4h,<=,-0.01208,12,9,3,14.24901,19,27.4214,-14.24901
ema20_slope_3_4h,<,-0.01118,12,9,3,14.24901,19,27.4214,-14.24901
upper_wick_ratio_1h,>,0.13865,7,5,2,14.25272,24,27.41769,-14.25272
upper_wick_ratio_1h,>=,0.18254,7,5,2,14.25272,24,27.41769,-14.25272
vol_ratio_24_1h,>,3.61458,14,10,4,14.31005,17,27.36036,-14.31005
vol_ratio_24_1h,>=,3.77155,14,10,4,14.31005,17,27.36036,-14.31005
ema20_slope_3_4h,<=,-0.01453,6,5,1,14.32446,25,27.34595,-14.32446
ema20_slope_3_4h,<,-0.013,6,5,1,14.32446,25,27.34595,-14.32446
ret_1h,<=,-0.01817,15,11,4,14.37381,16,27.2966,-14.37381
ret_1h,<,-0.0181,15,11,4,14.37381,16,27.2966,-14.37381
dist_ema50_4h,<=,-0.06737,19,13,6,14.39708,12,27.27333,-14.39708
dist_ema50_4h,<,-0.06358,19,13,6,14.39708,12,27.27333,-14.39708
ema50_slope_3_4h,<=,-0.00617,19,13,6,14.39708,12,27.27333,-14.39708
ema50_slope_3_4h,<,-0.00548,19,13,6,14.39708,12,27.27333,-14.39708
dist_ema20_4h,<=,-0.07197,5,5,0,14.41695,26,27.25346,-14.41695
dist_ema20_4h,<,-0.0692,5,5,0,14.41695,26,27.25346,-14.41695
ema20_slope_3_4h,<=,-0.01466,5,5,0,14.41695,26,27.25346,-14.41695
ema20_slope_3_4h,<,-0.01453,5,5,0,14.41695,26,27.25346,-14.41695
close_position_1h,<=,0.10376,6,6,0,14.42321,25,27.2472,-14.42321
close_position_1h,<,0.1039,6,6,0,14.42321,25,27.2472,-14.42321
lower_wick_ratio_1h,<=,0.10376,6,6,0,14.42321,25,27.2472,-14.42321
lower_wick_ratio_1h,<,0.1039,6,6,0,14.42321,25,27.2472,-14.42321
dist_ema20_4h,<=,-0.06155,12,9,3,14.44743,19,27.22298,-14.44743
dist_ema20_4h,<,-0.05819,12,9,3,14.44743,19,27.22298,-14.44743
dist_ema50_4h,<=,-0.09441,12,9,3,14.44743,19,27.22298,-14.44743
dist_ema50_4h,<,-0.079,12,9,3,14.44743,19,27.22298,-14.44743
ema50_slope_3_4h,<=,-0.00843,12,9,3,14.44743,19,27.22298,-14.44743
ema50_slope_3_4h,<,-0.00826,12,9,3,14.44743,19,27.22298,-14.44743
ema20_slope_3_4h,<=,-0.01118,14,11,3,14.45115,17,27.21926,-14.45115
ema20_slope_3_4h,<,-0.00978,14,11,3,14.45115,17,27.21926,-14.45115
ema50_slope_3_4h,<=,-0.00826,14,11,3,14.45115,17,27.21926,-14.45115
ema50_slope_3_4h,<,-0.00702,14,11,3,14.45115,17,27.21926,-14.45115
body_ratio_1h,<=,0.59585,12,8,4,14.47381,19,27.1966,-14.47381
body_ratio_1h,<,0.65686,12,8,4,14.47381,19,27.1966,-14.47381
ret_1h,<=,-0.01842,14,11,3,14.56932,17,27.10109,-14.56932
ret_1h,<,-0.01817,14,11,3,14.56932,17,27.10109,-14.56932
ema50_slope_3_1h,<=,-0.00367,13,10,3,14.57196,18,27.09845,-14.57196
ema50_slope_3_1h,<,-0.00364,13,10,3,14.57196,18,27.09845,-14.57196
body_ratio_1h,<=,0.57143,11,8,3,14.66932,20,27.00109,-14.66932
body_ratio_1h,<,0.59585,11,8,3,14.66932,20,27.00109,-14.66932
extra_drop_after_first_add,>,0.01563,10,8,2,14.72753,21,26.94288,-14.72753
extra_drop_after_first_add,>=,0.01587,10,8,2,14.72753,21,26.94288,-14.72753
dist_ema20_4h,<=,-0.05819,13,10,3,14.88428,18,26.78613,-14.88428
dist_ema20_4h,<,-0.05326,13,10,3,14.88428,18,26.78613,-14.88428
dist_ema50_4h,<=,-0.079,13,10,3,14.88428,18,26.78613,-14.88428
dist_ema50_4h,<,-0.07758,13,10,3,14.88428,18,26.78613,-14.88428
ema50_slope_3_1h,<=,-0.00364,15,12,3,14.888,16,26.78241,-14.888
ema50_slope_3_1h,<,-0.00357,15,12,3,14.888,16,26.78241,-14.888
ema20_slope_3_4h,<=,-0.00978,15,12,3,14.888,16,26.78241,-14.888
ema20_slope_3_4h,<,-0.00913,15,12,3,14.888,16,26.78241,-14.888
lower_wick_ratio_1h,>,0.24603,11,9,2,14.99413,20,26.67628,-14.99413
lower_wick_ratio_1h,>=,0.26087,11,9,2,14.99413,20,26.67628,-14.99413
ret_4h_1,<=,-0.03179,17,11,6,15.04774,14,26.62267,-15.04774
ret_4h_1,<,-0.03168,17,11,6,15.04774,14,26.62267,-15.04774
upper_wick_ratio_1h,>,0.18254,5,5,0,15.22224,26,26.44817,-15.22224
upper_wick_ratio_1h,>=,0.22093,5,5,0,15.22224,26,26.44817,-15.22224
ret_4h_3,<=,-0.04852,9,8,1,15.24283,22,26.42758,-15.24283
ret_4h_3,<,-0.04669,9,8,1,15.24283,22,26.42758,-15.24283
ret_4h_1,<=,-0.03317,16,11,5,15.24325,15,26.42716,-15.24325
ret_4h_1,<,-0.03179,16,11,5,15.24325,15,26.42716,-15.24325
ret_4h_3,<=,-0.04907,8,8,0,15.33532,23,26.33509,-15.33532
ret_4h_3,<,-0.04852,8,8,0,15.33532,23,26.33509,-15.33532
body_ratio_1h,<=,0.48837,9,8,1,15.63884,22,26.03157,-15.63884
body_ratio_1h,<,0.57143,9,8,1,15.63884,22,26.03157,-15.63884
ret_4h_3,<=,-0.04669,10,9,1,15.67968,21,25.99073,-15.67968
ret_4h_3,<,-0.04291,10,9,1,15.67968,21,25.99073,-15.67968
ema50_slope_3_4h,<=,-0.0064,17,12,5,15.69617,14,25.97424,-15.69617
ema50_slope_3_4h,<,-0.00618,17,12,5,15.69617,14,25.97424,-15.69617
ret_3h,<=,-0.03779,13,11,2,15.73095,18,25.93946,-15.73095
ret_3h,<,-0.03745,13,11,2,15.73095,18,25.93946,-15.73095
extra_drop_after_first_add,>,0.01411,14,9,5,15.88006,17,25.79035,-15.88006
extra_drop_after_first_add,>=,0.01421,14,9,5,15.88006,17,25.79035,-15.88006
extra_drop_after_first_add,>,0.01421,13,9,4,15.97255,18,25.69786,-15.97255
extra_drop_after_first_add,>=,0.015,13,9,4,15.97255,18,25.69786,-15.97255
dist_ema20_4h,<=,-0.04051,18,13,5,16.13302,13,25.53739,-16.13302
dist_ema20_4h,<,-0.03794,18,13,5,16.13302,13,25.53739,-16.13302
dist_ema50_4h,<=,-0.07444,18,13,5,16.13302,13,25.53739,-16.13302
dist_ema50_4h,<,-0.06737,18,13,5,16.13302,13,25.53739,-16.13302
ema20_slope_3_4h,<=,-0.0075,18,13,5,16.13302,13,25.53739,-16.13302
ema20_slope_3_4h,<,-0.00595,18,13,5,16.13302,13,25.53739,-16.13302
ema50_slope_3_4h,<=,-0.00618,18,13,5,16.13302,13,25.53739,-16.13302
ema50_slope_3_4h,<,-0.00617,18,13,5,16.13302,13,25.53739,-16.13302
ret_1h,<=,-0.02168,13,11,2,16.30526,18,25.36515,-16.30526
ret_1h,<,-0.01842,13,11,2,16.30526,18,25.36515,-16.30526
ret_4h_3,<=,-0.04291,12,11,1,16.60798,19,25.06243,-16.60798
ret_4h_3,<,-0.04202,12,11,1,16.60798,19,25.06243,-16.60798
close_position_1h,<=,0.1039,7,7,0,16.63775,24,25.03266,-16.63775
close_position_1h,<,0.11347,7,7,0,16.63775,24,25.03266,-16.63775
lower_wick_ratio_1h,<=,0.1039,7,7,0,16.63775,24,25.03266,-16.63775
lower_wick_ratio_1h,<,0.11347,7,7,0,16.63775,24,25.03266,-16.63775
ema50_slope_3_4h,<=,-0.00702,15,12,3,16.66569,16,25.00472,-16.66569
ema50_slope_3_4h,<,-0.0064,15,12,3,16.66569,16,25.00472,-16.66569
body_ratio_1h,>,0.87352,2,2,0,16.8782,29,24.79221,-16.8782
upper_wick_ratio_1h,>,0.02851,21,13,8,17.00429,10,24.66612,-17.00429
upper_wick_ratio_1h,>=,0.03261,21,13,8,17.00429,10,24.66612,-17.00429
ret_24h,>,-0.03612,20,15,5,17.13358,11,24.53683,-17.13358
ret_24h,>=,-0.03585,20,15,5,17.13358,11,24.53683,-17.13358
ret_24h,>,-0.02973,12,10,2,17.17204,19,24.49837,-17.17204
ret_24h,>=,-0.02858,12,10,2,17.17204,19,24.49837,-17.17204
ret_24h,>,-0.03585,19,15,4,17.22607,12,24.44434,-17.22607
ret_24h,>=,-0.03484,19,15,4,17.22607,12,24.44434,-17.22607
upper_wick_ratio_1h,>,0.01876,23,15,8,17.32033,8,24.35008,-17.32033
upper_wick_ratio_1h,>=,0.02851,23,15,8,17.32033,8,24.35008,-17.32033
upper_wick_ratio_1h,>,0.00909,25,17,8,17.32405,6,24.34636,-17.32405
upper_wick_ratio_1h,>=,0.01876,25,17,8,17.32405,6,24.34636,-17.32405
ret_24h,>,-0.03368,14,12,2,17.37418,17,24.29623,-17.37418
ret_24h,>=,-0.02973,14,12,2,17.37418,17,24.29623,-17.37418
ema50_slope_3_1h,>,-0.0018,7,5,2,17.46876,24,24.20165,-17.46876
ema50_slope_3_1h,>=,-0.00168,7,5,2,17.46876,24,24.20165,-17.46876
dist_ema50_1h,>,-0.02709,10,7,3,17.68296,21,23.98745,-17.68296
dist_ema50_1h,>=,-0.02569,10,7,3,17.68296,21,23.98745,-17.68296
dist_ema20_4h,>,-0.03358,10,7,3,17.68296,21,23.98745,-17.68296
dist_ema20_4h,>=,-0.03258,10,7,3,17.68296,21,23.98745,-17.68296
ret_4h_3,>,-0.03929,12,9,3,17.68668,19,23.98373,-17.68668
ret_4h_3,>=,-0.0373,12,9,3,17.68668,19,23.98373,-17.68668
ret_24h,>,-0.03463,16,14,2,17.69022,15,23.98019,-17.69022
ret_24h,>=,-0.03368,16,14,2,17.69022,15,23.98019,-17.69022
upper_wick_ratio_1h,<=,0.00499,4,4,0,17.82042,27,23.84999,-17.82042
upper_wick_ratio_1h,<,0.00909,4,4,0,17.82042,27,23.84999,-17.82042
ema50_slope_3_1h,>,-0.00203,8,6,2,17.97413,23,23.69628,-17.97413
ema50_slope_3_1h,>=,-0.0018,8,6,2,17.97413,23,23.69628,-17.97413
ret_24h,>,-0.03484,17,15,2,18.19559,14,23.47482,-18.19559
ret_24h,>=,-0.03463,17,15,2,18.19559,14,23.47482,-18.19559
ema50_slope_3_4h,>,-0.00368,6,5,1,18.38158,25,23.28883,-18.38158
ema50_slope_3_4h,>=,-0.00271,6,5,1,18.38158,25,23.28883,-18.38158
atr_pct_4h,<=,0.02451,11,7,4,18.44938,20,23.22103,-18.44938
atr_pct_4h,<,0.02728,11,7,4,18.44938,20,23.22103,-18.44938
ret_4h_3,>,-0.04202,17,10,7,18.53649,14,23.13392,-18.53649
ret_4h_3,>=,-0.041,17,10,7,18.53649,14,23.13392,-18.53649
atr_pct_4h,<=,0.01539,5,5,0,18.57709,26,23.09332,-18.57709
atr_pct_4h,<,0.01914,5,5,0,18.57709,26,23.09332,-18.57709
ret_4h_3,>,-0.041,15,10,5,18.9317,16,22.73871,-18.9317
ret_4h_3,>=,-0.04013,15,10,5,18.9317,16,22.73871,-18.9317
dist_ema50_1h,>,-0.02775,11,8,3,19.01145,20,22.65896,-19.01145
dist_ema50_1h,>=,-0.02709,11,8,3,19.01145,20,22.65896,-19.01145
ema50_slope_3_1h,>,-0.00285,11,8,3,19.01145,20,22.65896,-19.01145
ema50_slope_3_1h,>=,-0.00218,11,8,3,19.01145,20,22.65896,-19.01145
dist_ema20_4h,>,-0.03794,11,8,3,19.01145,20,22.65896,-19.01145
dist_ema20_4h,>=,-0.03358,11,8,3,19.01145,20,22.65896,-19.01145
ema20_slope_3_4h,>,-0.00595,11,8,3,19.01145,20,22.65896,-19.01145
ema20_slope_3_4h,>=,-0.00568,11,8,3,19.01145,20,22.65896,-19.01145
ema20_slope_3_1h,>,-0.00572,13,10,3,19.01517,18,22.65524,-19.01517
ema20_slope_3_1h,>=,-0.00557,13,10,3,19.01517,18,22.65524,-19.01517
ret_3h,>,-0.03745,16,10,6,19.41352,15,22.25689,-19.41352
ret_3h,>=,-0.0351,16,10,6,19.41352,15,22.25689,-19.41352
dist_ema50_4h,>,-0.06227,9,7,2,19.4189,22,22.25151,-19.4189
dist_ema50_4h,>=,-0.04548,9,7,2,19.4189,22,22.25151,-19.4189
vol_ratio_24_1h,<=,3.47008,12,8,4,19.50221,19,22.1682,-19.50221
vol_ratio_24_1h,<,3.50191,12,8,4,19.50221,19,22.1682,-19.50221
vol_ratio_24_1h,<=,3.50191,14,10,4,19.50593,17,22.16448,-19.50593
vol_ratio_24_1h,<,3.51774,14,10,4,19.50593,17,22.16448,-19.50593
ret_6h,>,-0.02741,11,9,2,19.52564,20,22.14477,-19.52564
ret_6h,>=,-0.02673,11,9,2,19.52564,20,22.14477,-19.52564
profit_at_second_add,<=,0.01942,21,13,8,19.57053,10,22.09988,-19.57053
profit_at_second_add,<,0.01962,21,13,8,19.57053,10,22.09988,-19.57053
hours_after_first_add,>,0.67,9,7,2,19.58764,22,22.08277,-19.58764
hours_after_first_add,>=,0.75,9,7,2,19.58764,22,22.08277,-19.58764
atr_pct_4h,<=,0.02728,12,8,4,19.77787,19,21.89254,-19.77787
atr_pct_4h,<,0.02729,12,8,4,19.77787,19,21.89254,-19.77787
ret_3h,>,-0.0351,14,10,4,19.80873,17,21.86168,-19.80873
ret_3h,>=,-0.03143,14,10,4,19.80873,17,21.86168,-19.80873
dist_ema20_1h,>,-0.03005,14,10,4,19.80873,17,21.86168,-19.80873
dist_ema20_1h,>=,-0.02804,14,10,4,19.80873,17,21.86168,-19.80873
ret_3h,<=,-0.02718,20,13,7,19.83774,11,21.83267,-19.83774
ret_3h,<,-0.02248,20,13,7,19.83774,11,21.83267,-19.83774
ret_12h,<=,-0.029,20,13,7,19.83774,11,21.83267,-19.83774
ret_12h,<,-0.02732,20,13,7,19.83774,11,21.83267,-19.83774
dist_ema20_1h,<=,-0.02434,20,13,7,19.83774,11,21.83267,-19.83774
dist_ema20_1h,<,-0.02338,20,13,7,19.83774,11,21.83267,-19.83774
range_pct_1h,>,0.01687,22,15,7,19.84146,9,21.82895,-19.84146
range_pct_1h,>=,0.01919,22,15,7,19.84146,9,21.82895,-19.84146
ret_12h,>,-0.03507,13,10,3,19.90122,18,21.76919,-19.90122
ret_12h,>=,-0.03055,13,10,3,19.90122,18,21.76919,-19.90122
dist_ema20_1h,>,-0.02804,13,10,3,19.90122,18,21.76919,-19.90122
dist_ema20_1h,>=,-0.02471,13,10,3,19.90122,18,21.76919,-19.90122
ret_4h_3,>,-0.04013,13,10,3,19.90122,18,21.76919,-19.90122
ret_4h_3,>=,-0.03929,13,10,3,19.90122,18,21.76919,-19.90122
ret_1h,<=,-0.01504,19,13,6,19.93023,12,21.74018,-19.93023
ret_1h,<,-0.01171,19,13,6,19.93023,12,21.74018,-19.93023
ret_3h,<=,-0.03068,19,13,6,19.93023,12,21.74018,-19.93023
ret_3h,<,-0.02718,19,13,6,19.93023,12,21.74018,-19.93023
ret_6h,<=,-0.02968,19,13,6,19.93023,12,21.74018,-19.93023
ret_6h,<,-0.02741,19,13,6,19.93023,12,21.74018,-19.93023
profit_at_second_add,<=,0.01938,19,13,6,19.96574,12,21.70467,-19.96574
profit_at_second_add,<,0.01942,19,13,6,19.96574,12,21.70467,-19.96574
ret_6h,>,-0.03229,13,10,3,20.00424,18,21.66617,-20.00424
ret_6h,>=,-0.02968,13,10,3,20.00424,18,21.66617,-20.00424
ret_12h,<=,-0.03055,19,13,6,20.03325,12,21.63716,-20.03325
ret_12h,<,-0.029,19,13,6,20.03325,12,21.63716,-20.03325
vol_ratio_24_1h,>,3.01908,22,15,7,20.03705,9,21.63336,-20.03705
vol_ratio_24_1h,>=,3.10963,22,15,7,20.03705,9,21.63336,-20.03705
profit_at_second_add,<=,0.01895,18,13,5,20.05823,13,21.61218,-20.05823
profit_at_second_add,<,0.01938,18,13,5,20.05823,13,21.61218,-20.05823
atr_pct_1h,<=,0.01004,10,8,2,20.09301,21,21.5774,-20.09301
atr_pct_1h,<,0.01018,10,8,2,20.09301,21,21.5774,-20.09301
dist_ema20_1h,>,-0.02471,12,10,2,20.09673,19,21.57368,-20.09673
dist_ema20_1h,>=,-0.02434,12,10,2,20.09673,19,21.57368,-20.09673
ret_3h,<=,-0.03143,18,13,5,20.12574,13,21.54467,-20.12574
ret_3h,<,-0.03068,18,13,5,20.12574,13,21.54467,-20.12574
vol_ratio_24_1h,>,3.10963,20,15,5,20.43226,11,21.23815,-20.43226
vol_ratio_24_1h,>=,3.47008,20,15,5,20.43226,11,21.23815,-20.43226
dist_ema50_1h,<=,-0.03882,17,12,5,20.4407,14,21.22971,-20.4407
dist_ema50_1h,<,-0.03088,17,12,5,20.4407,14,21.22971,-20.4407
ema20_slope_3_1h,<=,-0.00591,17,12,5,20.4407,14,21.22971,-20.4407
ema20_slope_3_1h,<,-0.00572,17,12,5,20.4407,14,21.22971,-20.4407
dist_ema50_1h,<=,-0.03088,19,14,5,20.44442,12,21.22599,-20.44442
dist_ema50_1h,<,-0.02775,19,14,5,20.44442,12,21.22599,-20.44442
ema50_slope_3_1h,<=,-0.00298,19,14,5,20.44442,12,21.22599,-20.44442
ema50_slope_3_1h,<,-0.00285,19,14,5,20.44442,12,21.22599,-20.44442
dist_ema20_1h,<=,-0.03325,16,12,4,20.53319,15,21.13722,-20.53319
dist_ema20_1h,<,-0.03005,16,12,4,20.53319,15,21.13722,-20.53319
dist_ema50_4h,>,-0.06358,10,8,2,20.74739,21,20.92302,-20.74739
dist_ema50_4h,>=,-0.06227,10,8,2,20.74739,21,20.92302,-20.74739
range_pct_1h,<=,0.01342,6,6,0,20.79163,25,20.87878,-20.79163
range_pct_1h,<,0.01588,6,6,0,20.79163,25,20.87878,-20.79163
vol_ratio_24_1h,<=,3.51774,15,11,4,20.83442,16,20.83599,-20.83442
vol_ratio_24_1h,<,3.61458,15,11,4,20.83442,16,20.83599,-20.83442
vol_ratio_24_1h,>,3.51774,16,12,4,20.83599,15,20.83442,-20.83599
vol_ratio_24_1h,>=,3.61458,16,12,4,20.83599,15,20.83442,-20.83599
range_pct_1h,>,0.01342,25,17,8,20.87878,6,20.79163,-20.87878
range_pct_1h,>=,0.01588,25,17,8,20.87878,6,20.79163,-20.87878
dist_ema50_4h,<=,-0.06358,21,15,6,20.92302,10,20.74739,-20.92302
dist_ema50_4h,<,-0.06227,21,15,6,20.92302,10,20.74739,-20.92302
dist_ema20_1h,>,-0.03325,15,11,4,21.13722,16,20.53319,-21.13722
dist_ema20_1h,>=,-0.03005,15,11,4,21.13722,16,20.53319,-21.13722
dist_ema50_1h,>,-0.03088,12,9,3,21.22599,19,20.44442,-21.22599
dist_ema50_1h,>=,-0.02775,12,9,3,21.22599,19,20.44442,-21.22599
ema50_slope_3_1h,>,-0.00298,12,9,3,21.22599,19,20.44442,-21.22599
ema50_slope_3_1h,>=,-0.00285,12,9,3,21.22599,19,20.44442,-21.22599
dist_ema50_1h,>,-0.03882,14,11,3,21.22971,17,20.4407,-21.22971
dist_ema50_1h,>=,-0.03088,14,11,3,21.22971,17,20.4407,-21.22971
ema20_slope_3_1h,>,-0.00591,14,11,3,21.22971,17,20.4407,-21.22971
ema20_slope_3_1h,>=,-0.00572,14,11,3,21.22971,17,20.4407,-21.22971
vol_ratio_24_1h,<=,3.10963,11,8,3,21.23815,20,20.43226,-21.23815
vol_ratio_24_1h,<,3.47008,11,8,3,21.23815,20,20.43226,-21.23815
ret_3h,>,-0.03143,13,10,3,21.54467,18,20.12574,-21.54467
ret_3h,>=,-0.03068,13,10,3,21.54467,18,20.12574,-21.54467
dist_ema20_1h,<=,-0.02471,19,13,6,21.57368,12,20.09673,-21.57368
dist_ema20_1h,<,-0.02434,19,13,6,21.57368,12,20.09673,-21.57368
atr_pct_1h,>,0.01004,21,15,6,21.5774,10,20.09301,-21.5774
atr_pct_1h,>=,0.01018,21,15,6,21.5774,10,20.09301,-21.5774
profit_at_second_add,>,0.01895,13,10,3,21.61218,18,20.05823,-21.61218
profit_at_second_add,>=,0.01938,13,10,3,21.61218,18,20.05823,-21.61218
vol_ratio_24_1h,<=,3.01908,9,8,1,21.63336,22,20.03705,-21.63336
vol_ratio_24_1h,<,3.10963,9,8,1,21.63336,22,20.03705,-21.63336
ret_12h,>,-0.03055,12,10,2,21.63716,19,20.03325,-21.63716
ret_12h,>=,-0.029,12,10,2,21.63716,19,20.03325,-21.63716
ret_6h,<=,-0.03229,18,13,5,21.66617,13,20.00424,-21.66617
ret_6h,<,-0.02968,18,13,5,21.66617,13,20.00424,-21.66617
profit_at_second_add,>,0.01938,12,10,2,21.70467,19,19.96574,-21.70467
profit_at_second_add,>=,0.01942,12,10,2,21.70467,19,19.96574,-21.70467
ret_1h,>,-0.01504,12,10,2,21.74018,19,19.93023,-21.74018
ret_1h,>=,-0.01171,12,10,2,21.74018,19,19.93023,-21.74018
ret_3h,>,-0.03068,12,10,2,21.74018,19,19.93023,-21.74018
ret_3h,>=,-0.02718,12,10,2,21.74018,19,19.93023,-21.74018
ret_6h,>,-0.02968,12,10,2,21.74018,19,19.93023,-21.74018
ret_6h,>=,-0.02741,12,10,2,21.74018,19,19.93023,-21.74018
ret_12h,<=,-0.03507,18,13,5,21.76919,13,19.90122,-21.76919
ret_12h,<,-0.03055,18,13,5,21.76919,13,19.90122,-21.76919
dist_ema20_1h,<=,-0.02804,18,13,5,21.76919,13,19.90122,-21.76919
dist_ema20_1h,<,-0.02471,18,13,5,21.76919,13,19.90122,-21.76919
ret_4h_3,<=,-0.04013,18,13,5,21.76919,13,19.90122,-21.76919
ret_4h_3,<,-0.03929,18,13,5,21.76919,13,19.90122,-21.76919
range_pct_1h,<=,0.01687,9,8,1,21.82895,22,19.84146,-21.82895
range_pct_1h,<,0.01919,9,8,1,21.82895,22,19.84146,-21.82895
ret_3h,>,-0.02718,11,10,1,21.83267,20,19.83774,-21.83267
ret_3h,>=,-0.02248,11,10,1,21.83267,20,19.83774,-21.83267
ret_12h,>,-0.029,11,10,1,21.83267,20,19.83774,-21.83267
ret_12h,>=,-0.02732,11,10,1,21.83267,20,19.83774,-21.83267
dist_ema20_1h,>,-0.02434,11,10,1,21.83267,20,19.83774,-21.83267
dist_ema20_1h,>=,-0.02338,11,10,1,21.83267,20,19.83774,-21.83267
ret_3h,<=,-0.0351,17,13,4,21.86168,14,19.80873,-21.86168
