feature,direction,quantile,threshold,kept,removed,kept_delta_profit_abs,removed_positive_profit,removed_negative_profit,estimated_improvement,positive_profit_kill_pct,negative_loss_removed_pct
body_ratio,keep_ge,0.7,0.815217391304347,20,46,13.50240536,227.30484691000004,-75.75437474,-151.55047217,81.85027742224533,67.24444357110914
ema20_distance,keep_ge,0.7,0.02080023152619884,20,46,11.471306260000002,255.25286338,-101.67129211,-153.58157126999998,91.91408790657134,90.24996230986842
add_profit,keep_ge,0.6,0.007032205462698698,27,39,10.121250720000006,197.10392164,-42.17229483,-154.93162680999998,70.97521626379691,37.434834749718014
stop_distance_from_add,keep_ge,0.6,0.06894860452174568,27,39,10.121250720000006,197.10392164,-42.17229483,-154.93162680999998,70.97521626379691,37.434834749718014
ret_24h,keep_le,0.4,-0.022373265363919592,27,39,9.253040569999996,232.79110211,-76.99126514999999,-155.79983696,83.82582486979724,68.3423868603826
ret_3h,keep_le,0.3,-0.02167209201580922,20,46,7.297672850000001,245.70017614,-87.94497146,-157.75520467999996,88.47425760224206,78.0655993927985
stop_distance_from_add,keep_ge,0.8,0.07090493931017892,14,52,4.987097260000006,227.64528402000002,-67.57950375,-160.06578027,81.972865533661,59.9879035643458
add_profit,keep_ge,0.7,0.007194370701752297,20,46,2.776949430000002,218.78630477999997,-56.51037668000001,-162.27592809999996,78.78283277224337,50.16223615972759
ret_24h,keep_le,0.2,-0.027950863450240226,14,52,1.7500093399999983,249.92003521,-86.61716702000001,-163.30286818999997,89.99378804894229,76.8869549772714
close_position,keep_ge,0.8,0.22253521126760628,14,52,-0.28435630000000256,240.33031475,-74.99308092,-165.33723383,86.54062244018796,66.56867033034615
atr_pct,keep_ge,0.8,0.011637648430101262,14,52,-0.5977737299999998,257.60717558,-91.95652432,-165.65065126,92.76185296450198,81.62651110057286
ret_6h,keep_le,0.2,-0.02361148376710487,14,52,-1.8725556800000007,267.69290197,-100.76746876000001,-166.92543321,96.39362551246363,89.44767071329832
ret_3h,keep_le,0.2,-0.024070159212525533,14,52,-3.889554989999995,256.98524309,-88.04281057,-168.94243251999995,92.53790108869987,78.15244766438708
ret_24h,keep_le,0.3,-0.025397629661579768,20,46,-4.719434249999999,249.24244325,-79.47013147000001,-169.77231178,89.74979373619874,70.5427876550254
stop_distance_from_add,keep_ge,0.7,0.06949200831614397,20,46,-5.680158769999991,227.24341297999996,-56.51037668000001,-170.73303629999995,81.82815565809466,50.16223615972759
close_position,keep_ge,0.7,0.19553962564715033,20,46,-6.188133859999998,238.13087722,-66.88986582999999,-171.24101138999998,85.74862625334607,59.37573669800836
body_ratio,keep_ge,0.8,0.8575248281130544,14,52,-10.710573560000007,252.88107959999996,-77.11762851,-175.76345109,91.06003150162609,68.45455508644402
