pair,open_date,add_date,add_delay_h,add_rate,add_stake,add_profit,stop_distance_from_add,candidate_profit_abs,baseline_profit_abs,delta_profit_abs,candidate_profit_ratio,baseline_profit_ratio,candidate_exit_reason,baseline_exit_reason,close_position,body_ratio,ret_1h,ret_3h,ret_6h,ret_12h,ret_24h,ema20_distance,ema20_slope3,atr_pct,atr_pct_rank_30d,ema50_slope3_4h,distance_ema50_4h
NEAR/USDT:USDT,2023-08-06 14:00:00+00:00,2023-08-07T15:00:00+00:00,25.0,1.333,72.017991,0.006706408345752696,0.06826706676669166,-6.51136694,0.24869029,-6.76005723,-0.017981992823697477,0.000857083255307107,trailing_stop_loss,trailing_stop_loss,0.2307692307692242,0.4615384615384655,-0.004480955937266606,-0.015509601181683985,-0.008184523809523947,-0.020573108008817065,-0.00965824665676085,0.010097446292501434,-0.0018417602694493773,0.007984138891865826,0.2638888888888889,-0.0014252342750201707,0.00972143419896857
NEAR/USDT:USDT,2023-08-22 18:00:00+00:00,2023-08-22T18:10:00+00:00,0.16666666666666666,1.093,60.14505749999999,0.005459508644222025,0.06770356816102477,-10.647505,-8.240418,-2.4070870000000006,-0.03523519081716591,-0.03373076183868501,trailing_stop_loss,stop_loss,0.03846153846153452,0.8846153846153965,-0.020462633451957424,-0.018716577540107027,-0.017841213202497763,-0.023070097604259154,-0.025663716814159243,0.021751420981653554,-0.0035436236481941608,0.00979628908784215,0.7861111111111111,-0.007175826939179286,0.061535141647476276
SOL/USDT:USDT,2023-08-24 15:00:00+00:00,2023-08-24T15:50:00+00:00,0.8333333333333334,21.099,51.50730078,0.0049988210327752,0.06659083368880048,-0.32086783,10.46437731,-10.785245139999999,-0.0012440105084887156,0.05021675600044371,trailing_stop_loss,partial_exit,0.26744186046511353,0.7112403100775235,-0.016900495439181484,-0.02462330025725845,-0.021972453820995885,-0.018264206778563774,0.02332754964333894,0.013455152223034802,-0.0009575371513314002,0.009399558617719874,0.48194444444444445,-0.0005283341009083564,0.0031975436395802583
NEAR/USDT:USDT,2024-01-21 16:00:00+00:00,2024-01-21T16:30:00+00:00,0.5,2.944,58.90943999999999,0.005069280162217007,0.0665760869565218,30.14653039,24.86934749,5.2771829,0.09992383929420234,0.09997022155871661,roi,roi,0.22641509433962312,0.45283018867924624,-0.007705192629815616,-0.00936454849498325,-0.011018363939899856,-0.02340916584240016,0.02243700379703162,0.0055680884330881215,0.0003975502887831883,0.010393556477283678,0.006944444444444444,-0.0072076914753517185,0.06325022322823248
LINK/USDT:USDT,2024-04-28 23:00:00+00:00,2024-04-28T23:20:00+00:00,0.3333333333333333,13.769,74.94081168,0.005345662067470913,0.06703464303871015,18.85953858,15.67525958,3.1842789999999983,0.0503739247879662,0.05164104260747185,partial_exit,partial_exit,0.2237442922374475,0.6803652968036453,-0.01070587395617717,-0.017298830202056026,-0.015763686714478364,-0.01862078731237604,-0.02125406016099418,0.018056443932747804,-0.0033309181578620173,0.008260587259216523,0.16111111111111112,-0.004134864870318333,0.030641942890981166
ETH/USDT:USDT,2024-05-10 15:00:00+00:00,2024-05-10T15:50:00+00:00,0.8333333333333334,2914.56,49.57229376,0.00550042993434967,0.06728288317962228,-1.14902405,0.11345327,-1.26247732,-0.004508782091177707,0.0005525718365744266,stale_loss_72h,trailing_stop_loss,0.13191489361701994,0.8223404255319161,-0.028162297492416277,-0.033539276257722905,-0.033462881233120356,-0.03131251114059941,-0.017197206919071006,0.027216648593788088,-0.0030369344786178587,0.00740086261452034,0.1388888888888889,-0.000675828701307446,0.004807488243117396
ADA/USDT:USDT,2024-06-02 18:00:00+00:00,2024-06-02T18:05:00+00:00,0.08333333333333333,0.441,92.65630499999999,0.007203962179198516,0.06961451247165534,-11.51426104,-8.63363304,-2.8806279999999997,-0.0247939673514953,-0.02294459589345234,trailing_stop_loss,trailing_stop_loss,0.0,0.9545454545454591,-0.00913140311804006,-0.017446996466430997,-0.018097550209666746,-0.018530774321641186,-0.011992005329780064,0.012827953188067079,-0.00195859247775676,0.006245384195485349,0.175,-0.0009736884389759393,0.009735094935750166
TAO/USDT:USDT,2024-06-10 05:00:00+00:00,2024-06-10T05:25:00+00:00,0.4166666666666667,354.78,61.407628469999985,0.004852598805082657,0.06643553751620737,0.03070673,0.02636387,0.0043428600000000005,9.973976914127425e-05,0.00010541760028104091,trailing_stop_loss,trailing_stop_loss,0.03813038130381334,0.9384993849938499,-0.02126200274348422,-0.012019164197291432,-0.013139695712309774,-0.026709226823811938,-0.011088011088011052,0.016694022537655527,-0.001458434125757524,0.011670837921713867,0.12916666666666668,-0.008627419917789592,0.06639857450497404
ADA/USDT:USDT,2024-07-07 14:00:00+00:00,2024-07-07T14:10:00+00:00,0.16666666666666666,0.3532,46.9990878,0.006469760900140559,0.06851642129105322,11.95361686,9.61804417,2.335572690000001,0.05073890667684235,0.05032197867650059,partial_exit,partial_exit,0.10309278350515487,0.8969072164948452,-0.023848684210526327,-0.02571819425444588,-0.024383561643835483,-0.030492785189218607,-0.004473022085546563,0.023125663844981142,-0.002571949249036587,0.012636899747261971,0.7763888888888889,-0.0037649686698809637,0.032918696279113854
DOGE/USDT:USDT,2024-08-03 16:00:00+00:00,2024-08-03T16:15:00+00:00,0.25,0.10972,52.25283336,0.005979344084073272,0.06790010936930367,13.34932861,11.10585013,2.2434784800000003,0.05112193222935629,0.05254538515962015,partial_exit,partial_exit,0.04687499999999926,0.8656249999999999,-0.024446209513723338,-0.02211606510969566,-0.021163552643230332,-0.018294849023090642,-0.02349823321554767,0.021467488283842612,-0.001838203680565531,0.010403473855617887,0.20694444444444443,-0.01011440758183113,0.09492156058042643
