pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,orders,funding_fees,weekday,entry_year,market_state_date,breadth_up_count,breadth_available_count,breadth_ratio_fixed13,breadth_rule_pass,breadth_state
ETH/USDT:USDT,426.70692,426.70692,0.201,2023-11-10 00:00:00+00:00,2023-11-10 12:10:00+00:00,2122.92,2080.47,0.0005,0.0005,730,-0.02166121045283751,-9.24760989,stop_loss,1995.55,-0.06,2080.47,-0.019999967063349056,2075.5,2139.6,False,long_1d_center_compression,1.0,False,1699574400000,1699618200000,"[{'amount': 0.201, 'safe_price': 2122.92, 'ft_order_side': 'buy', 'order_filled_timestamp': 1699574400000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 426.92027346}, {'amount': 0.201, 'safe_price': 2080.47, 'ft_order_side': 'sell', 'order_filled_timestamp': 1699618200000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 418.38355723499996}]",-0.2927191953458704,4,2023,2023-11-09 20:00:00+00:00,8,11,0.6153846153846154,True,pass
BTC/USDT:USDT,403.9156,403.9156,0.011,2023-11-10 00:00:00+00:00,2023-11-11 22:10:00+00:00,36719.6,36756.4,0.0005,0.0005,2770,-0.0007320074178672571,-0.29581705,trailing_stop_loss,34516.5,-0.06,36756.4,-0.021657716262975857,36350.0,37570.0,False,long_1d_center_compression,1.0,False,1699574400000,1699740600000,"[{'amount': 0.011, 'safe_price': 36719.6, 'ft_order_side': 'buy', 'order_filled_timestamp': 1699574400000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 404.1175578}, {'amount': 0.011, 'safe_price': 36756.4, 'ft_order_side': 'sell', 'order_filled_timestamp': 1699740600000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 404.5225602}]",-0.2964990545920206,5,2023,2023-11-09 20:00:00+00:00,8,11,0.6153846153846154,True,pass
NEAR/USDT:USDT,424.321,424.321,211.0,2023-12-03 00:00:00+00:00,2023-12-03 04:45:00+00:00,2.011,1.971,0.0005,0.0005,285,-0.02097012581894648,-8.90251379,stop_loss,1.891,-0.06,1.971,-0.019999992545121748,1.966,2.014,False,long_1d_center_compression,1.0,False,1701561600000,1701578700000,"[{'amount': 211.0, 'safe_price': 2.011, 'ft_order_side': 'buy', 'order_filled_timestamp': 1701561600000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 424.5331605}, {'amount': 211.0, 'safe_price': 1.971, 'ft_order_side': 'sell', 'order_filled_timestamp': 1701578700000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 416.0889405}]",-0.042412785271,6,2023,2023-12-02 20:00:00+00:00,10,11,0.7692307692307693,True,pass
ETH/USDT:USDT,419.56629,419.56629,0.187,2023-12-05 00:00:00+00:00,2023-12-05 07:40:00+00:00,2243.67,2198.79,0.0005,0.0005,460,-0.021082396201612598,-8.84988549,stop_loss,2109.05,-0.06,2198.79,-0.020004338768903174,2186.0,2253.6,False,long_1d_center_compression,1.0,False,1701734400000,1701762000000,"[{'amount': 0.187, 'safe_price': 2243.67, 'ft_order_side': 'buy', 'order_filled_timestamp': 1701734400000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 419.776073145}, {'amount': 0.187, 'safe_price': 2198.79, 'ft_order_side': 'sell', 'order_filled_timestamp': 1701762000000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 411.37931686499996}]",-0.041955478808254,1,2023,2023-12-04 20:00:00+00:00,9,11,0.6923076923076923,True,pass
BTC/USDT:USDT,383.6844,383.6844,0.009,2023-12-16 16:00:00+00:00,2023-12-16 20:00:00+00:00,42631.6,42367.9,0.0005,0.0005,240,-0.00727877952015651,-2.79415053,structure_exit_long_1d,40073.8,-0.06,42070.7,-0.013157933317069936,42340.0,42756.7,False,long_pullback_restart_1h_body,1.0,False,1702742400000,1702756800000,"[{'amount': 0.009, 'safe_price': 42631.6, 'ft_order_side': 'buy', 'order_filled_timestamp': 1702742400000, 'ft_is_entry': True, 'ft_order_tag': 'long_pullback_restart_1h_body', 'cost': 383.8762422}, {'amount': 0.009, 'safe_price': 42367.9, 'ft_order_side': 'sell', 'order_filled_timestamp': 1702756800000, 'ft_is_entry': False, 'ft_order_tag': 'structure_exit_long_1d', 'cost': 381.50175555}]",-0.038352779999999996,5,2023,2023-12-16 12:00:00+00:00,4,11,0.3076923076923077,False,reject
BNB/USDT:USDT,283.824,283.824,1.08,2023-12-21 09:00:00+00:00,2023-12-24 22:10:00+00:00,262.8,263.07,0.0005,0.0005,5110,0.0035064287575474903,0.99570624,trailing_stop_loss,247.04,-0.06,263.07,-0.021088825214899853,262.72,276.03,False,long_pullback_restart_1h_body,1.0,False,1703149200000,1703455800000,"[{'amount': 1.08, 'safe_price': 262.8, 'ft_order_side': 'buy', 'order_filled_timestamp': 1703149200000, 'ft_is_entry': True, 'ft_order_tag': 'long_pullback_restart_1h_body', 'cost': 283.965912}, {'amount': 1.08, 'safe_price': 263.07, 'ft_order_side': 'sell', 'order_filled_timestamp': 1703455800000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 284.2576578}]",0.9880760421597982,6,2023,2023-12-21 08:00:00+00:00,6,11,0.46153846153846156,False,reject
BTC/USDT:USDT,404.8173,404.8173,0.009,2024-01-03 00:00:00+00:00,2024-01-03 11:50:00+00:00,44979.7,44080.3,0.0005,0.0005,710,-0.02135800185831278,-8.65041169,stop_loss,42281.0,-0.06,44080.3,-0.01999784069257904,44020.3,45582.3,False,long_1d_center_compression,1.0,False,1704240000000,1704282600000,"[{'amount': 0.009, 'safe_price': 44979.7, 'ft_order_side': 'buy', 'order_filled_timestamp': 1704240000000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 405.0197086499999}, {'amount': 0.009, 'safe_price': 44080.3, 'ft_order_side': 'sell', 'order_filled_timestamp': 1704282600000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 396.92106134999995}]",-0.15504169115077812,2,2024,2024-01-02 20:00:00+00:00,8,11,0.6153846153846154,True,pass
BNB/USDT:USDT,444.8912,444.8912,1.46,2024-02-07 17:00:00+00:00,2024-02-14 09:45:00+00:00,304.72,331.79,0.0005,0.0005,9645,0.10000015571304247,44.51143387,roi,286.44,-0.06,305.03,-0.03166755555555556,304.71,331.85,False,long_pullback_restart_1h_body,1.0,False,1707325200000,1707903900000,"[{'amount': 1.46, 'safe_price': 304.72, 'ft_order_side': 'buy', 'order_filled_timestamp': 1707325200000, 'ft_is_entry': True, 'ft_order_tag': 'long_pullback_restart_1h_body', 'cost': 445.1136456}, {'amount': 1.46, 'safe_price': 331.79, 'ft_order_side': 'sell', 'order_filled_timestamp': 1707903900000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 484.6556067}]",5.453886171768655,2,2024,2024-02-07 16:00:00+00:00,4,11,0.3076923076923077,False,reject
BTC/USDT:USDT,443.263,443.263,0.01,2024-02-08 00:00:00+00:00,2024-02-12 15:00:00+00:00,44326.3,48864.2,0.0005,0.0005,6660,0.09999958456283056,44.34827891,roi,41666.8,-0.06,44370.7,-0.023619701170671692,44306.8,48899.0,False,long_1d_center_compression,1.0,False,1707350400000,1707750000000,"[{'amount': 0.01, 'safe_price': 44326.3, 'ft_order_side': 'buy', 'order_filled_timestamp': 1707350400000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 443.48463150000003}, {'amount': 0.01, 'safe_price': 48864.2, 'ft_order_side': 'sell', 'order_filled_timestamp': 1707750000000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 488.88632099999995}]",-0.5647685870303031,0,2024,2024-02-07 20:00:00+00:00,4,11,0.3076923076923077,False,reject
SOL/USDT:USDT,388.36476,388.36476,3.78,2024-02-09 00:00:00+00:00,2024-02-13 00:05:00+00:00,102.742,113.259,0.0005,0.0005,5765,0.1000007231386782,38.85617522,roi,96.578,-0.06,102.845,-0.02293635698610097,102.728,113.333,False,long_1d_center_compression,1.0,False,1707436800000,1707782700000,"[{'amount': 3.78, 'safe_price': 102.742, 'ft_order_side': 'buy', 'order_filled_timestamp': 1707436800000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 388.55894237999996}, {'amount': 3.78, 'safe_price': 113.259, 'ft_order_side': 'sell', 'order_filled_timestamp': 1707782700000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 428.33307950999995}]",-0.48984289469262,1,2024,2024-02-08 20:00:00+00:00,6,11,0.46153846153846156,False,reject
