symbol,entry_tag,side,signals,first_signal,last_signal,avg_risk_pct,median_risk_pct,avg_forward_ret_6h,avg_forward_ret_24h,median_forward_ret_24h,avg_forward_ret_72h,avg_mfe_24h,avg_mae_24h
BTC,long_pullback_restart,long,99,2022-11-04 05:00:00+00:00,2026-05-06 08:00:00+00:00,0.021990617391826357,0.020675633380460655,0.0003452644750772587,0.004510410365967491,-0.001124904026429785,0.010693542872988708,0.022807576683587332,-0.017716177440236777
ETH,long_pullback_restart,long,82,2022-12-14 12:00:00+00:00,2026-05-06 09:00:00+00:00,0.027441243364841796,0.02658134664337433,0.00023178720364929888,0.0012390992340994271,-0.0023551350079493716,0.0001317868496905045,0.027950253732825385,-0.026190925197974186
BNB,long_pullback_restart,long,74,2023-01-10 20:00:00+00:00,2026-01-17 15:00:00+00:00,0.02353424722549657,0.02216214996533329,0.0006386480308748866,0.001787374452138278,0.0015994629572517738,0.01007924940975018,0.02375148278471662,-0.020825319032166906
LINK,short_pullback_restart,short,72,2022-12-29 19:00:00+00:00,2026-03-29 13:00:00+00:00,0.030453465200157834,0.030549669294196516,-0.0038040803907209986,-0.007944038704161164,-0.005949336274627515,-0.0029197599099577897,0.03140866848481501,-0.03254241378234832
ADA,short_pullback_restart,short,66,2022-11-17 09:00:00+00:00,2026-04-12 23:00:00+00:00,0.02918374563624168,0.03029269021868739,0.004778359141978362,0.01168431523966977,0.001803121509812211,0.00830720045370861,0.04645678158831571,-0.021548894178759055
NEAR,short_pullback_restart,short,64,2022-11-18 17:00:00+00:00,2026-04-02 01:00:00+00:00,0.03310792639697709,0.03350719477634356,0.0021509947722757067,0.00767296248460027,0.007991241474073596,0.006832610688918099,0.04392923995550635,-0.027120688870507757
SOL,long_pullback_restart,long,63,2023-01-29 16:00:00+00:00,2026-04-27 01:00:00+00:00,0.0345545948722638,0.034832678840424,-0.00034546816373576174,-0.004864110703320985,-0.010147153945666232,0.009917256106951116,0.031828089081234634,-0.03679185834298522
XRP,short_pullback_restart,short,63,2022-12-16 22:00:00+00:00,2026-04-05 05:00:00+00:00,0.025863166725921916,0.02420016499114803,0.005642390892228237,0.006267368221532133,-0.0005681818181817455,0.008140709948721046,0.03831551307241829,-0.01880317520674691
DOGE,short_pullback_restart,short,61,2022-11-18 17:00:00+00:00,2026-03-27 10:00:00+00:00,0.03027526047397886,0.030823004393701232,0.0057203500175871435,0.01101443734359488,0.0004356823875395488,0.015734196669377778,0.0466969382286507,-0.021027162833957034
SOL,short_pullback_restart,short,50,2022-11-18 14:00:00+00:00,2026-03-07 19:00:00+00:00,0.035418976161744574,0.03771144425386122,0.00014052860573307013,0.009491109692577458,0.0014598937371163023,0.026679580685297726,0.04241087266992915,-0.028769216350373553
TRX,long_pullback_restart,long,49,2023-02-02 15:00:00+00:00,2026-05-06 16:00:00+00:00,0.017847667329634456,0.017042052840756678,-0.002115785316427788,-0.0007831009274558662,0.0012655881267077396,-0.00046593566375325673,0.023113988939194672,-0.02364348622462251
XRP,long_pullback_restart,long,47,2023-01-16 02:00:00+00:00,2026-05-05 12:00:00+00:00,0.030828804067262756,0.030235193538663777,0.0022760156814769883,-0.0007198272438669647,0.001643317858756932,0.005988421820217869,0.036790877825324864,-0.03535506688286066
BTC,short_pullback_restart,short,45,2022-11-25 04:00:00+00:00,2026-03-27 08:00:00+00:00,0.023459066813231958,0.022340294022944896,0.00257296305224026,0.0013305423030461252,-0.0038098634452219393,-0.0009383623441408319,0.025825815016049778,-0.01810445611904458
BNB,short_pullback_restart,short,44,2022-12-14 13:00:00+00:00,2026-04-02 01:00:00+00:00,0.027511513970744805,0.027407085830193363,0.004226174098252206,0.017243930514586163,0.013974297162092641,0.01724988776513271,0.04615938315170376,-0.015036389273088936
ETH,short_pullback_restart,short,44,2022-12-16 22:00:00+00:00,2026-03-29 13:00:00+00:00,0.03058685231476123,0.03213527766282119,0.007325607656636598,0.01730857827653725,0.008177592175886872,0.017776866669750747,0.06164953329546301,-0.020652452558297448
LINK,long_pullback_restart,long,39,2022-12-04 23:00:00+00:00,2026-05-06 08:00:00+00:00,0.033369587879366204,0.03254024995065329,0.0024882770837389902,-0.005274448698868582,-0.010141078032732675,-0.016256760867638654,0.026939543152753754,-0.03111880219128757
ADA,long_pullback_restart,long,38,2023-01-16 01:00:00+00:00,2026-01-17 15:00:00+00:00,0.033895443888010524,0.033527560192940745,0.009275893904328446,0.00464396897184143,-0.003834118203889292,0.0002303049845680644,0.04017855896062896,-0.027512334925089456
ZEC,long_pullback_restart,long,36,2022-12-11 14:00:00+00:00,2026-05-02 20:00:00+00:00,0.035192933511527975,0.03665157894883411,-0.0012133476580341368,0.013892944927249823,0.008114191380964142,0.04216079218539092,0.040138678689077445,-0.03415861617668665
ZEC,short_pullback_restart,short,33,2022-12-22 12:00:00+00:00,2026-03-28 01:00:00+00:00,0.033894299052372824,0.03383706641501929,0.018318439382046615,0.023886814340585257,0.0065851364063969076,0.03817461389033022,0.07243929967315348,-0.01929242204280027
NEAR,long_pullback_restart,long,31,2023-01-29 07:00:00+00:00,2026-04-24 15:00:00+00:00,0.03571265664014114,0.03618533588768948,0.0014713196669618224,-0.004095374474078211,-0.006785411365564098,0.00677161295211038,0.02775413307310713,-0.03076286106654495
TRX,short_pullback_restart,short,31,2022-11-17 09:00:00+00:00,2026-02-18 12:00:00+00:00,0.0192685178308534,0.01469994979897987,-0.0009166125638289185,-0.003657296239896137,-0.0023570610815544235,-0.011099779197666868,0.015139173102055785,-0.015364632530534944
TAO,short_pullback_restart,short,30,2024-06-10 04:00:00+00:00,2026-02-22 12:00:00+00:00,0.03659085834202816,0.036930272547329286,-0.0018381772542997961,0.017323552980712083,0.008152113279638495,0.026184987396611913,0.045035533293449434,-0.03107412513730721
DOGE,long_pullback_restart,long,28,2023-01-15 15:00:00+00:00,2026-05-05 17:00:00+00:00,0.033277034598369434,0.03414856125469991,0.003928723927393352,0.0008150655308506013,-0.004251518902299023,0.018259447921064216,0.037057721128367575,-0.029135006994438717
SUI,short_pullback_restart,short,28,2024-06-29 22:00:00+00:00,2026-03-21 23:00:00+00:00,0.033792813423700906,0.032005325748611375,0.001985298928945572,-0.0031385315329193674,0.0012921606996699753,0.004275756944487488,0.043040748500183044,-0.027700596207610447
SOL,long_compression_breakout,long,26,2023-01-29 16:00:00+00:00,2026-01-13 22:00:00+00:00,0.03573345135324534,0.034902102564775175,-0.003254815799895249,-0.01266644261604705,-0.015433436564921854,-0.008913739984655073,0.023971318353143298,-0.03906334647407943
XRP,short_compression_breakdown,short,22,2022-12-16 22:00:00+00:00,2026-03-24 16:00:00+00:00,0.030944500493781744,0.03125082437930466,-0.001745347234102685,-0.00025362894499942284,-0.0013537136239877845,0.019069800483355458,0.0287656389522836,-0.02242252654793474
BTC,long_compression_breakout,long,21,2023-01-13 15:00:00+00:00,2026-04-14 13:00:00+00:00,0.026888925459049137,0.02334329747021843,0.007738668006958264,0.013125494248930857,0.007272862770869359,0.01567988812398686,0.036473852706982404,-0.018073923224125186
LINK,long_compression_breakout,long,18,2022-12-04 23:00:00+00:00,2026-05-06 08:00:00+00:00,0.03419422049242203,0.03399955989755328,0.005523244041439057,-0.00229532378958572,-0.022718107272482913,-0.004575491403085199,0.032844524042967255,-0.03713388523814845
ADA,short_compression_breakdown,short,17,2022-11-17 09:00:00+00:00,2026-04-12 23:00:00+00:00,0.03366282712430485,0.03357259480534663,0.005728921872084272,0.014770675210848327,0.004127215343530111,0.010083792907349823,0.0428398013898123,-0.022015312227961676
DOGE,long_compression_breakout,long,16,2023-02-04 00:00:00+00:00,2025-09-10 16:00:00+00:00,0.03262827231196555,0.033404458873414644,-0.0014163875943759494,-0.0049556762083680025,-0.004208942604197685,-0.00678022001439698,0.025645418600950196,-0.02970728508847073
ETH,long_compression_breakout,long,16,2022-12-14 12:00:00+00:00,2026-04-10 14:00:00+00:00,0.028230701316230417,0.028755449573299174,0.00197886697647965,0.009770451354566362,0.0035401912577893713,0.0030990465729697006,0.03636712563613338,-0.026161768749594257
SOL,short_compression_breakdown,short,16,2022-12-08 00:00:00+00:00,2026-03-07 19:00:00+00:00,0.03774544747080405,0.03911285013887024,0.004959455044218956,0.021437968080538557,0.010864953021062829,0.030884605492199547,0.04774955138127655,-0.02336127117672615
LINK,short_compression_breakdown,short,15,2022-12-31 01:00:00+00:00,2026-03-22 19:00:00+00:00,0.034885209501999186,0.03354423076290614,-0.010207347139474488,-0.024015898108236945,-0.019950419076850467,-0.02071957598682109,0.015032802032502464,-0.04229215161013211
NEAR,short_compression_breakdown,short,14,2023-05-01 14:00:00+00:00,2026-02-24 13:00:00+00:00,0.03191442785209978,0.03339738404635681,-0.004717515139194883,-0.012533271070349057,-0.016469679587811425,-0.023164985931126782,0.02723554487121552,-0.03784764665202617
