year,long,short,combined_profit_abs
2021,-6.69388775,-25.521359335999996,-32.215247086
2022,0.0,143.77506091200001,143.77506091200001
2023,-0.9284239120000001,88.703379192,87.77495528
2024,49.790084400000005,206.21670948800002,256.006793888
2025,29.91832511,410.992152912,440.910478022
2026,7.458671668,473.91461795200007,481.3732896200001
