run,max_open,trades,longs,shorts,profit_pct,profit_abs,profit_factor,maxdd_account_pct,long_profit_abs,short_profit_abs
max3_current,3,481,59,422,277.36798527300004,2773.67985273,2.428967175066414,4.777790591598423,707.23988151,2066.43997122
max4_unrestricted,4,514,59,455,273.47227305800004,2734.72273058,2.3440338452674183,5.288099360651679,707.40448175,2027.3182488300004
max4_3short_1long,4,470,42,428,206.54222343899997,2065.4222343899996,2.1717731981530672,4.784706221189442,289.22062979,1776.2016045999999
