close_date,profit_abs,engine,year
2021-08-04 13:30:00+00:00,0.090474424,short,2021
2021-08-08 02:15:00+00:00,-1.4497018600000002,long,2021
2021-08-24 04:10:00+00:00,-0.022145306000000003,long,2021
2021-09-06 11:40:00+00:00,-1.577753446,long,2021
2021-09-07 06:50:00+00:00,-1.459096572,long,2021
2021-09-12 22:20:00+00:00,-6.0999928,short,2021
2021-09-26 09:45:00+00:00,-5.435751248,short,2021
2021-09-28 14:20:00+00:00,10.369204096,short,2021
2021-09-28 18:45:00+00:00,0.014502888,short,2021
2021-09-29 00:35:00+00:00,-0.00929748,short,2021
2021-09-29 10:45:00+00:00,0.09142325600000001,short,2021
2021-11-10 00:00:00+00:00,-0.597361782,long,2021
2021-11-10 13:30:00+00:00,-1.587828784,long,2021
2021-11-15 10:05:00+00:00,-2.387701232,short,2021
2021-11-20 22:55:00+00:00,-8.375322152,short,2021
2021-11-22 13:35:00+00:00,0.064980832,short,2021
2021-11-28 19:35:00+00:00,0.170646416,short,2021
2021-12-08 14:45:00+00:00,-5.289133696,short,2021
2021-12-10 00:30:00+00:00,0.0230986,short,2021
2021-12-10 13:35:00+00:00,0.041067064,short,2021
2021-12-15 00:20:00+00:00,0.7289900560000001,short,2021
2021-12-17 15:30:00+00:00,0.011358880000000002,short,2021
2021-12-17 16:25:00+00:00,0.074134432,short,2021
2021-12-18 19:45:00+00:00,-5.32121904,short,2021
2021-12-19 03:20:00+00:00,-4.48017296,short,2021
2021-12-20 19:20:00+00:00,0.029988984000000003,short,2021
2021-12-21 03:30:00+00:00,-4.3226284800000006,short,2021
2021-12-29 14:30:00+00:00,0.026339040000000005,short,2021
2021-12-30 08:00:00+00:00,0.03064688,short,2021
2021-12-31 08:30:00+00:00,-5.524331296,short,2021
2021-12-31 20:50:00+00:00,9.957335200000001,short,2021
2022-01-02 15:35:00+00:00,-6.0031705440000005,short,2022
2022-01-05 19:50:00+00:00,14.264111408,short,2022
2022-01-05 20:10:00+00:00,7.7961692000000005,short,2022
2022-01-05 21:35:00+00:00,13.273572,short,2022
2022-01-07 04:50:00+00:00,6.696000000000001e-05,short,2022
2022-01-08 22:10:00+00:00,0.003937048,short,2022
2022-01-08 22:25:00+00:00,-5.880116456,short,2022
2022-01-10 14:25:00+00:00,10.932497832000001,short,2022
2022-01-10 14:40:00+00:00,0.00011548000000000001,short,2022
2022-01-10 16:15:00+00:00,-0.047951368,short,2022
2022-01-19 11:15:00+00:00,-0.30757268000000004,short,2022
2022-02-14 03:55:00+00:00,0.13497283200000001,short,2022
2022-02-14 13:00:00+00:00,0.5550876800000001,short,2022
2022-02-21 01:15:00+00:00,0.024198808000000002,short,2022
2022-02-21 01:40:00+00:00,-0.036099048,short,2022
2022-03-07 02:10:00+00:00,8.202741504,short,2022
2022-03-07 12:00:00+00:00,-0.051152840000000005,short,2022
2022-03-07 13:35:00+00:00,0.023131040000000002,short,2022
2022-03-11 12:30:00+00:00,-0.009656544000000001,short,2022
2022-03-13 15:05:00+00:00,0.03857428,short,2022
2022-03-14 23:30:00+00:00,-8.111533040000001,short,2022
2022-03-15 17:50:00+00:00,-7.923201712,short,2022
2022-04-13 14:15:00+00:00,-4.920065064,short,2022
2022-04-17 13:40:00+00:00,-6.1131310480000005,short,2022
2022-04-18 04:30:00+00:00,9.718138504,short,2022
2022-04-18 18:15:00+00:00,0.089470504,short,2022
2022-04-23 08:40:00+00:00,0.09295408,short,2022
2022-04-25 07:05:00+00:00,16.084164456,short,2022
2022-04-25 18:35:00+00:00,-0.120862896,short,2022
2022-04-25 18:45:00+00:00,-0.167287176,short,2022
2022-04-29 12:40:00+00:00,0.01462692,short,2022
2022-04-30 23:05:00+00:00,22.720429984000003,short,2022
2022-04-30 23:10:00+00:00,13.9383972,short,2022
2022-05-01 15:50:00+00:00,0.006622656000000001,short,2022
2022-05-04 10:25:00+00:00,-5.673052184,short,2022
2022-05-04 18:05:00+00:00,-8.895021048,short,2022
2022-05-04 18:45:00+00:00,-6.39952992,short,2022
2022-05-09 02:30:00+00:00,22.449576384,short,2022
2022-05-09 10:55:00+00:00,8.738985256,short,2022
2022-05-23 06:40:00+00:00,0.06578046400000001,short,2022
2022-05-24 15:45:00+00:00,-5.149447680000001,short,2022
2022-05-25 02:20:00+00:00,-6.403030168,short,2022
2022-05-25 02:50:00+00:00,-6.391206552,short,2022
2022-05-26 13:15:00+00:00,19.543353096000004,short,2022
2022-05-26 23:10:00+00:00,-0.025579176,short,2022
2022-07-12 12:35:00+00:00,-0.050009543999999996,short,2022
2022-07-26 23:55:00+00:00,-6.189216568,short,2022
2022-08-05 01:45:00+00:00,-6.574082008000001,short,2022
2022-08-21 07:55:00+00:00,-6.623272488000001,short,2022
2022-08-23 14:05:00+00:00,-6.535836864000001,short,2022
2022-08-26 12:30:00+00:00,0.020314632,short,2022
2022-08-26 12:30:00+00:00,-4.177411888000001,short,2022
2022-08-29 14:05:00+00:00,-6.15473776,short,2022
2022-08-30 19:05:00+00:00,0.01775892,short,2022
2022-09-01 00:45:00+00:00,15.139639768000002,short,2022
2022-09-01 20:05:00+00:00,0.058170992000000005,short,2022
2022-09-02 03:00:00+00:00,-5.84172856,short,2022
2022-09-02 15:05:00+00:00,-4.342122248,short,2022
2022-09-16 23:20:00+00:00,-6.154965000000001,short,2022
2022-09-17 00:25:00+00:00,0.014105528,short,2022
2022-09-19 02:30:00+00:00,14.60725148,short,2022
2022-09-19 03:40:00+00:00,15.552994424,short,2022
2022-09-20 15:00:00+00:00,0.0018096000000000002,short,2022
2022-09-21 18:40:00+00:00,-6.524780800000001,short,2022
2022-09-21 18:45:00+00:00,0.096247968,short,2022
2022-09-26 08:50:00+00:00,-6.433326672,short,2022
2022-09-26 09:00:00+00:00,-6.114680280000001,short,2022
2022-09-28 02:25:00+00:00,13.544761664000001,short,2022
2022-10-09 15:50:00+00:00,0.153476776,short,2022
2022-10-11 00:05:00+00:00,17.251036088000003,short,2022
2022-10-11 23:25:00+00:00,12.86421112,short,2022
2022-10-13 10:30:00+00:00,23.33793912,short,2022
2022-10-13 17:30:00+00:00,0.26669971200000003,short,2022
2022-10-13 18:20:00+00:00,-0.041066472,short,2022
