year,entry_tag,side,signals,avg_risk_pct,avg_forward_ret_24h,median_forward_ret_24h,avg_forward_ret_72h,tp1_before_stop_24h_rate,tp2_before_stop_24h_rate,stop_before_tp1_24h_rate,avg_max_r_24h,avg_min_r_24h,tp1_before_stop_72h_rate,tp2_before_stop_72h_rate,stop_before_tp1_72h_rate,avg_max_r_72h,avg_min_r_72h
2022,short_pullback_restart,short,28,0.028057046744035755,0.014255591007279344,0.0039041683025267115,0.03479973243910987,0.35714285714285715,0.21428571428571427,0.25,1.2698387619630247,-0.5453233590246428,0.6071428571428571,0.42857142857142855,0.32142857142857145,2.3420099373488883,-1.17948834417965
2022,short_compression_breakdown,short,11,0.033680010436034,-0.003867016917266895,-0.006242091944327344,0.008626383984598605,0.2727272727272727,0.0,0.2727272727272727,0.708760987765404,-0.6243876473796327,0.45454545454545453,0.09090909090909091,0.2727272727272727,1.1004533969399082,-0.9617312623284426
2022,long_pullback_restart,long,6,0.01763936518045948,-0.018733698043183738,-0.02878049957123735,-0.05214882235376459,0.3333333333333333,0.16666666666666666,0.6666666666666666,1.0223437123332477,-2.4423579245183897,0.3333333333333333,0.16666666666666666,0.6666666666666666,1.448144958357961,-4.588585633876905
2022,long_compression_breakout,long,2,0.02038192139276994,-0.02878049957123735,-0.02878049957123735,-0.09553026419748417,0.5,0.0,0.5,0.9691330985746793,-2.142037968976558,0.5,0.0,0.5,0.9691330985746793,-6.601471426682004
2023,long_pullback_restart,long,209,0.028552433090947845,0.003171555369567032,-0.002777777777777768,0.009825776025115763,0.39712918660287083,0.18660287081339713,0.3157894736842105,1.1835658647544283,-0.9945351808519037,0.507177033492823,0.32057416267942584,0.4354066985645933,2.0154859255961286,-1.5991948692100844
2023,short_pullback_restart,short,127,0.025375191517712847,0.008414956120496414,-0.002204441541476143,0.010446351120806507,0.41732283464566927,0.1968503937007874,0.23622047244094488,1.7542507600684387,-0.7887216113888665,0.5669291338582677,0.30708661417322836,0.3543307086614173,2.3647745216434015,-1.3535312096171572
2023,long_compression_breakout,long,50,0.03197882809997375,0.0052100746551641385,-0.006485468962501517,0.0035036602501767257,0.5,0.2,0.36,1.192336532981412,-1.0762152943117678,0.56,0.3,0.4,1.6404775907698963,-1.5834677900275635
2023,short_compression_breakdown,short,18,0.030512679849409072,-0.005263614412771684,-0.004943529056568419,-0.018627896139884297,0.2777777777777778,0.05555555555555555,0.16666666666666666,1.3051604448505085,-0.6457928468641588,0.3333333333333333,0.1111111111111111,0.5555555555555556,1.3932246885128745,-1.5657381950258253
2024,long_pullback_restart,long,182,0.02945436551504916,0.0007168178771117028,-0.0012115146046475234,0.0026023290818317783,0.3021978021978022,0.1043956043956044,0.4010989010989011,1.007121377918397,-1.0390124023656562,0.4010989010989011,0.22527472527472528,0.554945054945055,1.8721030676590382,-1.9562800055101863
2024,short_pullback_restart,short,134,0.03079769188104531,0.008511291523196898,0.0013512277531554373,0.016449279339280542,0.43283582089552236,0.16417910447761194,0.26865671641791045,1.1888721545554455,-0.7636921314273564,0.5597014925373134,0.40298507462686567,0.40298507462686567,2.3188718297504747,-1.2530645083450322
