run_id,category,strategy,sample,timerange,trades,total_profit_abs,total_profit_pct,profit_factor,winrate,max_drawdown_abs,max_drawdown_pct,avg_profit_pct,best_trade_pct,worst_trade_pct,final_balance,zip_path,case,pairs,pair_count,risk_per_trade,max_position_value_pct,max_open_trades,cost_case,fee
risk_full_0.01_0.35_2,risk_matrix,DualTrendRobustRisk0p01Cap0p35Strategy,full,20221001-20260507,268,1030.58311,103.0583,1.5738,31.7164,199.285337,9.5214,1.0013,10.0245,-4.919,2030.58311,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_full_0.01_0.35_2,,,,0.01,0.35,2,,
risk_full_0.01_0.35_3,risk_matrix,DualTrendRobustRisk0p01Cap0p35Strategy,full,20221001-20260507,339,1469.285624,146.9286,1.5474,31.5634,270.466469,9.9048,1.0548,10.0245,-4.9952,2469.285624,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_full_0.01_0.35_3,,,,0.01,0.35,3,,
risk_full_0.01_0.35_5,risk_matrix,DualTrendRobustRisk0p01Cap0p35Strategy,full,20221001-20260507,379,1616.782966,161.6783,1.5505,31.6623,297.443384,12.4226,1.0607,10.0245,-4.9952,2616.782966,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_full_0.01_0.35_5,,,,0.01,0.35,5,,
risk_full_0.01_0.45_2,risk_matrix,DualTrendRobustRisk0p01Cap0p45Strategy,full,20221001-20260507,268,1036.763521,103.6764,1.5301,31.7164,218.595241,10.3618,1.0013,10.0245,-4.919,2036.763521,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_full_0.01_0.45_2,,,,0.01,0.45,2,,
risk_full_0.01_0.45_3,risk_matrix,DualTrendRobustRisk0p01Cap0p45Strategy,full,20221001-20260507,339,1460.883261,146.0883,1.5288,31.5634,271.946822,11.6521,1.0548,10.0245,-4.9952,2460.883261,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_full_0.01_0.45_3,,,,0.01,0.45,3,,
risk_full_0.01_0.45_5,risk_matrix,DualTrendRobustRisk0p01Cap0p45Strategy,full,20221001-20260507,369,1492.040877,149.2041,1.5103,31.7073,297.726936,12.6593,1.0523,10.0245,-4.9952,2492.040877,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_full_0.01_0.45_5,,,,0.01,0.45,5,,
risk_recent_0.005_0.25_2,risk_matrix,DualTrendRobustRisk0p005Cap0p25Strategy,recent,20250101-20260507,127,215.391893,21.5392,1.6331,35.4331,67.493712,5.4636,1.1622,10.0245,-4.919,1215.391893,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_recent_0.005_0.25_2,,,,0.005,0.25,2,,
risk_recent_0.005_0.25_3,risk_matrix,DualTrendRobustRisk0p005Cap0p25Strategy,recent,20250101-20260507,171,261.530465,26.153,1.5233,33.9181,77.191119,6.3078,1.0761,10.0245,-4.9952,1261.530465,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_recent_0.005_0.25_3,,,,0.005,0.25,3,,
risk_recent_0.005_0.25_5,risk_matrix,DualTrendRobustRisk0p005Cap0p25Strategy,recent,20250101-20260507,220,283.000726,28.3001,1.4138,32.7273,132.76005,9.3931,0.9383,10.0245,-4.9952,1283.000726,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_recent_0.005_0.25_5,,,,0.005,0.25,5,,
risk_recent_0.005_0.35_2,risk_matrix,DualTrendRobustRisk0p005Cap0p35Strategy,recent,20250101-20260507,127,199.584811,19.9585,1.5638,35.4331,70.37535,5.7451,1.1622,10.0245,-4.919,1199.584811,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_recent_0.005_0.35_2,,,,0.005,0.35,2,,
risk_recent_0.005_0.35_3,risk_matrix,DualTrendRobustRisk0p005Cap0p35Strategy,recent,20250101-20260507,171,257.218474,25.7218,1.4908,33.9181,84.756714,6.9013,1.0761,10.0245,-4.9952,1257.218474,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_recent_0.005_0.35_3,,,,0.005,0.35,3,,
risk_recent_0.005_0.35_5,risk_matrix,DualTrendRobustRisk0p005Cap0p35Strategy,recent,20250101-20260507,220,286.217746,28.6218,1.4085,32.7273,130.769099,9.2443,0.9318,10.0245,-4.9952,1286.217746,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_recent_0.005_0.35_5,,,,0.005,0.35,5,,
risk_recent_0.005_0.45_2,risk_matrix,DualTrendRobustRisk0p005Cap0p45Strategy,recent,20250101-20260507,127,195.885359,19.5885,1.5469,35.4331,72.045486,5.8913,1.1622,10.0245,-4.919,1195.885359,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_recent_0.005_0.45_2,,,,0.005,0.45,2,,
risk_recent_0.005_0.45_3,risk_matrix,DualTrendRobustRisk0p005Cap0p45Strategy,recent,20250101-20260507,171,230.968452,23.0968,1.4371,33.9181,87.103465,7.0504,1.0761,10.0245,-4.9952,1230.968452,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_recent_0.005_0.45_3,,,,0.005,0.45,3,,
risk_recent_0.005_0.45_5,risk_matrix,DualTrendRobustRisk0p005Cap0p45Strategy,recent,20250101-20260507,220,284.481292,28.4481,1.4065,33.1818,130.654425,9.2483,0.9892,10.0245,-4.9952,1284.481292,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_recent_0.005_0.45_5,,,,0.005,0.45,5,,
risk_recent_0.0075_0.25_2,risk_matrix,DualTrendRobustRisk0p0075Cap0p25Strategy,recent,20250101-20260507,127,333.23658,33.3237,1.6681,35.4331,95.861771,7.0305,1.1622,10.0245,-4.919,1333.23658,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_recent_0.0075_0.25_2,,,,0.0075,0.25,2,,
risk_recent_0.0075_0.25_3,risk_matrix,DualTrendRobustRisk0p0075Cap0p25Strategy,recent,20250101-20260507,171,399.408653,39.9409,1.5436,33.9181,113.485241,8.4775,1.0761,10.0245,-4.9952,1399.408653,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_recent_0.0075_0.25_3,,,,0.0075,0.25,3,,
risk_recent_0.0075_0.25_5,risk_matrix,DualTrendRobustRisk0p0075Cap0p25Strategy,recent,20250101-20260507,220,486.313607,48.6314,1.4955,32.7273,176.778895,10.6556,0.9383,10.0245,-4.9952,1486.313607,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_recent_0.0075_0.25_5,,,,0.0075,0.25,5,,
risk_recent_0.0075_0.35_2,risk_matrix,DualTrendRobustRisk0p0075Cap0p35Strategy,recent,20250101-20260507,127,338.217188,33.8217,1.6175,35.4331,108.665784,7.9401,1.1622,10.0245,-4.919,1338.217188,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_recent_0.0075_0.35_2,,,,0.0075,0.35,2,,
risk_recent_0.0075_0.35_3,risk_matrix,DualTrendRobustRisk0p0075Cap0p35Strategy,recent,20250101-20260507,171,391.538924,39.1539,1.4843,33.9181,124.680243,9.3194,1.0761,10.0245,-4.9952,1391.538924,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_recent_0.0075_0.35_3,,,,0.0075,0.35,3,,
risk_recent_0.0075_0.35_5,risk_matrix,DualTrendRobustRisk0p0075Cap0p35Strategy,recent,20250101-20260507,213,489.806198,48.9806,1.493,33.3333,155.281262,9.461,1.0454,10.0245,-4.9952,1489.806198,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_recent_0.0075_0.35_5,,,,0.0075,0.35,5,,
risk_recent_0.0075_0.45_2,risk_matrix,DualTrendRobustRisk0p0075Cap0p45Strategy,recent,20250101-20260507,127,314.071816,31.4072,1.5539,35.4331,112.36356,8.31,1.1622,10.0245,-4.919,1314.071816,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_recent_0.0075_0.45_2,,,,0.0075,0.45,2,,
risk_recent_0.0075_0.45_3,risk_matrix,DualTrendRobustRisk0p0075Cap0p45Strategy,recent,20250101-20260507,171,364.289879,36.429,1.4391,33.9181,133.335312,9.8817,1.0761,10.0245,-4.9952,1364.289879,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_recent_0.0075_0.45_3,,,,0.0075,0.45,3,,
risk_recent_0.0075_0.45_5,risk_matrix,DualTrendRobustRisk0p0075Cap0p45Strategy,recent,20250101-20260507,210,457.78337,45.7783,1.4577,33.8095,151.332198,9.428,1.0898,10.0245,-4.9952,1457.78337,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_recent_0.0075_0.45_5,,,,0.0075,0.45,5,,
risk_recent_0.01_0.25_2,risk_matrix,DualTrendRobustRisk0p01Cap0p25Strategy,recent,20250101-20260507,127,400.290956,40.0291,1.7006,35.4331,107.102318,7.568,1.1622,10.0245,-4.919,1400.290956,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_recent_0.01_0.25_2,,,,0.01,0.25,2,,
