run_id,strategy,sample,pair,trades,total_profit_abs,total_profit_pct,profit_factor,winrate,max_drawdown_abs,max_drawdown_pct,avg_profit_pct,best_trade_pct,worst_trade_pct
pair_DualTrendCompressionRestartShortPullbackOnlyV1Strategy_recent,DualTrendCompressionRestartShortPullbackOnlyV1Strategy,recent,ADA/USDT:USDT,17,11.977656,1.1978,1.1427,23.5294,62.644124,5.8294,0.9032,10.0033,-3.5787
pair_DualTrendCompressionRestartShortPullbackOnlyV1Strategy_recent,DualTrendCompressionRestartShortPullbackOnlyV1Strategy,recent,TAO/USDT:USDT,6,3.054828,0.3055,1.1143,50.0,22.374163,2.2374,0.1383,9.9995,-4.9952
pair_DualTrendCompressionRestartShortPullbackOnlyV1Strategy_recent,DualTrendCompressionRestartShortPullbackOnlyV1Strategy,recent,BNB/USDT:USDT,11,-21.151896,-2.1152,0.6411,36.3636,33.419023,3.3419,-0.4755,10.0006,-3.3395
pair_DualTrendCompressionRestartShortPullbackOnlyV1Strategy_recent,DualTrendCompressionRestartShortPullbackOnlyV1Strategy,recent,TRX/USDT:USDT,12,-35.467579,-3.5468,0.2105,8.3333,36.312039,3.6312,-0.8629,2.4872,-3.9111
pair_DualTrendCompressionRestartShortPullbackOnlyV1Strategy_recent,DualTrendCompressionRestartShortPullbackOnlyV1Strategy,recent,LINK/USDT:USDT,13,-38.540696,-3.8541,0.561,15.3846,68.09524,6.6379,-0.7092,9.9989,-4.6471
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_full,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,full,ZEC/USDT:USDT,6,135.433859,13.5434,0.0,100.0,0.0,0.0,10.0033,10.0164,9.9958
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_full,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,full,ETH/USDT:USDT,7,59.361593,5.9362,4.4056,42.8571,8.85478,0.8588,3.2112,10.0001,-4.2621
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_full,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,full,DOGE/USDT:USDT,5,54.931612,5.4932,7.7145,60.0,6.940137,0.694,5.2467,10.001,-3.177
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_full,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,full,BNB/USDT:USDT,4,37.54198,3.7542,5.8582,75.0,7.727529,0.7606,6.4971,10.0009,-4.0112
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_full,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,full,BTC/USDT:USDT,10,29.144252,2.9144,1.7842,30.0,30.667889,2.9909,0.4882,10.0,-3.1529
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_full,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,full,ADA/USDT:USDT,14,24.837488,2.4837,1.5409,21.4286,26.002909,2.6003,0.9066,10.0019,-4.3302
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_full,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,full,SUI/USDT:USDT,8,7.088772,0.7089,1.176,37.5,39.320622,3.7577,0.7163,10.0044,-4.0248
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_full,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,full,TAO/USDT:USDT,5,0.060651,0.0061,1.0018,20.0,25.822943,2.5171,-0.6865,10.0001,-4.0908
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_full,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,full,SOL/USDT:USDT,15,-10.767091,-1.0767,0.856,20.0,40.991137,4.0991,-0.2732,10.0002,-4.6873
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_full,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,full,NEAR/USDT:USDT,12,-13.022914,-1.3023,0.8142,16.6667,30.623656,3.0624,-0.6496,10.0055,-3.9753
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_full,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,full,TRX/USDT:USDT,3,-15.713116,-1.5713,0.0,0.0,15.713116,1.5713,-1.7794,-0.092,-2.9425
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_full,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,full,XRP/USDT:USDT,15,-22.962932,-2.2963,0.7093,20.0,37.301301,3.6774,-0.5634,10.0,-4.6816
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_full,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,full,LINK/USDT:USDT,12,-58.308094,-5.8308,0.2603,8.3333,58.308094,5.8308,-1.974,10.0035,-4.4913
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_recent,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,recent,DOGE/USDT:USDT,4,59.654211,5.9654,50.8707,75.0,1.196178,0.1176,7.3527,10.001,-0.5914
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_recent,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,recent,ETH/USDT:USDT,3,48.405041,4.8405,6.6768,66.6667,8.526826,0.8348,5.246,10.0001,-4.2621
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_recent,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,recent,ZEC/USDT:USDT,2,46.736448,4.6736,0.0,100.0,0.0,0.0,10.0003,10.0003,10.0002
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_recent,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,recent,ADA/USDT:USDT,8,41.229309,4.1229,2.5282,37.5,19.20874,1.8114,2.5359,10.0019,-4.3302
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_recent,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,recent,BTC/USDT:USDT,4,23.89864,2.3899,3.1975,25.0,10.550035,1.055,1.3585,10.0,-3.082
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_recent,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,recent,SOL/USDT:USDT,7,9.846619,0.9847,1.3024,28.5714,16.848052,1.641,0.8131,10.0,-4.3657
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_recent,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,recent,XRP/USDT:USDT,8,0.218228,0.0218,1.0043,25.0,35.957888,3.4702,-0.032,10.0,-4.6816
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_recent,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,recent,TAO/USDT:USDT,5,0.060344,0.006,1.0018,20.0,24.890353,2.4284,-0.6865,10.0001,-4.0908
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_recent,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,recent,BNB/USDT:USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_recent,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,recent,TRX/USDT:USDT,1,-0.171089,-0.0171,0.0,0.0,0.171089,0.0171,-0.092,-0.092,-0.092
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_recent,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,recent,NEAR/USDT:USDT,5,-0.517433,-0.0517,0.985,20.0,17.420367,1.7131,-0.4843,10.0049,-3.4865
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_recent,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,recent,SUI/USDT:USDT,7,-11.738756,-1.1739,0.6976,28.5714,37.902875,3.6936,-0.6105,9.9991,-4.0248
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_recent,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,recent,LINK/USDT:USDT,4,-33.740207,-3.374,0.0,0.0,33.740207,3.374,-3.4197,-2.0127,-4.4897
pair_DualTrendCompressionRestartShortV1Strategy_full,DualTrendCompressionRestartShortV1Strategy,full,ZEC/USDT:USDT,19,235.116743,23.5117,4.7296,57.8947,25.114908,2.4503,4.3625,10.0164,-3.6975
pair_DualTrendCompressionRestartShortV1Strategy_full,DualTrendCompressionRestartShortV1Strategy,full,DOGE/USDT:USDT,31,181.04136,18.1041,2.1208,35.4839,60.255902,4.8543,1.9887,10.0032,-4.5661
pair_DualTrendCompressionRestartShortV1Strategy_full,DualTrendCompressionRestartShortV1Strategy,full,ETH/USDT:USDT,25,171.707294,17.1707,2.477,36.0,28.260851,2.4979,2.0202,10.0002,-4.919
pair_DualTrendCompressionRestartShortV1Strategy_full,DualTrendCompressionRestartShortV1Strategy,full,BNB/USDT:USDT,25,138.627782,13.8628,2.0785,48.0,49.125519,4.2006,2.0671,10.0009,-4.6816
pair_DualTrendCompressionRestartShortV1Strategy_full,DualTrendCompressionRestartShortV1Strategy,full,ADA/USDT:USDT,36,119.339858,11.934,1.593,30.5556,92.307055,7.6183,1.4166,10.0124,-4.5628
pair_DualTrendCompressionRestartShortV1Strategy_full,DualTrendCompressionRestartShortV1Strategy,full,SUI/USDT:USDT,14,91.876484,9.1876,1.9648,42.8571,39.924997,3.5276,1.9867,10.0044,-4.6996
pair_DualTrendCompressionRestartShortV1Strategy_full,DualTrendCompressionRestartShortV1Strategy,full,TAO/USDT:USDT,11,88.339616,8.834,2.8071,63.6364,42.534321,3.8901,3.4588,10.0011,-4.9952
pair_DualTrendCompressionRestartShortV1Strategy_full,DualTrendCompressionRestartShortV1Strategy,full,SOL/USDT:USDT,27,69.497702,6.9498,1.4254,33.3333,57.484249,5.2925,1.2156,10.0002,-4.9136
pair_DualTrendCompressionRestartShortV1Strategy_full,DualTrendCompressionRestartShortV1Strategy,full,BTC/USDT:USDT,30,40.920966,4.0921,1.2446,26.6667,59.524142,5.8621,-0.0811,10.0,-4.2306
pair_DualTrendCompressionRestartShortV1Strategy_full,DualTrendCompressionRestartShortV1Strategy,full,XRP/USDT:USDT,37,38.663991,3.8664,1.1785,24.3243,92.944479,9.2944,-0.0149,10.0061,-4.4705
pair_DualTrendCompressionRestartShortV1Strategy_full,DualTrendCompressionRestartShortV1Strategy,full,NEAR/USDT:USDT,34,0.823328,0.0823,1.0033,20.5882,91.266865,8.958,-0.2966,10.0245,-4.7363
pair_DualTrendCompressionRestartShortV1Strategy_full,DualTrendCompressionRestartShortV1Strategy,full,LINK/USDT:USDT,31,-63.092968,-6.3093,0.7322,19.3548,99.419572,9.6446,-0.1205,10.0035,-4.6471
pair_DualTrendCompressionRestartShortV1Strategy_full,DualTrendCompressionRestartShortV1Strategy,full,TRX/USDT:USDT,19,-85.767305,-8.5767,0.1396,5.2632,87.011313,8.7011,-1.1594,2.4872,-3.9111
pair_DualTrendCompressionRestartShortV1Strategy_recent,DualTrendCompressionRestartShortV1Strategy,recent,XRP/USDT:USDT,17,80.457472,8.0457,2.2811,41.1765,19.265745,1.8605,1.4112,10.001,-4.4705
pair_DualTrendCompressionRestartShortV1Strategy_recent,DualTrendCompressionRestartShortV1Strategy,recent,ETH/USDT:USDT,12,76.571785,7.6572,2.4349,41.6667,19.456816,1.8544,2.518,10.0002,-4.919
