symbol,rows_1h,start,end,trend_up_4h_hours,trend_down_4h_hours,compression_ok_hours,vol_ok_hours,signal_count
SOL,11785,2025-01-01 00:00:00+00:00,2026-05-07 00:00:00+00:00,2753,4736,4236,3165,72
LINK,11785,2025-01-01 00:00:00+00:00,2026-05-07 00:00:00+00:00,2293,4728,4553,3054,69
XRP,11785,2025-01-01 00:00:00+00:00,2026-05-07 00:00:00+00:00,2177,4784,4545,3108,65
ETH,11785,2025-01-01 00:00:00+00:00,2026-05-07 00:00:00+00:00,3005,4324,4285,3220,63
NEAR,11785,2025-01-01 00:00:00+00:00,2026-05-07 00:00:00+00:00,2200,5260,4586,3162,60
BTC,11785,2025-01-01 00:00:00+00:00,2026-05-07 00:00:00+00:00,3489,3924,4399,3220,59
BNB,11785,2025-01-01 00:00:00+00:00,2026-05-07 00:00:00+00:00,3741,3408,4180,3122,55
ADA,11785,2025-01-01 00:00:00+00:00,2026-05-07 00:00:00+00:00,1737,5576,4594,3069,54
DOGE,11785,2025-01-01 00:00:00+00:00,2026-05-07 00:00:00+00:00,2097,5476,4318,3125,53
SUI,11785,2025-01-01 00:00:00+00:00,2026-05-07 00:00:00+00:00,1865,5432,4573,3159,44
TRX,11785,2025-01-01 00:00:00+00:00,2026-05-07 00:00:00+00:00,4589,2728,3536,3074,35
TAO,11377,2025-01-01 00:00:00+00:00,2026-04-20 00:00:00+00:00,2368,4901,4408,3087,33
ZEC,11785,2025-01-01 00:00:00+00:00,2026-05-07 00:00:00+00:00,3681,4024,4597,3140,21
