symbol,pair,date,entry_tag,side,close,initial_stop,risk_pct,trend_up_4h,trend_down_4h,compression_width_pct,volume_ratio,body_pct_of_range,close_position,forward_ret_6h,forward_ret_24h,forward_ret_72h,mfe_24h,mae_24h
SUI,SUI/USDT:USDT,2025-01-02 07:00:00+00:00,long_pullback_restart,long,4.3736,4.216277890871818,0.0359708499012671,True,False,0.02679714651545647,1.5610036628202248,0.6470588235294139,0.7205882352941149,0.0017148344613133748,-0.017056886775196456,0.18195536857508698,0.020806658130601896,-0.02236144137552576
SUI,SUI/USDT:USDT,2025-01-02 09:00:00+00:00,long_pullback_restart,long,4.4134,4.243288793659884,0.03854425303396837,True,False,0.031744233470793366,1.3291811514386267,0.6446837146702592,0.7819650067294813,-0.006344315040558435,-0.020301808129786547,0.16737662573072898,0.011601033217020884,-0.031177776770743626
BTC,BTC/USDT:USDT,2025-01-04 20:00:00+00:00,long_pullback_restart,long,98577.4,97362.53519724785,0.012323968807780904,True,False,0.009093362170233835,1.6451041137909583,0.8436403913605361,0.8438249953848878,-0.003874113133436219,-0.0033729840713997428,-0.0210251031169415,0.001861481434892731,-0.013698880270731406
BNB,BNB/USDT:USDT,2025-01-06 01:00:00+00:00,long_pullback_restart,long,712.63,701.9288824915452,0.015016372463206413,True,False,0.011226021918807796,1.627713069818628,0.6730486008836521,0.9675994108983763,0.0026802127331153613,0.020768140549794367,-0.018691326494815086,0.046826543928827125,-0.0025258549317317414
LINK,LINK/USDT:USDT,2025-01-08 16:00:00+00:00,short_pullback_restart,short,20.3,21.298181041120138,0.04917147985813484,False,True,0.03733990147783264,1.3763938764699688,0.8537735849056575,0.023584905660381073,-0.01480223246784762,0.008144616607071997,0.014442056868722242,0.05197699124216193,-0.020033791938208978
ETH,ETH/USDT:USDT,2025-01-09 13:00:00+00:00,short_pullback_restart,short,3219.7,3363.0150302316533,0.04451192043720021,False,True,0.028288349846258946,2.453512495157049,0.8569800569800601,0.11042735042734586,0.008156811172169709,-0.007230624547122533,-0.014179380957192511,0.02018377693282636,-0.0353363454416894
TRX,TRX/USDT:USDT,2025-01-11 17:00:00+00:00,short_pullback_restart,short,0.24087,0.24349566093121194,0.01090073870225409,False,True,0.00855233113297632,1.7013788055480046,0.9428571428571383,0.047619047619042586,0.00029069767441858296,0.015300961052099105,0.08076457127473402,0.021891307114674907,-0.010191082802547768
BTC,BTC/USDT:USDT,2025-01-12 09:00:00+00:00,short_pullback_restart,short,93859.1,95055.48594031941,0.01274661636771935,False,True,0.00978914138320102,2.649352448370657,0.5301362194439155,0.36947191640231786,-0.012379571444805948,0.011383289494810045,-0.03015176110877471,0.01364535679881107,-0.02163351036384198
XRP,XRP/USDT:USDT,2025-01-14 16:00:00+00:00,long_pullback_restart,long,2.6153,2.5038170748229125,0.04262720344782146,True,False,0.034986426031430394,2.269932943567595,0.5747303543913714,0.9892141756548514,0.01984475968340149,0.10851527549420714,0.23951363132336634,0.16086108668221621,-0.006920812143922261
NEAR,NEAR/USDT:USDT,2025-01-15 09:00:00+00:00,short_pullback_restart,short,4.896,5.100567011146649,0.0417824777668809,False,True,0.029820261437908478,1.2722204235294878,0.8620689655172371,0.06896551724138142,-0.06636155606407323,-0.04802644370989695,-0.09433962264150941,0.007822149032523651,-0.08280254777070062
