scenario,iterations,observed_ratio_sum,bootstrap_positive_probability,ratio_sum_p2p5,ratio_sum_median,ratio_sum_p97p5,profit_abs_p2p5,profit_abs_median,profit_abs_p97p5
baseline,200000,0.1531100190144212,0.89161,-0.0835915150563307,0.14921982250929602,0.4068289303703962,-56.1517707,73.70398226,232.765318
fee1p5x,200000,0.1506767642110991,0.891075,-0.08640960946957511,0.147438961595672,0.4054364844023921,-54.90542256,68.95087775,218.86147064999997
fee2x,200000,0.1482228617845115,0.88897,-0.0905685780348161,0.1443367131784047,0.4040054154271063,-54.91236157,67.05013731,213.19264265
fee2x_slip_light,200000,0.1439784383111629,0.879755,-0.09474477707947962,0.14075263316571907,0.39970277264809795,-57.01079931999982,65.26512597000016,211.7938721000004
fee2x_slip_medium,200000,0.14114882266226392,0.87491,-0.0968506166100461,0.1379114141612623,0.3968108089414183,-57.23602437999965,63.91793357000042,209.85028476000036
fee2x_slip_heavy,200000,0.1340747835400153,0.85786,-0.1038112880072197,0.13017542008312422,0.3896113503748276,-61.37300030999946,59.896789300000364,205.9345624800004
