scenario,group_type,group_value,group_trades,group_profit_abs,group_profit_ratio_sum,profit_abs_without_group,profit_ratio_without_group
baseline,pair,BNB/USDT:USDT,5,79.29228332,0.1607885114183984,-3.03042342,-0.0076784924039772
baseline,pair,BTC/USDT:USDT,2,-3.03042342,-0.0076784924039772,79.29228332,0.1607885114183984
fee1p5x,pair,BNB/USDT:USDT,5,74.82988696999999,0.15935396043359978,-3.52009055,-0.0086771962225007
fee1p5x,pair,BTC/USDT:USDT,2,-3.52009055,-0.0086771962225007,74.82988696999999,0.15935396043359978
fee2x,pair,BNB/USDT:USDT,5,72.81925514,0.1578987618095307,-3.87090611,-0.009675900025019201
fee2x,pair,BTC/USDT:USDT,2,-3.87090611,-0.009675900025019201,72.81925514,0.1578987618095307
fee2x_slip_light,pair,BNB/USDT:USDT,5,71.2910497700002,0.1548527829027723,-4.398823009999961,-0.0108743445916094
fee2x_slip_light,pair,BTC/USDT:USDT,2,-4.398823009999961,-0.0108743445916094,71.2910497700002,0.1548527829027723
fee2x_slip_medium,pair,BNB/USDT:USDT,5,70.27224619000029,0.15282213029826672,-4.7507676099998895,-0.0116733076360028
fee2x_slip_medium,pair,BTC/USDT:USDT,2,-4.7507676099998895,-0.0116733076360028,70.27224619000029,0.15282213029826672
fee2x_slip_heavy,pair,BNB/USDT:USDT,5,67.72523724000024,0.147745498787002,-5.6306291099999255,-0.013670715246986698
fee2x_slip_heavy,pair,BTC/USDT:USDT,2,-5.6306291099999255,-0.013670715246986698,67.72523724000024,0.147745498787002
baseline,year,2023,2,-1.79844429,-0.0037742369379903003,78.06030419,0.1568842559524115
baseline,year,2024,1,44.51143387,0.1000501557908989,31.750426030000003,0.053059863223522304
baseline,year,2025,4,33.548870320000006,0.05683410016151261,42.71298958,0.0962759188529086
fee1p5x,year,2023,2,-2.1553925499999997,-0.0047729474061717,73.46518897,0.15544971161727078
fee1p5x,year,2024,1,43.00222015,0.1000854176791064,28.30757627,0.050591346531992695
fee1p5x,year,2025,4,30.462968819999997,0.05536429393816439,40.8468276,0.09531247027293471
fee2x,year,2023,2,-2.4912724500000003,-0.005771657864435401,71.43962148,0.1539945196489469
fee2x,year,2024,1,42.39319088,0.100087616417761,26.555158149999997,0.0481352453667505
fee2x,year,2025,4,29.0464306,0.053906903231185896,39.901918429999995,0.0943159585533256
fee2x_slip_light,year,2023,2,-2.8848425399999953,-0.0069701104178631,69.77706930000025,0.150948548729026
fee2x_slip_light,year,2024,1,42.12762860000006,0.0994606408336183,24.76459816000019,0.044517797477544606
fee2x_slip_light,year,2025,4,27.649440700000184,0.051487907895407706,39.242786060000064,0.0924905304157552
fee2x_slip_medium,year,2023,2,-3.1472225999999273,-0.0077690787868147995,68.66870118000031,0.1489179014490787
fee2x_slip_medium,year,2024,1,41.95058708000007,0.0990426571108565,23.57089150000032,0.04210616555140741
fee2x_slip_medium,year,2025,4,26.71811410000025,0.04987524433822221,38.80336448000014,0.0912735783240417
fee2x_slip_heavy,year,2023,2,-3.8031727499999146,-0.009766499709194399,65.89778088000023,0.1438412832492097
fee2x_slip_heavy,year,2024,1,41.50798328000007,0.0979976978039518,20.58662485000024,0.03607708573606351
fee2x_slip_heavy,year,2025,4,24.389797600000158,0.045843585445257906,37.70481053000015,0.08823119809475741
