scenario,trades,wins,winrate,wilson95_low,wilson95_high,profit_abs,profit_ratio_sum,profit_factor_ratio,best_trade_pair,best_trade_profit_abs,best_trade_share_of_net_profit,roi_trades,roi_profit_abs,non_roi_profit_abs,non_roi_profit_ratio_sum,profit_ratio_sum_cap_wins_5pct,profit_ratio_sum_cap_wins_3pct
baseline,7,3,0.42857142857142855,0.15821985525146975,0.7495416354723428,76.2618599,0.1531100190144212,4.031812715979153,BNB/USDT:USDT,63.01887406,0.8263485068766333,2,107.53030792999999,-31.26844803,-0.0469929648197129,0.05300703518028711,0.013007035180287098
fee1p5x,7,3,0.42857142857142855,0.15821985525146975,0.7495416354723428,71.30979642,0.1506767642110991,3.870600078183099,BNB/USDT:USDT,59.09214193,0.8286679375994774,2,102.09436208,-30.78456566,-0.0494817147052848,0.05051828529471521,0.010518285294715199
fee2x,7,3,0.42857142857142855,0.15821985525146975,0.7495416354723428,68.94834903,0.1482228617845115,3.7207771992732455,BNB/USDT:USDT,57.53511613,0.8344669152986678,2,99.92830701,-30.979957980000002,-0.0519704646054875,0.048029535394512504,0.008029535394512496
fee2x_slip_light,7,3,0.42857142857142855,0.15821985525146975,0.7495416354723428,66.89222676000026,0.1439784383111629,3.5319642769034183,BNB/USDT:USDT,57.17248279000008,0.8546954640204575,2,99.30011139000014,-32.40788462999989,-0.054956964468477996,0.045043035531522,0.005043035531521998
fee2x_slip_medium,7,3,0.42857142857142855,0.15821985525146975,0.7495416354723428,65.52147858000039,0.14114882266226392,3.4146529029982187,BNB/USDT:USDT,56.93072723000005,0.8688864852231439,2,98.88131431000012,-33.35983572999973,-0.0569479643771382,0.043052035622861806,0.003052035622861802
fee2x_slip_heavy,7,3,0.42857142857142855,0.15821985525146975,0.7495416354723428,62.09460813000031,0.1340747835400153,3.1475294401083005,BNB/USDT:USDT,56.32633833000002,0.9071051420773293,2,97.83432161000009,-35.73971347999978,-0.061925464148789494,0.03807453585121051,-0.0019254641487895033
