"open_time","open","high","low","close","volume"
"2026/4/4 0:00:00","234.26","235.68","233.44","235.29","26294.644"
"2026/4/4 1:00:00","235.28","235.98","234.21","234.98","20678.828"
"2026/4/4 2:00:00","234.97","236.38","234.76","235.6","26099.867"
"2026/4/4 3:00:00","235.61","236.5","235.11","235.58","18843.865"
"2026/4/4 4:00:00","235.57","237.16","234.85","236.07","32626.452"
"2026/4/4 5:00:00","236.07","236.37","235.17","235.82","15761.003"
"2026/4/4 6:00:00","235.81","237.07","234.62","237","25338.359"
"2026/4/4 7:00:00","237","238","236.52","237.24","29716.948"
"2026/4/4 8:00:00","237.24","237.81","236.7","237.3","19818.107"
"2026/4/4 9:00:00","237.31","239.4","236.84","239.09","40991.85"
"2026/4/4 10:00:00","239.09","244.88","239.08","244.09","153950.832"
"2026/4/4 11:00:00","244.08","248.53","243.19","244.93","123431.107"
"2026/4/4 12:00:00","244.93","245.3","242.68","244.19","60845.966"
"2026/4/4 13:00:00","244.19","250.28","244.01","247.93","129689.052"
"2026/4/4 14:00:00","247.94","248.75","245.19","247.92","78375.807"
"2026/4/4 15:00:00","247.91","250.8","247.16","249.08","88542.106"
"2026/4/4 16:00:00","249.08","249.87","246.25","246.82","54193.791"
"2026/4/4 17:00:00","246.82","252.77","246.33","252.2","80864.886"
"2026/4/4 18:00:00","252.21","253.83","250.56","251.25","63987.458"
"2026/4/4 19:00:00","251.24","253.05","249.27","250.93","48833.215"
"2026/4/4 20:00:00","250.93","252.43","250.43","251.49","25081.425"
"2026/4/4 21:00:00","251.48","252.94","250.86","250.99","23846.315"
"2026/4/4 22:00:00","250.99","252.42","250.47","251.52","36302.316"
"2026/4/4 23:00:00","251.51","251.55","249.54","251.09","35665.137"
"2026/4/5 0:00:00","251.09","251.41","248.12","249.05","47599.367"
"2026/4/5 1:00:00","249.06","249.12","246.42","247.07","42700.263"
"2026/4/5 2:00:00","247.07","247.52","245.77","247.14","39283.673"
"2026/4/5 3:00:00","247.14","247.74","246.41","246.45","22451.972"
"2026/4/5 4:00:00","246.44","248.31","246.27","247.7","28119.575"
"2026/4/5 5:00:00","247.7","247.98","244.24","244.54","49777.304"
"2026/4/5 6:00:00","244.56","246.66","242.91","245","89374.109"
