month,entry_tag,side,signals,avg_risk_pct,avg_forward_ret_24h,median_forward_ret_24h,avg_forward_ret_72h,tp1_before_stop_24h_rate,tp2_before_stop_24h_rate,stop_before_tp1_24h_rate,avg_max_r_24h,avg_min_r_24h,tp1_before_stop_72h_rate,tp2_before_stop_72h_rate,stop_before_tp1_72h_rate,avg_max_r_72h,avg_min_r_72h
2025-01,short_pullback_restart,short,14,0.034986062976256525,0.006959574931395651,0.012114757799272291,-0.0028131421565973924,0.5714285714285714,0.2857142857142857,0.2857142857142857,1.679007879757867,-0.8982872720701127,0.5714285714285714,0.35714285714285715,0.2857142857142857,2.5126343753254536,-1.651035215304444
2025-01,long_pullback_restart,long,9,0.02668996344825499,0.0015330505746208188,-0.014698226364526445,0.0340350239737876,0.2222222222222222,0.2222222222222222,0.4444444444444444,1.0556275364598442,-0.9489121796657629,0.4444444444444444,0.4444444444444444,0.5555555555555556,3.0065631932499257,-2.9599930097659315
2025-02,short_pullback_restart,short,32,0.035153785720418856,0.03177143713393779,0.011303911558801505,0.04291225220640908,0.625,0.40625,0.21875,2.109273877855653,-0.5989841652709795,0.6875,0.53125,0.3125,3.3736435731441987,-1.0611489522850588
2025-02,short_compression_breakdown,short,9,0.03767262467799256,0.08800529058247403,0.08027020447906508,0.08561265061435121,0.8888888888888888,0.5555555555555556,0.1111111111111111,3.52845110187266,-0.30077919653731994,0.8888888888888888,0.6666666666666666,0.1111111111111111,5.506107823606303,-0.32226811735346333
2025-03,short_pullback_restart,short,29,0.032426703576628045,-0.006342664699099843,0.00011999760004788307,0.00652988574871914,0.4482758620689655,0.20689655172413793,0.3793103448275862,1.2770408105983682,-1.5515568816007532,0.4827586206896552,0.3103448275862069,0.4827586206896552,2.4992984918764036,-1.9721032296245387
2025-03,short_compression_breakdown,short,6,0.04189052659303655,0.012359032289528579,0.026658913319966393,0.043532122977673525,0.5,0.16666666666666666,0.3333333333333333,1.1689596885875106,-0.7486825838805639,0.5,0.3333333333333333,0.3333333333333333,1.903900834981432,-0.9923185937750724
2025-04,short_pullback_restart,short,12,0.030800523889975753,0.045358205445885834,0.015985051048820198,0.05388611121076597,0.5,0.25,0.25,2.1858735113972623,-0.6114447748431261,0.6666666666666666,0.5833333333333334,0.3333333333333333,4.457448913538076,-0.9558297764626476
2025-04,long_pullback_restart,long,9,0.024854463072439905,-0.010464609851995536,-0.010531496062992196,-0.00858058643568935,0.2222222222222222,0.0,0.5555555555555556,0.4963879347044194,-1.189970567456369,0.2222222222222222,0.0,0.6666666666666666,0.7706191039591105,-1.6614904942384792
2025-04,short_compression_breakdown,short,2,0.03040835370991975,0.10706621590210397,0.10706621590210397,0.04773062940208589,0.5,0.5,0.5,3.372800066926892,-0.7314079382337542,0.5,0.5,0.5,3.372800066926892,-0.7314079382337542
2025-04,long_compression_breakout,long,1,0.03425849932677271,-0.02273901808785539,-0.02273901808785539,-0.024354005167958714,0.0,0.0,0.0,0.4600982007840224,-0.9522524237538199,0.0,0.0,1.0,0.4600982007840224,-1.9365608696934096
2025-05,long_pullback_restart,long,30,0.027293965368888666,-0.005155931725052032,-0.011581395228185853,0.0002772349894107388,0.3,0.16666666666666666,0.4,0.9882045986485564,-1.0968199750840388,0.36666666666666664,0.2,0.5666666666666667,1.7201673804553697,-1.642818853179513
2025-05,long_compression_breakout,long,7,0.02676354175530505,0.012909937852493962,0.001643317858756932,0.012462917958562294,0.2857142857142857,0.14285714285714285,0.42857142857142855,1.466487529482086,-0.9589155982764671,0.2857142857142857,0.14285714285714285,0.7142857142857143,3.0233699853144245,-1.4960377514895513
2025-05,short_pullback_restart,short,2,0.03458665785734338,-0.01921993235591002,-0.01921993235591002,-0.1133392429246991,0.0,0.0,0.5,0.7954407288651141,-1.0389055563580887,0.0,0.0,0.5,0.8476232375568301,-4.985229386816931
2025-05,short_compression_breakdown,short,1,0.03367927852359512,-0.021496130696474713,-0.021496130696474713,-0.22214627477785387,0.0,0.0,1.0,0.6131444771276587,-1.3958821075034047,0.0,0.0,1.0,0.7175094945110908,-9.275440919952516
2025-06,short_pullback_restart,short,29,0.03348456817773727,0.00192846894209422,-0.005698005698005604,0.0016122189497759347,0.3103448275862069,0.1724137931034483,0.20689655172413793,1.0012620913345027,-0.8406534128468828,0.4482758620689655,0.3448275862068966,0.5517241379310345,1.7004261789400328,-1.576190543589506
2025-06,short_compression_breakdown,short,6,0.03647826996692829,0.03714733104809507,0.04582140731479334,0.044557910339054284,0.6666666666666666,0.5,0.0,1.7549780494077483,-0.4977369135464503,0.8333333333333334,0.8333333333333334,0.16666666666666666,2.346352646349795,-0.8568339828704025
2025-06,long_pullback_restart,long,3,0.01668668599628623,0.01594850883295318,0.015353923978483008,0.012528802972112785,1.0,0.0,0.0,1.5425577806241833,-0.19651488933229952,1.0,0.6666666666666666,0.0,2.621686033281192,-1.1045608768002284
2025-07,long_pullback_restart,long,43,0.03215925553953478,0.010497934517338287,0.017343352667219092,0.022722173695277258,0.5348837209302325,0.09302325581395349,0.3023255813953488,1.2532585458992036,-0.8807661440344546,0.627906976744186,0.46511627906976744,0.37209302325581395,2.8054319209122704,-1.4359172983576918
2025-07,long_compression_breakout,long,15,0.03211893724020764,-0.0027477052916353864,-0.007513661202185773,0.013309680319242208,0.4,0.13333333333333333,0.5333333333333333,1.2937435553338428,-1.1129136849207795,0.4,0.4,0.6,2.5063881285614484,-1.7116093150681144
2025-07,short_pullback_restart,short,2,0.040773316198147086,-0.03061033897035631,-0.03061033897035631,0.03700161394271789,0.0,0.0,0.5,0.4058530707119745,-1.5343806663231785,0.5,0.0,0.5,1.0870777767313393,-1.8661854724900044
2025-07,short_compression_breakdown,short,1,0.03354423076290614,-0.06519208381839336,-0.06519208381839336,-0.015026065624041629,0.0,0.0,1.0,0.30628135953861235,-2.1787742167178323,0.0,0.0,1.0,0.30628135953861235,-2.8423838290514842
2025-08,long_pullback_restart,long,19,0.03245083044947215,-0.013264942300202873,-0.004283700249430589,0.001082664527174654,0.42105263157894735,0.05263157894736842,0.47368421052631576,1.0048066045070183,-1.3001846590217412,0.5263157894736842,0.2631578947368421,0.47368421052631576,1.833353859595666,-1.9615643607962563
2025-08,short_pullback_restart,short,15,0.030897393869618137,0.004153595423335014,0.014053078858662138,-0.011213027494327014,0.4666666666666667,0.06666666666666667,0.26666666666666666,1.2237433555749568,-1.2260877183443084,0.6,0.13333333333333333,0.26666666666666666,1.3629411720026339,-1.7034867193045067
2025-08,long_compression_breakout,long,10,0.03651063289424319,0.001709416226248095,0.0095514442311605,0.016338213079368512,0.4,0.2,0.4,1.1502136558711558,-1.1711646523977737,0.6,0.4,0.4,2.051483258469056,-1.5693276550806783
2025-08,short_compression_breakdown,short,3,0.037459842996292035,-0.0497695942734081,-0.053992649515536284,-0.02781441039009136,0.0,0.0,0.6666666666666666,0.6651507548754861,-2.345309634783827,0.3333333333333333,0.0,0.6666666666666666,0.8078635047213432,-2.6919427797669546
2025-09,long_pullback_restart,long,21,0.025617591144823083,-0.0012023120312077815,-0.0032181571815718124,0.023497252900180274,0.2857142857142857,0.14285714285714285,0.47619047619047616,1.1643029562542824,-0.9168960665645989,0.42857142857142855,0.3333333333333333,0.5714285714285714,2.666239752920815,-1.5479553430541622
2025-09,short_pullback_restart,short,21,0.027777500887469102,-0.010527317475376708,-0.010394319383592587,-0.020821350942942705,0.2857142857142857,0.19047619047619047,0.47619047619047616,0.8179810027348984,-1.1642050663703656,0.42857142857142855,0.19047619047619047,0.47619047619047616,1.0403521278848216,-2.027521729198861
2025-09,long_compression_breakout,long,11,0.03079652099750235,-0.024459282901126696,-0.03237293622531556,-0.010763154705480282,0.0,0.0,0.6363636363636364,0.4118403455004284,-1.270324213963077,0.18181818181818182,0.09090909090909091,0.8181818181818182,1.1525773372884165,-2.24595493494338
2025-09,short_compression_breakdown,short,5,0.03605549436315398,-0.03320910237440233,-0.020128218903334383,-0.05343530083530481,0.0,0.0,0.6,0.17476399242498955,-1.2592474755509766,0.0,0.0,0.6,0.17476399242498955,-1.847608131428342
2025-10,long_pullback_restart,long,18,0.027705646691998664,-0.004146362032795577,-0.002004834214762219,-0.007597300795370354,0.2222222222222222,0.05555555555555555,0.16666666666666666,0.806053744288337,-0.8098110297043425,0.5,0.3333333333333333,0.5,2.173787275675059,-2.1244878102551086
2025-10,short_pullback_restart,short,14,0.031185953513795512,-0.012269033398823308,-0.009787107002334927,0.0015517670276710535,0.07142857142857142,0.07142857142857142,0.5714285714285714,0.6113797844559825,-1.588305497101277,0.35714285714285715,0.2857142857142857,0.5714285714285714,2.7359568041232327,-1.7864678052860243
2025-10,short_compression_breakdown,short,5,0.03416214655834708,0.008358689065057634,-0.004988539137736336,0.004190461673191903,0.2,0.2,0.4,0.867640194207375,-1.0891152178439678,0.4,0.4,0.4,5.4118776844181005,-1.1320737593043324
2025-10,long_compression_breakout,long,1,0.045334023683330005,-0.04177718832891242,-0.04177718832891242,0.014257294429708356,0.0,0.0,0.0,0.47539843999896053,-0.9800521686132417,0.0,0.0,1.0,1.192153011074316,-1.0239351015362244
2025-11,short_pullback_restart,short,34,0.03358015625205197,0.013880489617477516,0.005927145630799102,0.014212722086390232,0.5588235294117647,0.20588235294117646,0.17647058823529413,1.2922488151608365,-0.5940802576203319,0.7058823529411765,0.4411764705882353,0.29411764705882354,2.4380334917522317,-1.1903507739280865
2025-11,short_compression_breakdown,short,4,0.030042067845061086,-0.0012548200525359932,0.003321638081873135,0.05533847071314568,0.0,0.0,0.25,0.7867595770603133,-1.0028158834323613,0.75,0.75,0.25,4.025157087750416,-1.0942295475061175
2025-12,short_pullback_restart,short,37,0.027390962022485723,-0.00515414221192202,-0.0011280918623015612,-0.007151085751758959,0.40540540540540543,0.13513513513513514,0.43243243243243246,0.9712101040355821,-1.1500484394401151,0.5405405405405406,0.21621621621621623,0.4594594594594595,1.5991873921270192,-1.9570351297380935
2025-12,short_compression_breakdown,short,8,0.030480136325387586,-0.0015822217580653553,0.00018650839896228177,-0.004294701384523675,0.25,0.0,0.25,0.8303566542174647,-1.0511377286105146,0.625,0.25,0.375,1.4528306454553257,-1.8107191353925356
2026-01,short_pullback_restart,short,31,0.027775975775545227,0.017887425028609856,0.010247234873129507,0.04057072314220873,0.6774193548387096,0.4838709677419355,0.1935483870967742,1.8509420198802207,-0.603427526674052,0.7096774193548387,0.5483870967741935,0.22580645161290322,3.131554584652607,-1.2378830548486317
2026-01,long_pullback_restart,long,22,0.02183721836521207,-0.004752618008334491,-0.006292564924940347,-0.02072781451783887,0.4090909090909091,0.13636363636363635,0.2727272727272727,1.1435991654028121,-0.8242753711296417,0.4090909090909091,0.36363636363636365,0.5909090909090909,1.8694303671252568,-2.7354321348673682
2026-01,long_compression_breakout,long,5,0.03442633182766357,-0.011056019404314688,-0.025354213273676374,-0.05004224875053984,0.2,0.2,0.6,0.6887928479154174,-1.0026401364883502,0.2,0.2,0.8,0.6887928479154174,-2.670293870868363
2026-01,short_compression_breakdown,short,4,0.033483870707744424,0.0463549464910154,0.0419825207216461,0.15447360217493078,1.0,0.5,0.0,2.431403092951562,-0.145431349186953,1.0,1.0,0.0,5.794627069650624,-0.145431349186953
2026-02,short_pullback_restart,short,34,0.03498139386117287,0.009301400183787981,0.009136650265527457,0.008124817891765527,0.4411764705882353,0.11764705882352941,0.17647058823529413,1.103892216383581,-0.821762621725113,0.5882352941176471,0.2647058823529412,0.3235294117647059,2.3585255897030617,-1.5353373802478985
2026-02,short_compression_breakdown,short,12,0.03761238175350191,-0.007414040162225605,0.0025285735052286706,-0.041170417312910323,0.5,0.16666666666666666,0.25,1.1068985133958744,-1.097159777906848,0.5,0.16666666666666666,0.5,1.7238693015395776,-2.3573763483800136
