"open_time","open","high","low","close","volume","close_time"
"2025/11/5 0:00:00","440.67","442.26","423.24","435.21","144445.866","2025/11/5 0:59:59"
"2025/11/5 1:00:00","435.2","442.27","409.17","424.47","232867.05","2025/11/5 1:59:59"
"2025/11/5 2:00:00","424.46","429.93","417","423.97","106231.494","2025/11/5 2:59:59"
"2025/11/5 3:00:00","423.93","425.52","417.67","422.84","70913.684","2025/11/5 3:59:59"
"2025/11/5 4:00:00","422.79","434.18","416.56","429.51","94994.57","2025/11/5 4:59:59"
"2025/11/5 5:00:00","429.51","439","422.66","424","99291.414","2025/11/5 5:59:59"
"2025/11/5 6:00:00","423.98","425.73","412","424.43","112097.623","2025/11/5 6:59:59"
"2025/11/5 7:00:00","424.44","439.79","424.4","436.21","136694.429","2025/11/5 7:59:59"
"2025/11/5 8:00:00","436.24","437.28","426.16","434.31","114580.477","2025/11/5 8:59:59"
"2025/11/5 9:00:00","434.32","446.67","428","443.35","107701.107","2025/11/5 9:59:59"
"2025/11/5 10:00:00","443.4","459","440","443.79","239445.988","2025/11/5 10:59:59"
"2025/11/5 11:00:00","443.75","460","440.53","453.88","158267.069","2025/11/5 11:59:59"
"2025/11/5 12:00:00","453.89","465","450.86","453.31","137851.126","2025/11/5 12:59:59"
"2025/11/5 13:00:00","453.38","468.6","448.81","461.52","146369.496","2025/11/5 13:59:59"
"2025/11/5 14:00:00","461.53","469.88","453.11","466.6","131442.241","2025/11/5 14:59:59"
"2025/11/5 15:00:00","466.57","495.55","463.77","482.04","326554.789","2025/11/5 15:59:59"
"2025/11/5 16:00:00","482.04","489.9","470.52","479.09","191481.51","2025/11/5 16:59:59"
"2025/11/5 17:00:00","479.11","481.33","467.51","479.72","128260.571","2025/11/5 17:59:59"
"2025/11/5 18:00:00","479.7","498","462","488.2","376795.851","2025/11/5 18:59:59"
"2025/11/5 19:00:00","488.16","497","475.48","487.16","203187.482","2025/11/5 19:59:59"
"2025/11/5 20:00:00","487.17","505.55","480","493.74","229196.623","2025/11/5 20:59:59"
"2025/11/5 21:00:00","493.72","503.16","483","494.78","128987.364","2025/11/5 21:59:59"
"2025/11/5 22:00:00","494.79","497.96","482.63","486.93","74926.619","2025/11/5 22:59:59"
"2025/11/5 23:00:00","486.95","495","465","476.05","159899.913","2025/11/5 23:59:59"
"2025/11/6 0:00:00","476.05","487.53","468.82","477.98","104901.602","2025/11/6 0:59:59"
"2025/11/6 1:00:00","478.04","480.39","466.88","477.6","95118.479","2025/11/6 1:59:59"
"2025/11/6 2:00:00","477.53","481.96","470.1","476.48","91881.449","2025/11/6 2:59:59"
"2025/11/6 3:00:00","476.49","493.21","476.18","486.45","102012.643","2025/11/6 3:59:59"
"2025/11/6 4:00:00","486.44","504.42","486.37","500.8","126907.072","2025/11/6 4:59:59"
"2025/11/6 5:00:00","500.84","509","487.99","489.53","181532.176","2025/11/6 5:59:59"
"2025/11/6 6:00:00","489.55","514.5","488.9","505.99","236727.993","2025/11/6 6:59:59"
"2025/11/6 7:00:00","505.99","519.87","505.02","518.53","196290.897","2025/11/6 7:59:59"
"2025/11/6 8:00:00","518.59","521.04","508","517.14","179661.93","2025/11/6 8:59:59"
"2025/11/6 9:00:00","517.13","519.96","512.58","515.12","117556.033","2025/11/6 9:59:59"
