pair,open_date,close_date,side,entry_tag,profit_abs,profit_ratio,duration,open_rate,close_rate,is_short,stake_amount,mae_pct,mfe_pct,quick_reverse_1h,quick_reverse_2h,quick_reverse_3h,quick_reverse_4h,quick_reverse_5h,btc_4h_regime,btc_1d_regime,btc_regime_conflict,atr_pctile,atr_spike,late_trend_chase,range_market,false_breakout,false_breakdown,stop_too_tight,loss_label
ZEC/USDT:USDT,2026-03-06 13:00:00+00:00,2026-03-07 22:00:00+00:00,short,short_compression_breakdown,52.34289356,0.10000299823136424,1980,221.24,198.81,True,523.67508,0.25763876333393293,12.624299403362865,False,False,False,False,False,up,down,False,0.1685185185185185,False,True,False,False,False,False,
SOL/USDT:USDT,2026-03-07 20:00:00+00:00,2026-03-09 13:00:00+00:00,short,short_compression_breakdown,-22.51784396,-0.03236723236750335,2460,82.47,85.0,True,696.0468,3.9287013459439732,2.776767309324593,True,False,True,False,False,range,down,False,0.23148148148148148,False,False,False,False,True,False,false_breakdown
BNB/USDT:USDT,2026-03-22 00:00:00+00:00,2026-03-23 11:00:00+00:00,short,short_pullback_restart,-22.48258298,-0.027242796990634595,2100,630.29,646.74,True,825.6799,3.235018800869439,1.6325818274127726,False,True,True,True,True,down,down,False,0.2722222222222222,False,False,False,False,True,False,false_breakdown
XRP/USDT:USDT,2026-03-22 00:00:00+00:00,2026-03-23 14:00:00+00:00,short,short_pullback_restart,-22.44004946,-0.029016151899456506,2280,1.4081,1.4474,True,773.75095,3.408848803352038,3.35913642496981,False,False,False,False,False,down,down,False,0.23935185185185184,False,False,True,False,False,False,range_market
SUI/USDT:USDT,2026-03-22 00:00:00+00:00,2026-03-23 15:00:00+00:00,short,short_pullback_restart,-22.17036223,-0.04044913940788716,2340,0.9323,0.969,True,548.37886,4.14029818727877,4.504987664914731,False,True,True,True,True,down,down,False,0.13472222222222222,False,False,False,False,True,False,false_breakdown
XRP/USDT:USDT,2026-03-24 17:00:00+00:00,2026-03-25 11:00:00+00:00,short,short_compression_breakdown,-21.81164172,-0.033683068900980356,1080,1.39,1.4353,True,647.879,3.39568345323742,0.5323741007194137,False,False,True,True,True,down,range,False,0.37222222222222223,False,False,True,False,True,False,false_breakdown
BTC/USDT:USDT,2026-03-27 09:00:00+00:00,2026-03-30 13:00:00+00:00,short,short_compression_breakdown,-0.78130684,-0.0009597030213662201,4560,67876.7,67859.4,True,814.5204,0.4002846337550251,4.358638531336968,False,False,False,False,False,down,down,False,0.4842592592592593,False,False,False,False,False,True,stop_too_tight
ADA/USDT:USDT,2026-03-27 09:00:00+00:00,2026-04-01 07:00:00+00:00,short,short_compression_breakdown,-1.20174231,-0.001298286882346259,7080,0.252,0.2519,True,926.1,1.0714285714285636,7.77777777777778,False,False,False,False,False,down,down,False,0.23842592592592593,False,False,False,False,False,True,stop_too_tight
NEAR/USDT:USDT,2026-04-02 02:00:00+00:00,2026-04-03 08:00:00+00:00,short,short_pullback_restart,-19.82609891,-0.04095135414026019,1800,1.17,1.217,True,484.38,4.444444444444449,2.7350427350427373,False,False,False,False,False,down,down,False,0.4125,False,False,False,False,False,False,normal_loss
XRP/USDT:USDT,2026-03-26 06:00:00+00:00,2026-04-06 08:00:00+00:00,short,short_pullback_restart,23.93708145,0.029354139327209695,15960,1.388,1.3437,True,815.8664,0.3025936599423778,7.997118155619597,False,False,False,False,False,down,down,False,0.16296296296296298,False,False,False,False,False,False,
BNB/USDT:USDT,2026-04-01 14:00:00+00:00,2026-04-06 15:00:00+00:00,short,short_pullback_restart,5.40210777,0.0055601473476265964,7260,611.36,607.38,True,972.0624,1.40997121172468,6.649110180580996,True,True,False,False,False,range,down,False,0.3736111111111111,False,False,True,False,True,False,
ADA/USDT:USDT,2026-04-13 00:00:00+00:00,2026-04-13 12:00:00+00:00,short,short_compression_breakdown,-22.25873017,-0.02426210146647836,720,0.2359,0.2413,True,917.8869,2.543450614667234,0.08478168715557682,False,False,False,False,False,up,up,True,0.1814814814814815,False,False,True,False,False,False,btc_regime_conflict
BTC/USDT:USDT,2026-04-18 00:00:00+00:00,2026-04-18 18:00:00+00:00,long,long_1d_center_compression,-19.22016428,-0.02078238929345367,1080,77030.6,75490.0,False,924.3672,2.1221436675814696,0.45358597752061414,False,False,False,False,False,up,up,False,0.4736111111111111,False,False,False,False,False,False,normal_loss
TAO/USDT:USDT,2026-04-30 15:00:00+00:00,2026-05-01 03:00:00+00:00,short,short_compression_breakdown,-15.42980066,-0.01968378706190716,720,247.64,252.29,True,784.27588,2.499596188014871,0.17363915361007043,False,False,False,False,False,range,up,False,0.01990740740740741,False,False,True,False,False,False,range_market
SOL/USDT:USDT,2026-05-23 08:00:00+00:00,2026-05-23 20:00:00+00:00,short,short_compression_breakdown,-19.52740337,-0.04063374514956067,720,82.19,85.41,True,480.8115,5.9131281177758845,0.6813480958754135,False,False,False,True,True,down,up,False,0.5375,False,False,False,False,True,False,false_breakdown
XRP/USDT:USDT,2026-05-22 07:00:00+00:00,2026-05-25 09:00:00+00:00,short,short_pullback_restart,-0.32324129,-0.0003365607183489561,4440,1.3599,1.3587,True,960.90534,1.1544966541657347,4.765056254136348,False,False,False,False,False,down,range,False,0.23703703703703705,False,False,True,False,False,False,range_market
XRP/USDT:USDT,2026-05-25 23:00:00+00:00,2026-05-30 01:00:00+00:00,short,short_pullback_restart,-0.91844346,-0.0009631597453871621,5880,1.3481,1.3479,True,954.05037,1.2832875899413894,6.030709887990516,False,False,False,False,False,range,up,False,0.06342592592592593,False,False,False,False,False,False,normal_loss
