period,model,group_type,group_value,trades,profit_abs,profit_pct,pf,maxdd_pct,winrate_pct,avg_profit_pct,median_profit_pct,avg_duration_h,median_duration_h,max_duration_h,best_trade_abs,worst_trade_abs,avg_mae_pct,avg_mfe_pct,activated_count,top5_winner_share_pct,exit_reason_distribution
1y,baseline,all,all,111,512.33532181,51.233532180999994,1.999476955671573,7.651798565903853,39.63963963963964,1.523493335104481,-1.205157680846564,60.126126126126124,37.0,429.0,48.08852919,-11.8579296,2.664271009583386,5.7467933271522496,0,21.86325848584194,"{""force_exit"": 1, ""roi"": 33, ""stale_flat_120h"": 8, ""stale_loss_72h"": 11, ""stale_low_profit_240h"": 1, ""stop_loss"": 41, ""swing_exit_long_1d"": 3, ""trailing_stop_loss"": 13}"
1y,baseline,entry_tag,long_1d_center_compression,14,185.31779347,18.531779347,4.65843217204224,1.9023773875631491,50.0,3.6325133737927833,1.5732951860789388,140.92857142857142,92.0,429.0,42.8444889,-9.61008214,2.61999449047566,7.358905494987461,0,78.28880498840961,"{""roi"": 6, ""stop_loss"": 5, ""swing_exit_long_1d"": 3}"
1y,baseline,entry_tag,short_compression_breakdown,28,74.57637158,7.457637158,1.4960359595151063,4.918451495894239,32.142857142857146,0.7359157479367258,-2.350348302060375,44.57142857142857,30.0,133.0,43.46777421,-11.36564162,2.8682847595705443,4.972811765017925,0,77.76269002157946,"{""force_exit"": 1, ""roi"": 7, ""stale_flat_120h"": 1, ""stale_loss_72h"": 4, ""stop_loss"": 9, ""trailing_stop_loss"": 6}"
1y,baseline,entry_tag,short_pullback_restart,69,252.44115676,25.244115676,1.8101351115280155,8.325950518266936,40.57971014492754,1.4151729278444942,-1.0240577650724962,50.04347826086956,33.0,266.0,48.08852919,-11.8579296,2.590466462740889,5.733777579182222,0,34.65542855663738,"{""roi"": 20, ""stale_flat_120h"": 7, ""stale_loss_72h"": 7, ""stale_low_profit_240h"": 1, ""stop_loss"": 27, ""trailing_stop_loss"": 7}"
1y,baseline,pair,ADA/USDT:USDT,13,102.00784015,10.200784015,3.418558057087537,2.124627719207851,46.15384615384615,3.02219018764297,-0.09663576197330662,56.46153846153846,56.0,118.0,48.08852919,-11.23519559,2.345147779951802,7.041431466360011,0,97.86685324122969,"{""force_exit"": 1, ""roi"": 5, ""stale_loss_72h"": 3, ""stop_loss"": 2, ""trailing_stop_loss"": 2}"
1y,baseline,pair,BNB/USDT:USDT,9,31.66179771,3.1661797710000004,1.8092427635518515,1.8913522119999926,44.44444444444444,0.9824411798461401,-1.1497042210454975,57.888888888888886,35.0,121.0,36.01913501,-11.32710287,2.2227025364819397,5.2066953004240775,0,100.0,"{""roi"": 2, ""stale_flat_120h"": 2, ""stop_loss"": 4, ""swing_exit_long_1d"": 1}"
1y,baseline,pair,BTC/USDT:USDT,11,57.89299799,5.789299799,2.3469776821281276,2.94254387870639,45.45454545454545,1.8150468462158262,-0.09597030213662201,66.0,51.0,130.0,43.46777421,-11.26254354,1.5905316872323694,4.998513291371914,0,100.0,"{""roi"": 3, ""stale_flat_120h"": 2, ""stale_loss_72h"": 1, ""stop_loss"": 3, ""swing_exit_long_1d"": 1, ""trailing_stop_loss"": 1}"
1y,baseline,pair,DOGE/USDT:USDT,6,-18.95404119,-1.8954041190000004,0.4993470014881367,2.8951414320680278,16.666666666666664,-0.21817021700094036,-1.8647781691150183,36.833333333333336,41.0,74.0,18.90459792,-11.67556629,2.5385350945903395,5.103454357228449,0,100.0,"{""roi"": 1, ""stale_loss_72h"": 1, ""stop_loss"": 3, ""trailing_stop_loss"": 1}"
1y,baseline,pair,ETH/USDT:USDT,12,102.40398663,10.240398663,3.030487735491405,1.4888744128320643,41.66666666666667,2.4958094904991612,-1.0065874851050554,43.333333333333336,27.5,133.0,35.97485195,-10.68252069,2.32282123615071,6.034883234700282,0,100.0,"{""roi"": 5, ""stale_loss_72h"": 1, ""stop_loss"": 3, ""trailing_stop_loss"": 3}"
1y,baseline,pair,LINK/USDT:USDT,5,15.562879820000001,1.556287982,1.5066832715162002,1.154145360039386,40.0,1.670452164000466,-3.4525600302844768,16.0,20.0,25.0,23.87001913,-11.8579296,3.50974774993026,4.597859435021756,0,100.0,"{""roi"": 2, ""stop_loss"": 3}"
1y,baseline,pair,NEAR/USDT:USDT,10,50.04747273,5.004747273,1.9519730289610675,2.4250878060303096,40.0,1.8632333357407551,-2.737154100862398,41.8,24.5,223.0,34.24210235,-10.00882771,2.8554227487116624,5.5070959861389275,0,100.0,"{""roi"": 4, ""stop_loss"": 4, ""trailing_stop_loss"": 2}"
1y,baseline,pair,PAXG/USDT:USDT,4,43.976524010000006,4.397652401,3.629570144328752,1.672384519000002,50.0,2.4594368881969415,1.0868112232269724,328.5,400.0,429.0,42.8444889,-8.60223005,5.525330059263598,9.058932527826753,0,100.0,"{""roi"": 1, ""stop_loss"": 2, ""swing_exit_long_1d"": 1}"
1y,baseline,pair,SOL/USDT:USDT,10,47.8043764,4.78043764,1.799937111823654,2.2829538354737897,30.0,0.8644009865703284,-2.6922987864394266,31.1,24.0,74.0,48.05075705,-11.36564162,3.369349595533867,4.996236913851878,0,100.0,"{""roi"": 3, ""stop_loss"": 6, ""trailing_stop_loss"": 1}"
1y,baseline,pair,SUI/USDT:USDT,6,-13.984161840000002,-1.3984161840000002,0.5571942411645847,2.0380917046492177,33.33333333333333,-0.39159420675932305,-2.05186254920709,62.5,44.0,152.0,16.74242181,-11.19071837,3.060429512017432,6.762429027891825,0,100.0,"{""roi"": 1, ""stale_flat_120h"": 1, ""stale_loss_72h"": 1, ""stop_loss"": 3}"
1y,baseline,pair,TAO/USDT:USDT,8,28.16543285,2.816543285,1.83849530928491,2.4887912466442987,50.0,1.172912721977412,-0.5948390607471249,55.25,32.0,143.0,32.87029989,-10.87537742,3.067516210503182,5.898363798791381,0,100.0,"{""roi"": 2, ""stale_flat_120h"": 2, ""stale_loss_72h"": 1, ""stop_loss"": 1, ""trailing_stop_loss"": 2}"
1y,baseline,pair,XRP/USDT:USDT,15,49.12013235,4.912013235,1.7523282141022756,2.671145366715738,33.33333333333333,0.9421427409689968,-0.48731711605384564,64.66666666666667,46.0,266.0,41.63346062,-11.32824335,2.3409733612287598,5.058598015251203,0,100.0,"{""roi"": 3, ""stale_flat_120h"": 1, ""stale_loss_72h"": 3, ""stale_low_profit_240h"": 1, ""stop_loss"": 7}"
1y,baseline,pair,ZEC/USDT:USDT,2,16.6300842,1.66300842,2.6976976474988055,0.9795668989999968,50.0,2.8694400002829474,2.8694400002829474,21.0,21.0,33.0,26.42575319,-9.79566899,2.363417265707944,6.786705154881895,0,100.0,"{""roi"": 1, ""trailing_stop_loss"": 1}"
1y,baseline,side,long,14,185.31779347,18.531779347,4.65843217204224,1.9023773875631491,50.0,3.6325133737927833,1.5732951860789388,140.92857142857142,92.0,429.0,42.8444889,-9.61008214,2.61999449047566,7.358905494987461,0,78.28880498840961,"{""roi"": 6, ""stop_loss"": 5, ""swing_exit_long_1d"": 3}"
1y,baseline,side,short,97,327.01752834,32.701752834000004,1.7079091207926138,8.368918908647244,38.144329896907216,1.2190986903453445,-1.4136308435481033,48.4639175257732,33.0,266.0,48.08852919,-11.8579296,2.6706614350216142,5.514117344165724,0,27.32571383692029,"{""force_exit"": 1, ""roi"": 27, ""stale_flat_120h"": 8, ""stale_loss_72h"": 11, ""stale_low_profit_240h"": 1, ""stop_loss"": 36, ""trailing_stop_loss"": 13}"
1y,baseline,month,2025-06,5,-9.8110216,-0.9811021600000001,0.6775326531307353,2.2480499692574214,20.0,-0.8920500476258286,-3.133205342543032,27.6,24.0,52.0,20.61383132,-7.65298697,3.9038788515485683,5.262235833861218,0,100.0,"{""roi"": 1, ""stop_loss"": 3, ""trailing_stop_loss"": 1}"
1y,baseline,month,2025-07,4,56.48263983,5.648263983,6.156386823214812,0.7559341199999948,50.0,3.8494581592120567,4.425149066948188,81.0,100.0,104.0,34.05993027,-7.5593412,1.7267502246765618,6.225936523671036,0,100.0,"{""roi"": 2, ""stop_loss"": 1, ""swing_exit_long_1d"": 1}"
1y,baseline,month,2025-08,6,1.1332153500000004,0.11332153500000004,1.0325247451206123,3.363173974196201,16.666666666666664,-0.40924143594708845,-1.8768286506092107,37.833333333333336,24.0,110.0,35.97485195,-8.15723606,3.6538412771281816,4.11523383999492,0,100.0,"{""roi"": 1, ""stop_loss"": 3, ""swing_exit_long_1d"": 1, ""trailing_stop_loss"": 1}"
1y,baseline,month,2025-09,9,9.499597969999996,0.9499597969999998,1.3056590840677633,2.2952073504510078,55.55555555555556,-0.052743202251318635,0.0715392892018517,71.88888888888889,74.0,143.0,35.8418551,-8.06092198,2.545844155953052,4.496242500000803,0,100.0,"{""roi"": 1, ""stale_flat_120h"": 4, ""stop_loss"": 3, ""trailing_stop_loss"": 1}"
1y,baseline,month,2025-10,8,21.35102617,2.1351026170000003,1.4782664746607095,3.9169457608992944,25.0,0.4705983192892146,-2.185528383222429,89.625,24.5,429.0,36.01913501,-8.60223005,4.60357643154315,6.7207094095084114,0,100.0,"{""roi"": 2, ""stale_loss_72h"": 1, ""stop_loss"": 4, ""trailing_stop_loss"": 1}"
1y,baseline,month,2025-11,13,84.61767134,8.461767134,2.6598940300648692,1.6269502031355954,53.84615384615385,3.1009355107717904,0.4146374497774663,49.46153846153846,33.0,133.0,34.35006724,-8.88459075,2.578452232959332,7.58182091408514,0,87.01593500346499,"{""roi"": 6, ""stale_flat_120h"": 1, ""stop_loss"": 6}"
1y,baseline,month,2025-12,13,89.29012943000001,8.929012943,2.5144509470776066,3.417856755618223,38.46153846153847,2.0870040809003396,-1.4136308435481033,71.15384615384616,37.0,417.0,41.63346062,-9.61251105,2.2086891815211134,5.174802065891888,0,100.0,"{""roi"": 4, ""stale_loss_72h"": 1, ""stop_loss"": 6, ""swing_exit_long_1d"": 1, ""trailing_stop_loss"": 1}"
1y,baseline,month,2026-01,12,184.35478794,18.435478793999998,6.57773059108314,1.877017275000003,66.66666666666666,4.971332920306773,9.982008741280417,83.16666666666667,43.0,383.0,43.46777421,-9.79566899,1.6501387451886564,7.665227484823794,0,77.85118823434124,"{""roi"": 7, ""stale_flat_120h"": 1, ""stop_loss"": 2, ""trailing_stop_loss"": 2}"
