group_type,group_value,window_h,trades,stop_trades,take_profit_trades,stopped_too_early_pct,took_profit_too_early_pct,hold_would_help_pct,hold_would_hurt_pct,avg_future_favorable_pct,avg_future_adverse_pct,avg_future_close_return_pct,period
exit_reason_group,exit_signal,6,5,0,1,0.0,0.0,40.0,60.0,0.717069765381471,0.8555512573442655,-0.36437932790551053,3y
exit_reason_group,exit_signal,12,5,0,1,0.0,0.0,60.0,40.0,0.7742618323450225,0.9623290906039255,-0.29273320222477256,3y
exit_reason_group,exit_signal,24,5,0,1,0.0,0.0,40.0,60.0,0.9212058964232359,2.031532531394409,-0.5167281624277137,3y
exit_reason_group,exit_signal,48,5,0,1,0.0,0.0,60.0,40.0,2.6028771660732954,2.651290330078726,1.0462738523810673,3y
exit_reason_group,exit_signal,72,5,0,1,0.0,0.0,40.0,60.0,3.325523926089196,3.196583358087571,0.48662801709238845,3y
exit_reason_group,exit_signal,168,5,0,1,0.0,0.0,60.0,40.0,6.4195022115031115,3.7027027975863285,4.632305260170628,3y
exit_reason_group,exit_signal,336,5,0,1,0.0,0.0,80.0,20.0,14.177941482647082,4.31291386898092,10.002167475719459,3y
exit_reason_group,force_exit,6,1,0,1,0.0,0.0,100.0,0.0,1.7985611510791384,1.1390887290167775,0.8992805755395692,3y
exit_reason_group,force_exit,12,1,0,1,0.0,0.0,100.0,0.0,1.7985611510791384,1.1390887290167775,0.599520383693046,3y
exit_reason_group,force_exit,24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3y
exit_reason_group,force_exit,48,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3y
exit_reason_group,force_exit,72,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3y
exit_reason_group,force_exit,168,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3y
exit_reason_group,force_exit,336,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3y
exit_reason_group,roi,6,89,0,89,0.0,38.20224719101123,51.68539325842697,48.31460674157304,3.562505002608526,2.2406910889391485,0.19132695192830856,3y
exit_reason_group,roi,12,89,0,89,0.0,49.43820224719101,40.44943820224719,59.55056179775281,4.852084986718665,2.9804205085118736,0.26673284078355125,3y
exit_reason_group,roi,24,89,0,89,0.0,58.42696629213483,39.325842696629216,60.67415730337079,5.6611974016705675,4.4107025598964285,-1.407074662921408,3y
exit_reason_group,roi,48,89,0,89,0.0,66.29213483146067,41.57303370786517,58.42696629213483,7.330689750198343,6.015038950796409,-1.041418659063591,3y
exit_reason_group,roi,72,89,0,89,0.0,68.53932584269663,47.19101123595505,52.80898876404494,8.311867333569733,7.2920787185048,-1.6192948125864102,3y
exit_reason_group,roi,168,89,0,89,0.0,74.15730337078652,49.43820224719101,50.56179775280899,12.830623852014178,11.222484334247941,0.1173842978479444,3y
exit_reason_group,roi,336,86,0,86,0.0,80.23255813953489,51.162790697674424,48.837209302325576,17.114113792608173,14.536184124514762,2.366764918468948,3y
exit_reason_group,stop_loss,6,119,119,0,15.966386554621847,0.0,65.54621848739495,34.45378151260504,1.7185371517160954,1.387958191713579,0.23964558146824655,3y
exit_reason_group,stop_loss,12,119,119,0,22.689075630252102,0.0,57.14285714285714,42.857142857142854,2.0739827835243054,1.7202718559721835,0.22513312551992348,3y
exit_reason_group,stop_loss,24,119,119,0,37.81512605042017,0.0,54.621848739495796,45.378151260504204,2.8383911824644685,2.176507056860335,0.5440239503787999,3y
exit_reason_group,stop_loss,48,119,119,0,49.57983193277311,0.0,56.30252100840336,43.69747899159664,4.108167812039575,3.3142855431397154,0.7481791013558732,3y
exit_reason_group,stop_loss,72,119,119,0,60.50420168067227,0.0,55.46218487394958,44.537815126050425,5.478175158509872,4.087865726526286,1.2528895016402744,3y
exit_reason_group,stop_loss,168,119,119,0,77.31092436974791,0.0,53.78151260504202,46.21848739495798,8.657502239799202,7.569183575090827,0.17778067007187104,3y
exit_reason_group,stop_loss,336,115,115,0,84.34782608695653,0.0,58.26086956521739,41.73913043478261,11.953749383044439,11.265563048853586,0.04119048907826221,3y
exit_reason_group,timeout,6,44,0,11,0.0,0.0,36.36363636363637,63.63636363636363,0.8087696204861056,1.4431402320716729,-0.4485292084207745,3y
exit_reason_group,timeout,12,44,0,11,0.0,0.0,52.27272727272727,47.72727272727273,1.382765284765429,1.991322425194226,-0.2919621563655683,3y
exit_reason_group,timeout,24,44,0,11,0.0,9.090909090909092,52.27272727272727,47.72727272727273,2.37256093489994,2.342866786427436,0.16293226583718592,3y
exit_reason_group,timeout,48,44,0,11,0.0,54.54545454545454,50.0,50.0,3.8517269881649345,3.93021493028205,-0.07132592451837413,3y
exit_reason_group,timeout,72,44,0,11,0.0,72.72727272727273,59.09090909090909,40.909090909090914,4.781456907568705,4.388000847323726,0.6671616994110617,3y
exit_reason_group,timeout,168,43,0,11,0.0,81.81818181818183,51.162790697674424,48.837209302325576,6.97687453659101,6.28284827107165,1.0870724307383168,3y
exit_reason_group,timeout,336,43,0,11,0.0,81.81818181818183,51.162790697674424,48.837209302325576,13.595650959920683,10.278520934236093,-0.49812502826202604,3y
exit_reason_group,trailing_stop_loss,6,33,33,0,6.0606060606060606,0.0,51.515151515151516,48.484848484848484,1.3197953159165023,1.4973095827100624,-0.3744972463618753,3y
exit_reason_group,trailing_stop_loss,12,33,33,0,15.151515151515152,0.0,51.515151515151516,48.484848484848484,1.686033438064614,2.157764683891628,-0.31258691709229147,3y
exit_reason_group,trailing_stop_loss,24,33,33,0,33.33333333333333,0.0,54.54545454545454,45.45454545454545,2.506932318984769,2.6777971223047974,-0.11263407254484537,3y
exit_reason_group,trailing_stop_loss,48,33,33,0,48.484848484848484,0.0,51.515151515151516,48.484848484848484,3.4406924923717366,3.7881955202778252,0.11634887106092154,3y
exit_reason_group,trailing_stop_loss,72,33,33,0,60.60606060606061,0.0,57.57575757575758,42.42424242424242,4.893099299223024,4.388269038903285,0.136584348255518,3y
