pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,orders,funding_fees,weekday,false_breakdown,quick_reverse_1h_5h,is_loser,entry_candle_body_ratio,entry_candle_close_position,breakdown_depth,pullback_depth,compression_width,compression_duration,atr_percentile_1h,atr_percentile_4h,pair_ema50_slope_4h,pair_range_market_4h,btc_regime_4h,btc_regime_1d,prev_3h_return,prev_6h_return,prev_12h_return,prev_24h_return,distance_to_ema50_4h,distance_to_ema50_1d,short_term_oversold,long_lower_shadow,close_not_low_enough,analysis_period
ADA/USDT:USDT,463.0456,463.0456,772.0,2025-11-02 15:00:00+00:00,2025-11-03 15:00:00+00:00,0.5998,0.5392,0.0005,0.0005,1440,0.10003342899613946,46.29687913,roi,0.6357,-0.06,0.6196,-0.03303534700775912,0.5244,0.612,False,short_pullback_restart,1.0,True,1762095600000,1762182000000,"[{'amount': 772.0, 'safe_price': 0.5998, 'ft_order_side': 'sell', 'order_filled_timestamp': 1762095600000, 'ft_is_entry': True, 'ft_order_tag': 'short_pullback_restart', 'cost': 463.2771228}, {'amount': 772.0, 'safe_price': 0.5392, 'ft_order_side': 'buy', 'order_filled_timestamp': 1762182000000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 416.4705312}]",-0.046666872852924,0,True,True,False,0.6052631578947402,0.2894736842105245,0.007776307081403106,0.023494374586366627,0.023678505919626464,35.0,0.16805555555555557,0.2777777777777778,-0.004252412429369468,False,down,range,-0.0019743336623888608,-0.01717433570965643,-0.0032862306933947316,-0.0065509335080249365,-0.049482776230486136,-0.16450173610297214,False,False,False,1y
ADA/USDT:USDT,377.7312,377.7312,672.0,2025-11-11 20:00:00+00:00,2025-11-14 12:00:00+00:00,0.5621,0.5055,0.0005,0.0005,3840,0.09998514767884531,37.74862606,roi,0.5958,-0.06,0.5854,-0.05512595473162496,0.4994,0.5805,False,short_compression_breakdown,1.0,True,1762891200000,1763121600000,"[{'amount': 672.0, 'safe_price': 0.5621, 'ft_order_side': 'sell', 'order_filled_timestamp': 1762891200000, 'ft_is_entry': True, 'ft_order_tag': 'short_compression_breakdown', 'cost': 377.92006560000004}, {'amount': 672.0, 'safe_price': 0.5055, 'ft_order_side': 'buy', 'order_filled_timestamp': 1763121600000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 339.86584799999997}]",0.0721396562537952,4,True,False,False,0.8205128205128125,0.1794871794871875,0.007417873542917664,0.031437654539032016,0.03167259786476855,12.0,0.6041666666666666,0.5611111111111111,-0.0007764728662168485,False,down,range,-0.005946135012241949,-0.017798513910489033,-0.025210084033613356,-0.026212095254411483,-0.02180526699417007,-0.16102901801110203,False,False,False,1y
ADA/USDT:USDT,416.2303,416.2303,1061.0,2025-12-15 15:00:00+00:00,2025-12-18 17:00:00+00:00,0.3923,0.3528,0.0005,0.0005,4440,0.10001386158048779,41.60798521,roi,0.4158,-0.06,0.4073,-0.0718911101943569,0.3502,0.4,False,short_pullback_restart,1.0,True,1765810800000,1766077200000,"[{'amount': 1061.0, 'safe_price': 0.3923, 'ft_order_side': 'sell', 'order_filled_timestamp': 1765810800000, 'ft_is_entry': True, 'ft_order_tag': 'short_pullback_restart', 'cost': 416.43841514999997}, {'amount': 1061.0, 'safe_price': 0.3528, 'ft_order_side': 'buy', 'order_filled_timestamp': 1766077200000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 374.5079604}]",0.0937607608150145,3,False,False,False,0.5185185185185199,0.19753086419752977,0.01900950475237618,0.04193300946049596,0.01963284038755733,12.0,0.30277777777777776,0.3333333333333333,-0.006397654192474289,False,down,down,-0.009151620084095868,-0.0034825870646766344,-0.0022415940224159714,-0.0034825870646766344,-0.060570347778502454,-0.20255082449735917,False,False,False,1y
ADA/USDT:USDT,638.6688,638.6688,1728.0,2025-12-21 02:00:00+00:00,2025-12-22 15:00:00+00:00,0.3696,0.3798,0.0005,0.0005,2220,-0.028690925279909876,-18.31483682,stop_loss,0.3917,-0.06,0.3798,-0.027788805626171476,0.3573,0.3822,False,short_pullback_restart,1.0,True,1766282400000,1766415600000,"[{'amount': 1728.0, 'safe_price': 0.3696, 'ft_order_side': 'sell', 'order_filled_timestamp': 1766282400000, 'ft_is_entry': True, 'ft_order_tag': 'short_pullback_restart', 'cost': 638.9881343999999}, {'amount': 1728.0, 'safe_price': 0.3798, 'ft_order_side': 'buy', 'order_filled_timestamp': 1766415600000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 656.6225472}]",-0.041755220079897605,0,True,False,True,0.361111111111103,0.2777777777777786,0.0029778018408229286,0.026800216567406658,0.02688026065707309,15.0,0.03194444444444444,0.09444444444444444,-0.00409722717544958,False,range,range,-0.014666666666666717,-0.014929352172753929,-0.020413573700954313,-0.012296177492648996,-0.04271896974907996,-0.20925409404719797,False,False,False,1y
ADA/USDT:USDT,530.7497,530.7497,1469.0,2025-12-23 14:00:00+00:00,2025-12-27 21:00:00+00:00,0.3613,0.3617,0.0005,0.0005,6180,-0.0017341790442910318,-0.9199548,stale_loss_72h,0.3829,-0.06,0.3726,-0.043573259739807746,0.3389,0.3702,False,short_compression_breakdown,1.0,True,1766498400000,1766869200000,"[{'amount': 1469.0, 'safe_price': 0.3613, 'ft_order_side': 'sell', 'order_filled_timestamp': 1766498400000, 'ft_is_entry': True, 'ft_order_tag': 'short_compression_breakdown', 'cost': 531.0150748499999}, {'amount': 1469.0, 'safe_price': 0.3617, 'ft_order_side': 'buy', 'order_filled_timestamp': 1766869200000, 'ft_is_entry': False, 'ft_order_tag': 'stale_loss_72h', 'cost': 531.60296865}]",0.1986886972802914,5,True,True,True,0.6530612244897899,0.16326530612245313,0.0022099447513811254,0.02900552486187848,0.02906976744186049,12.0,0.2875,0.36666666666666664,-0.004404807883416795,False,down,range,0.0005492996429552477,-0.0008228195282500295,-0.021488047273704014,-0.024109295472810044,-0.0417439092224593,-0.21161300917271952,False,False,False,1y
ADA/USDT:USDT,514.073,514.073,1426.0,2026-01-20 09:00:00+00:00,2026-01-21 22:00:00+00:00,0.3605,0.3728,0.0005,0.0005,2220,-0.0350037518832363,-17.9854865,trailing_stop_loss,0.3821,-0.06,0.3728,-0.04022187380386244,0.3462,0.374,False,short_pullback_restart,1.0,True,1768899600000,1769032800000,"[{'amount': 1426.0, 'safe_price': 0.3605, 'ft_order_side': 'sell', 'order_filled_timestamp': 1768899600000, 'ft_is_entry': True, 'ft_order_tag': 'short_pullback_restart', 'cost': 514.3300365}, {'amount': 1426.0, 'safe_price': 0.3728, 'ft_order_side': 'buy', 'order_filled_timestamp': 1769032800000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 531.8786064}]",0.07715639728251959,2,False,False,True,0.5652173913043528,0.3586956521739103,0.007705008255366056,0.025055066079295144,0.024681087077093787,12.0,0.5486111111111112,0.6722222222222223,-0.007735351138542734,False,range,down,0.000273522975930085,-0.007867607162235335,-0.013487995683841292,0.005222649807586688,-0.06747449524755367,-0.11692677871278567,False,False,True,1y
ADA/USDT:USDT,531.2064,531.2064,1516.0,2026-01-29 03:00:00+00:00,2026-01-31 04:00:00+00:00,0.3504,0.315,0.0005,0.0005,2940,0.09989936721698157,53.04064963,roi,0.3714,-0.06,0.3622,-0.04573535932954975,0.3142,0.353,False,short_pullback_restart,1.0,True,1769655600000,1769832000000,"[{'amount': 1516.0, 'safe_price': 0.3504, 'ft_order_side': 'sell', 'order_filled_timestamp': 1769655600000, 'ft_is_entry': True, 'ft_order_tag': 'short_pullback_restart', 'cost': 531.4720032}, {'amount': 1516.0, 'safe_price': 0.315, 'ft_order_side': 'buy', 'order_filled_timestamp': 1769832000000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 477.77877}]",-0.12137716538185679,5,True,True,False,0.11428571428571746,0.37142857142857777,-0.004581901489117956,0.034936998854524594,0.03477765108323828,12.0,0.6430555555555556,0.2,-0.0012698010733612763,False,down,down,-0.021223122032951625,-0.019306099608282112,-0.02204241071428581,-0.02012859938495959,-0.023336386934865616,-0.10458626296948559,False,False,True,1y
ADA/USDT:USDT,472.648,472.648,1804.0,2026-02-10 07:00:00+00:00,2026-02-13 08:00:00+00:00,0.262,0.2619,0.0005,0.0005,4380,-0.0009663576139045301,-0.45651862,stale_loss_72h,0.2777,-0.06,0.2726,-0.03879406338646296,0.2502,0.2694,False,short_pullback_restart,1.0,True,1770706800000,1770969600000,"[{'amount': 1804.0, 'safe_price': 0.262, 'ft_order_side': 'sell', 'order_filled_timestamp': 1770706800000, 'ft_is_entry': True, 'ft_order_tag': 'short_pullback_restart', 'cost': 472.884324}, {'amount': 1804.0, 'safe_price': 0.2619, 'ft_order_side': 'buy', 'order_filled_timestamp': 1770969600000, 'ft_is_entry': False, 'ft_order_tag': 'stale_loss_72h', 'cost': 472.70383380000004}]",-0.164360824674948,4,True,True,True,0.7142857142857126,0.14285714285714934,0.008327024981074866,0.05319969159599066,0.03435114503816797,12.0,0.5805555555555556,0.6777777777777778,-0.006543788291301755,False,down,down,-0.013377926421404673,-0.015572858731924266,-0.023178807947019764,-0.024972456849063462,-0.06594031432013969,-0.24873782512651943,False,False,False,1y
ADA/USDT:USDT,779.7005,779.7005,2855.0,2026-02-22 13:00:00+00:00,2026-02-25 13:00:00+00:00,0.2731,0.28,0.0005,0.0005,4320,-0.026494324973774682,-20.64730961,trailing_stop_loss,0.2894,-0.06,0.28,-0.033593825899661534,0.2534,0.28,False,short_compression_breakdown,1.0,True,1771765200000,1772024400000,"[{'amount': 2855.0, 'safe_price': 0.2731, 'ft_order_side': 'sell', 'order_filled_timestamp': 1771765200000, 'ft_is_entry': True, 'ft_order_tag': 'short_compression_breakdown', 'cost': 780.09035025}, {'amount': 2855.0, 'safe_price': 0.28, 'ft_order_side': 'buy', 'order_filled_timestamp': 1772024400000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 799.7997}]",-0.15825935755470097,2,False,False,True,0.7878787878787925,0.1212121212121258,0.006188569348379976,0.01929377502730261,0.01941391941391951,12.0,0.043055555555555555,0.11666666666666667,-0.0019049662842716142,False,down,down,0.0018175209014903437,0.0003629764065335994,-0.01465856274579902,-0.027179668196258278,-0.019324983701735743,-0.15043597085067983,False,False,False,1y
ADA/USDT:USDT,899.64,899.64,3570.0,2026-03-27 09:00:00+00:00,2026-04-01 07:00:00+00:00,0.252,0.2519,0.0005,0.0005,7080,-0.0012982868874301986,-1.16740682,stale_loss_72h,0.2671,-0.06,0.2578,-0.02303780260540189,0.2324,0.2547,False,short_compression_breakdown,1.0,True,1774602000000,1775026800000,"[{'amount': 3570.0, 'safe_price': 0.252, 'ft_order_side': 'sell', 'order_filled_timestamp': 1774602000000, 'ft_is_entry': True, 'ft_order_tag': 'short_compression_breakdown', 'cost': 900.0898199999999}, {'amount': 3570.0, 'safe_price': 0.2519, 'ft_order_side': 'buy', 'order_filled_timestamp': 1775026800000, 'ft_is_entry': False, 'ft_order_tag': 'stale_loss_72h', 'cost': 899.7326415}]",-0.624945318464922,2,False,False,True,0.49019607843137364,0.39215686274509887,0.0011885895404121333,0.01980982567353409,0.019833399444664834,17.0,0.16666666666666666,0.24444444444444444,-0.0051006681126510856,False,down,down,0.00275590551181093,-0.0031311154598826496,0.00513022888713488,-0.027491408934708028,-0.03971544587841258,-0.10118198246097909,False,False,True,1y
