pair,open_date,enter_tag,bucket,base_profit_abs,a1_profit_abs,delta_abs,base_profit_pct,a1_profit_pct,base_exit,a1_exit,base_stake,a1_stake,a1_partial_exits
NEAR/USDT:USDT,2023-08-21 11:00:00+00:00,short_pullback_restart,loss_to_profit,-7.92990161,0.176915,8.10681661,-3.4175318516627624,0.07587273425816599,stop_loss,trailing_stop_loss,232.152,233.29,0
XRP/USDT:USDT,2023-08-22 14:00:00+00:00,short_pullback_restart,loss_to_profit,-7.80329983,0.0509367,7.8542365300000005,-2.1708880162445756,0.014106252317818882,stop_loss,trailing_stop_loss,359.63179,361.27371,0
ETH/USDT:USDT,2023-08-24 15:00:00+00:00,short_pullback_restart,loss_to_more_loss,-3.19687999,-3.25691529,-0.060035300000000014,-0.912808233773464,-0.9128082323787043,stale_loss_72h,stale_loss_72h,350.39991,356.98019,0
SOL/USDT:USDT,2023-08-24 15:00:00+00:00,short_pullback_restart,loss_to_less_loss,-0.3248595,-0.24604371,0.07881579000000002,-0.16461119746561645,-0.1221779420785025,stale_loss_72h,trailing_stop_loss,197.4483,201.48219,0
ZEC/USDT:USDT,2023-08-24 15:00:00+00:00,short_pullback_restart,loss_to_profit,-2.6067688,0.01778779,2.62455659,-1.1660219760472375,0.00780199599225972,stale_loss_72h,trailing_stop_loss,223.6727,228.1043,0
ETH/USDT:USDT,2023-09-01 15:00:00+00:00,short_compression_breakdown,loss_to_more_loss,-0.17948032,-0.18283509,-0.003354770000000007,-0.051485304448516435,-0.05148530379058603,stale_loss_72h,stale_loss_72h,348.77934,355.29858,0
SOL/USDT:USDT,2023-09-01 15:00:00+00:00,short_compression_breakdown,loss_to_more_loss,-7.78576492,-7.91989713,-0.13413220999999975,-3.1485333337031456,-3.1485333349266074,stop_loss,stop_loss,247.40598,251.66826,0
XRP/USDT:USDT,2023-09-01 15:00:00+00:00,short_compression_breakdown,loss_to_profit,-7.33219535,0.04077401,7.37296936,-2.099222349431521,0.011469659422106272,stop_loss,trailing_stop_loss,349.45623,355.67235,0
BTC/USDT:USDT,2023-09-04 22:00:00+00:00,short_pullback_restart,same,-4.44146419,-4.44146419,0.0,-1.3319072265917424,-1.3319072265917424,trailing_stop_loss,trailing_stop_loss,333.6333,333.6333,0
DOGE/USDT:USDT,2023-09-04 22:00:00+00:00,short_pullback_restart,loss_to_more_loss,-7.24065477,-7.42540546,-0.18475069000000044,-2.1052578544285034,-2.105257853934419,stop_loss,stop_loss,344.10402,352.88409,0
XRP/USDT:USDT,2023-09-06 15:00:00+00:00,short_pullback_restart,loss_to_more_loss,-4.95646232,-5.08308727,-0.12662495000000007,-1.4516404815719257,-1.4516404816344621,stop_loss,stop_loss,341.6095,350.33675,0
SUI/USDT:USDT,2023-09-11 09:00:00+00:00,short_compression_breakdown,loss_to_less_loss,-0.32162477,-0.01087749,0.31074728,-0.21336766387102507,-0.00703639569383376,stale_loss_72h,trailing_stop_loss,150.81276,154.66628,0
SUI/USDT:USDT,2023-09-17 17:00:00+00:00,short_compression_breakdown,loss_to_profit,-6.11039652,0.03501217,6.14540869,-2.490075159675305,0.013907224851406622,trailing_stop_loss,trailing_stop_loss,245.5128,251.8812,0
ADA/USDT:USDT,2023-09-26 16:00:00+00:00,short_pullback_restart,loss_to_more_loss,-3.54147409,-3.65746123,-0.1159871400000001,-1.0547163396339343,-1.0547163388594805,trailing_stop_loss,trailing_stop_loss,335.943,346.9455,0
SUI/USDT:USDT,2023-10-09 09:00:00+00:00,short_pullback_restart,profit_to_loss,28.6092972,-0.9846396,-29.5939368,10.00025469292477,-0.33338347495426035,roi,trailing_stop_loss,286.2288,295.4952,0
XRP/USDT:USDT,2023-10-12 09:00:00+00:00,short_pullback_restart,loss_to_more_loss,-7.34057614,-7.5713528,-0.23077666000000008,-2.8183832751692,-2.818383275902664,stop_loss,stop_loss,260.58373,268.77609,0
ETH/USDT:USDT,2023-10-12 10:00:00+00:00,short_pullback_restart,loss_to_more_loss,-6.65191759,-6.86649557,-0.2145779799999996,-1.9902485935565402,-1.9902485915930455,stop_loss,stop_loss,334.39266,345.17952,0
BTC/USDT:USDT,2023-10-24 00:00:00+00:00,long_1d_center_compression,profit_to_less_profit,33.0904137,31.33409579,-1.75631791,9.999962738592002,9.469201358080106,roi,swing_exit_long_1d,330.74,165.37,1
ADA/USDT:USDT,2023-11-03 00:00:00+00:00,long_1d_center_compression,loss_to_less_loss,-7.09679091,-7.05627641,0.04051450000000045,-2.087548125658262,-2.087548127335924,stop_loss,stop_loss,339.7883,337.8485,0
DOGE/USDT:USDT,2023-11-07 00:00:00+00:00,long_1d_center_compression,loss_to_less_loss,-7.08023021,-7.04014738,0.040082830000000236,-2.0967051479531706,-2.0967051464674364,stop_loss,stop_loss,337.51488,335.60413,0
ETH/USDT:USDT,2023-11-10 00:00:00+00:00,long_1d_center_compression,loss_to_less_loss,-7.49930553,-7.3152735,0.18403203,-2.1661210445077552,-2.1661210467422,stop_loss,stop_loss,346.03596,337.54428,0
NEAR/USDT:USDT,2023-12-03 00:00:00+00:00,long_1d_center_compression,loss_to_less_loss,-7.17264144,-7.13044943,0.042192009999999947,-2.0970125812572697,-2.0970125808074807,stop_loss,stop_loss,341.87,339.859,0
ETH/USDT:USDT,2023-12-05 00:00:00+00:00,long_1d_center_compression,same,-7.14616422,-7.14616422,0.0,-2.1082396203979044,-2.1082396203979044,stop_loss,stop_loss,338.79417,338.79417,0
ZEC/USDT:USDT,2023-12-31 21:00:00+00:00,short_pullback_restart,profit_to_less_profit,17.68679097,0.14921737,-17.5375736,9.99092847938798,0.08446218163848083,roi,trailing_stop_loss,177.11706,176.75605,0
BTC/USDT:USDT,2024-01-03 00:00:00+00:00,long_1d_center_compression,same,-6.72809798,-6.72809798,0.0,-2.135800185478561,-2.135800185478561,stop_loss,stop_loss,314.8579,314.8579,0
ADA/USDT:USDT,2024-01-18 11:00:00+00:00,short_pullback_restart,loss_to_profit,-1.80979038,0.17231248,1.98210286,-0.6710861257754578,0.06514049307637776,stale_loss_72h,trailing_stop_loss,269.8157,264.6567,0
XRP/USDT:USDT,2024-01-19 15:00:00+00:00,short_compression_breakdown,loss_to_profit,-5.65599274,0.06733255,5.72332529,-1.6593796091862374,0.020153326753760796,stop_loss,trailing_stop_loss,341.02035,334.26855,0
BTC/USDT:USDT,2024-01-19 17:00:00+00:00,short_compression_breakdown,same,-6.367124,-6.367124,0.0,-3.15294722142182,-3.15294722142182,stop_loss,stop_loss,202.043,202.043,0
NEAR/USDT:USDT,2024-01-21 16:00:00+00:00,short_pullback_restart,profit_to_less_profit,23.68509285,17.5641723,-6.120920550000001,9.997022156876616,7.507341079811214,roi,trailing_stop_loss,237.04,118.52,1
XRP/USDT:USDT,2024-01-22 00:00:00+00:00,short_pullback_restart,profit_to_less_profit,33.62450197,25.483310109999998,-8.14119186,10.006139861334052,7.675773992404785,roi,trailing_stop_loss,336.2068,166.08135,1
BTC/USDT:USDT,2024-01-22 02:00:00+00:00,short_pullback_restart,loss_to_profit,-0.63192286,0.41660114,1.048524,-0.19106001232044878,0.12595812555525052,stale_loss_72h,trailing_stop_loss,330.9112,330.9112,0
ETH/USDT:USDT,2024-01-29 14:00:00+00:00,short_pullback_restart,loss_to_less_loss,-5.88809769,-5.77264479,0.11545290000000019,-1.7161580503858687,-1.716158049161727,stop_loss,stop_loss,343.26927,336.5385,0
ZEC/USDT:USDT,2024-02-04 23:00:00+00:00,short_compression_breakdown,profit_to_less_profit,29.45217353,21.6016285,-7.850545029999999,10.016427367837517,7.527779188665326,roi,trailing_stop_loss,294.1858,143.5512,1
BTC/USDT:USDT,2024-02-08 00:00:00+00:00,long_1d_center_compression,profit_to_more_profit,35.47862313,41.15192068,5.673297550000001,9.999958456846775,13.256030522511065,roi,structure_exit_long_1d,354.6104,177.3052,1
BNB/USDT:USDT,2024-02-09 00:00:00+00:00,long_1d_center_compression,profit_to_less_profit,36.32946872,1.29508053,-35.03438819,9.999381240359874,0.3694222256497909,roi,trailing_stop_loss,363.1356,350.394,0
SOL/USDT:USDT,2024-02-09 00:00:00+00:00,long_1d_center_compression,profit_to_less_profit,32.17455778,26.087363500000002,-6.0871942799999985,10.000072311384656,7.530697109249999,roi,trailing_stop_loss,321.58246,173.63398,1
BTC/USDT:USDT,2024-02-27 00:00:00+00:00,long_1d_center_compression,profit_to_more_profit,38.17695437,52.757755700000004,14.580801330000007,9.999917562201942,16.1223462134421,roi,swing_exit_long_1d,381.5819,109.0234,2
NEAR/USDT:USDT,2024-03-26 00:00:00+00:00,long_1d_center_compression,loss_to_less_loss,-9.51303171,-0.83422107,8.67881064,-2.3173964346123306,-0.21494229942154103,stop_loss,trailing_stop_loss,410.3,387.92,0
SUI/USDT:USDT,2024-03-28 00:00:00+00:00,long_1d_center_compression,loss_to_less_loss,-8.79865966,-0.76645977,8.032199890000001,-2.1462918360013608,-0.1942550516302003,stop_loss,trailing_stop_loss,409.74216,394.36644,0
