window,strategy,trades,profit_pct,profit_factor,max_drawdown_pct,winrate_pct,avg_duration
3y,DualTrendRawBreakevenGuardStrategy,321,144.67,2.21,7.13,50.16,
3y,DualTrendRawBreakevenGuardStrongRunnerStructureStrategy,335,155.07,2.22,5.77,52.84,"1 day, 4:08:00"
1y,DualTrendRawBreakevenGuardStrategy,127,41.72,2.36,4.85,53.54,
1y,DualTrendRawBreakevenGuardStrongRunnerStructureStrategy,135,47.75,2.41,4.84,54.81,"1 day, 7:09:00"
pressure,DualTrendRawBreakevenGuardStrategy,18,-1.55,0.64,3.30,33.33,
pressure,DualTrendRawBreakevenGuardStrongRunnerStructureStrategy,20,1.91,1.38,3.30,35.00,"1 day, 6:47:00"
repair,DualTrendRawBreakevenGuardStrategy,10,1.20,1.53,2.19,60.00,
repair,DualTrendRawBreakevenGuardStrongRunnerStructureStrategy,11,-0.45,0.80,2.21,63.64,"11:19:00"
