pair,open_date,enter_tag,baseline_profit_abs,baseline_profit_ratio,variant_profit_abs,variant_profit_ratio,delta_profit_abs,bucket,baseline_exit_reason,variant_exit_reason,baseline_exit_orders,variant_exit_orders
ADA/USDT:USDT,2023-08-06 14:00:00+00:00,short_pullback_restart,-4.2779301,-0.014517619743190005,-4.91750183,-0.014517619749620615,-0.6395717300000001,loss_to_more_loss,stop_loss,stop_loss,1,1
ADA/USDT:USDT,2023-08-15 19:00:00+00:00,short_pullback_restart,32.66442434,0.09993906771496618,47.0985356,0.13968621400601514,14.434111260000002,profit_to_more_profit,roi,trailing_stop_loss,1,1
ADA/USDT:USDT,2023-09-26 16:00:00+00:00,short_pullback_restart,-3.54147409,-0.010547163396339343,-3.79149082,-0.010547163396926476,-0.25001673,loss_to_more_loss,trailing_stop_loss,trailing_stop_loss,1,1
ADA/USDT:USDT,2023-11-03 00:00:00+00:00,long_1d_center_compression,-7.09679091,-0.02087548125658262,-7.31962069,-0.020875481253190623,-0.22282977999999964,loss_to_less_loss,stop_loss,stop_loss,1,1
ADA/USDT:USDT,2024-01-18 11:00:00+00:00,short_pullback_restart,-1.80979038,-0.006710861257754578,0.17869443,0.000651404953716024,1.9884848099999999,loss_to_profit,stale_loss_72h,trailing_stop_loss,1,1
ADA/USDT:USDT,2024-04-25 11:00:00+00:00,short_compression_breakdown,-3.36059179,-0.014852130928722765,0.12175411,0.000538092126574562,3.4823459,loss_to_profit,stale_loss_72h,trailing_stop_loss,1,1
ADA/USDT:USDT,2024-05-08 00:00:00+00:00,short_compression_breakdown,-8.88940238,-0.03481574550430184,-8.93546146,-0.03481574550551315,-0.04605908000000092,loss_to_more_loss,stop_loss,stop_loss,1,1
ADA/USDT:USDT,2024-06-02 18:00:00+00:00,short_pullback_restart,-8.46014396,-0.022944595893452345,-8.59281208,-0.022944595893452345,-0.13266811999999994,other,trailing_stop_loss,trailing_stop_loss,1,1
ADA/USDT:USDT,2024-06-10 07:00:00+00:00,short_pullback_restart,-8.25181568,-0.02055527417632919,-8.38679631,-0.02055527418303778,-0.13498062999999938,loss_to_more_loss,stop_loss,stop_loss,1,1
ADA/USDT:USDT,2024-07-07 14:00:00+00:00,short_pullback_restart,-8.63964846,-0.04562781450901164,0.03608271,0.00019164112149732846,8.67573117,loss_to_profit,stop_loss,trailing_stop_loss,1,1
ADA/USDT:USDT,2024-08-30 12:00:00+00:00,short_pullback_restart,27.01968567,0.10012449178352549,23.82542927,0.0910098249010272,-3.1942564000000004,profit_to_less_profit,roi,trailing_stop_loss,1,2
ADA/USDT:USDT,2024-10-09 13:00:00+00:00,short_compression_breakdown,-9.99944048,-0.025505622515518828,0.10426965,0.0002871086304353884,10.103710130000001,loss_to_profit,stop_loss,trailing_stop_loss,1,1
ADA/USDT:USDT,2024-12-03 00:00:00+00:00,long_1d_center_compression,47.32611587,0.10000208162129634,22.50301164,0.051197470959544744,-24.823104230000002,profit_to_less_profit,roi,trailing_stop_loss,1,1
ADA/USDT:USDT,2025-03-18 14:00:00+00:00,short_compression_breakdown,-13.25602437,-0.043301766912872235,-11.12082581,-0.04330176689823798,2.135198560000001,loss_to_less_loss,trailing_stop_loss,trailing_stop_loss,1,1
ADA/USDT:USDT,2025-03-23 19:00:00+00:00,short_pullback_restart,-14.20124107,-0.03430321889697674,-11.94141209,-0.03430321889981569,2.25982898,loss_to_more_loss,stop_loss,stop_loss,1,1
ADA/USDT:USDT,2025-04-06 08:00:00+00:00,short_compression_breakdown,45.475365,0.1000191562364606,47.4629583,0.12467431633303773,1.9875933000000003,profit_to_more_profit,roi,trailing_stop_loss,1,2
ADA/USDT:USDT,2025-06-02 09:00:00+00:00,short_pullback_restart,-14.20631418,-0.029765852711967772,-12.46798882,-0.029765852721033784,1.7383253599999993,loss_to_more_loss,stop_loss,stop_loss,1,1
ADA/USDT:USDT,2025-06-12 20:00:00+00:00,short_compression_breakdown,35.77200939,0.09995839759521374,42.79299889,0.144354554718423,7.020989499999999,profit_to_more_profit,roi,trailing_stop_loss,1,2
