pair,enter_tag,open_date,baseline_profit_abs,candidate_profit_abs,delta_profit_abs,baseline_profit_ratio,candidate_profit_ratio,delta_profit_ratio,baseline_exit_reason,candidate_exit_reason,baseline_orders,candidate_orders
SOL/USDT:USDT,short_compression_breakdown,2025-02-05 16:00:00+00:00,-0.04184511,-0.04214834,-0.00030323000000000155,-0.00015045483204933585,-0.000150454848345567,-1.629623115595967e-11,trailing_stop_loss,trailing_stop_loss,2,2
SOL/USDT:USDT,short_compression_breakdown,2025-02-24 02:00:00+00:00,27.13075487,27.29419315,0.16343828000000116,0.10000002591155999,0.10000002590295232,-8.607670132221301e-12,roi,roi,2,2
SOL/USDT:USDT,short_compression_breakdown,2026-01-29 15:15:00+00:00,-0.14471759,-0.14894012,-0.004222530000000002,-0.00032641366278256294,-0.000326413664642787,-1.8602240516203683e-12,trailing_stop_loss,trailing_stop_loss,2,2
SOL/USDT:USDT,short_compression_breakdown,2026-02-10 19:00:00+00:00,0.0146698,0.01507208,0.00040227999999999965,3.237068789716607e-05,3.2370688525385554e-05,6.282194816437103e-13,trailing_stop_loss,trailing_stop_loss,2,2
SOL/USDT:USDT,short_compression_breakdown,2026-03-07 20:00:00+00:00,-0.22736911,-0.23494808,-0.0075789699999999904,-0.0003831070750065897,-0.00038310707446305534,5.435343473046694e-13,trailing_stop_loss,trailing_stop_loss,2,2
SOL/USDT:USDT,short_compression_breakdown,2026-06-10 09:00:00+00:00,-19.1156,-19.7928384,-0.6772384000000002,-0.03437767956013238,-0.03437767956013238,0.0,trailing_stop_loss,trailing_stop_loss,2,2
SOL/USDT:USDT,short_pullback_restart,2023-08-24 15:00:00+00:00,10.46437731,-0.32349873,-10.78787604,0.05021675600044371,-0.0012450047005140726,-0.05146176070095778,partial_exit,trailing_stop_loss,2,3
SOL/USDT:USDT,short_pullback_restart,2025-02-06 15:00:00+00:00,0.0227846,0.02027339,-0.00251121,9.814684311658662e-05,6.989929694475725e-05,-2.8247546171829364e-05,trailing_stop_loss,trailing_stop_loss,2,3
SOL/USDT:USDT,short_pullback_restart,2025-02-16 14:00:00+00:00,17.63450847,17.63450847,0.0,0.05031888317461217,0.05031888317461217,0.0,partial_exit,partial_exit,2,2
SOL/USDT:USDT,short_pullback_restart,2025-03-30 14:00:00+00:00,-12.45126631,-12.62614364,-0.17487733000000105,-0.028364240613393626,-0.028364240600331297,1.306232899622728e-11,stop_loss,stop_loss,2,2
SOL/USDT:USDT,short_pullback_restart,2025-04-05 14:00:00+00:00,13.55082918,17.06871444,3.5178852600000017,0.05161426976713515,0.05135367281887181,-0.0002605969482633447,partial_exit,partial_exit,2,3
SOL/USDT:USDT,short_pullback_restart,2025-06-05 14:00:00+00:00,20.15227797,24.73468281,4.582404839999999,0.05262084060719534,0.05092286570396753,-0.00169797490322781,partial_exit,partial_exit,2,3
SOL/USDT:USDT,short_pullback_restart,2025-06-19 15:00:00+00:00,-12.78446956,-13.04989108,-0.2654215200000003,-0.030930916497967736,-0.030930916513714428,-1.574669214465807e-11,stop_loss,stop_loss,2,2
SOL/USDT:USDT,short_pullback_restart,2025-06-21 18:00:00+00:00,22.15092938,22.60608546,0.4551560799999983,0.054767856717925154,0.05476785671029197,-7.633185750144378e-12,partial_exit,partial_exit,2,2
SOL/USDT:USDT,short_pullback_restart,2025-10-19 09:00:00+00:00,-14.8406544,-15.13578105,-0.29512665000000027,-0.022915059224527516,-0.022915059224527516,0.0,stop_loss,stop_loss,2,2
SOL/USDT:USDT,short_pullback_restart,2025-10-20 17:00:00+00:00,-0.02744479,-0.03090209,-0.0034573,-7.751329599630371e-05,-6.856635235207043e-05,8.946943644233275e-06,trailing_stop_loss,trailing_stop_loss,2,3
SOL/USDT:USDT,short_pullback_restart,2025-12-21 02:00:00+00:00,-10.639511,-10.93403033,-0.29451932999999997,-0.014726264841607316,-0.014726264834011014,7.596302059598159e-12,stop_loss,stop_loss,2,2
SOL/USDT:USDT,short_pullback_restart,2026-01-27 14:00:00+00:00,-14.41703933,-14.80483944,-0.3878001100000006,-0.018535842348017306,-0.018535842349820045,-1.8027385140229057e-12,stop_loss,stop_loss,2,2
SOL/USDT:USDT,short_pullback_restart,2026-02-03 15:00:00+00:00,-0.03021114,-0.03104195,-0.0008308099999999978,-7.498078271126038e-05,-7.498079152771324e-05,-8.816452857487653e-12,trailing_stop_loss,trailing_stop_loss,2,2
SOL/USDT:USDT,short_pullback_restart,2026-05-31 15:00:00+00:00,45.26322242,46.85434402,1.591121600000001,0.05113838793186053,0.05113838792947775,-2.3827745332383188e-12,partial_exit,partial_exit,2,2
SUI/USDT:USDT,long_1d_center_compression,2024-03-28 00:00:00+00:00,-0.78665102,-0.779786,0.0068650199999999995,-0.0019425505215062034,-0.0019425505322226782,-1.071647479956861e-11,trailing_stop_loss,trailing_stop_loss,2,2
SUI/USDT:USDT,short_compression_breakdown,2023-09-11 09:00:00+00:00,-0.01129017,-0.0111485,0.00014167,-7.036396064385108e-05,-7.036393585229897e-05,2.4791552111994714e-11,trailing_stop_loss,trailing_stop_loss,2,2
SUI/USDT:USDT,short_compression_breakdown,2023-09-17 18:00:00+00:00,0.03521232,0.03477474,-0.0004375799999999999,0.00014769945192830413,0.00014769945192830413,0.0,trailing_stop_loss,trailing_stop_loss,2,2
SUI/USDT:USDT,short_compression_breakdown,2024-07-30 15:00:00+00:00,0.01673047,0.01643758,-0.0002928900000000005,6.969888128749611e-05,6.969891032780082e-05,2.904030470686058e-11,trailing_stop_loss,trailing_stop_loss,2,2
SUI/USDT:USDT,short_compression_breakdown,2025-02-16 14:00:00+00:00,-0.02886007,-0.02896379,-0.00010371999999999812,-7.798873743364414e-05,-7.798873762718439e-05,-1.935402521840296e-13,trailing_stop_loss,trailing_stop_loss,2,2
SUI/USDT:USDT,short_compression_breakdown,2025-08-29 08:00:00+00:00,0.03447972,0.03512956,0.0006498399999999988,0.00011399396765010398,0.00011399396923301064,1.5829066573117001e-12,trailing_stop_loss,trailing_stop_loss,2,2
SUI/USDT:USDT,short_compression_breakdown,2025-09-30 16:00:00+00:00,-13.48815921,-13.75122615,-0.26306694000000164,-0.03782109805575417,-0.037821098069652365,-1.3898195094785848e-11,stop_loss,stop_loss,2,2
SUI/USDT:USDT,short_compression_breakdown,2025-12-11 15:00:00+00:00,-15.16417524,-15.5926367,-0.4284614599999994,-0.027542459607526985,-0.027542459605628497,1.8984883110029216e-12,stop_loss,stop_loss,2,2
SUI/USDT:USDT,short_pullback_restart,2023-07-30 20:00:00+00:00,-0.45301423,-0.45301423,0.0,-0.0018114209405415607,-0.0018114209405415607,0.0,trailing_stop_loss,trailing_stop_loss,2,2
SUI/USDT:USDT,short_pullback_restart,2023-10-09 09:00:00+00:00,-1.0218066,-1.009227,0.012579599999999802,-0.0033338347495426033,-0.003333834749542604,-8.673617379884035e-19,trailing_stop_loss,trailing_stop_loss,2,2
SUI/USDT:USDT,short_pullback_restart,2024-06-02 10:00:00+00:00,-9.01391657,-8.95711095,0.05680561999999867,-0.022477374723940985,-0.02247737473640914,-1.2468154980682655e-11,stop_loss,stop_loss,2,2
SUI/USDT:USDT,short_pullback_restart,2024-06-29 23:00:00+00:00,-8.58923044,-8.42018708,0.16904335999999986,-0.029192905277167135,-0.02919290529464974,-1.7482605640939397e-11,stop_loss,stop_loss,2,2
SUI/USDT:USDT,short_pullback_restart,2025-01-26 21:00:00+00:00,19.93441051,27.27139039,7.336979880000001,0.05042109732887752,0.055276535311165755,0.004855437982288234,partial_exit,partial_exit,2,3
SUI/USDT:USDT,short_pullback_restart,2025-04-19 17:00:00+00:00,-11.57028647,-11.79254539,-0.22225892000000158,-0.020154341474630234,-0.020154341474630237,-3.469446951953614e-18,trailing_stop_loss,trailing_stop_loss,2,2
SUI/USDT:USDT,short_pullback_restart,2025-06-04 11:00:00+00:00,0.05788802,0.04816707,-0.009720949999999999,0.0001178788677087997,7.721158055779539e-05,-4.0667287151004305e-05,trailing_stop_loss,trailing_stop_loss,2,3
SUI/USDT:USDT,short_pullback_restart,2025-09-24 04:00:00+00:00,-13.67587718,-17.93816065,-4.26228347,-0.046995830427084676,-0.04847882571939426,-0.001482995292309587,stop_loss,trailing_stop_loss,2,3
SUI/USDT:USDT,short_pullback_restart,2025-09-25 01:00:00+00:00,23.38358891,29.0060371,5.62244819,0.05527481240054528,0.053965659917441997,-0.0013091524831032805,partial_exit,partial_exit,2,3
SUI/USDT:USDT,short_pullback_restart,2025-11-19 06:00:00+00:00,14.73032285,15.01799142,0.28766856999999924,0.05216337670620399,0.05216337671312682,6.922830364519683e-12,partial_exit,partial_exit,2,2
SUI/USDT:USDT,short_pullback_restart,2026-03-22 00:00:00+00:00,0.01364548,0.03901161,0.02536613,2.8945806538676586e-05,6.405119662052688e-05,3.5105390081850295e-05,trailing_stop_loss,trailing_stop_loss,2,3
TAO/USDT:USDT,short_compression_breakdown,2025-09-04 16:00:00+00:00,-12.51140632,-12.74587795,-0.23447162999999982,-0.02995644581116483,-0.02995644580485747,6.307360883583968e-12,trailing_stop_loss,trailing_stop_loss,2,2
TAO/USDT:USDT,short_compression_breakdown,2025-11-29 18:00:00+00:00,55.4099341,56.99475213,1.584818030000001,0.10000055725336197,0.1000005572526557,-7.062683771152933e-13,roi,roi,2,2
TAO/USDT:USDT,short_compression_breakdown,2026-02-22 13:00:00+00:00,-0.22151252,-0.22806455,-0.006552030000000014,-0.000512989184534525,-0.0005129891809618679,3.5726570356622855e-12,trailing_stop_loss,trailing_stop_loss,2,2
TAO/USDT:USDT,short_pullback_restart,2024-06-10 05:00:00+00:00,12.49355109,0.03052653,-12.463024560000001,0.0504601350936016,9.973160555233332e-05,-0.050360403488049266,partial_exit,trailing_stop_loss,2,3
TAO/USDT:USDT,short_pullback_restart,2024-06-22 20:00:00+00:00,-8.81157285,-8.64230038,0.16927246999999923,-0.0338577526584412,-0.033857752687332515,-2.8891312953138737e-11,stop_loss,stop_loss,2,2
TAO/USDT:USDT,short_pullback_restart,2024-11-02 13:00:00+00:00,13.68259792,17.31177736,3.6291794400000015,0.0501244471213909,0.051052960091357125,0.0009285129699662248,partial_exit,partial_exit,2,3
TAO/USDT:USDT,short_pullback_restart,2025-01-15 10:00:00+00:00,-10.87360382,-10.85343016,0.020173659999999316,-0.04995236816475499,-0.04995236817397697,-9.221977348428112e-12,stop_loss,stop_loss,2,2
TAO/USDT:USDT,short_pullback_restart,2025-08-28 17:00:00+00:00,0.10317649,0.15895945,0.055782960000000006,0.0002557528198908292,0.0003094552831489286,5.37024632580994e-05,trailing_stop_loss,trailing_stop_loss,2,3
TAO/USDT:USDT,short_pullback_restart,2025-09-23 18:00:00+00:00,17.71929347,18.04829892,0.32900545000000037,0.05073888429989903,0.05073888430258354,2.6845123346497246e-12,partial_exit,partial_exit,2,2
TAO/USDT:USDT,short_pullback_restart,2025-12-17 06:00:00+00:00,0.02706482,0.0278381,0.0007732800000000012,8.267081749262289e-05,8.267081579565127e-05,-1.6969716240934976e-12,trailing_stop_loss,trailing_stop_loss,2,2
TAO/USDT:USDT,short_pullback_restart,2026-01-25 05:00:00+00:00,39.20407626,26.17760259,-13.026473670000001,0.052942908364337446,0.05294290836404806,-2.8938657026245096e-13,partial_exit,partial_exit,2,2
TAO/USDT:USDT,short_pullback_restart,2026-01-29 02:00:00+00:00,23.44195054,28.89572662,5.453776080000001,0.0526199797106946,0.05054965225582032,-0.002070327454874281,partial_exit,partial_exit,2,3
