pair,side,entry_tag,open_date,close_date,open_rate,close_rate,profit_abs,profit_ratio,exit_reason,trade_duration,is_short,stake_amount,amount,max_rate,min_rate,fee_open,fee_close,initial_stop_loss_abs,stop_loss_abs,funding_fees
SUI/USDT:USDT,short,short_pullback_restart,2023-07-30 20:00:00+00:00,2023-08-01 00:00:00+00:00,0.6172,0.6348,-7.61347307,-0.0298036098511566,trailing_stop_loss,1680,True,255.58252,414.1,0.6369,0.5901,0.0005,0.0005,0.6542,0.6348,-0.0660864725380669
NEAR/USDT:USDT,short,short_compression_breakdown,2023-07-31 20:00:00+00:00,2023-08-01 19:00:00+00:00,1.361,1.406,-7.4935012,-0.033795295884533005,stop_loss,1380,True,221.843,163.0,1.408,1.317,0.0005,0.0005,1.442,1.406,0.0670093
ZEC/USDT:USDT,short,short_pullback_restart,2023-07-30 07:00:00+00:00,2023-08-01 23:00:00+00:00,30.04,30.51,-5.49773801,-0.01587527898795786,stop_loss,3840,True,346.48136,11.534,30.54,28.61,0.0005,0.0005,31.84,30.51,0.272433836411254
ADA/USDT:USDT,short,short_pullback_restart,2023-08-06 14:00:00+00:00,2023-08-07 02:00:00+00:00,0.2919,0.2959,-4.38805503,-0.01451761973238025,stop_loss,720,True,302.4084,1036.0,0.2961,0.2903,0.0005,0.0005,0.3094,0.2959,0.06042536822000001
ETH/USDT:USDT,short,short_pullback_restart,2023-08-02 15:00:00+00:00,2023-08-07 03:00:00+00:00,1840.95,1843.96,-0.47812071,-0.0014121958828705301,stale_loss_72h,6480,True,338.7348,0.184,1858.9,1808.77,0.0005,0.0005,1951.4,1868.78,0.4147310147167722
ZEC/USDT:USDT,short,short_pullback_restart,2023-08-04 09:00:00+00:00,2023-08-07 10:00:00+00:00,29.38,29.48,-1.23169905,-0.003752036550358121,stale_loss_72h,4380,True,328.43902,11.179,29.79,28.64,0.0005,0.0005,31.14,29.94,0.21519891901186733
NEAR/USDT:USDT,short,short_pullback_restart,2023-08-07 15:00:00+00:00,2023-08-08 12:00:00+00:00,1.333,1.364,-7.25983496,-0.024110452480421013,stop_loss,1260,True,301.258,226.0,1.364,1.3,0.0005,0.0005,1.412,1.364,0.0509260365615476
LINK/USDT:USDT,long,long_1d_center_compression,2023-08-10 00:00:00+00:00,2023-08-11 10:00:00+00:00,7.677,7.524,-7.16839161,-0.02140556029208329,stop_loss,2040,False,334.7172,43.6,7.735,7.522,0.0005,0.0005,7.217,7.524,-0.1662098072748
ADA/USDT:USDT,short,short_pullback_restart,2023-08-15 19:00:00+00:00,2023-08-17 21:00:00+00:00,0.2871,0.258,33.18063122,0.0999390677102063,roi,3000,True,332.1747,1157.0,0.2871,0.2319,0.0005,0.0005,0.3043,0.2908,-0.1727284277399434
BTC/USDT:USDT,short,short_compression_breakdown,2023-08-17 14:00:00+00:00,2023-08-17 21:00:00+00:00,28393.4,25531.3,31.21722703,0.10000033122846688,roi,420,True,312.3274,0.011,28500.0,24581.0,0.0005,0.0005,30097.0,28717.7,0.030712879999999998
ETH/USDT:USDT,short,short_pullback_restart,2023-08-17 15:00:00+00:00,2023-08-17 21:00:00+00:00,1778.48,1599.16,30.3961746,0.0999979359802387,roi,360,True,304.12008,0.171,1779.46,1492.66,0.0005,0.0005,1885.18,1804.4,0.021242822244839667
XRP/USDT:USDT,short,short_pullback_restart,2023-08-22 14:00:00+00:00,2023-08-22 23:00:00+00:00,0.5131,0.5237,-7.92131236,-0.02170888017839492,stop_loss,540,True,365.07065,711.5,0.5254,0.5021,0.0005,0.0005,0.5438,0.5237,-0.010570758570834
NEAR/USDT:USDT,short,short_pullback_restart,2023-08-21 11:00:00+00:00,2023-08-23 06:00:00+00:00,1.138,1.174,-8.04651781,-0.03417531851600303,stop_loss,2580,True,235.566,207.0,1.174,1.092,0.0005,0.0005,1.206,1.174,-0.3552258056315661
LINK/USDT:USDT,short,short_pullback_restart,2023-08-21 11:00:00+00:00,2023-08-23 09:00:00+00:00,6.136,6.261,-7.64436016,-0.020948649250397335,stop_loss,2760,True,365.092,59.5,6.309,5.837,0.0005,0.0005,6.504,6.261,0.161950585748
ETH/USDT:USDT,short,short_pullback_restart,2023-08-24 15:00:00+00:00,2023-08-27 16:00:00+00:00,1645.07,1654.69,-2.44779869,-0.0068921507156421815,stale_loss_72h,4380,True,355.33512,0.216,1676.73,1631.66,0.0005,0.0005,1743.77,1680.21,-0.01350460545468403
ZEC/USDT:USDT,short,short_pullback_restart,2023-08-24 15:00:00+00:00,2023-08-27 16:00:00+00:00,24.62,24.88,-2.81513325,-0.012403832720147414,stale_loss_72h,4380,True,227.07026,9.223,25.37,24.01,0.0005,0.0005,26.09,25.44,-0.1888840016076152
SOL/USDT:USDT,short,short_pullback_restart,2023-08-24 15:00:00+00:00,2023-08-29 14:00:00+00:00,21.231,22.041,-8.10275442,-0.040448966852475655,stop_loss,7140,True,200.42064,9.44,22.063,20.005,0.0005,0.0005,22.504,22.041,-0.2521105791960553
SOL/USDT:USDT,short,short_compression_breakdown,2023-09-01 15:00:00+00:00,2023-09-04 03:00:00+00:00,19.374,19.96,-7.84673411,-0.03148533335723555,stop_loss,3600,True,249.34338,12.87,20.035,19.009,0.0005,0.0005,20.536,19.96,-0.05179981605997384
XRP/USDT:USDT,short,short_compression_breakdown,2023-09-01 15:00:00+00:00,2023-09-04 03:00:00+00:00,0.5013,0.5112,-7.39109693,-0.020992223483958305,stop_loss,3600,True,352.26351,702.7,0.5127,0.4863,0.0005,0.0005,0.5313,0.5112,-0.07862505712893861
ETH/USDT:USDT,short,short_compression_breakdown,2023-09-01 15:00:00+00:00,2023-09-04 18:00:00+00:00,1629.81,1629.76,-0.36357009,-0.0010332719025842809,stale_loss_72h,4500,True,352.03896,0.216,1648.24,1601.22,0.0005,0.0005,1727.59,1653.96,-0.02233652624211667
