variant,label,window,family,pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,orders,funding_fees,weekday
raw_be_guard_profit_lock_1y,Raw + Breakeven + Guard + ProfitLock,1y,profit_lock,SOL/USDT:USDT,209.5845,209.5845,2.55,2026-05-23 08:00:00+00:00,2026-05-23 20:00:00+00:00,82.19,85.41,0.0005,0.0005,720,-0.04063374515568084,-8.51194506,trailing_stop_loss,87.12,-0.06,85.41,-0.04288308466164903,81.63,87.05,False,short_compression_breakdown,1.0,True,1779523200000,1779566400000,"[{'amount': 2.55, 'safe_price': 82.19, 'ft_order_side': 'sell', 'order_filled_timestamp': 1779523200000, 'ft_is_entry': True, 'ft_order_tag': 'short_compression_breakdown', 'cost': 209.68929224999997}, {'amount': 2.55, 'safe_price': 85.41, 'ft_order_side': 'buy', 'order_filled_timestamp': 1779566400000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 217.90439774999996}]",-0.0872550597651478,5
raw_be_guard_profit_lock_1y,Raw + Breakeven + Guard + ProfitLock,1y,profit_lock,XRP/USDT:USDT,416.02366,416.02366,308.6,2026-05-25 23:00:00+00:00,2026-05-28 17:00:00+00:00,1.3481,1.3228,0.0005,0.0005,3960,0.017562266143996617,7.30266508,profit_giveback_guard,1.4289,-0.06,1.3467,-0.021892328704757658,1.2668,1.3651,False,short_pullback_restart,1.0,True,1779750000000,1779987600000,"[{'amount': 308.6, 'safe_price': 1.3481, 'ft_order_side': 'sell', 'order_filled_timestamp': 1779750000000, 'ft_is_entry': True, 'ft_order_tag': 'short_pullback_restart', 'cost': 416.23167183000004}, {'amount': 308.6, 'safe_price': 1.3228, 'ft_order_side': 'buy', 'order_filled_timestamp': 1779987600000, 'ft_is_entry': False, 'ft_order_tag': 'profit_giveback_guard', 'cost': 408.42018804}]",-0.0927950458440773,3
raw_be_guard_profit_lock_1y,Raw + Breakeven + Guard + ProfitLock,1y,profit_lock,DOGE/USDT:USDT,418.57439,418.57439,4187.0,2026-05-31 15:00:00+00:00,2026-06-01 03:00:00+00:00,0.09997,0.10146,0.0005,0.0005,720,-0.015855933646291495,-6.63356931,trailing_stop_loss,0.10596,-0.06,0.10146,-0.025431652512437175,0.09895,0.10154,False,short_pullback_restart,1.0,True,1780239600000,1780282800000,"[{'amount': 4187.0, 'safe_price': 0.09997, 'ft_order_side': 'sell', 'order_filled_timestamp': 1780239600000, 'ft_is_entry': True, 'ft_order_tag': 'short_pullback_restart', 'cost': 418.783677195}, {'amount': 4187.0, 'safe_price': 0.10146, 'ft_order_side': 'buy', 'order_filled_timestamp': 1780282800000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 425.02542651}]",0.0267543981279022,0
raw_be_guard_profit_lock_1y,Raw + Breakeven + Guard + ProfitLock,1y,profit_lock,SOL/USDT:USDT,417.792,417.792,5.1,2026-05-31 15:00:00+00:00,2026-06-02 22:00:00+00:00,81.92,73.67,0.0005,0.0005,3300,0.09997453462580709,41.74767649,roi,86.83,-0.06,81.83,-0.02067947118982283,73.27,83.08,False,short_pullback_restart,1.0,True,1780239600000,1780437600000,"[{'amount': 5.1, 'safe_price': 81.92, 'ft_order_side': 'sell', 'order_filled_timestamp': 1780239600000, 'ft_is_entry': True, 'ft_order_tag': 'short_pullback_restart', 'cost': 418.00089599999995}, {'amount': 5.1, 'safe_price': 73.67, 'ft_order_side': 'buy', 'order_filled_timestamp': 1780437600000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 375.9048585}]",0.06943098508275473,1
raw_be_guard_profit_lock_1y,Raw + Breakeven + Guard + ProfitLock,1y,profit_lock,ADA/USDT:USDT,359.3506,359.3506,1537.0,2026-05-31 15:00:00+00:00,2026-06-02 23:00:00+00:00,0.2338,0.2102,0.0005,0.0005,3360,0.099944256679416,35.89707109,roi,0.2478,-0.06,0.2335,-0.020831293706293774,0.2093,0.2375,False,short_pullback_restart,1.0,True,1780239600000,1780441200000,"[{'amount': 1537.0, 'safe_price': 0.2338, 'ft_order_side': 'sell', 'order_filled_timestamp': 1780239600000, 'ft_is_entry': True, 'ft_order_tag': 'short_pullback_restart', 'cost': 359.53027529999997}, {'amount': 1537.0, 'safe_price': 0.2102, 'ft_order_side': 'buy', 'order_filled_timestamp': 1780441200000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 323.2389387}]",-0.0349149126008185,1
raw_be_guard_profit_lock_1y,Raw + Breakeven + Guard + ProfitLock,1y,profit_lock,XRP/USDT:USDT,238.2534,238.2534,198.0,2026-06-03 20:00:00+00:00,2026-06-04 01:00:00+00:00,1.2033,1.1929,0.0005,0.0005,300,0.0076074019287336245,1.81158313,profit_lock_pullback_restart,1.2754,-0.06,1.202,-0.04014597213809812,1.1557,1.2199,False,short_pullback_restart,1.0,True,1780516800000,1780534800000,"[{'amount': 198.0, 'safe_price': 1.2033, 'ft_order_side': 'sell', 'order_filled_timestamp': 1780516800000, 'ft_is_entry': True, 'ft_order_tag': 'short_pullback_restart', 'cost': 238.37252669999998}, {'amount': 198.0, 'safe_price': 1.1929, 'ft_order_side': 'buy', 'order_filled_timestamp': 1780534800000, 'ft_is_entry': False, 'ft_order_tag': 'profit_lock_pullback_restart', 'cost': 236.31229710000002}]",-0.010393065936,3
raw_be_guard_profit_lock_1y,Raw + Breakeven + Guard + ProfitLock,1y,profit_lock,ETH/USDT:USDT,236.94424,236.94424,0.137,2026-06-05 03:00:00+00:00,2026-06-05 05:00:00+00:00,1729.52,1743.67,0.0005,0.0005,120,-0.00919014653465757,-2.17646351,profit_lock_pullback_restart,1833.29,-0.06,1727.79,-0.02838550086304381,1680.1,1747.0,False,short_pullback_restart,1.0,True,1780628400000,1780635600000,"[{'amount': 0.137, 'safe_price': 1729.52, 'ft_order_side': 'sell', 'order_filled_timestamp': 1780628400000, 'ft_is_entry': True, 'ft_order_tag': 'short_pullback_restart', 'cost': 237.06271212}, {'amount': 0.137, 'safe_price': 1743.67, 'ft_order_side': 'buy', 'order_filled_timestamp': 1780635600000, 'ft_is_entry': False, 'ft_order_tag': 'profit_lock_pullback_restart', 'cost': 239.00223139500002}]",0.0,4
raw_be_guard_profit_lock_1y,Raw + Breakeven + Guard + ProfitLock,1y,profit_lock,LINK/USDT:USDT,206.80296,206.80296,26.52,2026-06-05 03:00:00+00:00,2026-06-05 05:00:00+00:00,7.798,7.878,0.0005,0.0005,120,-0.011269805202678281,-2.32946376,profit_lock_pullback_restart,8.265,-0.06,8.156,-0.045977833883124486,7.635,7.892,False,short_pullback_restart,1.0,True,1780628400000,1780635600000,"[{'amount': 26.52, 'safe_price': 7.798, 'ft_order_side': 'sell', 'order_filled_timestamp': 1780628400000, 'ft_is_entry': True, 'ft_order_tag': 'short_pullback_restart', 'cost': 206.90636148}, {'amount': 26.52, 'safe_price': 7.878, 'ft_order_side': 'buy', 'order_filled_timestamp': 1780635600000, 'ft_is_entry': False, 'ft_order_tag': 'profit_lock_pullback_restart', 'cost': 209.02902228}]",0.0,4
raw_be_guard_profit_lock_1y,Raw + Breakeven + Guard + ProfitLock,1y,profit_lock,XRP/USDT:USDT,203.41585,203.41585,179.3,2026-06-05 03:00:00+00:00,2026-06-05 06:00:00+00:00,1.1345,1.1201,0.0005,0.0005,180,0.011705015134274938,2.37979511,profit_lock_pullback_restart,1.2025,-0.06,1.1333,-0.0393081155433288,1.0905,1.1485,False,short_pullback_restart,1.0,True,1780628400000,1780639200000,"[{'amount': 179.3, 'safe_price': 1.1345, 'ft_order_side': 'sell', 'order_filled_timestamp': 1780628400000, 'ft_is_entry': True, 'ft_order_tag': 'short_pullback_restart', 'cost': 203.51755792500003}, {'amount': 179.3, 'safe_price': 1.1201, 'ft_order_side': 'buy', 'order_filled_timestamp': 1780639200000, 'ft_is_entry': False, 'ft_order_tag': 'profit_lock_pullback_restart', 'cost': 200.93434696500003}]",0.0,4
raw_be_guard_profit_lock_1y,Raw + Breakeven + Guard + ProfitLock,1y,profit_lock,BNB/USDT:USDT,198.8388,198.8388,0.34,2026-06-05 06:00:00+00:00,2026-06-05 06:00:00+00:00,584.82,584.82,0.0005,0.0005,0,-0.0010005002501250625,-0.1988388,profit_lock_pullback_restart,619.9,-0.06,584.23,-0.02439889886379576,570.32,585.7,False,short_pullback_restart,1.0,True,1780639200000,1780639200000,"[{'amount': 0.34, 'safe_price': 584.82, 'ft_order_side': 'sell', 'order_filled_timestamp': 1780639200000, 'ft_is_entry': True, 'ft_order_tag': 'short_pullback_restart', 'cost': 198.9382194}, {'amount': 0.34, 'safe_price': 584.82, 'ft_order_side': 'buy', 'order_filled_timestamp': 1780639200000, 'ft_is_entry': False, 'ft_order_tag': 'profit_lock_pullback_restart', 'cost': 198.9382194}]",0.0,4
raw_be_guard_profit_lock_1y,Raw + Breakeven + Guard + ProfitLock,1y,profit_lock,BTC/USDT:USDT,306.5185,306.5185,0.005,2026-06-07 20:00:00+00:00,2026-06-07 22:00:00+00:00,61303.7,63043.1,0.0005,0.0005,120,-0.029402379258000075,-9.007867,stop_loss,64981.9,-0.06,63043.1,-0.028374600044532405,61189.7,64250.0,False,short_pullback_restart,1.0,True,1780862400000,1780869600000,"[{'amount': 0.005, 'safe_price': 61303.7, 'ft_order_side': 'sell', 'order_filled_timestamp': 1780862400000, 'ft_is_entry': True, 'ft_order_tag': 'short_pullback_restart', 'cost': 306.67175925}, {'amount': 0.005, 'safe_price': 63043.1, 'ft_order_side': 'buy', 'order_filled_timestamp': 1780869600000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 315.37310775000003}]",0.0,6
raw_be_guard_profit_lock_1y,Raw + Breakeven + Guard + ProfitLock,1y,profit_lock,LINK/USDT:USDT,263.10406,263.10406,34.66,2026-06-07 20:00:00+00:00,2026-06-07 22:00:00+00:00,7.591,7.864,0.0005,0.0005,120,-0.0370001230360932,-9.73001515,stop_loss,8.046,-0.06,7.864,-0.03608027008301873,7.566,8.04,False,short_pullback_restart,1.0,True,1780862400000,1780869600000,"[{'amount': 34.66, 'safe_price': 7.591, 'ft_order_side': 'sell', 'order_filled_timestamp': 1780862400000, 'ft_is_entry': True, 'ft_order_tag': 'short_pullback_restart', 'cost': 263.23561202999997}, {'amount': 34.66, 'safe_price': 7.864, 'ft_order_side': 'buy', 'order_filled_timestamp': 1780869600000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 272.70252311999997}]",0.0,6
raw_be_guard_profit_lock_1y,Raw + Breakeven + Guard + ProfitLock,1y,profit_lock,BTC/USDT:USDT,373.4664,373.4664,0.006,2026-06-09 14:00:00+00:00,2026-06-09 20:00:00+00:00,62244.4,62068.9,0.0005,0.0005,360,0.0018278044873136926,0.68228225,profit_lock_pullback_restart,65979.0,-0.06,62182.1,-0.023490339889721046,60755.0,62371.6,False,short_pullback_restart,1.0,True,1781013600000,1781035200000,"[{'amount': 0.006, 'safe_price': 62244.4, 'ft_order_side': 'sell', 'order_filled_timestamp': 1781013600000, 'ft_is_entry': True, 'ft_order_tag': 'short_pullback_restart', 'cost': 373.6531332}, {'amount': 0.006, 'safe_price': 62068.9, 'ft_order_side': 'buy', 'order_filled_timestamp': 1781035200000, 'ft_is_entry': False, 'ft_order_tag': 'profit_lock_pullback_restart', 'cost': 372.5996067}]",0.0022221508564982556,1
raw_be_guard_profit_lock_1y,Raw + Breakeven + Guard + ProfitLock,1y,profit_lock,ETH/USDT:USDT,281.27961,281.27961,0.171,2026-06-09 15:00:00+00:00,2026-06-10 12:00:00+00:00,1644.91,1643.26,0.0005,0.0005,1260,-0.0001343730823720285,-0.03777751,trailing_stop_loss,1743.6,-0.06,1643.26,-0.02384117757009352,1605.0,1662.98,False,short_pullback_restart,1.0,True,1781017200000,1781092800000,"[{'amount': 0.171, 'safe_price': 1644.91, 'ft_order_side': 'sell', 'order_filled_timestamp': 1781017200000, 'ft_is_entry': True, 'ft_order_tag': 'short_pullback_restart', 'cost': 281.420249805}, {'amount': 0.171, 'safe_price': 1643.26, 'ft_order_side': 'buy', 'order_filled_timestamp': 1781092800000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 281.13795873000004}]",-0.03878897201534488,2
raw_be_guard_profit_lock_1y,Raw + Breakeven + Guard + ProfitLock,1y,profit_lock,DOGE/USDT:USDT,279.9531,279.9531,3330.0,2026-06-09 16:00:00+00:00,2026-06-11 01:00:00+00:00,0.08407,0.08398,0.0005,0.0005,1980,0.0001528500145835458,0.04276944,trailing_stop_loss,0.08911,-0.06,0.08398,-0.027099547511312272,0.08177,0.08568,False,short_pullback_restart,1.0,True,1781020800000,1781139600000,"[{'amount': 3330.0, 'safe_price': 0.08407, 'ft_order_side': 'sell', 'order_filled_timestamp': 1781020800000, 'ft_is_entry': True, 'ft_order_tag': 'short_pullback_restart', 'cost': 280.09307655}, {'amount': 3330.0, 'safe_price': 0.08398, 'ft_order_side': 'buy', 'order_filled_timestamp': 1781139600000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 279.79322669999993}]",0.022872687438312,3
raw_be_guard_profit_lock_1y,Raw + Breakeven + Guard + ProfitLock,1y,profit_lock,SOL/USDT:USDT,265.1286,265.1286,4.17,2026-06-10 09:00:00+00:00,2026-06-11 01:00:00+00:00,63.58,63.62,0.0005,0.0005,960,-0.0017304755099021279,-0.45856915,profit_lock_compression_breakdown,67.39,-0.06,65.77,-0.040292257525848196,62.29,65.74,False,short_compression_breakdown,1.0,True,1781082000000,1781139600000,"[{'amount': 4.17, 'safe_price': 63.58, 'ft_order_side': 'sell', 'order_filled_timestamp': 1781082000000, 'ft_is_entry': True, 'ft_order_tag': 'short_compression_breakdown', 'cost': 265.2611643}, {'amount': 4.17, 'safe_price': 63.62, 'ft_order_side': 'buy', 'order_filled_timestamp': 1781139600000, 'ft_is_entry': False, 'ft_order_tag': 'profit_lock_compression_breakdown', 'cost': 265.4280477}]",-0.026557146824008296,3
