pair,side,entry_tag,open_date,close_date,open_rate,close_rate,profit_abs,profit_ratio,exit_reason,trade_duration,is_short,stake_amount,amount,max_rate,min_rate,fee_open,fee_close,initial_stop_loss_abs,stop_loss_abs,funding_fees
XRP/USDT:USDT,short,short_pullback_restart,2025-12-14 11:00:00+00:00,2025-12-18 19:00:00+00:00,2.0053,1.8008,41.63346062,0.10001010025378328,roi,6240,True,416.50081,207.7,2.0133,1.7987,0.0005,0.0005,2.1256,2.0311,-0.4459258980023559
SOL/USDT:USDT,short,short_pullback_restart,2025-12-21 02:00:00+00:00,2025-12-22 00:00:00+00:00,125.06,126.79,-6.40579555,-0.01472626484120958,stop_loss,1320,True,435.2088,3.48,128.51,123.3,0.0005,0.0005,132.56,126.79,0.052823451223902175
ADA/USDT:USDT,short,short_pullback_restart,2025-12-21 02:00:00+00:00,2025-12-22 15:00:00+00:00,0.3696,0.3798,-9.52837865,-0.028690925290399946,stop_loss,2220,True,332.2704,899.0,0.3822,0.3573,0.0005,0.0005,0.3917,0.3798,-0.021723346557770803
ADA/USDT:USDT,short,short_compression_breakdown,2025-12-23 14:00:00+00:00,2025-12-27 21:00:00+00:00,0.3613,0.3617,-0.47907789,-0.0017341790403730439,stale_loss_72h,6180,True,276.3945,765.0,0.3702,0.3389,0.0005,0.0005,0.3829,0.3726,0.10346960750130901
XRP/USDT:USDT,short,short_pullback_restart,2025-12-28 19:00:00+00:00,2025-12-29 01:00:00+00:00,1.8559,1.8803,-6.07312105,-0.014136308435481033,stop_loss,360,True,429.82644,231.6,1.886,1.8528,0.0005,0.0005,1.9672,1.8803,0.010570909536
PAXG/USDT:USDT,long,long_1d_center_compression,2025-12-12 00:00:00+00:00,2025-12-29 09:00:00+00:00,4282.51,4473.2,17.8558803,0.04296294593203375,swing_exit_long_1d,25020,False,415.40347,0.097,4575.94,4270.33,0.0005,0.0005,4025.56,4196.86,-0.21639776283628903
NEAR/USDT:USDT,short,short_compression_breakdown,2025-12-31 11:00:00+00:00,2026-01-01 11:00:00+00:00,1.5,1.533,-9.41166575,-0.022744864582049478,stop_loss,1440,True,414.0,276.0,1.534,1.467,0.0005,0.0005,1.59,1.533,0.11488824576000001
ADA/USDT:USDT,short,short_pullback_restart,2026-01-20 09:00:00+00:00,2026-01-21 22:00:00+00:00,0.3605,0.3728,-9.358507,-0.03500375188061336,trailing_stop_loss,2220,True,267.491,742.0,0.374,0.3462,0.0005,0.0005,0.3821,0.3728,0.0401472978847332
PAXG/USDT:USDT,long,long_1d_center_compression,2026-01-07 00:00:00+00:00,2026-01-22 23:00:00+00:00,4507.71,4971.15,42.8444889,0.09999960853344798,roi,22980,False,428.23245,0.095,4980.0,4420.15,0.0005,0.0005,4237.25,4417.56,-0.7320652467937957
ZEC/USDT:USDT,short,short_pullback_restart,2026-01-23 08:00:00+00:00,2026-01-23 17:00:00+00:00,358.23,372.97,-9.79566899,-0.042614198220157544,trailing_stop_loss,540,True,229.98366,0.642,374.24,354.83,0.0005,0.0005,379.72,372.97,-0.09787379492777083
ETH/USDT:USDT,short,short_pullback_restart,2026-01-25 04:00:00+00:00,2026-01-27 16:00:00+00:00,2941.54,2969.6,-4.48609308,-0.010240577650724962,stop_loss,3600,True,438.28946,0.149,2997.64,2784.15,0.0005,0.0005,3118.03,2969.6,0.13522684662016876
XRP/USDT:USDT,short,short_pullback_restart,2026-01-22 14:00:00+00:00,2026-01-27 17:00:00+00:00,1.9291,1.9129,3.18039637,0.007562894532501908,stale_flat_120h,7380,True,420.73671,218.1,1.9649,1.8095,0.0005,0.0005,2.0448,1.9673,0.06614646575274101
NEAR/USDT:USDT,short,short_pullback_restart,2026-01-20 07:00:00+00:00,2026-01-29 14:00:00+00:00,1.561,1.405,22.56454518,0.09974080760144148,roi,13380,True,226.345,145.0,1.574,1.393,0.0005,0.0005,1.654,1.624,0.15958018274500352
TAO/USDT:USDT,short,short_pullback_restart,2026-01-29 02:00:00+00:00,2026-01-30 01:00:00+00:00,233.85,210.24,25.24201333,0.09999540957057453,roi,1380,True,252.558,1.08,234.61,209.38,0.0005,0.0005,247.88,241.44,-0.016978070490114166
ADA/USDT:USDT,short,short_pullback_restart,2026-01-29 03:00:00+00:00,2026-01-31 04:00:00+00:00,0.3504,0.315,27.60492913,0.09989936722416684,roi,2940,True,276.4656,789.0,0.353,0.3142,0.0005,0.0005,0.3714,0.3622,-0.0631705695819822
BTC/USDT:USDT,short,short_compression_breakdown,2026-01-29 15:00:00+00:00,2026-01-31 17:00:00+00:00,86978.8,78228.0,43.46777421,0.1000002735597289,roi,3000,True,434.894,0.005,87013.7,78010.1,0.0005,0.0005,92197.5,88560.6,0.1267912057920351
LINK/USDT:USDT,short,short_pullback_restart,2026-01-31 09:00:00+00:00,2026-01-31 17:00:00+00:00,10.461,9.406,22.40806424,0.09995938127748513,roi,480,True,224.28384,21.44,10.572,9.357,0.0005,0.0005,11.088,10.874,0.0018384830016
BNB/USDT:USDT,short,short_pullback_restart,2026-01-31 09:00:00+00:00,2026-01-31 18:00:00+00:00,836.33,751.94,30.0945114,0.1000056004710114,roi,540,True,301.0788,0.36,841.47,749.21,0.0005,0.0005,886.5,863.33,0.0
TAO/USDT:USDT,short,short_pullback_restart,2026-02-03 15:00:00+00:00,2026-02-03 20:00:00+00:00,191.97,200.14,-10.87537742,-0.04349944927725563,stop_loss,300,True,250.13691,1.303,204.2,184.33,0.0005,0.0005,203.48,200.14,0.0255922471009395
SOL/USDT:USDT,short,short_pullback_restart,2026-02-03 15:00:00+00:00,2026-02-04 17:00:00+00:00,100.78,90.5,23.67193251,0.10000200308740168,roi,1560,True,236.833,2.35,102.73,89.92,0.0005,0.0005,106.82,105.32,-0.26131348770250196
BTC/USDT:USDT,short,short_pullback_restart,2026-02-03 17:00:00+00:00,2026-02-05 15:00:00+00:00,76458.2,68756.7,22.92612476,0.10000058226489938,roi,2760,True,229.3746,0.003,76952.5,66666.0,0.0005,0.0005,81045.6,79200.6,0.03944711489983496
NEAR/USDT:USDT,short,short_pullback_restart,2026-02-04 14:00:00+00:00,2026-02-05 15:00:00+00:00,1.159,1.042,25.19935802,0.10024518197397644,roi,1500,True,251.503,217.0,1.187,1.033,0.0005,0.0005,1.228,1.208,0.049166524380407
