pair,entry_tag,matrix,btc_4h_regime,range_market,false_breakdown,trades,profit_abs,profit_pct,pf,maxdd_pct,winrate,avg_profit,avg_duration,avg_MAE,avg_MFE
XRP/USDT:USDT,short_pullback_restart,pressure_range,,False,,2,23.0186,2.3019,26.0627,0.0897,50.0000,1.4195,182.0000,0.7929,7.0139
XRP/USDT:USDT,short_pullback_restart,pressure_range,,True,,2,-22.7633,-2.2763,0.0000,2.2763,0.0000,-1.4676,56.0000,2.2817,4.0621
ZEC/USDT:USDT,short_compression_breakdown,pressure_range,,False,,1,52.3429,5.2343,inf,0.0000,100.0000,10.0003,33.0000,0.2576,12.6243
ADA/USDT:USDT,short_compression_breakdown,pressure_false_breakdown,,,False,2,-23.4605,-2.3460,0.0000,2.3460,0.0000,-1.2780,65.0000,1.8074,3.9313
BNB/USDT:USDT,short_pullback_restart,pressure_false_breakdown,,,True,2,-17.0805,-1.7080,0.2403,2.2483,50.0000,-1.0841,78.0000,2.3225,4.1408
BTC/USDT:USDT,long_1d_center_compression,pressure_false_breakdown,,,False,1,-19.2202,-1.9220,0.0000,1.9220,0.0000,-2.0782,18.0000,2.1221,0.4536
BTC/USDT:USDT,short_compression_breakdown,pressure_false_breakdown,,,False,1,-0.7813,-0.0781,0.0000,0.0781,0.0000,-0.0960,76.0000,0.4003,4.3586
NEAR/USDT:USDT,short_pullback_restart,pressure_false_breakdown,,,False,1,-19.8261,-1.9826,0.0000,1.9826,0.0000,-4.0951,30.0000,4.4444,2.7350
SOL/USDT:USDT,short_compression_breakdown,pressure_false_breakdown,,,True,2,-42.0452,-4.2045,0.0000,4.2045,0.0000,-3.6500,26.5000,4.9209,1.7291
SUI/USDT:USDT,short_pullback_restart,pressure_false_breakdown,,,True,1,-22.1704,-2.2170,0.0000,2.2170,0.0000,-4.0449,39.0000,4.1403,4.5050
TAO/USDT:USDT,short_compression_breakdown,pressure_false_breakdown,,,False,1,-15.4298,-1.5430,0.0000,1.5430,0.0000,-1.9684,12.0000,2.4996,0.1736
XRP/USDT:USDT,short_compression_breakdown,pressure_false_breakdown,,,True,1,-21.8116,-2.1812,0.0000,2.1812,0.0000,-3.3683,18.0000,3.3957,0.5324
XRP/USDT:USDT,short_pullback_restart,pressure_false_breakdown,,,False,4,0.2553,0.0255,1.0108,2.2440,25.0000,-0.0240,119.0000,1.5373,5.5380
ZEC/USDT:USDT,short_compression_breakdown,pressure_false_breakdown,,,False,1,52.3429,5.2343,inf,0.0000,100.0000,10.0003,33.0000,0.2576,12.6243
