sample,prior_open,slot_number,trades,trade_share_pct,profit_abs,profit_share_pct,avg_profit_pct,winrate_pct
3y,0,1,168,44.09448818897638,413.53463217,29.32014547130608,0.5624050767619705,43.452380952380956
3y,1,2,107,28.083989501312335,425.12138748,30.141661554365285,1.0812860685744314,45.794392523364486
3y,2,3,65,17.060367454068242,413.05483404,29.286127157302627,1.6162223195255716,55.38461538461539
3y,3,4,30,7.874015748031496,124.92310313,8.857211153702952,0.7268318831154079,56.666666666666664
3y,4,5,9,2.3622047244094486,7.715630179999998,0.5470482558940825,1.2106203719283737,44.44444444444444
3y,5,6,2,0.5249343832020997,26.06166957,1.8478064074289764,4.995324609518385,50.0
1y,0,1,57,40.714285714285715,146.96275849,39.87838705380979,0.8770385811896733,45.614035087719294
1y,1,2,35,25.0,63.857459049999996,17.32773999640178,0.607157612372181,48.57142857142857
1y,2,3,23,16.428571428571427,96.46998196999999,26.177157530256096,1.6729115712674942,65.21739130434783
1y,3,4,17,12.142857142857142,59.899544760000005,16.253758808214133,1.62934530566044,70.58823529411765
1y,4,5,6,4.285714285714286,-7.34962885,-1.9943239157564543,0.14841244314564458,33.33333333333333
1y,5,6,2,1.4285714285714286,8.68722319,2.3572805270746526,4.995324609518385,50.0
