variant,label,window,family,key,trades,profit_mean,profit_mean_pct,profit_total_abs,profit_total,profit_total_pct,duration_avg,wins,draws,losses,winrate,cagr,expectancy,expectancy_ratio,sortino,sharpe,calmar,sqn,profit_factor,max_drawdown_account,max_drawdown_abs
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,short_pullback_restart,245,0.0038563776772684516,0.39,362.51083723,0.36251083723,36.25,20:49:00,145,0,100,0.5918367346938775,0.10850876330295267,1.4796360703265306,0.22392520716275666,1.704281206594609,0.6030443274556171,8.507362810019753,2.2057,1.5486167575487537,0.07427829358128205,88.72442742999993
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,long_1d_center_compression,72,0.011893162650597712,1.19,346.43770015000007,0.3464377001500001,34.64,"1 day, 23:56:00",30,0,42,0.4166666666666667,0.10413657817011868,4.811634724305557,1.1027518148818132,1.5435852878870635,0.3906661044957812,9.876630139955925,2.6228,2.890431682654537,0.06114377301072256,62.82609941
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,short_compression_breakdown,106,-0.0011995340783251152,-0.12,-51.925528200000024,-0.05192552820000002,-5.19,12:49:00,62,0,44,0.5849056603773585,-0.017601115557244085,-0.4898634735849061,-0.07531313470144918,-0.21748360108638248,-0.13437913202912252,-1.0581931252071286,-0.7452,0.8185638118555998,0.08553657673768464,88.68046851
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,TOTAL,423,0.003957375010570552,0.4,657.02300918,0.65702300918,65.7,23:26:00,237,0,186,0.5602836879432624,0.1831581707091967,1.5532458845862882,0.2556166574905132,2.8810467785132774,1.0521183858496124,12.250048236410251,2.9312,1.581321753325199,0.09349290584275283,97.69631339
raw_be_guard_profit_lock_3y,Raw + Breakeven + Guard + ProfitLock,3y,profit_lock,short_pullback_restart,243,0.0039953434884222525,0.4,370.95649232999995,0.37095649232999994,37.1,20:57:00,144,0,99,0.5925925925925926,0.11079235905345453,1.5265699272839508,0.22453564495034195,1.7135716643982122,0.6002434513492914,8.500837432337072,2.2044,1.5511329466962933,0.07606714975236017,91.10110615999996
raw_be_guard_profit_lock_3y,Raw + Breakeven + Guard + ProfitLock,3y,profit_lock,long_1d_center_compression,73,0.011616493926820943,1.16,351.54738503,0.35154738503,35.15,"2 days, 1:00:00",30,0,43,0.410958904109589,0.10553026162170576,4.815717603150686,1.0941695983657729,1.5568840440233132,0.38972948387001466,10.022302702929393,2.5988,2.8575437367604986,0.06114377301072256,62.82609941
raw_be_guard_profit_lock_3y,Raw + Breakeven + Guard + ProfitLock,3y,profit_lock,short_compression_breakdown,99,0.00044850349555640754,0.04,-11.921939969999997,-0.011921939969999996,-1.19,12:17:00,62,0,37,0.6262626262626263,-0.003986244810062489,-0.12042363606060569,-0.017746054366301833,-0.04749712135853931,-0.030096514330060695,-0.2816279799117497,-0.1726,0.952517313992868,0.07379161387204412,78.72081032
raw_be_guard_profit_lock_3y,Raw + Breakeven + Guard + ProfitLock,3y,profit_lock,TOTAL,415,0.004489817760011133,0.45,710.58193739,0.71058193739,71.06,23:49:00,236,0,179,0.5686746987951807,0.19575916922384096,1.71224563226506,0.2752723672333839,3.040088566043554,1.1064061075314975,15.539883190502033,3.1119,1.6382012983343814,0.07970806969170605,83.80658766000002
raw_be_profit_lock_1y,Raw + Breakeven + ProfitLock,1y,profit_lock,short_pullback_restart,108,0.0052444646688335666,0.52,159.64446053,0.15964446053,15.96,23:07:00,70,0,38,0.6481481481481481,0.15964446053000003,1.4781894493518517,0.29060064448354006,2.3452282412955574,1.0313326861677454,20.477525694579914,1.8872,1.8259176211637458,0.04080655592708089,41.03688159
raw_be_profit_lock_1y,Raw + Breakeven + ProfitLock,1y,profit_lock,long_1d_center_compression,16,0.027093537501281236,2.71,150.64450756,0.15064450756,15.06,"3 days, 10:46:00",9,0,7,0.5625,0.15064450756000003,9.415281722500001,4.04247013288952,2.2119278645341827,0.5091859785666124,105.66618050351798,2.3548,10.239931732318903,0.007462268314042172,8.284906060000012
raw_be_profit_lock_1y,Raw + Breakeven + ProfitLock,1y,profit_lock,short_compression_breakdown,44,-0.004718595406399019,-0.47,-60.51959350999999,-0.06051959350999999,-6.05,13:58:00,23,0,21,0.5227272727272727,-0.060519593510000025,-1.375445307045455,-0.23093264261323743,-0.9814808480194388,-0.5906193436372286,-5.234239225902132,-1.6817,0.5161411297627406,0.06051959351000005,60.51959350999999
raw_be_profit_lock_1y,Raw + Breakeven + ProfitLock,1y,profit_lock,TOTAL,168,0.004715955871267667,0.47,249.76937458,0.24976937458,24.98,"1 day, 2:24:00",102,0,66,0.6071428571428571,0.24976937458000004,1.4867224677380946,0.293191800256843,3.6233757137495215,1.45524805010994,35.59862045804758,2.1386,1.746306400653782,0.036724812395367255,41.03680525
raw_be_guard_profit_lock_1y,Raw + Breakeven + Guard + ProfitLock,1y,profit_lock,short_pullback_restart,108,0.005244464669227812,0.52,160.74688301999993,0.16074688301999993,16.07,23:07:00,70,0,38,0.6481481481481481,0.16074688302000006,1.4883970649999994,0.29103377881828374,2.3483306047886443,1.032233371202934,20.55105647034901,1.8888,1.8271486345361745,0.04094133271244409,41.172419100000006
raw_be_guard_profit_lock_1y,Raw + Breakeven + Guard + ProfitLock,1y,profit_lock,long_1d_center_compression,16,0.02709353750133039,2.71,150.74790860000002,0.1507479086,15.07,"3 days, 10:46:00",9,0,7,0.5625,0.1507479086000001,9.421744287500001,4.045244848162451,2.2134461119983775,0.5094833115151349,105.73870882289624,2.3561,10.246273938657028,0.007462268314042172,8.284906060000012
raw_be_guard_profit_lock_1y,Raw + Breakeven + Guard + ProfitLock,1y,profit_lock,short_compression_breakdown,42,-0.0038211559356483133,-0.38,-51.482238499999994,-0.05148223849999999,-5.15,14:09:00,23,0,19,0.5476190476190477,-0.0514822385,-1.225767583333333,-0.20008686061762382,-0.8507258827862751,-0.4980012197962523,-5.234239225902137,-1.4505,0.5577027291610421,0.05148223849999999,51.4822385
raw_be_guard_profit_lock_1y,Raw + Breakeven + Guard + ProfitLock,1y,profit_lock,TOTAL,166,0.005056688162654583,0.51,260.01255312,0.26001255312,26.0,"1 day, 2:36:00",102,0,64,0.6144578313253012,0.26001255312000016,1.5663406814457839,0.3065249911729713,3.7540390162135786,1.5059024275039015,42.054042380164226,2.2263,1.7950491958548935,0.0323623563334211,35.80444754000001
raw_be_profit_lock_strong,Raw + Breakeven + ProfitLock,strong_2026_01_01_2026_02_28,profit_lock,short_pullback_restart,28,0.013577918417341756,1.36,83.54170966000001,0.08354170966,8.35,20:54:00,23,0,5,0.8214285714285714,0.656865203191382,2.9836324878571423,0.5049145018807872,10.862376342241637,4.2835111839722915,194.86580014012938,2.4133,3.8275212105324083,0.014121673699877163,14.19379357
raw_be_profit_lock_strong,Raw + Breakeven + ProfitLock,strong_2026_01_01_2026_02_28,profit_lock,long_1d_center_compression,1,0.03481040457621379,3.48,12.05800977,0.01205800977,1.21,"16 days, 8:00:00",1,0,0,1.0,0.07834607231373347,12.05800977,100.0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0
raw_be_profit_lock_strong,Raw + Breakeven + ProfitLock,strong_2026_01_01_2026_02_28,profit_lock,short_compression_breakdown,13,0.004558116894621029,0.46,2.449132429999997,0.002449132429999997,0.24,10:43:00,9,0,4,0.6923076923076923,0.015512895570302998,0.1883948023076918,0.030442060857856168,0.29987626203221657,0.17149417305433162,5.554583194122204,0.1387,1.0989366977880326,0.014523765622385136,14.773909040000001
raw_be_profit_lock_strong,Raw + Breakeven + ProfitLock,strong_2026_01_01_2026_02_28,profit_lock,TOTAL,42,0.011291610473615628,1.13,98.04885186,0.09804885186,9.8,"1 day, 2:35:00",33,0,9,0.7857142857142857,0.8015085278657745,2.3344964728571433,0.3869298547947966,12.384048988919346,5.217259937799806,220.42721167412805,2.4147,2.805672655709051,0.014651960667439994,16.223287319999997
raw_be_profit_lock_pressure,Raw + Breakeven + ProfitLock,pressure_2026_03_01_2026_05_31,profit_lock,short_pullback_restart,14,0.004665574746707038,0.47,19.71276108,0.01971276108,1.97,"1 day, 13:19:00",10,0,4,0.7142857142857143,0.08144535672745645,1.4080543628571436,0.3875145355293168,1.1444485791349068,0.8623936592743924,53.72145424298537,1.0579,2.3563008743526086,0.007703795355779388,7.726224520000001
raw_be_profit_lock_pressure,Raw + Breakeven + ProfitLock,pressure_2026_03_01_2026_05_31,profit_lock,long_1d_center_compression,2,-0.01032562002814947,-1.03,-6.36118988,-0.0063611898800000006,-0.64,"2 days, 16:18:00",1,0,1,0.5,-0.0252713557504608,-3.18059494,-0.4964465795416986,-100.0,-0.41396345984177974,-20.845271614808258,-0.9859,0.007106840916602799,0.006406721429999948,6.40672143
raw_be_profit_lock_pressure,Raw + Breakeven + ProfitLock,pressure_2026_03_01_2026_05_31,profit_lock,short_compression_breakdown,8,-0.008199772537983992,-0.82,-17.97944571,-0.01797944571,-1.8,10:22:00,4,0,4,0.5,-0.0701867628354399,-2.24743071375,-0.3193126123646307,-3.9794300970742973,-0.6973576114906759,-14.206455676211712,-1.0985,0.3613747752707385,0.026570247382060954,26.80473757
raw_be_profit_lock_pressure,Raw + Breakeven + ProfitLock,pressure_2026_03_01_2026_05_31,profit_lock,TOTAL,24,-0.0008721405794280142,-0.09,-4.627874510000003,-0.004627874510000004,-0.46,"1 day, 6:35:00",15,0,9,0.625,-0.01843342616987631,-0.1928281045833331,-0.035349384129976014,-0.32565634066428883,-0.18456041176623408,-3.658438999750574,-0.1757,0.9057349756533971,0.026557720495487158,26.99190412
raw_be_profit_lock_repair,Raw + Breakeven + ProfitLock,repair_2026_06_01_2026_06_18,profit_lock,short_compression_breakdown,2,0.008252490104672779,0.83,3.0007009800000004,0.0030007009800000002,0.3,14:20:00,2,0,0,1.0,0.06644463554270108,1.5003504900000002,100.0,-100.0,3.152966630604695,-100.0,1.4028,0.0,0.0,0.0
raw_be_profit_lock_repair,Raw + Breakeven + ProfitLock,repair_2026_06_01_2026_06_18,profit_lock,short_pullback_restart,10,0.001457074178068125,0.15,-0.520468250000001,-0.000520468250000001,-0.05,9:35:00,7,0,3,0.7,-0.011115430519250236,-0.05204682500000013,-0.010443668573180687,-0.16669846316204215,-0.14504378117561118,-3.9743597123062835,-0.0387,0.965187771422731,0.014717179287228275,14.9206853
raw_be_profit_lock_repair,Raw + Breakeven + ProfitLock,repair_2026_06_01_2026_06_18,profit_lock,TOTAL,12,0.0025896434991689006,0.26,2.480232729999999,0.002480232729999999,0.25,10:22:00,9,0,3,0.75,0.05462592007186373,0.20668606083333363,0.041473437006764424,0.7943827205121493,0.7428974742485555,18.939362851154517,0.1827,1.1658937480270573,0.014717179287228275,14.9206853
raw_be_guard_profit_lock_strong,Raw + Breakeven + Guard + ProfitLock,strong_2026_01_01_2026_02_28,profit_lock,short_pullback_restart,23,0.013681938981624212,1.37,74.30579850999999,0.07430579850999999,7.43,15:01:00,19,0,4,0.8260869565217391,0.5699695150384119,3.2306868917391305,0.4372754792917706,45.19511048244823,3.489676868385975,164.27668979924982,2.1605,3.514334005927681,0.01489927722867764,14.974883230000001
raw_be_guard_profit_lock_strong,Raw + Breakeven + Guard + ProfitLock,strong_2026_01_01_2026_02_28,profit_lock,long_1d_center_compression,1,0.099999608533448,10.0,34.27559112,0.034275591120000004,3.43,"15 days, 23:05:00",1,0,0,1.0,0.2362536749143902,34.27559112,100.0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0
raw_be_guard_profit_lock_strong,Raw + Breakeven + Guard + ProfitLock,strong_2026_01_01_2026_02_28,profit_lock,short_compression_breakdown,6,-0.0065606000544179074,-0.66,-9.34994382,-0.00934994382,-0.93,13:30:00,3,0,3,0.5,-0.05740348955528962,-1.55832397,-0.20162154821986378,-4.830046697821209,-0.49251842465377127,-20.911221516584707,-0.5572,0.5967569035602726,0.014728144533580088,14.80853952
raw_be_guard_profit_lock_strong,Raw + Breakeven + Guard + ProfitLock,strong_2026_01_01_2026_02_28,profit_lock,TOTAL,30,0.012510686826143248,1.25,99.23144581,0.09923144581,9.92,"1 day, 2:59:00",23,0,7,0.7666666666666667,0.8137533704844067,3.3077148603333324,0.4390238443213734,53.71593030670792,3.604274374669825,223.45127806649992,1.9642,2.8815307613773147,0.01462799875656166,16.249657959999993
raw_be_guard_profit_lock_pressure,Raw + Breakeven + Guard + ProfitLock,pressure_2026_03_01_2026_05_31,profit_lock,short_pullback_restart,12,0.005423904346782703,0.54,19.66632115,0.019666321150000002,1.97,"1 day, 15:45:00",8,0,4,0.6666666666666666,0.0812478235827303,1.6388600958333333,0.4510352196528218,1.1417524519060558,0.8021277733699588,53.59489558565586,1.056,2.3531056589584654,0.007703795355779388,7.726224520000001
raw_be_guard_profit_lock_pressure,Raw + Breakeven + Guard + ProfitLock,pressure_2026_03_01_2026_05_31,profit_lock,long_1d_center_compression,1,-0.02078238930426648,-2.08,-6.40672143,-0.00640672143,-0.64,18:35:00,0,0,1,0.0,-0.025450494331288764,-6.40672143,-1.0,-100.0,-100.0,-20.99447601598127,-100.0,0.0,0.006406721429999948,6.40672143
raw_be_guard_profit_lock_pressure,Raw + Breakeven + Guard + ProfitLock,pressure_2026_03_01_2026_05_31,profit_lock,short_compression_breakdown,8,-0.008199772537983992,-0.82,-17.97944571,-0.01797944571,-1.8,10:22:00,4,0,4,0.5,-0.0701867628354399,-2.24743071375,-0.3193126123646307,-3.9794300970742973,-0.6973576114906759,-14.206455676211712,-1.0985,0.3613747752707385,0.026570247382060954,26.80473757
raw_be_guard_profit_lock_pressure,Raw + Breakeven + Guard + ProfitLock,pressure_2026_03_01_2026_05_31,profit_lock,TOTAL,21,-0.0010139865450831426,-0.1,-4.719845990000002,-0.004719845990000002,-0.47,"1 day, 3:33:00",12,0,9,0.5714285714285714,-0.018797155664977194,-0.22475457095238083,-0.041202166461840384,-0.33212823085006626,-0.1760942901457367,-3.7246910082050015,-0.1786,0.903861611589039,0.02660373524082828,27.03743567
raw_be_guard_profit_lock_repair,Raw + Breakeven + Guard + ProfitLock,repair_2026_06_01_2026_06_18,profit_lock,short_compression_breakdown,2,0.008252490104672779,0.83,3.0007009800000004,0.0030007009800000002,0.3,14:20:00,2,0,0,1.0,0.06644463554270108,1.5003504900000002,100.0,-100.0,3.152966630604695,-100.0,1.4028,0.0,0.0,0.0
raw_be_guard_profit_lock_repair,Raw + Breakeven + Guard + ProfitLock,repair_2026_06_01_2026_06_18,profit_lock,short_pullback_restart,10,0.001457074178068125,0.15,-0.520468250000001,-0.000520468250000001,-0.05,9:35:00,7,0,3,0.7,-0.011115430519250236,-0.05204682500000013,-0.010443668573180687,-0.16669846316204215,-0.14504378117561118,-3.9743597123062835,-0.0387,0.965187771422731,0.014717179287228275,14.9206853
