period,pair,side,entry_tag,open_date,close_date,open_rate,close_rate,profit_abs,profit_ratio,exit_reason,exit_reason_group,pnl_group,future_favorable_from_exit_pct_6h,future_adverse_from_exit_pct_6h,future_close_return_from_exit_pct_6h,held_profit_ratio_pct_6h,regained_entry_6h,regained_pre_exit_extreme_6h,entry_plus_1pct_6h,entry_plus_3pct_6h,entry_plus_5pct_6h,stopped_too_early_6h,valid_stop_6h,took_profit_too_early_6h,good_take_profit_6h,gave_back_risk_6h,hold_would_help_6h,hold_would_hurt_6h,future_favorable_from_exit_pct_12h,future_adverse_from_exit_pct_12h,future_close_return_from_exit_pct_12h,held_profit_ratio_pct_12h,regained_entry_12h,regained_pre_exit_extreme_12h,entry_plus_1pct_12h,entry_plus_3pct_12h,entry_plus_5pct_12h,stopped_too_early_12h,valid_stop_12h,took_profit_too_early_12h,good_take_profit_12h,gave_back_risk_12h,hold_would_help_12h,hold_would_hurt_12h,future_favorable_from_exit_pct_24h,future_adverse_from_exit_pct_24h,future_close_return_from_exit_pct_24h,held_profit_ratio_pct_24h,regained_entry_24h,regained_pre_exit_extreme_24h,entry_plus_1pct_24h,entry_plus_3pct_24h,entry_plus_5pct_24h,stopped_too_early_24h,valid_stop_24h,took_profit_too_early_24h,good_take_profit_24h,gave_back_risk_24h,hold_would_help_24h,hold_would_hurt_24h,future_favorable_from_exit_pct_48h,future_adverse_from_exit_pct_48h,future_close_return_from_exit_pct_48h,held_profit_ratio_pct_48h,regained_entry_48h,regained_pre_exit_extreme_48h,entry_plus_1pct_48h,entry_plus_3pct_48h,entry_plus_5pct_48h,stopped_too_early_48h,valid_stop_48h,took_profit_too_early_48h,good_take_profit_48h,gave_back_risk_48h,hold_would_help_48h,hold_would_hurt_48h,future_favorable_from_exit_pct_72h,future_adverse_from_exit_pct_72h,future_close_return_from_exit_pct_72h,held_profit_ratio_pct_72h,regained_entry_72h,regained_pre_exit_extreme_72h,entry_plus_1pct_72h,entry_plus_3pct_72h,entry_plus_5pct_72h,stopped_too_early_72h,valid_stop_72h,took_profit_too_early_72h,good_take_profit_72h,gave_back_risk_72h,hold_would_help_72h,hold_would_hurt_72h,future_favorable_from_exit_pct_168h,future_adverse_from_exit_pct_168h,future_close_return_from_exit_pct_168h,held_profit_ratio_pct_168h,regained_entry_168h,regained_pre_exit_extreme_168h,entry_plus_1pct_168h,entry_plus_3pct_168h,entry_plus_5pct_168h,stopped_too_early_168h,valid_stop_168h,took_profit_too_early_168h,good_take_profit_168h,gave_back_risk_168h,hold_would_help_168h,hold_would_hurt_168h,future_favorable_from_exit_pct_336h,future_adverse_from_exit_pct_336h,future_close_return_from_exit_pct_336h,held_profit_ratio_pct_336h,regained_entry_336h,regained_pre_exit_extreme_336h,entry_plus_1pct_336h,entry_plus_3pct_336h,entry_plus_5pct_336h,stopped_too_early_336h,valid_stop_336h,took_profit_too_early_336h,good_take_profit_336h,gave_back_risk_336h,hold_would_help_336h,hold_would_hurt_336h
3y,SUI/USDT:USDT,short,short_pullback_restart,2023-07-30T20:00:00+00:00,2023-08-01T00:00:00+00:00,0.6172,0.6348,-7.61347307,-0.0298036098511566,trailing_stop_loss,trailing_stop_loss,losing_trades,4.536862003780725,-0.06301197227474276,1.559546313799625,-1.3475696694750552,True,False,True,False,False,True,False,False,False,False,True,False,4.536862003780725,0.5040957781978544,0.7403906742281091,-2.1900842514582024,True,False,True,False,False,True,False,False,False,False,True,False,4.536862003780725,2.347195967233778,-1.181474480151221,-4.166753078418667,True,False,True,False,False,True,False,False,False,True,False,True,4.536862003780725,2.347195967233778,3.355387523629487,0.4994815294879983,True,False,True,False,False,True,False,False,False,False,True,False,7.908002520478894,2.347195967233778,5.986137366099564,3.205249513933891,True,True,True,True,True,True,False,False,False,False,True,False,12.523629489603028,2.347195967233778,8.333333333333343,5.619377835385612,True,True,True,True,True,True,False,False,False,False,True,False,12.523629489603028,2.347195967233778,5.214240705734092,2.4113415424497666,True,True,True,True,True,True,False,False,False,False,True,False
3y,NEAR/USDT:USDT,short,short_compression_breakdown,2023-07-31T20:00:00+00:00,2023-08-01T19:00:00+00:00,1.361,1.406,-7.4935012,-0.033795295884533005,stop_loss,stop_loss,losing_trades,0.9246088193456544,1.2802275960170708,-0.2844950213371269,-3.7002939015429783,False,False,False,False,False,False,True,False,False,False,False,True,1.2091038406827812,1.2802275960170708,0.9246088193456544,-2.4512123438648077,False,False,False,False,False,False,True,False,False,False,True,False,1.8492176386913246,1.2802275960170708,0.35561877667140074,-3.0390154298310095,False,False,False,False,False,False,True,False,False,False,True,False,2.844950213371253,1.2802275960170708,2.7027027027026893,-0.6143277002204348,False,False,False,False,False,False,True,False,False,False,True,False,5.1920341394025575,1.2802275960170708,4.623044096728304,1.3695077149155046,True,False,True,False,False,True,False,False,False,False,True,False,7.539118065433846,1.2802275960170708,2.987197724039816,-0.32042615723733386,True,True,True,True,False,True,False,False,False,False,True,False,13.798008534850636,1.2802275960170708,9.743954480796587,6.659735488611321,True,True,True,True,True,True,False,False,False,False,True,False
3y,ZEC/USDT:USDT,short,short_pullback_restart,2023-07-30T07:00:00+00:00,2023-08-01T23:00:00+00:00,30.04,30.51,-5.49773801,-0.01587527898795786,stop_loss,stop_loss,losing_trades,2.16322517207473,0.7210750573582394,2.130449033103907,0.49920106524633734,True,False,False,False,False,False,True,False,False,False,True,False,2.3271058669288784,0.7210750573582394,1.7043592264831307,0.06644474034620744,True,False,False,False,False,False,True,False,False,False,True,False,4.195345788266145,0.7210750573582394,2.8515240904621466,1.2315579227696356,True,False,True,False,False,True,False,False,False,False,True,False,4.195345788266145,0.7210750573582394,2.7859718125204895,1.1649800266311552,True,False,True,False,False,True,False,False,False,False,True,False,5.735824319895116,0.7210750573582394,4.654211733857757,3.062450066577894,True,False,True,True,False,True,False,False,False,False,True,False,6.12913798754507,0.7210750573582394,3.277613897082923,1.6643142476697657,True,False,True,True,False,True,False,False,False,False,True,False,14.06096361848575,0.7210750573582394,7.833497214028188,6.291478029294269,True,True,True,True,True,True,False,False,False,False,True,False
3y,ADA/USDT:USDT,short,short_pullback_restart,2023-08-06T14:00:00+00:00,2023-08-07T02:00:00+00:00,0.2919,0.2959,-4.38805503,-0.01451761973238025,stop_loss,stop_loss,losing_trades,1.8249408583981128,0.03379520108144271,1.2504224400135118,-0.20277492291881552,True,False,False,False,False,False,True,False,False,False,True,False,1.8249408583981128,0.03379520108144271,1.419398445420744,-0.03148338472080234,True,False,False,False,False,False,True,False,False,False,True,False,5.035484961135508,0.03379520108144271,1.8249408583981128,0.3796163069544407,True,True,True,True,False,True,False,False,False,False,True,False,5.035484961135508,2.230483271375463,-0.1013856032443469,-1.573107228502921,True,True,True,True,False,True,False,False,False,True,False,True,5.035484961135508,2.230483271375463,-1.4531936465022055,-2.9434395340870263,True,True,True,True,False,True,False,False,False,True,False,True,5.035484961135508,2.230483271375463,2.1966880702940204,0.7564576909900658,True,True,True,True,False,True,False,False,False,False,True,False,21.62892869212572,2.230483271375463,8.448800270361616,7.094244604316553,True,True,True,True,True,True,False,False,False,False,True,False
3y,ETH/USDT:USDT,short,short_pullback_restart,2023-08-02T15:00:00+00:00,2023-08-07T03:00:00+00:00,1840.95,1843.96,-0.47812071,-0.0014121958828705301,stale_loss_72h,timeout,losing_trades,0.693615913577299,-0.11768151152953821,0.4924184906397062,0.2297210679268821,True,False,False,False,False,False,False,False,False,False,True,False,1.7169569838825183,-0.11768151152953821,1.4398360051194143,1.178687634101956,True,False,True,False,False,False,False,False,False,False,True,False,2.3839996529208896,-0.11768151152953821,0.7923165361504657,0.5301094543578118,True,True,True,False,False,False,False,False,False,False,True,False,2.3839996529208896,1.846027028785872,-0.549903468621872,-0.8143051142073312,True,True,True,False,False,False,False,False,False,False,False,True,2.3839996529208896,1.846027028785872,-0.4528297793878343,-0.7170727070262582,True,True,True,False,False,False,False,False,False,False,False,True,2.3839996529208896,1.846027028785872,-0.10954684483394335,-0.37322849615687403,True,True,True,False,False,False,False,False,False,False,False,True,19.051389401071603,1.846027028785872,9.101607410139044,8.852986229935627,True,True,True,True,True,False,False,False,False,False,True,False
3y,ZEC/USDT:USDT,short,short_pullback_restart,2023-08-04T09:00:00+00:00,2023-08-07T10:00:00+00:00,29.38,29.48,-1.23169905,-0.003752036550358121,stale_loss_72h,timeout,losing_trades,2.6797829036634977,0.7123473541384018,1.6960651289009496,1.2614703880190556,True,False,True,False,False,False,False,False,False,False,True,False,2.6797829036634977,0.7123473541384018,1.0176390773405724,0.5807351940095278,True,False,True,False,False,False,False,False,False,False,True,False,2.6797829036634977,0.7123473541384018,-0.37313432835820703,-0.8147719537100098,True,False,True,False,False,False,False,False,False,False,False,True,2.6797829036634977,1.4925373134328401,-0.47489823609226783,-0.9168822328114432,True,False,True,False,False,False,False,False,False,False,False,True,2.6797829036634977,1.4925373134328401,-0.9497964721845357,-1.3933968686181164,True,False,True,False,False,False,False,False,False,False,False,True,2.6797829036634977,4.172320217096337,-1.4925373134328401,-1.937985023825741,True,False,True,False,False,False,False,False,False,False,False,True,26.79782903663501,4.172320217096337,16.858887381275437,16.475901974132054,True,True,True,True,True,False,False,False,False,False,True,False
3y,NEAR/USDT:USDT,short,short_pullback_restart,2023-08-07T15:00:00+00:00,2023-08-08T12:00:00+00:00,1.333,1.364,-7.25983496,-0.024110452480421013,stop_loss,stop_loss,losing_trades,1.392961876832854,0.8064516129032183,0.0,-2.4255813953488476,False,False,False,False,False,False,True,False,False,False,False,True,1.392961876832854,0.8797653958944126,0.1466275659824048,-2.275543885971503,False,False,False,False,False,False,True,False,False,False,True,False,1.392961876832854,0.8797653958944126,-0.3665689149560039,-2.8006751687922007,False,False,False,False,False,False,True,False,False,False,False,True,2.346041055718477,0.8797653958944126,1.6862170087976636,-0.700150037509378,True,False,False,False,False,False,True,False,False,False,True,False,2.859237536656902,0.8797653958944126,2.6392961876832866,0.27509377344335284,True,False,False,False,False,False,True,False,False,False,True,False,3.3724340175953103,0.8797653958944126,2.4926686217008815,0.12505626406600837,True,False,True,False,False,True,False,False,False,False,True,False,26.68621700879766,0.8797653958944126,17.30205278592377,15.2788447111778,True,True,True,True,True,True,False,False,False,False,True,False
3y,LINK/USDT:USDT,long,long_1d_center_compression,2023-08-10T00:00:00+00:00,2023-08-11T10:00:00+00:00,7.677,7.524,-7.16839161,-0.02140556029208329,stop_loss,stop_loss,losing_trades,0.8771929824561382,1.3556618819776756,-1.1297182349813923,-3.200169336980586,False,False,False,False,False,False,True,False,False,False,False,True,0.8771929824561382,1.6081871345029297,-0.7309941520467799,-2.8093916894620206,False,False,False,False,False,False,True,False,False,False,False,True,0.8771929824561382,1.6081871345029297,-1.0499734183944676,-3.12201380747687,False,False,False,False,False,False,True,False,False,False,False,True,0.8771929824561382,1.9271664008506175,-0.7309941520467799,-2.8093916894620206,False,False,False,False,False,False,True,False,False,False,False,True,0.8771929824561382,2.9505582137161137,-0.1196172248803873,-2.210199296600234,False,False,False,False,False,False,True,False,False,False,False,True,1.4354066985645886,26.222753854332797,-17.331206804891018,-19.078767747818155,False,False,False,False,False,False,True,False,False,False,False,True,1.4354066985645886,26.222753854332797,-20.8133971291866,-22.491559202813594,False,False,False,False,False,False,True,False,False,False,False,True
3y,ADA/USDT:USDT,short,short_pullback_restart,2023-08-15T19:00:00+00:00,2023-08-17T21:00:00+00:00,0.2871,0.258,33.18063122,0.0999390677102063,roi,roi,winning_trades,5.310077519379852,0.8139534883720894,-0.5813953488372098,9.513375130616513,True,False,True,True,True,False,False,True,False,True,False,True,5.310077519379852,2.8294573643410748,-1.6279069767441787,8.572936259143168,True,False,True,True,True,False,False,True,False,True,False,True,5.310077519379852,3.6046511627906876,-2.2093023255813886,8.050470219435747,True,False,True,True,True,False,False,True,False,True,False,True,5.310077519379852,4.573643410852704,-3.5658914728682114,6.831382793451768,True,False,True,True,True,False,False,True,False,True,False,True,5.310077519379852,5.813953488372098,-4.767441860465108,5.751619644723106,True,False,True,True,True,False,False,True,False,True,False,True,5.310077519379852,5.813953488372098,-2.8294573643410748,7.493173110414504,True,False,True,True,True,False,False,True,False,True,False,True,5.310077519379852,8.643410852713172,1.4341085271317757,11.32459073493556,True,False,True,True,True,False,False,True,False,False,True,False
3y,BTC/USDT:USDT,short,short_compression_breakdown,2023-08-17T14:00:00+00:00,2023-08-17T21:00:00+00:00,28393.4,25531.3,31.21722703,0.10000033122846688,roi,roi,winning_trades,-1.5467289170547582,5.729046307865251,-3.3472639466067227,6.970305070896757,True,False,True,True,True,False,False,False,True,False,False,True,-1.5467289170547582,5.729046307865251,-3.5587690403543975,6.780120027893806,True,False,True,True,True,False,False,False,True,False,False,True,-0.26908148037898866,5.729046307865251,-2.032407280475344,8.152622088231775,True,False,True,True,True,False,False,False,True,False,False,True,-0.26908148037898866,5.729046307865251,-2.113875909178149,8.079365627223233,True,False,True,True,True,False,False,False,True,False,False,True,-0.26908148037898866,5.729046307865251,-2.4906683169286388,7.740554495058713,True,False,True,True,True,False,False,False,True,False,False,True,0.9842820381257488,5.729046307865251,-2.1483434059370263,8.048372509104237,True,False,True,True,True,False,False,False,True,False,False,True,0.9842820381257488,10.327323716379507,-1.8867037714491652,8.283638451189365,True,False,True,True,True,False,False,False,True,False,False,True
