sample,pair,trades,profit_abs,profit_pct_sum,avg_profit_pct,winrate_pct,best_trade_pct,worst_trade_pct,is_base13
3y,ETH/USDT:USDT,33,228.35217245,52.03818522610279,1.5769147038212967,51.515151515151516,10.000228229074313,-4.8983264036086425,True
3y,BNB/USDT:USDT,22,218.50337593,49.05098124379569,2.2295900565361677,54.54545454545454,10.000866956220609,-4.681628999844298,True
3y,XRP/USDT:USDT,40,200.40165305,42.66704486538055,1.0666761216345138,50.0,10.006139861871741,-4.681596802174417,True
3y,BTC/USDT:USDT,38,189.64308192,51.87493205322795,1.3651297908744198,42.10526315789473,10.000033122846688,-3.15294722142182,True
3y,ADA/USDT:USDT,33,156.37018827,45.43261895331905,1.376746028888456,51.515151515151516,10.012449180014341,-4.330176688670793,True
3y,ZEC/USDT:USDT,14,153.04791343,41.915582971465305,2.993970212247522,85.71428571428571,10.004747691106067,-3.697495298831604,True
3y,DOGE/USDT:USDT,26,143.19027675,48.931802850049955,1.8819924173096136,65.38461538461539,10.003048295612981,-4.324826872949289,True
3y,TRX/USDT:USDT,34,90.92746134000001,11.933153309325823,0.35097509733311244,23.52941176470588,10.001631503734856,-2.8645828355357534,False
3y,TAO/USDT:USDT,16,76.33287898,17.695407059617725,1.1059629412261078,62.5,10.000776836161656,-4.995236815556717,True
3y,DOT/USDT:USDT,2,18.38812569,5.014780825909544,2.507390412954772,50.0,5.03641522396499,-0.021634398055445907,False
3y,NEAR/USDT:USDT,35,18.06655066,0.6161034366138415,0.017602955331824044,54.285714285714285,10.02451838463566,-4.580470651029903,True
3y,AVAX/USDT:USDT,1,-0.2091111,-0.06370016052593618,-0.06370016052593618,0.0,-0.06370016052593618,-0.06370016052593618,False
3y,BCH/USDT:USDT,2,-0.22967838999999998,-0.033767057672816105,-0.016883528836408052,50.0,0.006480600088517753,-0.040247657761333856,False
3y,LDO/USDT:USDT,2,-7.41136233,-2.1463840039840902,-1.0731920019920451,0.0,-0.018802799742568346,-2.127581204241522,False
3y,LTC/USDT:USDT,3,-7.5557652399999995,-2.1920204137368797,-0.7306734712456265,0.0,-0.002786870137508806,-2.149871766872562,False
3y,APE/USDT:USDT,1,-8.51058398,-2.118236850457374,-2.118236850457374,0.0,-2.118236850457374,-2.118236850457374,False
3y,SOL/USDT:USDT,29,-9.872658859999998,14.498345850985935,0.49994296037882535,34.48275862068966,10.000150106261623,-4.341135813753719,True
3y,FIL/USDT:USDT,1,-10.16407573,-2.1039391106011025,-2.1039391106011025,0.0,-2.1039391106011025,-2.1039391106011025,False
3y,LINK/USDT:USDT,26,-10.233914610000005,-10.666018945740085,-0.41023149791308017,38.46153846153847,9.998937512473098,-4.491318894894229,True
3y,SUI/USDT:USDT,23,-28.62527166,-4.417570040584161,-0.19206826263409396,43.47826086956522,10.00059574443739,-4.699583044685576,True
1y,BNB/USDT:USDT,10,92.31361018,29.49592392499,2.949592392499,70.0,10.000560047101139,-3.015297005961308,True
1y,ETH/USDT:USDT,13,64.24057336,20.42267361806518,1.5709748936973216,61.53846153846154,10.000094530664052,-4.262147815353848,True
1y,TRX/USDT:USDT,13,57.736426720000004,15.211432422576246,1.170110186352019,30.76923076923077,10.001631505014526,-1.687120436075059,False
1y,TAO/USDT:USDT,11,44.46537334,20.489973297610607,1.862724845237328,72.72727272727273,9.999540954965443,-3.0883179773522236,True
1y,XRP/USDT:USDT,17,39.64352214,12.010290212086563,0.7064876595345037,35.294117647058826,10.00044591373588,-4.681596802992952,True
1y,ZEC/USDT:USDT,2,24.66676713,10.012475921638579,5.0062379608192895,100.0,10.000299822850014,0.012176098788565695,True
1y,BTC/USDT:USDT,12,24.276342439999997,15.0377032938957,1.253141941157975,50.0,10.00002735367233,-2.078238929345367,True
1y,NEAR/USDT:USDT,15,21.65633578,8.195289586376838,0.5463526390917892,66.66666666666666,10.024518385947033,-4.095474259138799,True
1y,ADA/USDT:USDT,11,21.20646512,10.013506456262865,0.9103187687511696,54.54545454545454,9.98993672357195,-2.9336495667483984,True
1y,LINK/USDT:USDT,8,16.06640477,7.4940058338348665,0.9367507292293583,50.0,9.995938131117734,-4.489717550789787,True
1y,DOGE/USDT:USDT,6,1.0381223099999997,2.182926624495302,0.3638211040825503,66.66666666666666,5.123457314583839,-2.939974444641607,True
1y,LTC/USDT:USDT,1,-0.01067207,-0.0027868707457001022,-0.0027868707457001022,0.0,-0.0027868707457001022,-0.0027868707457001022,False
1y,BCH/USDT:USDT,1,-0.15265943,-0.04024765818491613,-0.04024765818491613,0.0,-0.04024765818491613,-0.04024765818491613,False
1y,SUI/USDT:USDT,9,-15.58356086,-3.4684704295059254,-0.3853856032784362,55.55555555555556,5.216337673066014,-4.699583045693047,True
1y,SOL/USDT:USDT,11,-23.03571232,1.2439795407319896,0.1130890491574536,27.27272727272727,9.99651019987568,-3.0930916504261012,True
