group_type,group_value,window_h,trades,stop_trades,take_profit_trades,stopped_too_early_pct,took_profit_too_early_pct,hold_would_help_pct,hold_would_hurt_pct,avg_future_favorable_pct,avg_future_adverse_pct,avg_future_close_return_pct,period
pair,ADA/USDT:USDT,6,32,15,11,13.333333333333334,18.181818181818183,50.0,50.0,1.5122490343613841,1.9591469050606172,-0.4411378817952468,3y
pair,ADA/USDT:USDT,12,32,15,11,13.333333333333334,45.45454545454545,46.875,53.125,2.1733425545247242,2.784462573933569,-0.5328315937228048,3y
pair,ADA/USDT:USDT,24,31,15,10,40.0,60.0,45.16129032258064,54.83870967741935,3.5186933517106596,3.3428798923829506,0.09395141789128503,3y
pair,ADA/USDT:USDT,48,31,15,10,46.666666666666664,70.0,51.61290322580645,48.38709677419355,4.770944006714029,4.434302471131559,0.6694926947145707,3y
pair,ADA/USDT:USDT,72,31,15,10,60.0,80.0,58.06451612903226,41.935483870967744,6.271075832059475,4.77946692200997,1.3548608315292414,3y
pair,ADA/USDT:USDT,168,31,15,10,80.0,80.0,51.61290322580645,48.38709677419355,9.233553520761925,7.571841879984234,0.20979785222885097,3y
pair,ADA/USDT:USDT,336,31,15,10,86.66666666666667,90.0,64.51612903225806,35.483870967741936,12.392405893768998,9.298008953482782,3.3413070821850828,3y
pair,BNB/USDT:USDT,6,19,8,9,12.5,55.55555555555556,63.1578947368421,36.84210526315789,2.611220175385519,1.0425101470510394,1.066341969942505,3y
pair,BNB/USDT:USDT,12,19,8,9,25.0,55.55555555555556,68.42105263157895,31.57894736842105,2.970491922386786,1.3168450586097507,1.0727773041569577,3y
pair,BNB/USDT:USDT,24,19,8,9,37.5,55.55555555555556,57.89473684210527,42.10526315789473,3.68742012066205,1.8996959150028787,0.3008991116406107,3y
pair,BNB/USDT:USDT,48,19,8,9,37.5,66.66666666666666,47.368421052631575,52.63157894736842,4.979811743388033,2.9310818024465233,0.162818739352857,3y
pair,BNB/USDT:USDT,72,19,8,9,37.5,77.77777777777779,63.1578947368421,36.84210526315789,5.255872492318982,3.6380170026401335,0.8416702329291345,3y
