pair,open_date,close_date,profit_ratio_final,max_profit_ratio,bars_in_trade,profitable_bars,same_tag_signal_bars,profitable_same_tag_signal_bars,first_profitable_same_tag_profit,max_profitable_same_tag_profit
NEAR/USDT:USDT,2023-07-27 19:00:00+00:00,2023-07-28 03:35:00+00:00,-0.027591380964883075,0.0014771048744460869,8,0,0,0,,
SUI/USDT:USDT,2023-07-30 20:00:00+00:00,2023-07-30 20:00:00+00:00,-0.0018114209405415607,0.043907971484121865,0,0,0,0,,
ZEC/USDT:USDT,2023-07-30 07:00:00+00:00,2023-07-31 00:40:00+00:00,0.0006325363671252388,0.04760319573901464,17,9,0,0,,
ZEC/USDT:USDT,2023-08-04 09:00:00+00:00,2023-08-06 00:25:00+00:00,0.0004353909679104505,0.025187202178352568,39,33,0,0,,
ETH/USDT:USDT,2023-08-02 15:00:00+00:00,2023-08-07 01:30:00+00:00,-0.0003464629838291412,0.017480105380374297,106,91,0,0,,
ADA/USDT:USDT,2023-08-06 14:00:00+00:00,2023-08-07 02:50:00+00:00,-0.014517619749620615,0.005481329222336384,12,4,0,0,,
NEAR/USDT:USDT,2023-08-06 14:00:00+00:00,2023-08-08 00:10:00+00:00,0.000857083255307107,0.03273809523809527,34,21,1,1,0.008184523809523898,0.008184523809523898
ADA/USDT:USDT,2023-08-15 19:00:00+00:00,2023-08-16 13:40:00+00:00,0.05142150034086832,0.054684778822710015,18,18,0,0,,
ZEC/USDT:USDT,2023-08-17 15:00:00+00:00,2023-08-17 16:30:00+00:00,0.00022277057812774352,0.021722846441947503,1,1,0,0,,
ETH/USDT:USDT,2023-08-17 15:00:00+00:00,2023-08-17 21:40:00+00:00,0.09999793599660259,0.16071026944356975,6,6,0,0,,
ADA/USDT:USDT,2023-08-17 16:30:00+00:00,2023-08-17 21:40:00+00:00,0.1001782942753428,0.13823857302118175,5,1,0,0,,
NEAR/USDT:USDT,2023-08-21 11:00:00+00:00,2023-08-21 15:25:00+00:00,0.0007587273425816599,0.02811950790861143,4,1,0,0,,
LINK/USDT:USDT,2023-08-21 11:00:00+00:00,2023-08-21 15:35:00+00:00,0.00014144947310682721,0.022164276401564556,4,1,0,0,,
NEAR/USDT:USDT,2023-08-22 18:00:00+00:00,2023-08-22 20:45:00+00:00,-0.03373076183868501,0.008174386920980834,2,0,0,0,,
XRP/USDT:USDT,2023-08-22 14:00:00+00:00,2023-08-22 21:25:00+00:00,0.0001410625334023242,0.021438316117715864,7,4,0,0,,
ZEC/USDT:USDT,2023-08-24 15:00:00+00:00,2023-08-24 23:25:00+00:00,7.801994148081955e-05,0.024776604386677475,8,6,0,0,,
ADA/USDT:USDT,2023-08-26 09:00:00+00:00,2023-08-26 21:50:00+00:00,-0.013108860376573583,0.0015479876160991155,12,0,0,0,,
ETH/USDT:USDT,2023-08-24 15:00:00+00:00,2023-08-27 15:05:00+00:00,-0.009128082324409861,0.008151628806068954,72,5,0,0,,
SOL/USDT:USDT,2023-08-24 15:00:00+00:00,2023-08-29 12:20:00+00:00,0.05021675600044371,0.05774574914040802,117,117,0,0,,
LINK/USDT:USDT,2023-09-01 18:00:00+00:00,2023-09-03 04:10:00+00:00,-0.034479046517515495,0.0025662959794695776,34,0,0,0,,
DOGE/USDT:USDT,2023-09-04 22:00:00+00:00,2023-09-05 02:45:00+00:00,-0.02105257854582729,0.0014453187730849495,4,0,0,0,,
BTC/USDT:USDT,2023-09-04 22:00:00+00:00,2023-09-06 17:55:00+00:00,-0.013319072289479442,0.013174044677194937,43,4,1,1,0.002263862749911298,0.002263862749911298
XRP/USDT:USDT,2023-09-06 15:00:00+00:00,2023-09-07 21:05:00+00:00,-0.01451640480309159,0.016041708441948972,30,8,0,0,,
ADA/USDT:USDT,2023-09-26 16:00:00+00:00,2023-09-27 11:10:00+00:00,-0.010547163385482011,0.006952965235173853,19,7,0,0,,
SUI/USDT:USDT,2023-10-09 09:00:00+00:00,2023-10-09 09:00:00+00:00,-0.0033338347495426033,0.07435897435897432,0,0,0,0,,
XRP/USDT:USDT,2023-10-12 09:00:00+00:00,2023-10-13 20:50:00+00:00,-0.02818383274790893,0.010077682133109441,35,0,0,0,,
ETH/USDT:USDT,2023-10-12 10:00:00+00:00,2023-10-13 21:00:00+00:00,-0.019902485930922656,0.017183870004802152,35,13,0,0,,
ADA/USDT:USDT,2023-10-12 10:00:00+00:00,2023-10-13 21:00:00+00:00,-0.019616214553110623,0.008206811653672555,35,3,0,0,,
ZEC/USDT:USDT,2023-12-31 21:00:00+00:00,2024-01-01 18:10:00+00:00,0.000844621828901479,0.08282319049333817,21,21,0,0,,
ADA/USDT:USDT,2024-01-18 11:00:00+00:00,2024-01-19 03:30:00+00:00,0.050033672250605246,0.0527233960069781,16,14,0,0,,
NEAR/USDT:USDT,2024-01-21 16:00:00+00:00,2024-01-22 10:20:00+00:00,0.05267353913042856,0.05534930813364838,18,14,1,1,0.01349983125210936,0.01349983125210936
XRP/USDT:USDT,2024-01-22 00:00:00+00:00,2024-01-23 08:15:00+00:00,0.052055458205299346,0.05544373284537968,32,32,0,0,,
BTC/USDT:USDT,2024-01-22 02:00:00+00:00,2024-01-23 09:10:00+00:00,0.05170696164518814,0.05231373250588076,31,31,0,0,,
XRP/USDT:USDT,2024-01-25 13:00:00+00:00,2024-01-26 10:30:00+00:00,-0.017044180104961695,0.009246507967735445,21,3,0,0,,
BTC/USDT:USDT,2024-01-24 21:00:00+00:00,2024-01-26 10:40:00+00:00,-0.027792764069790032,0.0013806042798732308,37,0,0,0,,
ETH/USDT:USDT,2024-01-29 14:00:00+00:00,2024-01-29 16:00:00+00:00,-0.017161580482808636,0.005165827981048295,2,0,0,0,,
ZEC/USDT:USDT,2024-02-05 16:00:00+00:00,2024-02-06 19:50:00+00:00,0.051710511621667905,0.05508474576271178,27,13,0,0,,
ZEC/USDT:USDT,2024-04-12 14:00:00+00:00,2024-04-12 17:30:00+00:00,0.057087251222668396,0.06631097560975605,3,2,0,0,,
LINK/USDT:USDT,2024-04-28 23:00:00+00:00,2024-04-30 12:15:00+00:00,0.051641042615468466,0.06471394560277038,37,12,0,0,,
XRP/USDT:USDT,2024-04-30 09:00:00+00:00,2024-04-30 15:00:00+00:00,0.0001985420739916774,0.027151127969654625,6,5,0,0,,
LINK/USDT:USDT,2024-05-11 21:00:00+00:00,2024-05-13 06:45:00+00:00,0.00019772341078175268,0.02193606348730997,33,10,0,0,,
ETH/USDT:USDT,2024-05-10 15:00:00+00:00,2024-05-13 07:00:00+00:00,0.0005525718365744266,0.02412262019566616,64,60,0,0,,
XRP/USDT:USDT,2024-05-10 15:00:00+00:00,2024-05-13 07:00:00+00:00,0.0007168009901258773,0.028188724510195926,64,9,0,0,,
SUI/USDT:USDT,2024-06-02 10:00:00+00:00,2024-06-02 14:50:00+00:00,-0.022477374723940985,0.003658295432074388,4,0,0,0,,
ADA/USDT:USDT,2024-06-02 18:00:00+00:00,2024-06-03 06:30:00+00:00,-0.022944595893452345,0.009887640449438236,12,0,0,0,,
TAO/USDT:USDT,2024-06-10 05:00:00+00:00,2024-06-10 07:50:00+00:00,0.0504601350936016,0.055779682859864475,2,2,0,0,,
ADA/USDT:USDT,2024-06-10 07:00:00+00:00,2024-06-10 09:55:00+00:00,-0.02055527418531401,0.007077625570776237,2,0,0,0,,
DOGE/USDT:USDT,2024-06-14 16:05:00+00:00,2024-06-14 16:05:00+00:00,-0.0010724784442771645,0.058028331056302535,0,0,0,0,,
LINK/USDT:USDT,2024-06-15 21:00:00+00:00,2024-06-16 13:15:00+00:00,-0.01968080257540822,0.015150490361853243,16,6,1,1,0.0027730808251606605,0.0027730808251606605
DOGE/USDT:USDT,2024-06-19 15:00:00+00:00,2024-06-20 11:05:00+00:00,-0.04324826873821185,0.004102732419791585,20,0,0,0,,
TAO/USDT:USDT,2024-06-22 20:00:00+00:00,2024-06-23 04:00:00+00:00,-0.0338577526584412,0.0054338047428838425,8,0,0,0,,
ADA/USDT:USDT,2024-06-21 14:00:00+00:00,2024-06-23 09:15:00+00:00,-0.03690710036535781,0.017734250926416197,43,16,0,0,,
XRP/USDT:USDT,2024-06-26 11:00:00+00:00,2024-06-28 07:50:00+00:00,-0.016693072762842,0.014012738853503175,44,18,0,0,,
SUI/USDT:USDT,2024-06-29 23:00:00+00:00,2024-06-30 13:55:00+00:00,-0.029192905277167135,0.013794865244603438,14,5,0,0,,
XRP/USDT:USDT,2024-06-29 23:00:00+00:00,2024-06-30 22:25:00+00:00,-0.011781398284980305,0.0046620046620046195,23,4,1,1,0.0029667302394575383,0.0029667302394575383
ADA/USDT:USDT,2024-07-07 14:00:00+00:00,2024-07-08 00:50:00+00:00,0.05032197867650059,0.05504071889918564,10,7,0,0,,
ETH/USDT:USDT,2024-07-07 08:00:00+00:00,2024-07-08 01:10:00+00:00,0.0537835928067331,0.05589780817721068,17,13,0,0,,
DOGE/USDT:USDT,2024-07-10 01:00:00+00:00,2024-07-10 04:25:00+00:00,-0.033577160224586594,0.003490236770115983,3,0,0,0,,
LINK/USDT:USDT,2024-07-11 04:00:00+00:00,2024-07-11 12:30:00+00:00,-0.03501673751634556,0.0019816106531388997,8,0,0,0,,
LINK/USDT:USDT,2024-07-31 20:00:00+00:00,2024-08-01 08:40:00+00:00,-5.14113595652419e-05,0.02184691664084289,12,10,0,0,,
