pair,enter_tag,is_short,open_date,close_date,hours_to_5pct,bars_to_5pct,node_time,node_close_profit,overall_mfe,future_mfe_after_5pct,future_close_min_profit_after_5pct,future_adverse_after_5pct,adverse_before_5pct,final_profit,exit_reason,category,node_ret_1h,node_ret_3h,node_ret_6h,node_vol_1h,node_close_vs_ema20,node_close_vs_ema50,node_trend_up,node_trend_down,node_body_ratio,node_close_position
NEAR/USDT:USDT,short_compression_breakdown,True,2023-07-05 11:00:00+00:00,2023-07-08 11:05:00+00:00,27.5,330,2023-07-06T14:25:00+00:00,0.04793510324483788,0.053097345132743404,0.053097345132743404,-0.030235988200589915,0.03097345132743349,0.02728613569321528,-0.010391134838934151,stale_loss_72h,giveback_below_0,-0.03728560775540646,-0.06177325581395343,-0.05003679175864606,0.005333116441588728,-0.02572021939463809,-0.0379025508219879,False,True,0.6500000000000056,0.2
ADA/USDT:USDT,short_pullback_restart,True,2023-08-15 19:00:00+00:00,2023-08-17 21:40:00+00:00,17.5,210,2023-08-16T12:25:00+00:00,0.04632532218739127,0.19226750261233028,0.19226750261233028,0.031347962382445166,-0.030651340996168685,0.0,0.09993906771496618,roi,reach10plus,-0.01652298850574707,-0.012977649603460706,-0.017229002153625328,0.0016254984001641524,-0.011098623587780354,-0.014158576286830593,False,True,0.1666666666666821,0.6666666666666666
BTC/USDT:USDT,short_compression_breakdown,True,2023-08-17 14:00:00+00:00,2023-08-17 21:40:00+00:00,7.75,93,2023-08-17T21:40:00+00:00,0.12641318052786926,0.13427064036008374,0.13427064036008374,0.12641318052786926,-0.028154430254918445,0.003754393626687841,0.10000033122846688,roi,reach10plus,-0.10521056542787677,-0.11063901498038708,-0.1152736313084296,0.02891636905706099,-0.09597722207521786,-0.1049801411793827,False,True,0.9166943245934285,0.07404580152671708
ETH/USDT:USDT,short_pullback_restart,True,2023-08-17 15:00:00+00:00,2023-08-17 21:40:00+00:00,6.75,81,2023-08-17T21:40:00+00:00,0.1573422248211956,0.16071026944356975,0.16071026944356975,0.1573422248211956,-0.039966713148306375,0.0005510323422248314,0.09999793599748052,roi,reach10plus,-0.13273071336392728,-0.13667759273234215,-0.13850885260979529,0.03474609378533415,-0.11869333740589882,-0.12976350142896564,False,True,0.9586010990034456,0.027894197634348555
SOL/USDT:USDT,short_pullback_restart,True,2023-08-24 15:00:00+00:00,2023-08-29 14:30:00+00:00,27.166666666666668,326,2023-08-25T18:05:00+00:00,0.047524845744430326,0.05774574914040802,0.05774574914040802,-0.013423767132965784,0.016155621496867785,0.004757194668173853,-0.0016461119746561644,stale_loss_72h,giveback_below_0,-0.006729210668500407,-0.010181106216348379,-0.023704919615700315,0.0014109216791521272,-0.004607422946421802,-0.008795878297801152,False,True,0.1456310679611339,0.728155339805842
BTC/USDT:USDT,long_1d_center_compression,False,2023-10-24 00:00:00+00:00,2023-11-09 02:20:00+00:00,2.3333333333333335,28,2023-10-24T02:15:00+00:00,0.049727882929189005,0.11531716756364516,0.11531716756364516,0.006615468343714184,-0.0051399891153171675,0.007271572836669287,0.09999962738592003,roi,reach10plus,0.02857117463552772,0.05112624886466843,0.05112624886466843,0.003598917809362306,0.02301735503196678,0.03458107623711926,True,False,0.7820693543839765,0.855370735833089
ZEC/USDT:USDT,short_pullback_restart,True,2023-12-31 21:00:00+00:00,2024-01-03 12:05:00+00:00,1.9166666666666667,23,2023-12-31T22:50:00+00:00,0.03312927619733519,0.23586604249189777,0.23586604249189777,-0.019085343896291004,0.02052574720921859,0.011163125675189007,0.09990928479387981,roi,reach10plus,-0.03832378223495703,-0.03625269203158643,-0.03625269203158643,0.008429217257271587,-0.03439385070247647,-0.03632561641620158,False,True,0.36073059360730536,0.6301369863013707
ADA/USDT:USDT,short_pullback_restart,True,2024-01-18 11:00:00+00:00,2024-01-21 11:05:00+00:00,16.5,198,2024-01-19T03:25:00+00:00,0.05097887187439435,0.08703237061446026,0.08703237061446026,-0.008141112618724522,0.009110292692382102,0.014731537119596703,-0.006710861257754578,stale_loss_72h,giveback_below_0,-0.010309278350515427,-0.015879396984924687,-0.02314445331205106,0.0020253942901617065,-0.007083524812404818,-0.013286413765751237,False,True,0.29166666666668595,0.37499999999998845
NEAR/USDT:USDT,short_pullback_restart,True,2024-01-21 16:00:00+00:00,2024-01-22 15:20:00+00:00,17.916666666666668,215,2024-01-22T09:50:00+00:00,0.049611879851501936,0.1015862301721229,0.1015862301721229,0.04927438407019909,-0.04623692203847452,0.009112386095173855,0.09997022156876616,roi,reach10plus,-0.009148486980999349,-0.0369357045143639,-0.023916811091854395,0.0029899164930031405,-0.011544056485246701,-0.018122765754048697,False,True,0.346153846153856,0.653846153846144
XRP/USDT:USDT,short_pullback_restart,True,2024-01-22 00:00:00+00:00,2024-01-31 14:05:00+00:00,19.75,237,2024-01-22T19:40:00+00:00,0.04592863677950597,0.11436413540713633,0.11436413540713633,0.013174748398902076,-0.012076852698993485,0.006221408966148343,0.10006139861334053,roi,reach10plus,-0.021763602251407277,-0.011751326762698966,-0.019002822201316993,0.003415454986558229,-0.015983420915504976,-0.016504409231108186,False,True,0.5104166666666714,0.45833333333333187
