combination,event_variant,event_label,watch_ttl_h,confirmation,pair,side,entry_tag,event_start,event_end,signal_date,year,confirmation_delay_h,entry_price,stop_price,risk_pct,rsi_1d,rsi_4h,rsi_1h,lower_wick_pct,upper_wick_pct,volume_ratio,swept_recent_low_24_reclaimed,swept_recent_high_24_rejected,return_6h_pct,return_24h_pct,return_72h_pct,mfe_24h_pct,mfe_72h_pct,mae_24h_pct,mae_72h_pct,first_to_1r,first_to_2r,first_to_stop,max_r_72h,min_r_72h
A_24h_weak,A,loose,24,weak,ETH/USDT:USDT,long,extreme_oversold_reversal_long,2026-01-20T21:00:00+00:00,2026-01-20T23:00:00+00:00,2026-01-21T14:00:00+00:00,2026,15,2979.29,2891.0530000113604,2.9616787888604192,37.855491905223246,22.821293893863597,45.444412323596815,5.198991031390176,21.230381165919372,3.7157687584242507,False,False,1.7141667981297681,-1.3315252962954327,-0.7149354376378314,3.022532214050999,3.022532214050999,3.859980062363852,3.859980062363852,False,False,True,1.0205469362239652,-1.3033081362105028
A_24h_medium,A,loose,24,medium,ETH/USDT:USDT,long,extreme_oversold_reversal_long,2026-01-20T21:00:00+00:00,2026-01-20T23:00:00+00:00,2026-01-21T14:00:00+00:00,2026,15,2979.29,2891.0530000113604,2.9616787888604192,37.855491905223246,22.821293893863597,45.444412323596815,5.198991031390176,21.230381165919372,3.7157687584242507,False,False,1.7141667981297681,-1.3315252962954327,-0.7149354376378314,3.022532214050999,3.022532214050999,3.859980062363852,3.859980062363852,False,False,True,1.0205469362239652,-1.3033081362105028
A_72h_weak,A,loose,72,weak,ETH/USDT:USDT,long,extreme_oversold_reversal_long,2026-01-20T21:00:00+00:00,2026-01-20T23:00:00+00:00,2026-01-21T14:00:00+00:00,2026,15,2979.29,2891.0530000113604,2.9616787888604192,37.855491905223246,22.821293893863597,45.444412323596815,5.198991031390176,21.230381165919372,3.7157687584242507,False,False,1.7141667981297681,-1.3315252962954327,-0.7149354376378314,3.022532214050999,3.022532214050999,3.859980062363852,3.859980062363852,False,False,True,1.0205469362239652,-1.3033081362105028
A_72h_medium,A,loose,72,medium,ETH/USDT:USDT,long,extreme_oversold_reversal_long,2026-01-20T21:00:00+00:00,2026-01-20T23:00:00+00:00,2026-01-21T14:00:00+00:00,2026,15,2979.29,2891.0530000113604,2.9616787888604192,37.855491905223246,22.821293893863597,45.444412323596815,5.198991031390176,21.230381165919372,3.7157687584242507,False,False,1.7141667981297681,-1.3315252962954327,-0.7149354376378314,3.022532214050999,3.022532214050999,3.859980062363852,3.859980062363852,False,False,True,1.0205469362239652,-1.3033081362105028
A_120h_weak,A,loose,120,weak,ETH/USDT:USDT,long,extreme_oversold_reversal_long,2026-01-20T21:00:00+00:00,2026-01-20T23:00:00+00:00,2026-01-21T14:00:00+00:00,2026,15,2979.29,2891.0530000113604,2.9616787888604192,37.855491905223246,22.821293893863597,45.444412323596815,5.198991031390176,21.230381165919372,3.7157687584242507,False,False,1.7141667981297681,-1.3315252962954327,-0.7149354376378314,3.022532214050999,3.022532214050999,3.859980062363852,3.859980062363852,False,False,True,1.0205469362239652,-1.3033081362105028
A_120h_medium,A,loose,120,medium,ETH/USDT:USDT,long,extreme_oversold_reversal_long,2026-01-20T21:00:00+00:00,2026-01-20T23:00:00+00:00,2026-01-21T14:00:00+00:00,2026,15,2979.29,2891.0530000113604,2.9616787888604192,37.855491905223246,22.821293893863597,45.444412323596815,5.198991031390176,21.230381165919372,3.7157687584242507,False,False,1.7141667981297681,-1.3315252962954327,-0.7149354376378314,3.022532214050999,3.022532214050999,3.859980062363852,3.859980062363852,False,False,True,1.0205469362239652,-1.3033081362105028
A_168h_weak,A,loose,168,weak,ETH/USDT:USDT,long,extreme_oversold_reversal_long,2026-01-20T21:00:00+00:00,2026-01-20T23:00:00+00:00,2026-01-21T14:00:00+00:00,2026,15,2979.29,2891.0530000113604,2.9616787888604192,37.855491905223246,22.821293893863597,45.444412323596815,5.198991031390176,21.230381165919372,3.7157687584242507,False,False,1.7141667981297681,-1.3315252962954327,-0.7149354376378314,3.022532214050999,3.022532214050999,3.859980062363852,3.859980062363852,False,False,True,1.0205469362239652,-1.3033081362105028
A_168h_medium,A,loose,168,medium,ETH/USDT:USDT,long,extreme_oversold_reversal_long,2026-01-20T21:00:00+00:00,2026-01-20T23:00:00+00:00,2026-01-21T14:00:00+00:00,2026,15,2979.29,2891.0530000113604,2.9616787888604192,37.855491905223246,22.821293893863597,45.444412323596815,5.198991031390176,21.230381165919372,3.7157687584242507,False,False,1.7141667981297681,-1.3315252962954327,-0.7149354376378314,3.022532214050999,3.022532214050999,3.859980062363852,3.859980062363852,False,False,True,1.0205469362239652,-1.3033081362105028
A_24h_weak,A,loose,24,weak,ETH/USDT:USDT,short,extreme_overbought_reversal_short,2024-11-10T11:00:00+00:00,2024-11-10T11:00:00+00:00,2024-11-10T19:00:00+00:00,2024,8,3164.99,3263.3837073111413,3.108815740686116,74.13380327007475,87.45628015305167,52.50517442655085,16.973175588614033,18.355394166569162,1.862076383893503,False,False,-1.1382413483974396,-4.136529398223876,0.1512557709772322,2.8793139946729585,2.8793139946729585,5.832245915468932,8.973488067892797,False,False,True,0.9261771152887605,-2.886465077506442
A_24h_medium,A,loose,24,medium,ETH/USDT:USDT,short,extreme_overbought_reversal_short,2024-11-10T11:00:00+00:00,2024-11-10T11:00:00+00:00,2024-11-10T19:00:00+00:00,2024,8,3164.99,3263.3837073111413,3.108815740686116,74.13380327007475,87.45628015305167,52.50517442655085,16.973175588614033,18.355394166569162,1.862076383893503,False,False,-1.1382413483974396,-4.136529398223876,0.1512557709772322,2.8793139946729585,2.8793139946729585,5.832245915468932,8.973488067892797,False,False,True,0.9261771152887605,-2.886465077506442
A_24h_strong,A,loose,24,strong,ETH/USDT:USDT,short,extreme_overbought_reversal_short,2024-11-10T11:00:00+00:00,2024-11-10T11:00:00+00:00,2024-11-10T19:00:00+00:00,2024,8,3164.99,3263.3837073111413,3.108815740686116,74.13380327007475,87.45628015305167,52.50517442655085,16.973175588614033,18.355394166569162,1.862076383893503,False,False,-1.1382413483974396,-4.136529398223876,0.1512557709772322,2.8793139946729585,2.8793139946729585,5.832245915468932,8.973488067892797,False,False,True,0.9261771152887605,-2.886465077506442
A_72h_weak,A,loose,72,weak,ETH/USDT:USDT,short,extreme_overbought_reversal_short,2024-11-10T11:00:00+00:00,2024-11-10T11:00:00+00:00,2024-11-10T19:00:00+00:00,2024,8,3164.99,3263.3837073111413,3.108815740686116,74.13380327007475,87.45628015305167,52.50517442655085,16.973175588614033,18.355394166569162,1.862076383893503,False,False,-1.1382413483974396,-4.136529398223876,0.1512557709772322,2.8793139946729585,2.8793139946729585,5.832245915468932,8.973488067892797,False,False,True,0.9261771152887605,-2.886465077506442
A_72h_medium,A,loose,72,medium,ETH/USDT:USDT,short,extreme_overbought_reversal_short,2024-11-10T11:00:00+00:00,2024-11-10T11:00:00+00:00,2024-11-10T19:00:00+00:00,2024,8,3164.99,3263.3837073111413,3.108815740686116,74.13380327007475,87.45628015305167,52.50517442655085,16.973175588614033,18.355394166569162,1.862076383893503,False,False,-1.1382413483974396,-4.136529398223876,0.1512557709772322,2.8793139946729585,2.8793139946729585,5.832245915468932,8.973488067892797,False,False,True,0.9261771152887605,-2.886465077506442
A_72h_strong,A,loose,72,strong,ETH/USDT:USDT,short,extreme_overbought_reversal_short,2024-11-10T11:00:00+00:00,2024-11-10T11:00:00+00:00,2024-11-10T19:00:00+00:00,2024,8,3164.99,3263.3837073111413,3.108815740686116,74.13380327007475,87.45628015305167,52.50517442655085,16.973175588614033,18.355394166569162,1.862076383893503,False,False,-1.1382413483974396,-4.136529398223876,0.1512557709772322,2.8793139946729585,2.8793139946729585,5.832245915468932,8.973488067892797,False,False,True,0.9261771152887605,-2.886465077506442
A_120h_weak,A,loose,120,weak,ETH/USDT:USDT,short,extreme_overbought_reversal_short,2024-11-10T11:00:00+00:00,2024-11-10T11:00:00+00:00,2024-11-10T19:00:00+00:00,2024,8,3164.99,3263.3837073111413,3.108815740686116,74.13380327007475,87.45628015305167,52.50517442655085,16.973175588614033,18.355394166569162,1.862076383893503,False,False,-1.1382413483974396,-4.136529398223876,0.1512557709772322,2.8793139946729585,2.8793139946729585,5.832245915468932,8.973488067892797,False,False,True,0.9261771152887605,-2.886465077506442
A_120h_weak,A,loose,120,weak,ETH/USDT:USDT,short,extreme_overbought_reversal_short,2025-04-23T04:00:00+00:00,2025-04-23T04:00:00+00:00,2025-04-27T01:00:00+00:00,2025,93,1803.62,1854.7407247012359,2.834340088335458,56.98608858109586,67.48966506389382,50.19401061746299,6.3508771929822645,27.561403508771992,3.5961432181400084,False,True,0.035496788649891364,2.2976445031790416,0.38347442297952394,2.9180204255885323,3.408145840032812,0.7446136104057431,2.1734068151828017,True,False,False,1.2024477422659383,-0.7668122904965836
A_120h_medium,A,loose,120,medium,ETH/USDT:USDT,short,extreme_overbought_reversal_short,2024-11-10T11:00:00+00:00,2024-11-10T11:00:00+00:00,2024-11-10T19:00:00+00:00,2024,8,3164.99,3263.3837073111413,3.108815740686116,74.13380327007475,87.45628015305167,52.50517442655085,16.973175588614033,18.355394166569162,1.862076383893503,False,False,-1.1382413483974396,-4.136529398223876,0.1512557709772322,2.8793139946729585,2.8793139946729585,5.832245915468932,8.973488067892797,False,False,True,0.9261771152887605,-2.886465077506442
A_120h_strong,A,loose,120,strong,ETH/USDT:USDT,short,extreme_overbought_reversal_short,2024-11-10T11:00:00+00:00,2024-11-10T11:00:00+00:00,2024-11-10T19:00:00+00:00,2024,8,3164.99,3263.3837073111413,3.108815740686116,74.13380327007475,87.45628015305167,52.50517442655085,16.973175588614033,18.355394166569162,1.862076383893503,False,False,-1.1382413483974396,-4.136529398223876,0.1512557709772322,2.8793139946729585,2.8793139946729585,5.832245915468932,8.973488067892797,False,False,True,0.9261771152887605,-2.886465077506442
A_168h_weak,A,loose,168,weak,ETH/USDT:USDT,short,extreme_overbought_reversal_short,2024-11-10T11:00:00+00:00,2024-11-10T11:00:00+00:00,2024-11-10T19:00:00+00:00,2024,8,3164.99,3263.3837073111413,3.108815740686116,74.13380327007475,87.45628015305167,52.50517442655085,16.973175588614033,18.355394166569162,1.862076383893503,False,False,-1.1382413483974396,-4.136529398223876,0.1512557709772322,2.8793139946729585,2.8793139946729585,5.832245915468932,8.973488067892797,False,False,True,0.9261771152887605,-2.886465077506442
A_168h_weak,A,loose,168,weak,ETH/USDT:USDT,short,extreme_overbought_reversal_short,2025-04-23T04:00:00+00:00,2025-04-23T04:00:00+00:00,2025-04-27T01:00:00+00:00,2025,93,1803.62,1854.7407247012359,2.834340088335458,56.98608858109586,67.48966506389382,50.19401061746299,6.3508771929822645,27.561403508771992,3.5961432181400084,False,True,0.035496788649891364,2.2976445031790416,0.38347442297952394,2.9180204255885323,3.408145840032812,0.7446136104057431,2.1734068151828017,True,False,False,1.2024477422659383,-0.7668122904965836
