pair,trades_base,profit_pct_base,profit_abs_base,avg_profit_pct_base,winrate_base,trades_guard,profit_pct_guard,profit_abs_guard,avg_profit_pct_guard,winrate_guard,period,level,trades_diff,profit_pct_diff,profit_abs_diff,avg_profit_pct_diff,winrate_diff,enter_tag
ADA/USDT:USDT,33,0.46697853669998124,144.4865719,0.01415086474848428,0.48484848484848486,34,0.4300714363909055,138.73452766,0.012649159893850162,0.47058823529411764,3y,pair,1,-0.036907100309075735,-5.752044240000004,-0.0015017048546341182,-0.014260249554367221,
BNB/USDT:USDT,22,0.5078633735657826,215.41538408000002,0.023084698798444662,0.5454545454545454,22,0.5078633735854008,221.02672436,0.0230846987993364,0.5454545454545454,3y,pair,0,1.961819595663883e-11,5.611340279999979,8.917380722728296e-13,0.0,
BTC/USDT:USDT,36,0.4188428283343687,167.32760295,0.011634523009288019,0.4166666666666667,34,0.4785778800732242,181.41120669,0.014075820002153653,0.4411764705882353,3y,pair,-2,0.059735051738855516,14.083603740000001,0.0024412969928656342,0.024509803921568596,
DOGE/USDT:USDT,22,0.4254604239949279,131.36730661,0.01933911018158763,0.6363636363636364,22,0.4254604239519561,134.77972349,0.01933911017963437,0.6363636363636364,3y,pair,0,-4.297179279078023e-11,3.412416879999995,-1.9532604700334133e-12,0.0,
ETH/USDT:USDT,30,0.5202853055252669,224.73685881,0.017342843517508897,0.5333333333333333,28,0.5877151506399976,253.40734849,0.02098982680857134,0.5714285714285714,3y,pair,-2,0.06742984511473071,28.670489680000003,0.0036469832910624445,0.03809523809523807,
LINK/USDT:USDT,22,-0.1906880035260901,-54.84708791,-0.008667636523913187,0.3181818181818182,22,-0.19068800349302703,-55.89178552,-0.00866763652241032,0.3181818181818182,3y,pair,0,3.306308005157632e-11,-1.04469761,1.502867275071651e-12,0.0,
NEAR/USDT:USDT,33,0.0059090019273059236,36.17198911,0.00017906066446381588,0.5454545454545454,33,0.005909001875072461,38.19356366,0.00017906066288098368,0.5454545454545454,3y,pair,0,-5.2233462347062165e-11,2.021574550000004,-1.5828321997275047e-12,0.0,
PAXG/USDT:USDT,6,0.07126201146915427,54.45130252,0.011877001911525712,0.5,6,0.07126201147209346,56.287106349999995,0.011877001912015578,0.5,3y,pair,0,2.9391905576048316e-12,1.8358038299999961,4.898650929341386e-13,0.0,
SOL/USDT:USDT,27,0.08842971457593019,-2.627699929999995,0.00327517461392334,0.3333333333333333,26,0.12811358368745468,6.329054239999992,0.004927445526440565,0.34615384615384615,3y,pair,-1,0.039683869111524495,8.956754169999986,0.0016522709125172245,0.01282051282051283,
SUI/USDT:USDT,19,-0.02475397284900038,-12.91050679,-0.0013028406762631778,0.42105263157894735,19,-0.024753972926328572,-12.924203450000002,-0.0013028406803330828,0.42105263157894735,3y,pair,0,-7.73281924604241e-11,-0.01369666000000258,-4.069905003289964e-12,0.0,
TAO/USDT:USDT,15,0.17694846336498782,83.85040799,0.011796564224332522,0.6,15,0.17694846329922218,86.15704189,0.011796564219948145,0.6,3y,pair,0,-6.576564293148124e-11,2.3066339000000085,-4.384376542376778e-12,0.0,
XRP/USDT:USDT,35,0.40433621701024214,178.42783814,0.011552463343149775,0.4857142857142857,35,0.4043362171281709,182.81799474000002,0.011552463346519168,0.4857142857142857,3y,pair,0,1.1792877785410383e-10,4.390156600000012,3.3693933060297e-12,0.0,
ZEC/USDT:USDT,13,0.4190340687949352,150.03629206,0.032233389907302706,0.8461538461538461,13,0.4190340687563907,153.05753457999998,0.032233389904337745,0.8461538461538461,3y,pair,0,-3.854450092433126e-11,3.021242519999987,-2.964961609563943e-12,0.0,
,48,0.9595889524636149,472.9245116,0.019991436509658643,0.3541666666666667,48,0.959588952516883,481.29373504,0.019991436510768398,0.3541666666666667,3y,tag,0,5.3268167654607623e-11,8.369223439999985,1.1097546492866428e-12,0.0,long_1d_center_compression
,86,0.6121894156412216,195.58794149,0.007118481577223507,0.47674418604651164,81,0.7790381816890959,249.38274665,0.009617755329495012,0.5061728395061729,3y,tag,-5,0.16684876604787424,53.79480516000001,0.0024992737522715044,0.029428653459661225,short_compression_breakdown
,179,1.718129600782956,647.37380645,0.009598489389848917,0.5418994413407822,180,1.6812225002345542,652.70935549,0.009340125001303079,0.5388888888888889,3y,tag,1,-0.03690710054840185,5.335549040000046,-0.0002583643885458384,-0.0030105524518933002,short_pullback_restart
ADA/USDT:USDT,11,0.10013506450610342,20.683801620000004,0.009103187682373039,0.5454545454545454,11,0.10013506456876146,20.84171553,0.009103187688069224,0.5454545454545454,1y,pair,0,6.265804541882858e-11,0.15791390999999422,5.696184843251295e-12,0.0,
BNB/USDT:USDT,11,0.29484524225982073,89.00030509,0.026804112932710976,0.6363636363636364,11,0.29484524226316305,90.20158193,0.026804112933014823,0.6363636363636364,1y,pair,0,3.3423264156340338e-12,1.2012768400000056,3.038472251581936e-13,0.0,
BTC/USDT:USDT,10,0.050470540738762636,15.603602849999998,0.005047054073876263,0.5,10,0.050470540738762636,15.603602849999998,0.005047054073876263,0.5,1y,pair,0,0.0,0.0,0.0,0.0,
DOGE/USDT:USDT,6,0.021829266233862294,0.9326535500000019,0.003638211038977049,0.6666666666666666,6,0.021829266298312923,0.9351422099999983,0.0036382110497188203,0.6666666666666666,1y,pair,0,6.445062886162312e-11,0.0024886599999963677,1.0741771187816607e-11,0.0,
ETH/USDT:USDT,11,0.20411873205754064,67.19225723,0.01855624836886733,0.6363636363636364,10,0.24674021020163683,75.49279502,0.024674021020163684,0.7,1y,pair,-1,0.0426214781440962,8.300537790000007,0.006117772651296354,0.0636363636363636,
LINK/USDT:USDT,4,-0.00908775575891358,-5.756849430000003,-0.002271938939728395,0.25,4,-0.009087755772058528,-5.736338010000001,-0.002271938943014632,0.25,1y,pair,0,-1.314494693649415e-11,0.020511420000001834,-3.2862367341235377e-12,0.0,
NEAR/USDT:USDT,15,0.08155359361463431,32.40213026,0.0054369062409756206,0.6666666666666666,15,0.08155359356886276,32.47005935,0.005436906237924184,0.6666666666666666,1y,pair,0,-4.577155321427995e-11,0.0679290899999998,-3.051436707479649e-12,0.0,
PAXG/USDT:USDT,5,0.09195269277299518,38.72266879,0.018390538554599038,0.6,5,0.09195269279775954,39.13867209,0.01839053855955191,0.6,1y,pair,0,2.4764357231532586e-11,0.41600329999999985,4.952871446306517e-12,0.0,
SOL/USDT:USDT,10,-0.08752530660080486,-30.67808098,-0.008752530660080486,0.2,10,-0.08752530661046219,-30.77997169,-0.00875253066104622,0.2,1y,pair,0,-9.657330490853155e-12,-0.10189070999999927,-9.657327021406203e-13,0.0,
