pair,open_date,close_date,bars,profit_positive_bars,profit_in_cap_bars,probe_signal_bars,profit_and_probe_bars,profit_and_tag_bars,profit_and_probe_first,profit_and_probe_max,final_profit,max_profit
NEAR/USDT:USDT,2023-07-27 19:00:00+00:00,2023-07-28 03:35:00+00:00,8,0,0,0,0,0,,,-0.027591380964883075,0.0014771048744460869
SUI/USDT:USDT,2023-07-30 20:00:00+00:00,2023-07-30 20:00:00+00:00,0,0,0,0,0,0,,,,
ZEC/USDT:USDT,2023-07-30 07:00:00+00:00,2023-07-31 00:40:00+00:00,17,9,9,0,0,0,,,0.0006325363671252388,0.04760319573901464
ZEC/USDT:USDT,2023-08-04 09:00:00+00:00,2023-08-06 00:25:00+00:00,39,33,33,0,0,0,,,0.0004353909679104505,0.025187202178352568
ETH/USDT:USDT,2023-08-02 15:00:00+00:00,2023-08-07 01:30:00+00:00,106,90,90,0,0,0,,,-0.0003464629838291412,0.017480105380374297
ADA/USDT:USDT,2023-08-06 14:00:00+00:00,2023-08-07 02:50:00+00:00,12,4,4,0,0,0,,,-0.014517619749620615,0.005481329222336384
NEAR/USDT:USDT,2023-08-06 14:00:00+00:00,2023-08-08 00:10:00+00:00,34,20,20,0,0,1,,,0.000857083255307107,0.03273809523809527
ADA/USDT:USDT,2023-08-15 19:00:00+00:00,2023-08-16 13:40:00+00:00,18,18,13,0,0,0,,,0.05142150034086832,0.054684778822710015
ZEC/USDT:USDT,2023-08-17 15:00:00+00:00,2023-08-17 16:30:00+00:00,1,1,1,0,0,0,,,0.00022277057812774352,0.021722846441947503
ETH/USDT:USDT,2023-08-17 15:00:00+00:00,2023-08-17 21:40:00+00:00,6,6,4,0,0,0,,,0.09999793599660259,0.16071026944356975
ADA/USDT:USDT,2023-08-17 16:30:00+00:00,2023-08-17 21:40:00+00:00,5,1,0,0,0,0,,,0.1001782942753428,0.13823857302118175
NEAR/USDT:USDT,2023-08-21 11:00:00+00:00,2023-08-21 15:25:00+00:00,4,1,1,0,0,0,,,0.0007587273425816599,0.02811950790861143
LINK/USDT:USDT,2023-08-21 11:00:00+00:00,2023-08-21 15:35:00+00:00,4,1,1,0,0,0,,,0.00014144947310682721,0.022164276401564556
NEAR/USDT:USDT,2023-08-22 18:00:00+00:00,2023-08-22 20:45:00+00:00,2,0,0,0,0,0,,,-0.03373076183868501,0.008174386920980834
XRP/USDT:USDT,2023-08-22 14:00:00+00:00,2023-08-22 21:25:00+00:00,7,4,4,0,0,0,,,0.0001410625334023242,0.021438316117715864
ZEC/USDT:USDT,2023-08-24 15:00:00+00:00,2023-08-24 23:25:00+00:00,8,6,6,0,0,0,,,7.801994148081955e-05,0.024776604386677475
ADA/USDT:USDT,2023-08-26 09:00:00+00:00,2023-08-26 21:50:00+00:00,12,0,0,0,0,0,,,-0.013108860376573583,0.0015479876160991155
ETH/USDT:USDT,2023-08-24 15:00:00+00:00,2023-08-27 15:05:00+00:00,72,4,4,0,0,0,,,-0.009128082324409861,0.008151628806068954
SOL/USDT:USDT,2023-08-24 15:00:00+00:00,2023-08-29 12:20:00+00:00,117,117,37,0,0,0,,,0.05021675600044371,0.05774574914040802
LINK/USDT:USDT,2023-09-01 18:00:00+00:00,2023-09-03 04:10:00+00:00,34,0,0,0,0,0,,,-0.034479046517515495,0.0025662959794695776
DOGE/USDT:USDT,2023-09-04 22:00:00+00:00,2023-09-05 02:45:00+00:00,4,0,0,0,0,0,,,-0.02105257854582729,0.0014453187730849495
BTC/USDT:USDT,2023-09-04 22:00:00+00:00,2023-09-06 17:55:00+00:00,43,4,4,0,0,1,,,-0.013319072289479442,0.013174044677194937
XRP/USDT:USDT,2023-09-06 15:00:00+00:00,2023-09-07 21:05:00+00:00,30,7,7,0,0,0,,,-0.01451640480309159,0.016041708441948972
ADA/USDT:USDT,2023-09-26 16:00:00+00:00,2023-09-27 11:10:00+00:00,19,5,5,0,0,0,,,-0.010547163385482011,0.006952965235173853
SUI/USDT:USDT,2023-10-09 09:00:00+00:00,2023-10-09 09:00:00+00:00,0,0,0,0,0,0,,,,
XRP/USDT:USDT,2023-10-12 09:00:00+00:00,2023-10-13 20:50:00+00:00,35,0,0,0,0,0,,,-0.02818383274790893,0.010077682133109441
ETH/USDT:USDT,2023-10-12 10:00:00+00:00,2023-10-13 21:00:00+00:00,35,12,12,0,0,0,,,-0.019902485930922656,0.017183870004802152
ADA/USDT:USDT,2023-10-12 10:00:00+00:00,2023-10-13 21:00:00+00:00,35,3,3,0,0,0,,,-0.019616214553110623,0.008206811653672555
ZEC/USDT:USDT,2023-12-31 21:00:00+00:00,2024-01-01 18:10:00+00:00,21,21,13,0,0,0,,,0.000844621828901479,0.08282319049333817
ADA/USDT:USDT,2024-01-18 11:00:00+00:00,2024-01-19 03:30:00+00:00,16,14,8,0,0,0,,,0.050033672250605246,0.0527233960069781
NEAR/USDT:USDT,2024-01-21 16:00:00+00:00,2024-01-22 10:20:00+00:00,18,14,9,0,0,1,,,0.05267353913042856,0.05534930813364838
XRP/USDT:USDT,2024-01-22 00:00:00+00:00,2024-01-23 08:15:00+00:00,32,32,16,0,0,0,,,0.052055458205299346,0.05544373284537968
BTC/USDT:USDT,2024-01-22 02:00:00+00:00,2024-01-23 09:10:00+00:00,31,31,17,0,0,0,,,0.05170696164518814,0.05231373250588076
XRP/USDT:USDT,2024-01-25 13:00:00+00:00,2024-01-26 10:30:00+00:00,21,2,2,0,0,0,,,-0.017044180104961695,0.009246507967735445
BTC/USDT:USDT,2024-01-24 21:00:00+00:00,2024-01-26 10:40:00+00:00,37,0,0,0,0,0,,,-0.027792764069790032,0.0013806042798732308
ETH/USDT:USDT,2024-01-29 14:00:00+00:00,2024-01-29 16:00:00+00:00,2,0,0,0,0,0,,,-0.017161580482808636,0.005165827981048295
ZEC/USDT:USDT,2024-02-05 16:00:00+00:00,2024-02-06 19:50:00+00:00,27,13,11,0,0,0,,,0.051710511621667905,0.05508474576271178
ZEC/USDT:USDT,2024-04-12 14:00:00+00:00,2024-04-12 17:30:00+00:00,3,2,1,0,0,0,,,0.057087251222668396,0.06631097560975605
LINK/USDT:USDT,2024-04-28 23:00:00+00:00,2024-04-30 12:15:00+00:00,37,11,8,0,0,0,,,0.051641042615468466,0.06471394560277038
XRP/USDT:USDT,2024-04-30 09:00:00+00:00,2024-04-30 15:00:00+00:00,6,5,5,0,0,0,,,0.0001985420739916774,0.027151127969654625
LINK/USDT:USDT,2024-05-11 21:00:00+00:00,2024-05-13 06:45:00+00:00,33,10,10,0,0,0,,,0.00019772341078175268,0.02193606348730997
ETH/USDT:USDT,2024-05-10 15:00:00+00:00,2024-05-13 07:00:00+00:00,64,60,60,0,0,0,,,0.0005525718365744266,0.02412262019566616
XRP/USDT:USDT,2024-05-10 15:00:00+00:00,2024-05-13 07:00:00+00:00,64,9,9,0,0,0,,,0.0007168009901258773,0.028188724510195926
SUI/USDT:USDT,2024-06-02 10:00:00+00:00,2024-06-02 14:50:00+00:00,4,0,0,0,0,0,,,-0.022477374723940985,0.003658295432074388
ADA/USDT:USDT,2024-06-02 18:00:00+00:00,2024-06-03 06:30:00+00:00,12,0,0,0,0,0,,,-0.022944595893452345,0.009887640449438236
TAO/USDT:USDT,2024-06-10 05:00:00+00:00,2024-06-10 07:50:00+00:00,2,2,1,0,0,0,,,0.0504601350936016,0.055779682859864475
ADA/USDT:USDT,2024-06-10 07:00:00+00:00,2024-06-10 09:55:00+00:00,2,0,0,0,0,0,,,-0.02055527418531401,0.007077625570776237
DOGE/USDT:USDT,2024-06-14 16:05:00+00:00,2024-06-14 16:05:00+00:00,0,0,0,0,0,0,,,,
LINK/USDT:USDT,2024-06-15 21:00:00+00:00,2024-06-16 13:15:00+00:00,16,6,6,0,0,1,,,-0.01968080257540822,0.015150490361853243
DOGE/USDT:USDT,2024-06-19 15:00:00+00:00,2024-06-20 11:05:00+00:00,20,0,0,0,0,0,,,-0.04324826873821185,0.004102732419791585
TAO/USDT:USDT,2024-06-22 20:00:00+00:00,2024-06-23 04:00:00+00:00,8,0,0,0,0,0,,,-0.0338577526584412,0.0054338047428838425
ADA/USDT:USDT,2024-06-21 14:00:00+00:00,2024-06-23 09:15:00+00:00,43,16,16,0,0,0,,,-0.03690710036535781,0.017734250926416197
XRP/USDT:USDT,2024-06-26 11:00:00+00:00,2024-06-28 07:50:00+00:00,44,18,18,0,0,0,,,-0.016693072762842,0.014012738853503175
SUI/USDT:USDT,2024-06-29 23:00:00+00:00,2024-06-30 13:55:00+00:00,14,5,5,0,0,0,,,-0.029192905277167135,0.013794865244603438
XRP/USDT:USDT,2024-06-29 23:00:00+00:00,2024-06-30 22:25:00+00:00,23,4,4,0,0,1,,,-0.011781398284980305,0.0046620046620046195
ADA/USDT:USDT,2024-07-07 14:00:00+00:00,2024-07-08 00:50:00+00:00,10,5,4,0,0,0,,,0.05032197867650059,0.05504071889918564
ETH/USDT:USDT,2024-07-07 08:00:00+00:00,2024-07-08 01:10:00+00:00,17,13,11,0,0,0,,,0.0537835928067331,0.05589780817721068
DOGE/USDT:USDT,2024-07-10 01:00:00+00:00,2024-07-10 04:25:00+00:00,3,0,0,0,0,0,,,-0.033577160224586594,0.003490236770115983
LINK/USDT:USDT,2024-07-11 04:00:00+00:00,2024-07-11 12:30:00+00:00,8,0,0,0,0,0,,,-0.03501673751634556,0.0019816106531388997
LINK/USDT:USDT,2024-07-31 20:00:00+00:00,2024-08-01 08:40:00+00:00,12,10,10,0,0,0,,,-5.14113595652419e-05,0.02184691664084289
DOGE/USDT:USDT,2024-08-03 16:00:00+00:00,2024-08-04 14:35:00+00:00,22,22,13,0,0,0,,,0.05254538518116827,0.05418852903926177
BNB/USDT:USDT,2024-08-03 16:00:00+00:00,2024-08-04 15:10:00+00:00,23,23,21,0,0,0,,,0.05460332346009517,0.05774687588086059
BNB/USDT:USDT,2024-08-07 15:00:00+00:00,2024-08-08 15:50:00+00:00,24,8,8,0,0,0,,,-0.046816289998442985,0.02002306321417342
NEAR/USDT:USDT,2024-08-19 00:00:00+00:00,2024-08-20 00:30:00+00:00,24,13,13,0,0,0,,,-0.04580470646209553,0.017192712342827748
ZEC/USDT:USDT,2024-08-31 16:00:00+00:00,2024-09-01 17:25:00+00:00,25,23,19,0,0,1,,,0.05194605257180543,0.053489086996618564
ADA/USDT:USDT,2024-08-30 12:00:00+00:00,2024-09-01 22:20:00+00:00,58,57,43,0,0,1,,,0.0503906967991736,0.05183708345200811
BNB/USDT:USDT,2024-08-31 17:00:00+00:00,2024-09-02 05:35:00+00:00,36,33,21,0,0,1,,,0.05051198794461552,0.0522634362224806
ETH/USDT:USDT,2024-09-03 09:00:00+00:00,2024-09-04 01:05:00+00:00,16,13,11,0,0,0,,,0.07348062220804323,0.07753541983510767
ZEC/USDT:USDT,2024-09-03 14:00:00+00:00,2024-09-04 01:05:00+00:00,11,11,11,0,0,0,,,0.06407389128616313,0.07003758114110013
DOGE/USDT:USDT,2024-09-03 14:00:00+00:00,2024-09-04 01:05:00+00:00,11,11,10,0,0,0,,,0.06232130485099709,0.06511343982093806
BTC/USDT:USDT,2024-09-05 04:00:00+00:00,2024-09-06 15:20:00+00:00,35,33,31,0,0,0,,,0.056631393117152436,0.05819547107825878
