strategy,strategy_short,window,pair,trades,profit_abs,profit_pct,winrate_pct,avg_profit_pct
DualTrendRawBreakevenGuardStrategy,guard_breakeven,repair,ETH/USDT:USDT,2,18.466430380000002,1.8466430380000003,50.0,4.99
DualTrendRawBreakevenGuardStrategy,guard_breakeven,repair,LINK/USDT:USDT,2,8.25995154,0.8259951539999999,50.0,3.15
DualTrendRawBreakevenGuardStrategy,guard_breakeven,repair,DOGE/USDT:USDT,1,0.0346137,0.0034613699999999996,100.0,0.02
DualTrendRawBreakevenGuardStrategy,guard_breakeven,repair,XRP/USDT:USDT,2,0.01619829,0.001619829,100.0,0.0
DualTrendRawBreakevenGuardStrategy,guard_breakeven,repair,ZEC/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenGuardStrategy,guard_breakeven,repair,ADA/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenGuardStrategy,guard_breakeven,repair,BNB/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenGuardStrategy,guard_breakeven,repair,TAO/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenGuardStrategy,guard_breakeven,repair,SUI/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenGuardStrategy,guard_breakeven,repair,PAXG/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenGuardStrategy,guard_breakeven,repair,NEAR/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenGuardStrategy,guard_breakeven,repair,BTC/USDT:USDT,2,-7.2040080600000005,-0.720400806,50.0,-1.47
DualTrendRawBreakevenGuardStrategy,guard_breakeven,repair,SOL/USDT:USDT,1,-7.62152472,-0.762152472,0.0,-3.56
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,1y,ETH/USDT:USDT,13,87.10016540000001,8.710016540000002,61.53846153846154,2.39
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,1y,BNB/USDT:USDT,11,65.57982797,6.557982796999999,63.63636363636363,2.17
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,1y,ADA/USDT:USDT,12,64.64548685000001,6.464548685000001,58.333333333333336,1.72
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,1y,TAO/USDT:USDT,10,46.90020224000001,4.690020224000001,60.0,1.77
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,1y,XRP/USDT:USDT,20,46.13664594,4.613664593999999,40.0,0.86
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,1y,PAXG/USDT:USDT,6,36.05615105,3.605615105,66.66666666666666,1.5
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,1y,ZEC/USDT:USDT,1,22.64432742,2.264432742,100.0,10.0
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,1y,NEAR/USDT:USDT,15,14.39894813,1.439894813,66.66666666666666,0.21
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,1y,LINK/USDT:USDT,6,5.159478160000003,0.5159478160000003,33.33333333333333,0.9
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,1y,BTC/USDT:USDT,11,3.339806480000001,0.3339806480000001,54.54545454545454,0.1
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,1y,SOL/USDT:USDT,14,-5.569978189999995,-0.5569978189999996,21.428571428571427,-0.39
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,1y,DOGE/USDT:USDT,8,-14.23444677,-1.423444677,62.5,-0.56
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,1y,SUI/USDT:USDT,8,-22.96739607,-2.296739607,50.0,-1.26
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,3y,ETH/USDT:USDT,31,227.75781678,22.775781678,54.83870967741935,1.92
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,3y,BNB/USDT:USDT,22,166.44749172,16.644749171999997,59.09090909090909,2.16
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,3y,ZEC/USDT:USDT,13,150.71204034000002,15.071204034000003,84.61538461538461,3.58
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,3y,ADA/USDT:USDT,35,146.31004950000002,14.631004950000001,48.57142857142857,0.9
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,3y,XRP/USDT:USDT,42,104.10143857999999,10.410143858,50.0,0.58
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,3y,DOGE/USDT:USDT,26,89.84601948999999,8.984601948999998,61.53846153846154,1.24
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,3y,TAO/USDT:USDT,15,69.87028722000001,6.987028722000001,53.333333333333336,0.99
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,3y,BTC/USDT:USDT,37,68.00718562,6.800718562000001,48.64864864864865,0.67
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,3y,SOL/USDT:USDT,30,50.74826906,5.074826905999999,36.666666666666664,0.66
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,3y,PAXG/USDT:USDT,7,44.2530241,4.42530241,57.14285714285714,0.99
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,3y,NEAR/USDT:USDT,33,3.0143809599999885,0.3014380959999988,54.54545454545454,-0.15
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,3y,LINK/USDT:USDT,25,-24.608040710000008,-2.460804071000001,32.0,-0.37
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,3y,SUI/USDT:USDT,21,-35.86929062,-3.5869290620000003,38.095238095238095,-0.53
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,pressure,ZEC/USDT:USDT,1,18.15526642,1.815526642,100.0,10.0
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,pressure,XRP/USDT:USDT,7,7.0931481299999986,0.7093148129999999,28.57142857142857,0.22
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,pressure,BNB/USDT:USDT,2,5.31702893,0.5317028930000001,50.0,0.51
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,pressure,NEAR/USDT:USDT,2,0.42298124,0.042298124,100.0,0.08
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,pressure,SUI/USDT:USDT,1,0.00554559,0.000554559,100.0,0.0
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,pressure,DOGE/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,pressure,PAXG/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,pressure,LINK/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,pressure,ETH/USDT:USDT,1,-0.01232294,-0.0012322939999999999,0.0,-0.0
