group_type,group_value,extreme_event_count,final_signal_count,sample_status,pf_proxy_72h,avg_return_6h_pct,avg_return_24h_pct,avg_return_72h_pct,avg_mfe_24h_pct,avg_mae_24h_pct,avg_mfe_72h_pct,avg_mae_72h_pct,first_to_1r_pct,first_to_2r_pct,first_to_stop_pct,avg_max_r,avg_min_r,avg_lower_wick_pct,avg_upper_wick_pct,avg_volume_ratio,low_sweep_reclaim_pct,high_sweep_reject_pct,combination
combination,A_24h_weak,565,9,insufficient,0.05749209475321246,-0.714635321715456,-1.4309026529548268,-4.066388621416131,2.286260370239102,4.397650450674442,3.3001100650617428,9.16539810325006,11.11111111111111,0.0,66.66666666666666,0.7493482695108579,-1.5752324439210985,8.782588450922049,13.24619390511262,4.9797490501536625,0.0,11.11111111111111,A_24h_weak
side,long,205,1,insufficient,0.0,1.7141667981297681,-1.3315252962954327,-0.7149354376378314,3.022532214050999,3.859980062363852,3.022532214050999,3.859980062363852,0.0,0.0,100.0,1.0205469362239652,-1.3033081362105028,5.198991031390176,21.230381165919372,3.7157687584242507,0.0,0.0,A_24h_weak
side,short,360,8,insufficient,0.05857049335825767,-1.018235586696109,-1.4433248225372508,-4.485320269388418,2.1942263897626146,4.464859249213266,3.334807296438086,9.828575358360837,12.5,0.0,62.5,0.7154484361717194,-1.6092229823849231,9.230538128363532,12.248170497511776,5.13774658661984,0.0,12.5,A_24h_weak
pair,BTC/USDT:USDT,58,1,insufficient,inf,-0.007850496637373805,-1.3826006164555316,0.41973269259647505,0.5106962067908335,2.7374213954044846,1.449465002729199,2.7374213954044846,0.0,0.0,100.0,0.5531137465384152,-1.044596041308814,18.318896374719355,4.3150465190890905,4.254952652254201,0.0,0.0,A_24h_weak
pair,ETH/USDT:USDT,64,2,insufficient,0.21156563657969718,0.28796272486616425,-2.7340273472596546,-0.2818398333302996,2.950923104361979,4.846112988916392,2.950923104361979,6.416734065128324,0.0,0.0,100.0,0.9733620257563629,-2.0948866068584726,11.086083310002104,19.79288766624427,2.788922571158877,0.0,0.0,A_24h_weak
pair,PAXG/USDT:USDT,34,2,insufficient,2.3670160818668906,-0.03026876683433488,0.08682578583175116,0.47975886836887915,0.7524138362652273,0.4513802713344366,1.881303380580221,1.1520613305850342,50.0,0.0,0.0,1.0316189908390612,-0.6991137378339495,5.091103965701797,1.7761445414176444,4.8758249729487915,0.0,0.0,A_24h_weak
pair,SUI/USDT:USDT,42,1,insufficient,0.0,0.07057163020465218,0.7920389926888705,-5.959261013737571,2.982067298005246,2.0350594398549147,3.667136812411846,11.394317952851084,0.0,0.0,100.0,0.8085876915706882,-2.5123974702374934,15.258855585831169,0.0,5.274881973338971,0.0,0.0,A_24h_weak
pair,TAO/USDT:USDT,18,1,insufficient,0.0,-0.9503332616641602,-1.4419579821145834,-19.976375764313502,0.9854996961014196,7.024398714943131,0.9854996961014196,30.563514804202484,0.0,0.0,100.0,0.0999292386805376,-3.099127049828113,12.493326214628961,6.353443673251459,3.268937038584353,0.0,0.0,A_24h_weak
pair,ZEC/USDT:USDT,54,2,insufficient,0.0,-3.0297468417029405,-2.775600573928194,-5.738715788683868,4.345703125000003,8.593493992682895,6.967218052214411,11.327868992682887,0.0,0.0,50.0,0.6362708578086155,-0.9664853722653115,0.30892166585557135,32.704595269174604,8.344737349495052,0.0,50.0,A_24h_weak
year,2023,-,1,insufficient,inf,-0.007850496637373805,-1.3826006164555316,0.41973269259647505,0.5106962067908335,2.7374213954044846,1.449465002729199,2.7374213954044846,0.0,0.0,100.0,0.5531137465384152,-1.044596041308814,18.318896374719355,4.3150465190890905,4.254952652254201,0.0,0.0,A_24h_weak
