pair,open_date,close_date,side,entry_tag,profit_abs,profit_ratio,duration,open_rate,close_rate,is_short,stake_amount,max_open_trades_config
DOGE/USDT:USDT,2023-08-24 15:00:00+00:00,2023-08-27 16:00:00+00:00,short,short_pullback_restart,-2.30085076,-0.009718555413752362,4380,0.06263,0.06319,True,236.86666,4
NEAR/USDT:USDT,2023-09-01 15:00:00+00:00,2023-09-04 17:00:00+00:00,short,short_compression_breakdown,-0.01686782,-0.0003169190837555075,4440,1.133,1.13,True,53.251,4
ADA/USDT:USDT,2023-10-12 10:00:00+00:00,2023-10-13 21:00:00+00:00,short,short_pullback_restart,-1.50031751,-0.019616214516935186,2100,0.2437,0.2483,True,76.5218,4
DOGE/USDT:USDT,2024-05-12 08:00:00+00:00,2024-05-13 08:00:00+00:00,short,short_pullback_restart,-8.42173839,-0.03493373131461763,1440,0.14015,0.14494,True,241.19815,4
ADA/USDT:USDT,2024-06-14 16:00:00+00:00,2024-06-17 19:00:00+00:00,short,short_compression_breakdown,-1.3614518,-0.004462544707693228,4500,0.4136,0.4154,True,305.2368,4
ADA/USDT:USDT,2024-06-21 14:00:00+00:00,2024-06-23 09:00:00+00:00,short,short_pullback_restart,-8.68245866,-0.03690710033262826,2580,0.3778,0.3915,True,235.3694,4
TAO/USDT:USDT,2024-06-27 06:00:00+00:00,2024-06-27 12:00:00+00:00,short,short_pullback_restart,-5.85231181,-0.044248727606108394,360,273.4,285.24,True,132.3256,4
NEAR/USDT:USDT,2024-08-31 17:00:00+00:00,2024-09-04 01:00:00+00:00,short,short_pullback_restart,8.04277673,0.09988580101868212,4800,4.028,3.623,True,80.56,4
DOGE/USDT:USDT,2024-09-05 04:00:00+00:00,2024-09-09 01:00:00+00:00,short,short_pullback_restart,-0.35581051,-0.0022002271638071097,5580,0.09625,0.0964,True,161.79625,4
ETH/USDT:USDT,2025-02-09 22:00:00+00:00,2025-02-10 13:00:00+00:00,short,short_pullback_restart,-11.36422457,-0.04898326402496306,900,2550.75,2673.23,True,232.11825,4
XRP/USDT:USDT,2025-03-09 10:00:00+00:00,2025-03-10 17:00:00+00:00,short,short_pullback_restart,41.05326916,0.09999968365104216,1860,2.2972,2.0647,True,410.73936,4
NEAR/USDT:USDT,2025-06-02 10:00:00+00:00,2025-06-02 22:00:00+00:00,short,short_pullback_restart,-13.78653102,-0.0442408997814707,720,2.38,2.483,True,311.78,4
SOL/USDT:USDT,2025-06-05 14:00:00+00:00,2025-06-08 15:00:00+00:00,short,short_pullback_restart,-0.25298069,-0.0011697652015294365,4380,150.26,150.27,True,216.3744,4
LINK/USDT:USDT,2025-06-14 17:00:00+00:00,2025-06-16 00:00:00+00:00,short,short_compression_breakdown,-13.64044991,-0.03723723418155522,1860,12.864,13.327,True,366.49536,4
NEAR/USDT:USDT,2025-08-29 08:00:00+00:00,2025-09-01 09:00:00+00:00,short,short_pullback_restart,-0.46841519,-0.001563462723251561,4380,2.437,2.439,True,299.751,4
LINK/USDT:USDT,2025-09-24 04:00:00+00:00,2025-09-28 22:00:00+00:00,short,short_pullback_restart,-0.24415316,-0.0005995999913814419,6840,21.274,21.292,True,407.3971,4
SOL/USDT:USDT,2025-11-06 13:00:00+00:00,2025-11-07 19:00:00+00:00,short,short_pullback_restart,-16.39095836,-0.03801749436771918,1800,157.43,163.263,True,431.3582,4
XRP/USDT:USDT,2025-11-20 16:00:00+00:00,2025-11-21 07:00:00+00:00,short,short_pullback_restart,47.8366096,0.09999128349489488,900,2.0847,1.8744,True,478.64712,4
NEAR/USDT:USDT,2025-12-15 15:00:00+00:00,2025-12-18 17:00:00+00:00,short,short_pullback_restart,-1.87803568,-0.007242203322375936,4440,1.582,1.592,True,259.448,4
SUI/USDT:USDT,2025-12-21 02:00:00+00:00,2025-12-21 09:00:00+00:00,short,short_pullback_restart,-2.30625772,-0.01930748626804603,420,1.4416,1.4681,True,119.50864,4
TAO/USDT:USDT,2025-12-21 13:00:00+00:00,2025-12-22 12:00:00+00:00,short,short_compression_breakdown,-3.94129444,-0.033628938217980284,1380,220.41,227.58,True,117.25812,4
ADA/USDT:USDT,2026-01-22 15:00:00+00:00,2026-01-23 17:00:00+00:00,short,short_pullback_restart,-8.20652855,-0.02933649566679982,1560,0.3579,0.368,True,279.8778,4
TAO/USDT:USDT,2026-01-25 05:00:00+00:00,2026-01-28 06:00:00+00:00,short,short_pullback_restart,-2.36407263,-0.007382766386501872,4380,235.57,237.12,True,320.3752,4
XRP/USDT:USDT,2026-01-29 03:00:00+00:00,2026-01-31 08:00:00+00:00,short,short_pullback_restart,54.5127469,0.1000044591421755,3180,1.8735,1.683,True,545.37585,4
BNB/USDT:USDT,2026-02-03 18:00:00+00:00,2026-02-05 11:00:00+00:00,short,short_pullback_restart,45.80892295,0.10000420875675889,2460,751.31,675.5,True,458.2991,4
SOL/USDT:USDT,2026-02-10 19:00:00+00:00,2026-02-13 18:00:00+00:00,short,short_compression_breakdown,-17.84299073,-0.03214459135438294,4260,82.89,85.42,True,555.363,4
SUI/USDT:USDT,2026-02-22 13:00:00+00:00,2026-02-25 15:00:00+00:00,short,short_compression_breakdown,-8.35871996,-0.014913684292690351,4440,0.9261,0.9386,True,560.75355,4
LINK/USDT:USDT,2026-03-22 00:00:00+00:00,2026-03-23 11:00:00+00:00,short,short_pullback_restart,-22.10194467,-0.0382638070909413,2100,8.819,9.149,True,577.90907,4
ETH/USDT:USDT,2026-03-27 11:00:00+00:00,2026-03-30 11:00:00+00:00,short,short_pullback_restart,-10.80933769,-0.04685682738712574,4320,1989.69,2080.02,True,230.80404,4
BNB/USDT:USDT,2026-06-05 06:00:00+00:00,2026-06-08 07:00:00+00:00,short,short_pullback_restart,-9.28783614,-0.02037112094361402,4380,584.82,596.2,True,456.1596,4
SOL/USDT:USDT,2026-06-10 09:00:00+00:00,2026-06-11 11:00:00+00:00,short,short_compression_breakdown,-22.43487395,-0.03558841445388089,1560,63.58,65.77,True,630.7136,4
