variant,pair,open_date,enter_tag,baseline_profit_abs,baseline_profit_ratio,variant_profit_abs,variant_profit_ratio,delta_profit_abs,bucket,baseline_exit_reason,variant_exit_reason,baseline_partials,variant_partials,baseline_exit_orders,variant_exit_orders
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,ADA/USDT:USDT,2023-08-06 14:00:00+00:00,short_pullback_restart,-4.91750183,-0.014517619749620615,-4.91750183,-0.014517619749620615,0.0,same,stop_loss,stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,ADA/USDT:USDT,2023-08-15 19:00:00+00:00,short_pullback_restart,37.97819922,0.11263685369886527,37.97819922,0.11263685369886527,0.0,same,trailing_stop_loss,trailing_stop_loss,1,1,2,2
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,ADA/USDT:USDT,2023-08-26 09:00:00+00:00,short_pullback_restart,-4.69587693,-0.013108860368117233,-4.69587693,-0.013108860368117233,0.0,same,stop_loss,stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,ADA/USDT:USDT,2023-09-26 16:00:00+00:00,short_pullback_restart,-3.65746123,-0.010547163388594804,-3.65746123,-0.010547163388594804,0.0,same,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,ADA/USDT:USDT,2023-10-12 10:00:00+00:00,short_pullback_restart,-6.77054113,-0.01961621454600035,-6.77054113,-0.01961621454600035,0.0,same,stop_loss,stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,ADA/USDT:USDT,2023-11-03 00:00:00+00:00,long_1d_center_compression,-7.05627641,-0.02087548127335924,-7.05627641,-0.02087548127335924,0.0,same,stop_loss,stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,ADA/USDT:USDT,2024-01-18 11:00:00+00:00,short_pullback_restart,0.17231248,0.0006514049307637775,0.17231248,0.0006514049307637775,0.0,same,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,ADA/USDT:USDT,2024-04-25 11:00:00+00:00,short_compression_breakdown,0.11950865,0.000538092149733104,0.11950865,0.000538092149733104,0.0,same,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,ADA/USDT:USDT,2024-05-08 00:00:00+00:00,short_compression_breakdown,-8.75122514,-0.03481574550059143,-8.75122514,-0.03481574550059143,0.0,same,stop_loss,stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,ADA/USDT:USDT,2024-06-02 18:00:00+00:00,short_pullback_restart,-8.419323,-0.022944595893452345,-8.419323,-0.022944595893452345,0.0,same,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,ADA/USDT:USDT,2024-06-10 07:00:00+00:00,short_pullback_restart,-8.14383118,-0.020555274180898316,-8.15282989,-0.020555274184715002,-0.008998710000000187,loss_to_more_loss,stop_loss,stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,ADA/USDT:USDT,2024-06-14 16:05:00+00:00,short_compression_breakdown,-0.296228,-0.0010005002501250625,-0.296228,-0.0010005002501250625,0.0,same,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,ADA/USDT:USDT,2024-07-07 14:00:00+00:00,short_pullback_restart,0.03492316,0.00019164116423558592,0.03492316,0.00019164116423558592,0.0,same,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,ADA/USDT:USDT,2024-08-30 12:00:00+00:00,short_pullback_restart,19.09422551,0.07494657639822012,19.09422551,0.07494657639822012,0.0,same,trailing_stop_loss,trailing_stop_loss,1,1,2,2
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,ADA/USDT:USDT,2024-10-09 13:00:00+00:00,short_compression_breakdown,0.10007546,0.00028710864610844924,0.100173,0.00028710864772867755,9.753999999999319e-05,profit_to_more_profit,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,ADA/USDT:USDT,2024-12-03 00:00:00+00:00,long_1d_center_compression,20.40033665,0.04854143771934053,20.40033665,0.04854143771934053,0.0,same,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,ADA/USDT:USDT,2025-03-18 14:00:00+00:00,short_compression_breakdown,-9.93460439,-0.043301766897075676,-10.32012635,-0.043301766891188954,-0.38552196000000016,loss_to_less_loss,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,ADA/USDT:USDT,2025-03-23 19:00:00+00:00,short_pullback_restart,-10.65687772,-0.03430321889417303,-11.06126817,-0.034303218896665065,-0.4043904499999993,loss_to_more_loss,stop_loss,stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,ADA/USDT:USDT,2025-04-06 08:00:00+00:00,short_compression_breakdown,25.645581789999998,0.07545393083303753,26.60852796,0.07545573270743146,0.9629461700000022,profit_to_more_profit,trailing_stop_loss,trailing_stop_loss,1,1,2,2
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,ADA/USDT:USDT,2025-06-02 09:00:00+00:00,short_pullback_restart,-10.86952871,-0.029765852707692532,-11.26914374,-0.02976585271798606,-0.39961502999999965,loss_to_more_loss,stop_loss,stop_loss,0,0,1,1
