pair,entry_tag,matrix,quick_reverse_1h_5h,false_breakdown,range_market,trades,profit_abs,profit_pct,pf,maxdd_pct,winrate,avg_profit,avg_duration,avg_MAE,avg_MFE
NEAR/USDT:USDT,short_pullback_restart,quick_reverse_3y,False,,,8,40.4166,4.0417,1.5312,4.6038,37.5000,1.4594,44.3750,2.7632,5.4784
NEAR/USDT:USDT,short_pullback_restart,quick_reverse_3y,True,,,7,23.1020,2.3102,1.4557,4.1982,28.5714,-0.0803,25.4286,3.8074,4.4664
PAXG/USDT:USDT,long_1d_center_compression,quick_reverse_3y,False,,,2,19.1877,1.9188,2.1877,1.6156,50.0000,1.0868,251.0000,1.1737,4.9356
PAXG/USDT:USDT,long_1d_center_compression,quick_reverse_3y,True,,,3,54.1668,5.4167,2.7690,3.0620,33.3333,1.8650,299.3333,7.2555,9.1283
SOL/USDT:USDT,long_1d_center_compression,quick_reverse_3y,False,,,2,23.1107,2.3111,3.4129,0.9275,50.0000,3.9411,54.5000,1.8196,7.3839
SOL/USDT:USDT,long_1d_center_compression,quick_reverse_3y,True,,,3,48.0274,4.8027,3.1101,2.2760,33.3333,1.9141,32.3333,1.9621,3.9205
SOL/USDT:USDT,short_compression_breakdown,quick_reverse_3y,False,,,4,48.9447,4.8945,6.8046,0.7847,50.0000,4.1625,46.2500,1.4649,9.1965
SOL/USDT:USDT,short_compression_breakdown,quick_reverse_3y,True,,,5,-64.3054,-6.4305,0.0000,6.4305,0.0000,-3.1062,30.0000,3.8088,1.9934
SOL/USDT:USDT,short_pullback_restart,quick_reverse_3y,False,,,5,155.4273,15.5427,7.7357,1.4561,60.0000,4.5639,58.4000,2.7148,10.0265
SOL/USDT:USDT,short_pullback_restart,quick_reverse_3y,True,,,6,-44.9138,-4.4914,0.4043,6.0248,16.6667,-0.6263,14.1667,3.1780,2.6308
SUI/USDT:USDT,long_1d_center_compression,quick_reverse_3y,True,,,1,-8.8656,-0.8866,0.0000,0.8866,0.0000,-2.1463,0.0000,3.2005,4.3219
SUI/USDT:USDT,short_compression_breakdown,quick_reverse_3y,False,,,6,49.3251,4.9325,4.5482,1.3901,50.0000,2.4529,59.6667,2.5404,6.7381
SUI/USDT:USDT,short_compression_breakdown,quick_reverse_3y,True,,,1,-18.4078,-1.8408,0.0000,1.8408,0.0000,-2.8986,3.0000,3.3882,0.2228
