enter_tag,rule,terms,blocked_share,bad_capture,loser_capture,winner_kill,quality_score,sample_size
short_compression_breakdown,atr_percentile_1h >= 0.25 AND compression_width >= 0.02,2,0.5308641975308642,0.5692307692307692,0.5660377358490566,0.4642857142857143,0.19780219780219777,81
short_compression_breakdown,prev_6h_return <= -0.008 AND pullback_depth >= 0.02,2,0.4444444444444444,0.5076923076923077,0.4716981132075472,0.39285714285714285,0.19340659340659339,81
short_compression_breakdown,prev_3h_return <= -0.004 AND atr_percentile_1h >= 0.3,2,0.37037037037037035,0.4153846153846154,0.41509433962264153,0.2857142857142857,0.18681318681318684,81
short_compression_breakdown,prev_6h_return <= -0.008 AND atr_percentile_1h >= 0.3,2,0.2839506172839506,0.35384615384615387,0.32075471698113206,0.21428571428571427,0.18241758241758244,81
short_compression_breakdown,prev_6h_return <= -0.008,1,0.4567901234567901,0.5230769230769231,0.4716981132075472,0.42857142857142855,0.18021978021978025,81
short_compression_breakdown,prev_3h_return <= -0.01,1,0.2222222222222222,0.23076923076923078,0.3018867924528302,0.07142857142857142,0.17362637362637365,81
short_compression_breakdown,prev_3h_return <= -0.01 AND compression_width >= 0.02,2,0.20987654320987653,0.23076923076923078,0.2830188679245283,0.07142857142857142,0.17362637362637365,81
short_compression_breakdown,prev_3h_return <= -0.01 AND pullback_depth >= 0.02,2,0.2222222222222222,0.23076923076923078,0.3018867924528302,0.07142857142857142,0.17362637362637365,81
short_compression_breakdown,prev_3h_return <= -0.008 AND atr_percentile_1h >= 0.3,2,0.20987654320987653,0.23076923076923078,0.2830188679245283,0.07142857142857142,0.17362637362637365,81
short_compression_breakdown,prev_3h_return <= -0.004 AND atr_percentile_1h >= 0.25,2,0.3950617283950617,0.4307692307692308,0.4339622641509434,0.32142857142857145,0.17362637362637362,81
short_compression_breakdown,prev_3h_return <= -0.01 AND atr_percentile_1h >= 0.25,2,0.19753086419753085,0.2,0.2830188679245283,0.03571428571428571,0.17142857142857143,81
short_compression_breakdown,prev_6h_return <= -0.008 AND atr_percentile_1h >= 0.25,2,0.30864197530864196,0.36923076923076925,0.33962264150943394,0.25,0.16923076923076924,81
short_compression_breakdown,prev_6h_return <= -0.01 AND atr_percentile_1h >= 0.3,2,0.24691358024691357,0.3076923076923077,0.2830188679245283,0.17857142857142858,0.16483516483516483,81
short_compression_breakdown,atr_percentile_1h >= 0.3 AND pullback_depth >= 0.02,2,0.49382716049382713,0.5076923076923077,0.5283018867924528,0.42857142857142855,0.1648351648351648,81
short_compression_breakdown,prev_6h_return <= -0.008 AND compression_width >= 0.02,2,0.41975308641975306,0.47692307692307695,0.4339622641509434,0.39285714285714285,0.16263736263736267,81
short_compression_breakdown,prev_3h_return <= -0.006 AND atr_percentile_1h >= 0.3,2,0.25925925925925924,0.27692307692307694,0.32075471698113206,0.14285714285714285,0.16263736263736267,81
short_compression_breakdown,prev_3h_return <= -0.008 AND atr_percentile_1h >= 0.25,2,0.2345679012345679,0.24615384615384617,0.3018867924528302,0.10714285714285714,0.16043956043956045,81
short_compression_breakdown,prev_6h_return <= -0.01 AND pullback_depth >= 0.02,2,0.3950617283950617,0.4461538461538462,0.41509433962264153,0.35714285714285715,0.16043956043956042,81
short_compression_breakdown,prev_3h_return <= -0.008 AND atr_percentile_1h >= 0.35,2,0.19753086419753085,0.2153846153846154,0.2641509433962264,0.07142857142857142,0.15824175824175826,81
short_compression_breakdown,prev_3h_return <= -0.004 AND pullback_depth >= 0.02,2,0.5185185185185185,0.5538461538461539,0.5283018867924528,0.5,0.15384615384615385,81
short_compression_breakdown,compression_width >= 0.02 AND pullback_depth >= 0.025,2,0.5308641975308642,0.5538461538461539,0.5471698113207547,0.5,0.15384615384615385,81
short_compression_breakdown,prev_3h_return <= -0.008,1,0.345679012345679,0.35384615384615387,0.39622641509433965,0.25,0.15384615384615385,81
short_compression_breakdown,prev_3h_return <= -0.004 AND atr_percentile_1h >= 0.35,2,0.32098765432098764,0.35384615384615387,0.3584905660377358,0.25,0.15384615384615385,81
short_compression_breakdown,prev_3h_return <= -0.004 AND compression_width >= 0.02,2,0.48148148148148145,0.5230769230769231,0.49056603773584906,0.4642857142857143,0.15164835164835166,81
short_compression_breakdown,prev_6h_return <= -0.01 AND atr_percentile_1h >= 0.25,2,0.2716049382716049,0.3230769230769231,0.3018867924528302,0.21428571428571427,0.15164835164835166,81
short_compression_breakdown,atr_percentile_1h >= 0.3 AND compression_width >= 0.02,2,0.4567901234567901,0.49230769230769234,0.4716981132075472,0.42857142857142855,0.14945054945054947,81
