window,pair,open_date,is_short,enter_tag,baseline_profit_ratio,candidate_profit_ratio,profit_delta_ratio,baseline_exit_reason,candidate_exit_reason,baseline_trade_duration_min,candidate_trade_duration_min,baseline_mfe_ratio,candidate_mfe_ratio
3y,ADA/USDT:USDT,2023-08-06 14:00:00+00:00,True,short_pullback_restart,-0.014517619749620615,-0.014517619749620615,0.0,stop_loss,stop_loss,770,770,0.0055115397864278215,0.0055115397864278215
3y,ADA/USDT:USDT,2023-08-15 19:00:00+00:00,True,short_pullback_restart,0.0999390677055922,0.05142150034086832,-0.04851756736472388,roi,partial_exit,3040,1120,0.23803363518758092,0.057848194546794574
3y,ADA/USDT:USDT,2023-08-26 09:00:00+00:00,True,short_pullback_restart,-0.013108860377330977,-0.013108860376573583,7.573941473992818e-13,stop_loss,stop_loss,770,770,0.0015503875968991832,0.0015503875968991832
3y,ADA/USDT:USDT,2023-09-26 16:00:00+00:00,True,short_pullback_restart,-0.010547163399448438,-0.010547163411501376,-1.205293850836675e-11,trailing_stop_loss,trailing_stop_loss,1150,1150,0.007001647446458037,0.007001647446458037
3y,ADA/USDT:USDT,2023-10-12 10:00:00+00:00,True,short_pullback_restart,-0.019616214556680864,-0.019616214546156852,1.0524012217238976e-11,stop_loss,stop_loss,2100,2100,0.008274720728175478,0.008274720728175478
3y,ADA/USDT:USDT,2023-11-03 00:00:00+00:00,False,long_1d_center_compression,-0.020875481263902197,-0.020875481257443818,6.458378970508605e-12,stop_loss,stop_loss,75,75,0.011753789050417573,0.011753789050417573
3y,ADA/USDT:USDT,2024-01-18 11:00:00+00:00,True,short_pullback_restart,0.0006514049497732282,0.05003367226513217,0.04938226731535894,trailing_stop_loss,partial_exit,2660,990,0.09532908704883236,0.05565786781256388
3y,ADA/USDT:USDT,2024-01-22 20:00:00+00:00,True,short_compression_breakdown,0.0008243041881702327,0.000824304209342332,2.1172099230054586e-11,trailing_stop_loss,trailing_stop_loss,3810,3810,0.07778274474742952,0.07778274474742952
3y,ADA/USDT:USDT,2024-04-25 11:00:00+00:00,True,short_compression_breakdown,0.0005380921506482539,0.0005380921606678373,1.0019583470202709e-11,trailing_stop_loss,trailing_stop_loss,3280,3280,0.04788796024395747,0.04788796024395747
3y,ADA/USDT:USDT,2024-05-08 00:00:00+00:00,True,short_compression_breakdown,-0.03481574548262453,-0.03481574547864172,3.9828140785402866e-12,stop_loss,stop_loss,895,895,0.012391005048187242,0.012391005048187242
3y,ADA/USDT:USDT,2024-06-02 18:00:00+00:00,True,short_pullback_restart,-0.02294459589345234,-0.02294459589345234,0.0,trailing_stop_loss,trailing_stop_loss,750,750,0.009986382206082611,0.009986382206082611
3y,ADA/USDT:USDT,2024-06-10 07:00:00+00:00,True,short_pullback_restart,-0.02055527418002247,-0.02055527417340173,6.62074214896613e-12,stop_loss,stop_loss,175,175,0.007128075419636781,0.007128075419636781
3y,ADA/USDT:USDT,2024-06-14 16:05:00+00:00,True,short_compression_breakdown,-0.0010005002501250625,-0.0010005002501250627,-2.168404344971009e-19,trailing_stop_loss,trailing_stop_loss,0,0,0.03856818754726499,0.03856818754726499
3y,ADA/USDT:USDT,2024-06-21 14:00:00+00:00,True,short_pullback_restart,-0.036907100333430296,-0.036907100342902635,-9.472339579374989e-12,stop_loss,stop_loss,2595,2595,0.018054432767448336,0.018054432767448336
