period,pair,side,entry_tag,open_date,close_date,open_rate,close_rate,profit_abs,profit_ratio,exit_reason,exit_reason_group,pnl_group,future_favorable_from_exit_pct_6h,future_adverse_from_exit_pct_6h,future_close_return_from_exit_pct_6h,held_profit_ratio_pct_6h,regained_entry_6h,regained_pre_exit_extreme_6h,entry_plus_1pct_6h,entry_plus_3pct_6h,entry_plus_5pct_6h,stopped_too_early_6h,valid_stop_6h,took_profit_too_early_6h,good_take_profit_6h,gave_back_risk_6h,hold_would_help_6h,hold_would_hurt_6h,future_favorable_from_exit_pct_12h,future_adverse_from_exit_pct_12h,future_close_return_from_exit_pct_12h,held_profit_ratio_pct_12h,regained_entry_12h,regained_pre_exit_extreme_12h,entry_plus_1pct_12h,entry_plus_3pct_12h,entry_plus_5pct_12h,stopped_too_early_12h,valid_stop_12h,took_profit_too_early_12h,good_take_profit_12h,gave_back_risk_12h,hold_would_help_12h,hold_would_hurt_12h,future_favorable_from_exit_pct_24h,future_adverse_from_exit_pct_24h,future_close_return_from_exit_pct_24h,held_profit_ratio_pct_24h,regained_entry_24h,regained_pre_exit_extreme_24h,entry_plus_1pct_24h,entry_plus_3pct_24h,entry_plus_5pct_24h,stopped_too_early_24h,valid_stop_24h,took_profit_too_early_24h,good_take_profit_24h,gave_back_risk_24h,hold_would_help_24h,hold_would_hurt_24h,future_favorable_from_exit_pct_48h,future_adverse_from_exit_pct_48h,future_close_return_from_exit_pct_48h,held_profit_ratio_pct_48h,regained_entry_48h,regained_pre_exit_extreme_48h,entry_plus_1pct_48h,entry_plus_3pct_48h,entry_plus_5pct_48h,stopped_too_early_48h,valid_stop_48h,took_profit_too_early_48h,good_take_profit_48h,gave_back_risk_48h,hold_would_help_48h,hold_would_hurt_48h,future_favorable_from_exit_pct_72h,future_adverse_from_exit_pct_72h,future_close_return_from_exit_pct_72h,held_profit_ratio_pct_72h,regained_entry_72h,regained_pre_exit_extreme_72h,entry_plus_1pct_72h,entry_plus_3pct_72h,entry_plus_5pct_72h,stopped_too_early_72h,valid_stop_72h,took_profit_too_early_72h,good_take_profit_72h,gave_back_risk_72h,hold_would_help_72h,hold_would_hurt_72h,future_favorable_from_exit_pct_168h,future_adverse_from_exit_pct_168h,future_close_return_from_exit_pct_168h,held_profit_ratio_pct_168h,regained_entry_168h,regained_pre_exit_extreme_168h,entry_plus_1pct_168h,entry_plus_3pct_168h,entry_plus_5pct_168h,stopped_too_early_168h,valid_stop_168h,took_profit_too_early_168h,good_take_profit_168h,gave_back_risk_168h,hold_would_help_168h,hold_would_hurt_168h,future_favorable_from_exit_pct_336h,future_adverse_from_exit_pct_336h,future_close_return_from_exit_pct_336h,held_profit_ratio_pct_336h,regained_entry_336h,regained_pre_exit_extreme_336h,entry_plus_1pct_336h,entry_plus_3pct_336h,entry_plus_5pct_336h,stopped_too_early_336h,valid_stop_336h,took_profit_too_early_336h,good_take_profit_336h,gave_back_risk_336h,hold_would_help_336h,hold_would_hurt_336h
1y,SOL/USDT:USDT,short,short_pullback_restart,2025-06-19T15:00:00+00:00,2025-06-19T22:00:00+00:00,143.09,147.37,-7.65298697,-0.03093091650426101,stop_loss,stop_loss,losing_trades,2.1442627400420684,0.061070774241706864,1.9949786252290138,-1.0364735481165726,False,False,False,False,False,False,True,False,False,False,True,False,2.1442627400420684,0.9364185383728,-0.7532062156476794,-3.8668600181703727,False,False,False,False,False,False,True,False,False,False,False,True,8.007057067245714,0.9364185383728,5.666010721313696,2.7443636871898756,True,True,True,True,True,True,False,False,False,False,True,False,11.474519915858043,0.9364185383728,9.004546379860221,6.182759102662666,True,True,True,True,True,True,False,False,False,False,True,False,14.616271968514628,0.9364185383728,10.361674696342545,7.580480816269487,True,True,True,True,True,True,False,False,False,False,True,False,14.616271968514628,0.9364185383728,5.720295853972997,2.800272555734157,True,True,True,True,True,True,False,False,False,False,True,False,14.616271968514628,8.57026531858587,-3.7524597950736247,-6.955825005241458,True,True,True,True,True,True,False,False,False,True,False,True
1y,NEAR/USDT:USDT,short,short_pullback_restart,2025-06-21T14:00:00+00:00,2025-06-22T13:00:00+00:00,2.037,1.831,20.61383132,0.10024518385947033,roi,roi,winning_trades,0.27307482250135956,3.2768978700163878,-0.6007646095030105,9.472901325478638,True,False,True,True,True,False,False,False,True,False,False,True,2.1845985800109253,5.0245767340251275,-4.150737302020757,6.281934216985759,True,True,True,True,True,False,False,False,True,False,False,True,2.1845985800109253,7.864554888039329,-7.427635172037145,3.3364261168384797,True,True,True,True,True,False,False,False,True,False,False,True,2.1845985800109253,20.808301474604054,-18.459858001092304,-6.580117820324012,True,True,True,True,True,False,False,False,True,False,False,True,2.1845985800109253,21.73675587110869,-19.224467504096115,-7.267403043691699,True,True,True,True,True,False,False,False,True,False,False,True,2.1845985800109253,21.73675587110869,-16.548334243582737,-4.861904761904761,True,True,True,True,True,False,False,False,True,False,False,True,2.1845985800109253,28.945931185144747,-19.38831239759694,-7.414678448699069,True,True,True,True,True,False,False,False,True,False,False,True
1y,ETH/USDT:USDT,short,short_pullback_restart,2025-06-22T14:00:00+00:00,2025-06-23T14:00:00+00:00,2198.9,2304.88,-7.56770416,-0.049190113920287916,trailing_stop_loss,trailing_stop_loss,losing_trades,5.113932178681749,3.2157856374301437,-1.7888133004755133,-6.794710991859568,True,False,False,False,False,True,False,False,False,True,False,True,5.113932178681749,5.862344243518096,-3.742928048314879,-8.84300786757015,True,False,False,False,False,True,False,False,False,True,False,True,5.113932178681749,6.296206310089891,-5.427614452813157,-10.60889080904088,True,False,False,False,False,True,False,False,False,True,False,True,5.113932178681749,7.653326854326477,-5.491392176599202,-10.675742416662864,True,False,False,False,False,True,False,False,False,True,False,True,5.113932178681749,9.33324077609246,-6.101836104265726,-11.315607803901946,True,False,False,False,False,True,False,False,False,True,False,True,5.113932178681749,9.524573947450616,-5.762989830273156,-10.960430215107552,True,False,False,False,False,True,False,False,False,True,False,True,5.113932178681749,14.322654541668106,-9.775780083995683,-15.166624221201497,True,False,False,False,False,True,False,False,False,True,False,True
1y,SOL/USDT:USDT,short,short_pullback_restart,2025-06-21T18:00:00+00:00,2025-06-23T22:00:00+00:00,138.58,142.79,-7.59469369,-0.03133205342543032,stop_loss,stop_loss,losing_trades,0.40619090972756083,1.6667833881924474,-0.2941382449751495,-3.441030451724632,False,False,False,False,False,False,True,False,False,False,False,True,0.40619090972756083,2.710273828699492,-0.8403949856432643,-4.003882234088611,False,False,False,False,False,False,True,False,False,False,False,True,0.40619090972756083,2.710273828699492,-1.484697807969749,-4.667758695338422,False,False,False,False,False,False,True,False,False,False,False,True,0.40619090972756083,3.5996918551719417,-0.23110862105190313,-3.3760860152980166,False,False,False,False,False,False,True,False,False,False,False,True,2.780306744169759,3.641711604454106,2.696267245605431,-0.35977774570644044,False,False,False,False,False,False,True,False,False,False,True,False,4.054905805728687,12.05266475243365,-8.607045311296325,-12.006480011545676,True,False,True,False,False,True,False,False,False,True,False,True,4.054905805728687,12.05266475243365,-3.9148399747881526,-7.1717275220089345,True,False,True,False,False,True,False,False,False,True,False,True
1y,BNB/USDT:USDT,short,short_pullback_restart,2025-06-22T14:00:00+00:00,2025-06-23T22:00:00+00:00,616.16,636.1,-7.6094681,-0.03339460239078251,stop_loss,stop_loss,losing_trades,0.04716239584971989,0.8646439239113346,-0.5769533092281023,-3.931796935860818,False,False,False,False,False,False,True,False,False,False,False,True,0.04716239584971989,0.9888382329822297,-0.10061311114604407,-3.4400415476499675,False,False,False,False,False,False,True,False,False,False,False,True,0.0550227951579976,1.226222292092431,-1.075302625373374,-4.446273695144132,False,False,False,False,False,False,True,False,False,False,False,True,0.0550227951579976,2.6709636849551974,-1.4290205942461927,-4.811438587379915,False,False,False,False,False,False,True,False,False,False,False,True,0.0550227951579976,2.6709636849551974,-1.0061311114604585,-4.3748636717735705,False,False,False,False,False,False,True,False,False,False,False,True,0.0550227951579976,3.7572708693601595,-3.323376827542837,-6.767099454687102,False,False,False,False,False,False,True,False,False,False,False,True,0.0550227951579976,4.543310800188646,-3.7855683068699775,-7.244248247208515,False,False,False,False,False,False,True,False,False,False,False,True
1y,LINK/USDT:USDT,short,short_compression_breakdown,2025-07-01T19:00:00+00:00,2025-07-02T15:00:00+00:00,12.848,13.278,-7.5593412,-0.03452560030284477,stop_loss,stop_loss,losing_trades,-0.6100316312697659,4.322940201837625,-3.3815333634583506,-6.941531755915315,False,False,False,False,False,False,True,False,False,False,False,True,-0.6100316312697659,4.322940201837625,-1.4234071396294627,-4.917870485678702,False,False,False,False,False,False,True,False,False,False,False,True,-0.6100316312697659,5.987347492092182,-2.500376562735344,-6.030884184308832,False,False,False,False,False,False,True,False,False,False,False,True,1.7397198373248972,5.987347492092182,1.596625997891247,-1.7967621419676214,False,False,False,False,False,False,True,False,False,False,True,False,2.6434704021690076,5.987347492092182,1.2050007531254716,-2.2014943960149407,False,False,False,False,False,False,True,False,False,False,True,False,2.6434704021690076,7.026660641662899,-5.49781593613495,-9.128642590286413,False,False,False,False,False,False,True,False,False,False,False,True,2.6434704021690076,26.841391775869845,-25.056484410302755,-29.34190535491905,False,False,False,False,False,False,True,False,False,False,False,True
1y,ETH/USDT:USDT,long,long_1d_center_compression,2025-07-10T00:00:00+00:00,2025-07-14T03:00:00+00:00,2767.69,3049.98,34.05993027,0.10000094533236327,roi,roi,winning_trades,0.8449235732693324,1.1180401182958548,-0.20655873153267176,9.871853784202703,True,True,True,True,True,False,False,False,True,False,False,True,1.0826300500331143,1.943947173424087,-1.278041167483066,8.691085706853006,True,True,True,True,True,False,False,False,True,False,False,True,1.0826300500331143,3.901337057947929,-3.248545892104208,6.519599738410011,True,True,True,True,True,False,False,False,True,False,False,True,3.4052682312670948,3.901337057947929,2.1344402258375434,12.451622472169927,True,True,True,True,True,False,False,True,False,False,True,False,12.245654069862747,3.901337057947929,9.182355294133075,20.21838825880066,True,True,True,True,True,False,False,True,False,False,True,False,25.443445530790363,3.901337057947929,23.176545419969973,35.63991306829883,True,True,True,True,True,False,False,True,False,False,True,False,28.12805329871016,3.901337057947929,27.163784680555274,40.033830017090054,True,True,True,True,True,False,False,True,False,False,True,False
1y,BTC/USDT:USDT,long,long_1d_center_compression,2025-07-10T00:00:00+00:00,2025-07-14T05:00:00+00:00,111199.8,122580.2,33.37662783,0.10000002354941873,roi,roi,winning_trades,0.5872073956479129,0.997877308080748,-0.9020216968156334,9.139854747940191,True,True,True,True,True,False,False,False,True,False,False,True,0.5872073956479129,2.757541593177362,-2.1985606158253943,7.710625558679057,True,True,True,True,True,False,False,False,True,False,False,True,0.5872073956479129,5.182892506293836,-4.28690767350681,5.408553072937181,True,True,True,True,True,False,False,False,True,False,False,True,0.5872073956479129,5.6306809745782695,-3.851927146472266,5.8880503382200295,True,True,True,True,True,False,False,False,True,False,False,True,0.5872073956479129,5.6306809745782695,-3.287806676771613,6.509903974647433,True,True,True,True,True,False,False,False,True,False,False,True,0.5872073956479129,5.6306809745782695,-3.4118887063326726,6.373123153099187,True,True,True,True,True,False,False,False,True,False,False,True,0.5872073956479129,6.455283969189146,-2.4988538116269927,7.37959978345285,True,True,True,True,True,False,False,False,True,False,False,True
1y,BNB/USDT:USDT,long,long_1d_center_compression,2025-07-11T00:00:00+00:00,2025-07-15T08:00:00+00:00,686.3,679.17,-3.39457707,-0.011497042210454975,swing_exit_long_1d,exit_signal,losing_trades,1.2662514539805974,0.4093231444262811,-0.09423266634273987,-1.2321579484190561,True,False,False,False,False,False,False,False,False,False,False,True,1.444410088784849,0.4093231444262811,0.8525111533195043,-0.29524989071833285,True,False,False,False,False,False,False,False,False,False,True,False,2.179130409175916,0.4093231444262811,2.0775358157751396,0.9170479382194402,True,False,True,False,False,False,False,False,False,False,True,False,6.630151508458868,0.4093231444262811,5.754082188553682,4.555398513769495,True,True,True,True,True,False,False,False,False,False,True,False,10.24338530853837,0.4093231444262811,8.445602720968242,7.218956724464523,True,True,True,True,True,False,False,False,False,False,True,False,15.252440478819743,0.4093231444262811,11.790862376135584,10.529462334256163,True,True,True,True,True,False,False,False,False,False,True,False,26.88428523050194,0.4093231444262811,21.848727122811667,20.482835494681627,True,True,True,True,True,False,False,False,False,False,True,False
1y,ETH/USDT:USDT,long,long_1d_center_compression,2025-08-08T00:00:00+00:00,2025-08-09T22:00:00+00:00,3908.4,4305.73,35.97485195,0.09999886952862781,roi,roi,winning_trades,0.6098849672413323,2.3394406987897423,-1.2945540012959424,8.639893562583147,True,True,True,True,True,False,False,False,True,False,False,True,0.6098849672413323,3.3608702821588703,-2.5294200983340773,7.2794903285231705,True,True,True,True,True,False,False,False,True,False,False,True,0.6098849672413323,3.3845596449382467,-1.319636856003505,8.612260771671265,True,True,True,True,True,False,False,False,True,False,False,True,1.4926621037547743,3.3845596449382467,-2.0270662582186936,7.832913724286146,True,True,True,True,True,False,False,False,True,False,False,True,7.763375780645801,3.3845596449382467,6.26513970917824,16.96810971241428,True,True,True,True,True,False,False,True,False,False,True,False,11.340005063020683,3.3845596449382467,2.76445573689016,13.111544365980969,True,True,True,True,True,False,False,True,False,False,True,False,13.534522601277837,5.707046191934924,11.031811098234215,22.21936342237231,True,True,True,True,True,False,False,True,False,False,True,False
