pair,open_date,close_date,side,entry_tag,profit_abs,profit_ratio,duration,open_rate,close_rate,is_short,stake_amount,mae_pct,mfe_pct,quick_reverse_1h,quick_reverse_2h,quick_reverse_3h,quick_reverse_4h,quick_reverse_5h,btc_4h_regime,btc_1d_regime,btc_regime_conflict,atr_pctile,atr_spike,late_trend_chase,range_market,false_breakout,false_breakdown,stop_too_tight,loss_label
NEAR/USDT:USDT,2025-12-31 11:00:00+00:00,2026-01-01 11:00:00+00:00,short,short_compression_breakdown,-18.61873008,-0.022744864593468892,1440,1.5,1.533,True,819.0,2.2666666666666684,2.199999999999995,False,False,False,False,False,range,down,False,0.03888888888888889,False,False,True,False,False,False,range_market
ADA/USDT:USDT,2026-01-20 09:00:00+00:00,2026-01-21 22:00:00+00:00,short,short_pullback_restart,-18.47737568,-0.035003751879489994,2220,0.3605,0.3728,True,528.1325,3.7447988904299616,3.966712898751728,False,False,False,False,False,range,range,False,0.2884259259259259,False,False,False,False,False,False,normal_loss
PAXG/USDT:USDT,2026-01-07 00:00:00+00:00,2026-01-22 23:00:00+00:00,long,long_1d_center_compression,84.78698857,0.09999960854524222,22980,4507.71,4971.15,False,847.44948,1.9424497139345787,10.477382085360414,True,True,True,True,True,up,range,False,0.48703703703703705,False,False,True,True,False,False,
ZEC/USDT:USDT,2026-01-23 08:00:00+00:00,2026-01-23 17:00:00+00:00,short,short_pullback_restart,-19.33195112,-0.04261419825006378,540,358.23,372.97,True,453.87741,4.469195768081955,0.949110906400925,True,True,True,True,True,down,range,False,0.05324074074074074,False,False,False,False,True,False,false_breakdown
ETH/USDT:USDT,2026-01-25 04:00:00+00:00,2026-01-27 16:00:00+00:00,short,short_pullback_restart,-8.85175414,-0.01024057766112928,3600,2941.54,2969.6,True,864.81276,1.9071642744956694,5.350598666004878,False,False,False,False,False,down,range,False,0.052314814814814814,False,False,False,False,False,False,normal_loss
XRP/USDT:USDT,2026-01-22 14:00:00+00:00,2026-01-27 17:00:00+00:00,short,short_pullback_restart,6.28059016,0.007562894517799006,7380,1.9291,1.9129,True,830.86337,1.8557876730081413,6.199782281893107,False,False,False,False,False,down,range,False,0.20555555555555555,False,False,False,False,False,False,
NEAR/USDT:USDT,2026-01-20 07:00:00+00:00,2026-01-29 14:00:00+00:00,short,short_pullback_restart,44.81785526,0.09974080761464084,13380,1.561,1.405,True,449.568,0.8327994875080156,10.762331838565018,False,False,False,False,False,range,range,False,0.40555555555555556,False,False,False,False,False,False,
TAO/USDT:USDT,2026-01-29 02:00:00+00:00,2026-01-30 01:00:00+00:00,short,short_pullback_restart,49.85297633,0.0999954095770934,1380,233.85,210.24,True,498.80205,0.32499465469318767,10.463972632029078,False,False,False,False,False,down,down,False,0.4847222222222222,False,False,False,False,False,False,
ADA/USDT:USDT,2026-01-29 03:00:00+00:00,2026-01-31 04:00:00+00:00,short,short_pullback_restart,54.51011354,0.09989936722072913,2940,0.3504,0.315,True,545.9232,0.7420091324200888,10.331050228310506,False,False,False,False,False,down,down,False,0.5805555555555556,False,False,False,False,False,False,
BTC/USDT:USDT,2026-01-29 15:00:00+00:00,2026-01-31 17:00:00+00:00,short,short_compression_breakdown,86.93554841,0.10000027354822609,3000,86978.8,78228.0,True,869.788,0.04012472004671734,10.311363228740793,False,False,False,False,False,down,down,False,0.5972222222222222,False,False,True,False,False,False,
LINK/USDT:USDT,2026-01-31 09:00:00+00:00,2026-01-31 17:00:00+00:00,short,short_pullback_restart,44.26219779,0.09995938128313099,480,10.461,9.406,True,443.02335,1.0610840263837003,10.55348437051908,False,False,False,False,False,down,down,False,0.42314814814814816,False,False,False,False,False,False,
BNB/USDT:USDT,2026-01-31 09:00:00+00:00,2026-01-31 18:00:00+00:00,short,short_pullback_restart,59.35306415,0.10000560047101141,540,836.33,751.94,True,593.7943,0.6145899345951941,10.41694068131001,False,False,False,False,False,down,down,False,0.5638888888888889,False,False,False,False,False,False,
TAO/USDT:USDT,2026-02-03 15:00:00+00:00,2026-02-03 20:00:00+00:00,short,short_pullback_restart,-21.48366959,-0.043499449272112134,300,191.97,200.14,True,494.13078,6.370787102151372,3.9797885086211315,False,False,False,False,True,down,down,False,0.5314814814814814,False,False,False,False,True,False,false_breakdown
SOL/USDT:USDT,2026-02-03 15:00:00+00:00,2026-02-04 17:00:00+00:00,short,short_pullback_restart,46.84020689,0.10000200310557153,1560,100.78,90.5,True,468.627,1.9349077197856743,10.77594760865251,False,False,False,False,False,down,down,False,0.7935185185185185,False,False,False,False,False,False,
BTC/USDT:USDT,2026-02-03 17:00:00+00:00,2026-02-05 15:00:00+00:00,short,short_pullback_restart,53.49429112,0.1000005822898243,2760,76458.2,68756.7,True,535.2074,0.646497040212826,12.80725939140602,False,False,False,False,False,down,down,False,0.9101851851851852,True,False,False,False,False,False,
NEAR/USDT:USDT,2026-02-04 14:00:00+00:00,2026-02-05 15:00:00+00:00,short,short_pullback_restart,49.81808568,0.10024518199233685,1500,1.159,1.042,True,497.211,2.4158757549611756,10.87144089732529,False,False,False,False,True,down,down,False,0.41898148148148145,False,False,False,False,True,False,
ADA/USDT:USDT,2026-02-10 07:00:00+00:00,2026-02-13 08:00:00+00:00,short,short_pullback_restart,-0.46993076,-0.0009663576295211861,4380,0.262,0.2619,True,486.534,2.824427480916016,4.503816793893142,True,True,True,False,False,down,down,False,0.3421296296296296,False,False,False,False,True,False,false_breakdown
DOGE/USDT:USDT,2026-02-10 07:00:00+00:00,2026-02-13 09:00:00+00:00,short,short_pullback_restart,-3.73300858,-0.007109770288943621,4440,0.09329,0.09384,True,525.31599,1.3399078143423746,5.852717333047479,False,False,False,False,False,down,down,False,0.5337962962962963,False,False,False,False,False,False,normal_loss
BNB/USDT:USDT,2026-02-09 08:00:00+00:00,2026-02-14 09:00:00+00:00,short,short_pullback_restart,3.8707462,0.006318677262188902,7260,631.85,627.23,True,612.8945,1.943499248239293,7.093455725251253,False,False,False,False,False,down,down,False,0.8634259259259259,True,False,False,False,False,False,
ETH/USDT:USDT,2026-02-17 15:00:00+00:00,2026-02-17 16:00:00+00:00,short,short_pullback_restart,-21.11515786,-0.03209269713679132,60,1947.55,2007.95,True,658.2719,3.200944776770822,0.38715308977946467,True,False,True,True,True,down,down,False,0.6527777777777778,False,False,False,False,True,False,false_breakdown
LINK/USDT:USDT,2026-02-19 14:00:00+00:00,2026-02-20 15:00:00+00:00,short,short_compression_breakdown,-22.38113319,-0.044897175520927673,1500,8.395,8.763,True,498.74695,5.288862418106026,0.6789755807028038,False,False,False,True,False,down,down,False,0.36342592592592593,False,False,True,False,True,False,false_breakdown
ADA/USDT:USDT,2026-02-22 13:00:00+00:00,2026-02-25 13:00:00+00:00,short,short_compression_breakdown,-21.25479612,-0.026494324964523,4320,0.2731,0.28,True,802.6409,2.526547052361779,7.2134749176125945,False,False,False,False,False,range,down,False,0.07083333333333333,False,False,False,False,False,False,normal_loss
XRP/USDT:USDT,2026-02-22 13:00:00+00:00,2026-02-25 14:00:00+00:00,short,short_pullback_restart,-4.93330564,-0.004873171161871498,4380,1.4081,1.4126,True,1012.84633,2.0026986719693207,6.860308216745955,False,False,False,False,False,range,down,False,0.15,False,False,False,False,False,False,normal_loss
