strategy,strategy_short,window,exit_reason,trades,profit_abs,profit_pct,winrate_pct,avg_profit_pct
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,pressure,stop_loss,5,-36.69687251,-3.669687251,0.0,-2.5
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,repair,roi,2,34.62846813,3.462846813,100.0,10.0
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,repair,trailing_stop_loss,6,-7.5989143,-0.7598914299999999,66.66666666666666,-0.59
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,repair,stop_loss,2,-15.0778927,-1.50778927,0.0,-3.32
DualTrendRawBreakevenStrategy,raw_breakeven,1y,roi,23,684.4888493799999,68.44888493799999,100.0,10.0
DualTrendRawBreakevenStrategy,raw_breakeven,1y,swing_exit_long_1d,1,18.03996154,1.803996154,100.0,4.3
DualTrendRawBreakevenStrategy,raw_breakeven,1y,stale_low_profit_240h,1,11.3111393,1.13111393,100.0,2.94
DualTrendRawBreakevenStrategy,raw_breakeven,1y,stale_flat_120h,2,4.16080172,0.416080172,100.0,0.92
DualTrendRawBreakevenStrategy,raw_breakeven,1y,force_exit,1,2.8706319,0.28706318999999997,100.0,1.15
DualTrendRawBreakevenStrategy,raw_breakeven,1y,trailing_stop_loss,78,-109.24694065000001,-10.924694065,52.56410256410257,-0.5
DualTrendRawBreakevenStrategy,raw_breakeven,1y,stop_loss,23,-200.08958875999994,-20.008958875999994,0.0,-2.95
DualTrendRawBreakevenStrategy,raw_breakeven,3y,roi,64,2517.40947041,251.74094704099997,100.0,10.0
DualTrendRawBreakevenStrategy,raw_breakeven,3y,swing_exit_long_1d,1,30.55748588,3.055748588,100.0,4.3
DualTrendRawBreakevenStrategy,raw_breakeven,3y,stale_low_profit_240h,1,19.09392105,1.9093921049999998,100.0,2.94
DualTrendRawBreakevenStrategy,raw_breakeven,3y,stale_flat_120h,3,9.07660672,0.907660672,100.0,0.83
DualTrendRawBreakevenStrategy,raw_breakeven,3y,force_exit,1,4.84177335,0.484177335,100.0,1.15
DualTrendRawBreakevenStrategy,raw_breakeven,3y,stale_loss_72h,3,-3.6521358900000003,-0.365213589,0.0,-0.33
DualTrendRawBreakevenStrategy,raw_breakeven,3y,trailing_stop_loss,171,-332.20440038000004,-33.22044003800001,53.80116959064327,-0.51
DualTrendRawBreakevenStrategy,raw_breakeven,3y,stop_loss,82,-864.41689495,-86.441689495,0.0,-2.82
DualTrendRawBreakevenStrategy,raw_breakeven,pressure,roi,1,18.15526642,1.815526642,100.0,10.0
DualTrendRawBreakevenStrategy,raw_breakeven,pressure,stale_low_profit_240h,1,8.51292742,0.851292742,100.0,2.94
DualTrendRawBreakevenStrategy,raw_breakeven,pressure,trailing_stop_loss,12,-12.30567809,-1.230567809,33.33333333333333,-0.5
DualTrendRawBreakevenStrategy,raw_breakeven,pressure,stop_loss,4,-29.826082940000003,-2.9826082940000003,0.0,-2.65
DualTrendRawBreakevenStrategy,raw_breakeven,repair,roi,2,34.62846813,3.462846813,100.0,10.0
DualTrendRawBreakevenStrategy,raw_breakeven,repair,force_exit,1,2.06205769,0.206205769,100.0,1.15
DualTrendRawBreakevenStrategy,raw_breakeven,repair,trailing_stop_loss,6,-7.5989143,-0.7598914299999999,66.66666666666666,-0.59
DualTrendRawBreakevenStrategy,raw_breakeven,repair,stop_loss,2,-15.0778927,-1.50778927,0.0,-3.32
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,1y,roi,17,465.42311023,46.542311023,100.0,10.0
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,1y,structure_exit_long_countertrend,3,61.97417033,6.197417033,100.0,5.59
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,1y,structure_exit_short_failed_breakdown,5,52.81047429,5.281047429,100.0,4.1
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,1y,structure_exit_short_countertrend,4,51.02606034,5.102606034,100.0,3.46
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,1y,structure_exit_long_failed_breakout,3,36.02545069,3.602545069,100.0,3.35
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,1y,force_exit,1,2.72942157,0.272942157,100.0,1.15
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,1y,trailing_stop_loss,79,-118.67128896,-11.867128895999999,49.36708860759494,-0.54
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,1y,stop_loss,25,-208.566359,-20.8566359,0.0,-2.94
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,3y,roi,48,1663.15393417,166.315393417,100.0,10.0
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,3y,structure_exit_short_countertrend,14,197.86577416,19.786577416,100.0,4.02
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,3y,structure_exit_long_countertrend,7,151.79868005999998,15.179868005999996,100.0,4.91
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,3y,structure_exit_short_failed_breakdown,9,113.9334335,11.39334335,100.0,3.56
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,3y,structure_exit_long_failed_breakout,4,63.47503772,6.3475037720000005,100.0,3.29
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,3y,force_exit,1,4.07575568,0.407575568,100.0,1.15
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,3y,stale_loss_72h,3,-3.6521358900000003,-0.365213589,0.0,-0.33
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,3y,trailing_stop_loss,168,-336.16904210999996,-33.616904211,52.38095238095239,-0.58
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,3y,stop_loss,88,-850.39332647,-85.039332647,0.0,-2.82
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,pressure,structure_exit_short_countertrend,3,34.83954658,3.483954658,100.0,3.55
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,pressure,roi,1,18.15526642,1.815526642,100.0,10.0
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,pressure,trailing_stop_loss,12,-12.469033730000001,-1.246903373,25.0,-0.5
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,pressure,stop_loss,5,-36.69687251,-3.669687251,0.0,-2.5
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,repair,roi,2,34.62846813,3.462846813,100.0,10.0
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,repair,force_exit,1,2.06205769,0.206205769,100.0,1.15
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,repair,trailing_stop_loss,6,-7.5989143,-0.7598914299999999,66.66666666666666,-0.59
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,repair,stop_loss,2,-15.0778927,-1.50778927,0.0,-3.32
