rule,terms,selected,coverage,hit_rate_reach10,lift_vs_base,selected_avg_final_profit,rejected_avg_final_profit,base_avg_final_profit,proxy_full_profit_from_reach5,proxy_half_profit_from_reach5
adverse_before_5pct <= 0.01 AND hours_to_5pct <= 16,2,37,0.30578512396694213,0.8108108108108109,0.12486039758767031,0.07905692478669706,0.06206584505279834,0.06726146447556075,0.05888517534799828,0.05444258767399914
hours_to_5pct <= 12 AND node_body_ratio >= 0.4,2,29,0.2396694214876033,0.896551724137931,0.2106013109147905,0.08703321438751527,0.061029065046792494,0.06726146447556075,0.058875729068082173,0.05443786453404109
hours_to_5pct <= 20 AND node_body_ratio >= 0.4,2,45,0.371900826446281,0.7777777777777778,0.09182736455463725,0.07383947402498524,0.06336659040024364,0.06726146447556075,0.05886592009193666,0.05443296004596833
node_close_position <= 0.25 AND node_ret_3h <= -0.015,2,42,0.34710743801652894,0.7619047619047619,0.07595434868162132,0.075488959675629,0.06288735310337257,0.06726146447556075,0.0588474074907142,0.054423703745357106
hours_to_5pct <= 16 AND node_ret_3h <= -0.015,2,44,0.36363636363636365,0.7727272727272727,0.08677685950413216,0.07429361560339401,0.06324309240251316,0.06726146447556075,0.058834042037597824,0.05441702101879892
hours_to_5pct <= 14 AND node_ret_3h <= -0.01,2,44,0.36363636363636365,0.7727272727272727,0.08677685950413216,0.07429334001427285,0.063243249882011,0.06726146447556075,0.05883394182337195,0.05441697091168598
hours_to_5pct <= 14 AND node_close_vs_ema20 <= -0.005,2,44,0.36363636363636365,0.7727272727272727,0.08677685950413216,0.07429334001427285,0.063243249882011,0.06726146447556075,0.05883394182337195,0.05441697091168598
node_close_profit >= 0.05 AND node_ret_3h <= -0.015,2,43,0.35537190082644626,0.7674418604651163,0.08149144724197577,0.07485780685457981,0.06307373726661436,0.06726146447556075,0.0588337660722887,0.05441688303614435
node_body_ratio >= 0.3 AND node_close_vs_ema20 <= -0.015,2,54,0.4462809917355372,0.7222222222222222,0.03627180899908167,0.06971305271547566,0.06528555753592782,0.06726146447556075,0.058797560715997406,0.05439878035799871
node_close_position <= 0.4,1,67,0.5537190082644629,0.6716417910447762,-0.014308622178364372,0.06587399163938717,0.06898295855007243,0.06726146447556075,0.05878973090775984,0.05439486545387992
adverse_before_5pct <= 0.01 AND node_ret_3h <= -0.02,2,35,0.2892561983471074,0.8285714285714286,0.14262101534828808,0.0803734522586852,0.06192519037777755,0.06726146447556075,0.058785709331024644,0.05439285466551232
hours_to_5pct <= 14 AND node_close_vs_ema20 <= -0.01,2,42,0.34710743801652894,0.7857142857142857,0.09976387249114516,0.07524911606307196,0.06301486489739025,0.06726146447556075,0.05876415598883489,0.054382077994417445
node_ret_3h <= -0.02 AND node_close_vs_ema20 <= -0.015,2,56,0.4628099173553719,0.7142857142857143,0.02833530106257376,0.06889056802016436,0.06585792911405612,0.06726146447556075,0.0587427422242083,0.054371371112104154
node_body_ratio >= 0.2 AND node_close_vs_ema20 <= -0.015,2,56,0.4628099173553719,0.7142857142857143,0.02833530106257376,0.06888739344763692,0.06586066413038744,0.06726146447556075,0.058741273000559244,0.054370636500279616
adverse_before_5pct <= 0.015 AND node_close_position <= 0.3,2,41,0.33884297520661155,0.7560975609756098,0.07014714775246922,0.07575155890133034,0.06291029108235384,0.06726146447556075,0.05872573483433507,0.05436286741716754
node_ret_3h <= -0.03 AND node_close_vs_ema20 <= -0.01,2,62,0.512396694214876,0.6935483870967742,0.007597973873633701,0.06692798873797871,0.0676118966065792,0.06726146447556075,0.05867384546904694,0.05433692273452348
node_close_position <= 0.35 AND node_ret_3h <= -0.02,2,44,0.36363636363636365,0.75,0.06404958677685946,0.07382559068911988,0.06351053521066982,0.06726146447556075,0.05866385115967996,0.054331925579839985
