period,model,group_type,group_value,trades,profit_abs,profit_pct,pf,maxdd_pct,winrate_pct,avg_profit_pct,median_profit_pct,avg_duration_h,median_duration_h,max_duration_h,best_trade_abs,worst_trade_abs,avg_mae_pct,avg_mfe_pct,activated_count,top5_winner_share_pct,exit_reason_distribution
3y,baseline,all,all,291,1993.44535252,199.344535252,2.004806433085237,8.871870754878184,35.051546391752574,1.528046729873395,-1.5875278987957862,49.419243986254294,31.0,429.0,95.28293221,-23.48846993,2.4174162879213514,5.601145857669673,0,11.175170138892538,"{""force_exit"": 1, ""roi"": 89, ""stale_flat_120h"": 10, ""stale_loss_72h"": 33, ""stale_low_profit_240h"": 1, ""stop_loss"": 119, ""swing_exit_long_1d"": 5, ""trailing_stop_loss"": 33}"
3y,baseline,entry_tag,long_1d_center_compression,47,495.31027501,49.531027501000004,2.5309403413333147,6.687264243110967,34.04255319148936,1.9449200320075288,-2.0967051464794806,75.53191489361703,37.0,429.0,84.78698857,-19.22016428,2.1317209802375334,5.575076988668296,0,44.719626491199136,"{""roi"": 15, ""stop_loss"": 27, ""swing_exit_long_1d"": 5}"
3y,baseline,entry_tag,short_compression_breakdown,78,459.24198438999997,45.924198438999994,1.9101434188221962,9.230786378755134,35.8974358974359,1.529618046523218,-1.3084750244020822,45.756410256410255,30.5,233.0,86.93554841,-22.51784396,2.518241643341112,5.6297957436841415,0,35.99050726841127,"{""force_exit"": 1, ""roi"": 24, ""stale_flat_120h"": 3, ""stale_loss_72h"": 13, ""stop_loss"": 22, ""trailing_stop_loss"": 15}"
3y,baseline,entry_tag,short_pullback_restart,166,1038.89309312,103.889309312,1.89885626373829,10.707821861885856,34.93975903614458,1.40927800759032,-1.4517012271657177,43.74698795180723,30.0,266.0,95.28293221,-23.48846993,2.450930153815316,5.595064807874108,0,18.05184118774278,"{""roi"": 50, ""stale_flat_120h"": 7, ""stale_loss_72h"": 20, ""stale_low_profit_240h"": 1, ""stop_loss"": 70, ""trailing_stop_loss"": 18}"
3y,baseline,pair,ADA/USDT:USDT,32,285.96224325000003,28.596224325,2.5229048844661617,4.7015174340708965,34.375,1.8016767038070638,-0.571239573456884,44.40625,37.0,118.0,95.26620232,-22.25873017,2.292910773015798,5.9613801370004476,0,61.21684148875611,"{""force_exit"": 1, ""roi"": 10, ""stale_loss_72h"": 6, ""stop_loss"": 10, ""trailing_stop_loss"": 5}"
3y,baseline,pair,BNB/USDT:USDT,19,176.21677136,17.621677136,2.3487565591470676,7.022077069461403,47.368421052631575,2.385326820807991,-1.1497042202794163,55.8421052631579,32.0,154.0,72.03827001,-22.48258298,2.125090307541211,6.336927886437534,0,80.80350778196014,"{""roi"": 7, ""stale_flat_120h"": 2, ""stale_loss_72h"": 1, ""stop_loss"": 8, ""swing_exit_long_1d"": 1}"
3y,baseline,pair,BTC/USDT:USDT,37,212.33815955999998,21.233815955999997,1.8891766908911003,5.501924134043989,32.432432432432435,1.158802509574693,-1.5077925834035404,63.891891891891895,42.0,386.0,86.93554841,-23.4204542,1.8811742209096776,4.793004810935048,0,68.84306531867024,"{""roi"": 9, ""stale_flat_120h"": 3, ""stale_loss_72h"": 3, ""stop_loss"": 14, ""swing_exit_long_1d"": 3, ""trailing_stop_loss"": 5}"
3y,baseline,pair,DOGE/USDT:USDT,20,155.95187936,15.595187935999999,2.208723006576497,4.765647855447206,40.0,2.423890564294385,-1.1482851964274063,30.8,22.5,119.0,46.20826718,-23.11526256,2.301524418319971,6.058825563679981,0,71.69214630139564,"{""roi"": 8, ""stale_loss_72h"": 2, ""stop_loss"": 9, ""trailing_stop_loss"": 1}"
3y,baseline,pair,ETH/USDT:USDT,30,345.7585169,34.57585169,2.972056349959398,3.9596167467859016,36.666666666666664,2.3398752321038376,-0.9439456999549072,39.7,27.5,133.0,71.55867291,-21.11515786,1.9522560973897538,5.537367193310375,0,62.353182221552416,"{""roi"": 11, ""stale_loss_72h"": 5, ""stop_loss"": 9, ""trailing_stop_loss"": 5}"
3y,baseline,pair,LINK/USDT:USDT,20,26.092477020000004,2.6092477020000002,1.1639648705262482,4.121331682117781,25.0,0.3103878194327519,-2.37820286210962,31.45,25.0,107.0,47.28804312,-23.48846993,3.313968306506428,4.242983911950911,0,100.0,"{""roi"": 5, ""stale_loss_72h"": 2, ""stop_loss"": 9, ""trailing_stop_loss"": 4}"
